Hybridization REF	TCGA-BH-A0DP-11A-12R-A089-07
PLXNA1	-0.1441
KIAA0100	-0.0232
PMF1	-0.43625
FNDC1	3.185
HS2ST1	0.13325
CRELD2	-0.0395
C8G	-2.3935
CD82	0.572
LIM2	-1.0755
UNQ6490	0.162
MMP16	0.12475
DRD3	-0.06125
C5orf26	0.284
C11orf73	-0.41125
PTP4A2	0.186375
OR4M2	-0.281
HPCA	-1.22433333333333
SEC14L1	-0.0761666666666667
CHFR	-0.976125
EMILIN1	0.29925
NDUFS4	0.057
COL18A1	-0.37025
PDZD3	-0.1012
C9orf16	-0.699333333333333
ERBB2IP	0.235166666666667
EMX2	3.87275
FUS	-0.85775
TF	-2.7754
CLCN4	0.744666666666667
CXorf56	0.70725
C11orf72	0.0835
ELAC2	-0.64575
NPR1	0.663
ASS1	-1.51233333333333
USP42	-0.293875
POLR2J	-0.7835
SEC23IP	0.251
UQCRC1	-0.4865
LOC729603	-0.26075
C1orf71	-0.476625
POLG	-2.9785
ADAM23	-3.225
TFR2	-1.9325
RICTOR	-0.0227
MGC39606	2.089
C19orf55	-0.578125
SNAPC1	-1.22733333333333
GNA11	0.904
CCDC52	0.0871666666666667
FSIP1	3.981
UPF3A	0.250875
IGSF11	-2.296
LAGE3	-1.10625
CHST6	-3.207
UNC13B	0.347
TTLL4	-1.32275
ZNF687	0.10525
SDC2	0.4317
COX7A2	-0.9225
LAMB4	-0.18775
FAM24A	0.331
LRRTM3	-1.22166666666667
GPHB5	-0.124
OR4C13	0.2295
EIF3EIP	0.3775
HABP4	0.244
TMEM125	3.191
CNTN2	0.34075
ASNSD1	0.1625
FUT4	0.03
ACF	-3.75725
LOC158381	1.228
CDH8	0.22225
AGPS	-1.59166666666667
C4orf18	3.53975
PECI	0.342
UNG	-0.54075
GSTP1	0.24325
DCUN1D5	-1.57816666666667
DKFZP564J0863	-1.41975
SLC9A3R1	1.1065
BCDO2	0.272125
CHMP7	0.0695
REM2	0.0555
DNHD1	-0.595
FKBP4	-0.6965
ZNF350	2.14725
MGC11102	-0.632375
BST1	1.46025
KISS1R	-0.058
NCR2	0.1865
DEFB125	-0.1965
UBE2W	0.583
KRT15	3.85925
C10orf99	-0.1925
SCN11A	0.255875
GFI1	-1.89775
RDHE2	3.63
FHL1	2.11683333333333
OSGEP	-0.0593333333333333
GATA1	-3.8605
SMC6	-1.869
TTTY14	-1.2705
LPIN3	-0.03825
RPL4	0.1358
RBPMS	0.7041
PRPF3	-0.615666666666667
EMR1	-2.794
SPATA19	0.19925
XCR1	0.06
IRX3	2.3264
RBM6	-0.13825
KLF4	0.9931
UNC5CL	-0.62825
SEBOX	-0.0415
BTK	-1.5765
KRCC1	1.722
C6orf27	0.0735
SYTL5	0.35
PRND	1.205375
LOC653319	-1.3935
PIGL	-1.510125
HUS1	-0.921166666666667
SFRS6	0.197333333333333
C17orf77	0.4615
UIMC1	-0.133166666666667
FXYD2	-1.9353
LOC283152	-0.24225
ZNF667	0.72925
ZCCHC12	-0.23125
TFEC	1.4958
ATP7B	0.536833333333333
POLD2	-1.45316666666667
RG9MTD1	-0.18675
ACOT2	-0.06
HIST1H4I	-1.733625
PPARGC1A	-1.4357
ETFA	-0.7601
POLRMT	-0.847
ZNF146	0.273875
MIA2	-1.8345
KLHL6	-1.75033333333333
HOXB5	-0.34875
NENF	0.3315
CUGBP1	-0.65925
PRSS22	0.787166666666667
CASC4	1.3541
CUL4B	0.2387
CENPJ	-1.3347
PITX1	-1.24
FLJ31033	0.255
CELSR3	-2.65433333333333
ZNF568	1.4555
ITSN1	-0.17025
EHBP1L1	-1.32116666666667
C19orf2	-0.1645
DCTN1	0.061
LIN28B	-3.35016666666667
TNKS2	-0.61775
C1QBP	-1.243375
CADPS2	1.8165
SRMS	-0.11975
GJA9	0.311833333333333
MGC24975	-1.2805
TRIM45	-0.530166666666667
TSP50	1.15125
TCP1	-1.054
TMED7	0.3171
CMA1	0.9195
CENPL	-1.87616666666667
PTCRA	-0.6415
FST	-2.36075
VWCE	-3.168
PAWR	0.33625
ABCC12	0.246333333333333
LDLR	-1.5118
ASTN2	1.1821
LOC441212	-0.83925
GPATCH8	0.1785
TANC2	-0.84025
KIF4A	-4.2315
C18orf18	-0.009
PGM1	-0.18225
KIAA0258	0.46625
CPD	0.854375
SNCAIP	0.226
DCT	-4.18633333333333
HLA-DOA	2.2725
OR11L1	0.0285
UPK1B	-0.282166666666667
DNAJB4	1.637125
UGT1A8	-0.0505
HIST1H4L	-2.5745
PECR	-1.04583333333333
HSPA2	1.50975
WFIKKN1	-2.8045
SERP1	1.593
SYDE2	2.01025
TACR2	0.302
NUP85	-0.8945
CD177	-0.301833333333333
LGR5	-1.53516666666667
PIGG	-0.244333333333333
PTHR1	-1.21316666666667
RAB5A	0.8284
FLJ13224	-0.1655
USP9Y	-0.759
C7orf53	-0.8085
LRP1B	2.18375
XAF1	1.2046
ABCG8	-1.1065
ANKDD1A	0.261833333333333
DAND5	-1.5505
SPAG6	1.10616666666667
LINCR	1.062
ZDHHC22	-1.63925
CCDC60	0.623
THOC7	-0.840333333333333
TCTA	0.8476
OR8K3	0.02875
NY-REN-7	0.04775
B2M	0.452666666666667
C6orf141	-2.64925
LPPR4	2.3375
SQLE	-2.153125
SEPHS1	-0.635
BTBD14B	-0.270285714285714
PLRG1	0.20075
SPG7	-0.5800625
ZNF614	0.369166666666667
PARD6G	1.74783333333333
INPP5B	-0.5504
GRPEL2	-0.58275
PPID	-0.5772
TRIM56	-0.000999999999999999
UBE2J1	-0.223875
IL20RA	6.472
LOC387856	1.494
C1orf107	0.616666666666667
UTS2R	0.40925
C19orf22	-0.32325
SAFB2	-0.25775
KIAA0652	0.103
KLRG1	-0.737333333333333
MS4A8B	1.46116666666667
FRAG1	0.8325
KIAA1546	0.44375
E2F4	-0.9165
CLEC4M	-0.265
BTBD14A	-2.1385
KIAA0999	1.6529
GYPA	-3.46666666666667
TAC1	4.8592
TRAIP	-2.14016666666667
KIAA0232	0.9887
ERCC8	-0.927125
GPX4	0.097875
KIAA0368	0.344625
GPR157	-1.15933333333333
CTAGE4	1.283
C9orf30	-1.55716666666667
OR52A1	0.019
HSP90B3P	-0.1235
ALG9	-0.3182
BTBD10	0.49775
SDK2	-0.09925
BAIAP3	-0.64575
RABGGTB	-1.12775
ANKRD40	-0.0345
KRT74	0.5015
CALCOCO2	0.782428571428571
SNCA	-1.1905
TMSL8	-4.530125
C2orf53	0.533
ESRRB	-0.14125
ARHGAP26	-0.888625
TDRD9	-2.49775
HRAS	-0.276833333333333
KLRC4	-2.0945
JAGN1	0.223666666666667
BSDC1	0.57975
RNF43	0.5151
NDUFAF1	0.3635
PHF12	0.06075
OR1L3	-0.0955
FOLR2	1.91058333333333
LYZL6	0.0495
tcag7.1260	-1.508
WSB1	-1.26383333333333
PROS1	1.795
OSTN	-0.1435
PSMB8	0.175
SOCS4	0.305
DDIT4L	1.92125
MAS1	0.177
MGC34796	0.7345
CSHL1	0.189666666666667
TBCCD1	0.103166666666667
ZBTB7C	-0.3695
AP2S1	-1.428625
P15RS	0.211
VAT1	-0.5919
SHANK3	0.543
TUFM	-0.927666666666667
THEG	-0.2965
KRT34	-1.97625
SGSM3	0.0575
TOMM22	-0.344625
SOCS3	0.961833333333333
CPO	0.251
POP4	0.286
BHLHB3	3.093
MALL	1.4685
OR1B1	0.2315
PARK2	1.00616666666667
GPR124	0.99975
LCE1E	0.335
RUVBL2	-1.06825
CGRRF1	1.4188
ACPL2	0.629
WNT10B	-2.09625
BAIAP2L2	-2.369375
ISCA1	1.0715
C1orf125	-0.02525
RPAP1	-0.41
RAI16	-0.0593333333333333
RPL27	-0.378625
NLRP9	0.115
EPN1	-0.2465
LOC388610	0.90525
SLC35A1	1.6791
GAL	-4.477
SLC14A2	0.119
RDH11	-0.707
FAM138F	-0.819
AUH	1.05725
FLJ40243	0.0425
C14orf129	0.364
MBD2	-0.3135
ABHD14B	0.588
PIGT	0.432625
ALS2CR4	1.137125
ALAS1	-0.2893
FOXO1	2.74933333333333
CRLF3	0.00900000000000001
C20orf107	0.037
FARS2	0.89325
CCDC28A	1.36975
NPHP3	0.01125
OR13F1	0.094
TSEN54	-1.4595
DEFB106B	-0.0081
OR8B4	0.306
STH	0.927
ZC3H14	-0.172625
CBX2	-0.2625
TMEM49	0.09325
C6orf21	0.2685
FLJ20920	1.232
CRTAP	0.427285714285714
DDX50	0.327
STYXL1	0.20275
BLVRB	-0.389
LOC147650	0.284
MMP24	0.33225
GRID1	1.83616666666667
BANF1	-0.493833333333333
CTAGEP	0.2725
HMBS	-2.33975
SLC25A24	0.842333333333333
C14orf50	1.5895
MRO	0.113
SLC25A15	-1.12975
FAM84B	0.9937
TDP1	-1.3585
C16orf78	0.0815
C11orf57	-0.292
RFK	-0.61
ZFYVE9	-0.40625
STCH	-0.8784
WIBG	0.24825
LOC283871	-0.960666666666667
GBA2	-0.6281
NDUFB3	-0.77525
HSD17B13	0.16775
GRIN3A	0.9695
FMNL1	-1.14333333333333
SEPT7	0.0072
GNLY	2.3945
GRAMD1C	2.55233333333333
ZNF165	-0.04125
USP38	0.634
FAM83A	-3.739
C14orf24	0.639
ARMCX3	1.258625
ARHGDIB	1.02166666666667
AK1	-0.28775
KIAA1045	1.278
DNAJB13	-0.270666666666667
NEU2	-0.0475
HIST1H4B	-2.3355
FAM20B	-0.4009
HES2	0.103785714285714
FAM73B	-0.5376
LOC388381	0.324
INTS7	-1.31563636363636
AMPH	0.80175
ZNF775	-0.489125
UCKL1	-0.8505
C10orf97	0.834
C1orf161	-0.094
ALDH1L1	0.914
FLJ39378	0.19975
SLC23A1	-2.017
RBM4B	0.59575
THAP4	-0.0151666666666667
OGFRL1	1.011
KIAA0831	0.605
PPP1R15A	0.802833333333333
C1orf96	-0.676357142857143
C12orf11	-2.17625
BMF	0.36475
MAN1A1	0.479125
KIAA1600	0.936166666666667
NLGN4X	1.6705
ALOX12	-1.36516666666667
RB1CC1	-0.2328
NEIL2	0.4119
EIF4E	0.0705
ABHD5	-0.3935
EXOC4	-0.1565
CIP29	0.0183333333333333
BATF2	0.23475
SLC29A4	-0.355
HTR4	0.5135
EMB	-0.547
TRAF6	0.80675
LMNB1	-4.34575
FAM19A5	-1.7745
SHE	2.55525
PIK3C2B	1.2465
C15orf15	0.0602
USP15	0.4869
TCEAL2	3.11475
C5orf39	-1.1295
PTGER2	-0.71725
SLC31A1	-0.1821875
IFT172	0.81025
ADAM29	0.18175
GFOD1	0.43625
ST7L	0.859166666666667
C15orf26	-1.91025
PKN3	-1.395
CNTD1	3.11316666666667
COMMD1	0.388
NTRK2	5.004
FOXN3	1.051125
MFGE8	0.7662
PFKFB2	0.120833333333333
TAS2R4	0.1685
ENTHD1	-0.396166666666667
PRMT5	-0.428125
MGC16384	-1.116125
LOC442229	-1.141
TSKU	1.11225
KRTCAP3	2.15575
PDLIM1	1.1246
KCNS2	0.12875
RNF126	-0.545833333333333
CEP63	-0.191375
CLIC4	0.424125
hCG_1990170	1.62425
ACR	0.6432
KLK7	4.61
ALOX5AP	2.724875
RIPK3	3.313
TAS2R9	0.127
C19orf18	1.8035
BIRC6	0.239357142857143
ZNF16	1.0415
RFT1	-0.68775
SLC8A2	-0.65775
TACC1	0.58275
ITGAD	0.28875
SAMHD1	0.69725
SH3PXD2B	0.7055
EPC2	1.40275
C20orf85	0.1145
ATP13A2	-0.2805
KRT4	0.223125
CAPNS1	0.2745
MDM2	-0.967916666666667
PCDH20	3.96125
KCNK9	0.105
OR2C1	-0.153
KLHDC3	-0.544
IPPK	0.562
EFHD2	-0.904875
GALR3	0.3885
NBEA	1.0525
ABCA6	4.3219
CLDN3	0.8255
AKT2	-0.777642857142857
EGFR	0.956
RBM16	0.641625
ZDHHC3	0.1342
SLC25A4	0.118666666666667
CYB5B	0.372666666666667
CPXM1	-0.781
NDRG1	-0.559230769230769
FLJ43826	0.8965
OR5L2	-0.239666666666667
FARP2	0.2186
MRPL46	-0.495166666666667
LDHAL6B	0.162666666666667
MAPKAPK3	-0.6915
NCAM2	-0.1265
PRKD2	0.0278333333333333
ZFP36L1	1.6747
CYSLTR1	-0.1595
OR4C3	0.4495
HIST1H2AJ	0.8695
CCNB2	-4.78777777777778
ZNF10	0.532375
TMEM175	0.1315
FAM134A	0.783833333333333
TIGD4	0.3805
PCNP	0.46775
MGC39715	1.50175
LQK1	-1.18675
CREB1	1.2433
TMPRSS3	1.37325
C4orf32	2.068125
LAT	-1.78808333333333
KCNA3	-0.54
SKIV2L2	-0.591
ROPN1B	2.19725
tcag7.23	0.1075
CDT1	-4.135625
ZHX2	0.952375
CD28	-3.18625
ZNF624	1.155
SEPT2	0.181083333333333
SOHLH2	-1.247625
MCOLN3	0.0595
UNQ1945	-0.027
MASP2	-1.157
ZNRF3	-0.14
GPATCH3	-0.01925
AGL	1.021
QRICH2	-0.241
PSD4	1.3445
CCNB1IP1	-0.8245
ENPP7	0.30175
OBFC1	0.21825
KCNG3	-2.95533333333333
C14orf79	0.727583333333333
ENPEP	1.72383333333333
SCT	-0.305
SKI	0.188125
SEC61G	-2.23475
CAPN11	2.6995
ATXN7L3	-0.5525
DBNDD1	-0.8295
FAIM	0.526
ANKRD36	-0.738
GABRP	3.97466666666667
TACSTD2	2.86133333333333
EIF3J	-0.862
PPP2R2A	0.1175
TEKT4	0.295833333333333
PVALB	-2.57433333333333
F10	-0.904666666666667
FAM134C	0.8469
COMP	3.5025
EFCBP1	-0.5205625
SCLT1	0.558875
TAL1	-0.7871
ACSL1	1.92775
ABCC5	-0.759666666666667
ABL1	-0.598055555555556
RBBP7	-0.229833333333333
PTPRG	-0.80425
NCOR1	0.3954
SPINK4	-1.87333333333333
TXNRD1	-1.9107
TNRC15	0.483
C9orf138	0.844625
UBE2H	0.325
BRDT	0.639833333333333
C8orf31	-0.6065
CCNE2	-3.11318181818182
SLC6A8	-2.17825
CALCR	-0.71075
PPP1CB	1.70916666666667
ABHD8	-0.2185
ARF5	-0.0524
SLC24A4	0.34475
CCT3	-1.16025
ZNF121	0.494125
SLC3A2	-0.7628
OR13A1	-0.0705
SLC5A10	-0.17775
RAD50	-0.07025
IER5	-0.00350000000000002
MTHFD1L	-2.515875
MBTPS2	0.001
MVK	-0.302625
NCL	-0.5229
PSMD10	0.3105
MOBP	-0.20525
FLJ32894	0.1015
HRH1	-0.549666666666667
C5orf30	1.976
NUDT16L1	0.237
RASGRP3	3.23233333333333
PRKRIP1	-0.5686
CCDC75	-0.62525
LOC253970	0.07875
KIAA1239	0.58925
MED21	-0.40175
SYT11	-0.08175
NTSR2	-0.066
EGFL11	-0.3715
CXorf59	0.181
OR2A25	-0.2435
SPTBN2	-1.20275
LRMP	-1.1625
RNF111	0.45175
PTH	-0.351
LOC619208	0.441333333333333
KIAA0895	1.0535
RANBP5	-0.89825
P2RY10	0.133
NME5	3.81433333333333
DDX21	-1.3805
LRSAM1	-0.0315
HDAC11	0.7935
VMO1	0.646
NOLA2	-0.499
ADAR	-0.095
MTO1	-0.582666666666667
SF4	-0.0558333333333333
P2RX1	0.140333333333333
HBM	0.72975
EN2	0.3285
C14orf172	-0.483
TM9SF2	0.7844
INHBE	-0.725
TCTE3	-0.0318333333333333
TOX2	-3.10575
CTAGE3	0.28275
HBB	4.3722
MED15	-0.811
CASR	-0.4415
C6orf66	-1.0725
MTPN	-0.88975
UNC50	0.7285
C21orf33	0.15975
IRF2	1.25025
PGR	1.30016666666667
GPR84	1.0105
CROCCL1	-1.24475
SRPX	-0.03575
BRE	0.184166666666667
FGF10	1.979
SDC3	0.768333333333333
ZRSR1	0.484333333333333
DKFZP434P211	-0.474
SOX6	-0.451
RPUSD2	-0.0885
C14orf173	-0.836
MAPK11	-0.681333333333333
TBC1D22A	0.0875
FAM123A	-0.507
COL4A6	0.8115
TOMM70A	0.1305
NAB1	0.239
MGC16385	0.036
TSPAN18	-1.0165
MED31	-0.28075
PLG	-0.32925
CAPSL	0.6785
ZNF532	1.1233
ASB14	0.00875
CA8	1.19375
NUDT16P	2.0435
SLFN11	-1.1335
LRRIQ2	-0.452375
NOL7	-0.721333333333333
BRMS1L	0.200125
JARID1A	0.192666666666667
PANK2	-0.4335
ICAM3	-1.1255
MDS1	-0.00375
TAF8	-0.4595
RNF139	0.749
ZNF594	0.444
ADAM8	-0.564625
SFTPC	-0.53
MAN2B2	1.103375
RGS12	0.485625
EIF1AY	-4.86691666666667
LRRIQ1	0.434333333333333
GPR150	0.574
CCDC21	-1.77616666666667
PRRG3	0.60225
SAA4	-0.618
RAPGEF5	1.0075
ZCCHC2	-0.368666666666667
MGC39372	0.795
PPP4R2	0.354
CDCA2	-3.89966666666667
OR4D5	0.3775
PTGFRN	0.1525
SIGLEC5	1.08283333333333
C19orf61	-0.744666666666667
NMUR2	0.4695
KIAA1586	-0.214333333333333
DAGLA	1.054
CHCHD6	-0.2435
GPR32	-0.0245
NEUROD6	0.172833333333333
SLC2A4RG	-0.2154375
CA5B	0.9365
FBXL3	2.3995
MPHOSPH9	-2.1655
HMG2L1	0.49075
HCN4	0.243333333333333
CEACAM19	-0.00699999999999999
SH2D4B	0.277166666666667
HFE2	-0.4095
TGM4	0.111666666666667
LYPD2	-0.08725
TBC1D15	0.0995
MRPS21	-0.3393
NONO	-0.8273
CLEC5A	1.102625
ITCH	-0.0684
MGAT3	0.0895
MBP	0.327875
RPP25	-1.72425
SOSTDC1	3.21075
HRC	-1.1185
TRIM48	-0.322
TMEM133	0.77875
ECEL1P2	-1.38925
HOXC11	-0.436
DOK5	0.09225
HELZ	0.358666666666667
LOC348180	-1.1935
MGC33894	0.07575
ADRB3	-0.114
DMD	1.69716666666667
PTRH2	-1.097
MPEG1	2.11133333333333
NDUFA12	-0.529833333333333
KRTAP2-4	0.01625
STAMBPL1	-1.35033333333333
ADCY2	0.442666666666667
UNQ6125	0.727
KLHL20	0.288833333333333
SRM	-0.7975
OTC	0.151
TMIE	0.665666666666667
SNX8	-1.166
LIPK	0.6985
CHURC1	0.178166666666667
KLC2	-0.1465
HDAC1	-0.0223333333333333
FAM128A	-0.696333333333333
FNDC3B	-0.0867
MTCP1	-0.104166666666667
WFDC10B	-0.193
PCDHGB3	0.853
ATRNL1	-0.2156
CAV2	2.094625
MED26	0.00766666666666666
DUS1L	-0.699
CHRM3	-1.0555
NEK9	1.01525
WARS2	-0.3615
TBX22	0.3565
TOMM40	-1.309
RP6-213H19.1	-1.02766666666667
TUBGCP5	-0.46125
IGSF6	4.1005
TPPP	1.399
UNQ6190	-0.324
GSTM5	2.264625
BTD	1.15416666666667
PDCD1LG2	0.779166666666667
SNRPB2	-0.713833333333333
ERICH1	0.58125
APOA4	-1.98025
HOXA11	-2.03533333333333
NARG1	-0.440375
MKX	-0.7485
RAB28	0.413571428571429
PKP3	0.634
SH3GL2	-2.27075
CTSO	4.33075
RPN2	-0.8814375
IL28RA	1.13216666666667
SFMBT1	-0.0755
WDR57	0.018875
FER1L3	1.43075
HSF5	0.0631666666666667
TTC9B	-0.35025
C4BPA	0.315833333333333
ALB	-2.63257142857143
SORBS3	0.3995
UPF2	0.185
JPH1	-0.143
AGBL2	1.118
DOPEY1	1.9075
TERF1	0.268583333333333
KIF22	-1.34916666666667
NINJ1	1.17575
SEC61A2	-1.04316666666667
HIST1H1D	-2.325
SFXN4	-0.462625
UCP3	-0.0101
ZNF703	0.225333333333333
MYL6B	-0.42125
TREM1	1.62375
OR52E6	0.6885
CKMT2	3.7455
HLA-C	0.877
SLC13A3	-1.39166666666667
TIMP4	1.73275
SLIT2	3.16525
RSF1	0.132611111111111
LONRF1	-0.0527857142857143
MON1A	-0.4895
CACNG6	0.735333333333333
DPPA4	-5.67983333333333
ZSWIM3	-0.2805
ZNF804A	-0.0606666666666667
CCIN	0.4785
SLC25A31	0.0205
KCNMB4	0.0205
RABL5	0.455125
GALNS	-0.3898
STX6	-0.208375
HIST1H1C	-2.6395
CIDEB	0.091125
CASP4	0.254666666666667
PDK3	-0.9176
KCNJ11	1.709
TPR	-0.697875
ZSCAN20	-0.3755
MTX2	-0.577
HIST1H2BH	-1.365
LOC283767	2.08375
LYRM7	-0.693166666666667
BRD3	-0.444
HIST1H2BO	-1.42775
MAGEB10	0.495
SLC45A1	1.0895
SERPINA3	1.6908
KIAA0143	1.26225
KCNJ16	4.28966666666667
KRT79	0.6145
FABP2	-0.66125
NUT	-0.0635
ZNF57	0.3995
FBXL4	0.629375
CLEC9A	1.2435
UGT8	0.355833333333333
BMP2K	1.78425
MAPK4	-2.48575
SLC25A23	-0.5667
HINT1	-1.0849
KRTAP13-1	0.368
SFXN5	-0.6024
CHCHD2	-0.61
FAM3D	2.1475
NDP	-0.140125
RHOBTB1	-0.7635
SLC4A4	0.072125
RPL38	-0.1775
HTF9C	-0.712
AP2A2	0.296125
ZBTB46	-0.187
MAP7D1	0.139125
AOX1	0.192833333333333
CYR61	1.90158333333333
DTNA	0.269857142857143
JRKL	0.84725
TMOD3	-0.14025
EEA1	0.1167
ADCK5	-1.1865
IL1R1	2.0195
KLK3	0.644071428571429
HRSP12	-0.667
KTN1	0.15725
LOH11CR2A	1.2921
RELL2	-1.686
MAB21L1	2.96325
C20orf59	-1.35966666666667
PHKB	0.4065
ADAM2	-2.2855
TBC1D8B	1.54433333333333
FAM13A1	0.7738125
LAPTM4B	-1.154
LCN8	-0.4845
TMEM147	-0.119
SYT4	-0.0771666666666667
XPO7	-0.805
C9orf62	0.18375
GPR75	1.253
TRIM5	0.843625
APOC1	-1.40166666666667
RNASE4	2.57116666666667
PARD6B	-2.055375
ARID1A	0.0416666666666667
TPD52L3	-0.0829
RRAGB	1.633
RCN2	-0.402
HIST2H2BE	-0.8351875
STARD7	-0.12875
SHMT2	-2.02425
KIAA1751	0.417833333333333
MLYCD	0.61275
LOC162632	-0.5772
UQCRH	-1.81275
RP11-217H1.1	0.0869375
SDHA	-0.937833333333333
NCLN	-0.9643
ZNF17	0.943
RCBTB2	-0.39425
VEGFB	-0.1995
RP4-747L4.3	1.1275
COLQ	0.2114
MPN2	-0.193166666666667
DRG2	-0.16025
KLRB1	5.39375
ALPK2	-2.0655
DNASE2B	1.082
FLJ23834	0.774333333333333
AXUD1	2.56333333333333
SAFB	-0.4108
NSUN4	-0.75675
RFX2	1.487
MAPK8IP1	0.214
FANCD2	-1.74914285714286
ANKZF1	-1.41266666666667
C19orf50	-0.236
DUSP8	1.255125
SENP5	-1.010125
NFKBIL2	-1.49525
LBR	-1.9575
IGFL1	1.298
LZTS2	-0.047625
IL2RG	-0.65175
CCDC51	-0.6465
KLF3	0.1945
ANKRD37	-0.41775
KCTD14	1.7325
FZR1	-0.266416666666667
SLC44A4	2.3877
ESPL1	-1.2495
GMPR2	0.376
TBC1D19	-0.330166666666667
ERGIC1	-0.0928518518518519
ERBB4	4.0123
TSPAN32	0.073
MAP4	-0.204125
GPHN	-0.25275
SLC6A2	0.68775
HIVEP1	-0.135
DFFB	-0.3701
EIF4EBP2	0.4055
DMRT1	-0.7555
HSPB6	0.61125
IER2	0.294166666666667
AIFM1	-0.7745
WWC2	0.565
MRPL4	-0.91825
FLJ21062	2.062
EPB41L4A	1.63666666666667
SH2D6	-0.1165
TAF4B	-0.415
GAL3ST3	-0.2545
MALT1	-0.622
RTDR1	0.3865
ARVCF	0.49275
MEX3B	-1.37166666666667
FBXO16	0.7605
KIF7	-0.60575
C1QC	3.38416666666667
ZNF783	-0.427166666666667
ZNF85	1.082
MMP13	-1.381
KIAA0329	0.951875
RTP3	-0.4665
ZBED3	-0.35825
CLGN	-0.515
SLC25A37	-0.819291666666667
hCG_18290	0.104
OR5AS1	0.067
SMARCC2	0.477083333333333
FAM109A	-0.366833333333333
CCDC12	0.236
USF2	0.15
DEPDC7	-2.4925
C20orf24	-1.26716666666667
JMJD3	0.5955
DSP	1.89457142857143
SLIC1	-0.003
FAM20A	1.229625
IRF2BP2	0.94975
ZNF230	0.706
MSN	-0.429785714285714
SLC9A5	-1.978
EPDR1	-0.6521
MUSK	0.183833333333333
ZNF434	0.454166666666667
SMARCD1	-0.662333333333333
