Hybridization REF	TCGA-E2-A14Z-01A-11R-A115-07
PTHR1	-1.90566666666667
RAB5A	0.581
FLJ13224	0.206
USP9Y	-1.91566666666667
C7orf53	0.1475
LRP1B	-0.73025
XAF1	3.194
ABCG8	-1.2955
ANKDD1A	0.113833333333333
DAND5	-1.184
SPAG6	0.486333333333333
LINCR	1.08
ZDHHC22	-1.4475
CCDC60	0.256
THOC7	-0.028
TCTA	0.1489
OR8K3	0.333
NY-REN-7	-0.4125
B2M	1.46416666666667
C6orf141	-1.97525
LPPR4	1.78725
SQLE	-0.936875
SEPHS1	-0.26125
BTBD14B	0.0854285714285714
PLRG1	0.11125
SPG7	-1.2476875
ZNF614	0.0331666666666667
PARD6G	0.642833333333333
INPP5B	-0.4354
GRPEL2	-0.061375
PPID	-0.4692
TRIM56	-0.9885
UBE2J1	-0.040125
IL20RA	4.81475
LOC387856	0.304
C1orf107	1.25358333333333
UTS2R	-0.35525
C19orf22	0.49675
SAFB2	-0.121
KIAA0652	-0.28175
KLRG1	0.8115
MS4A8B	0.873
FRAG1	1.30425
KIAA1546	0.6945
E2F4	-1.5087
CLEC4M	0.019
BTBD14A	-1.1145
KIAA0999	0.00889999999999999
GYPA	-3.6785
TAC1	0.8611
TRAIP	-0.954666666666667
KIAA0232	0.4455
ERCC8	-1.29175
GPX4	1.089625
KIAA0368	-0.5425
GPR157	-0.598166666666667
CTAGE4	1.7265
C9orf30	-1.61016666666667
OR52A1	-0.073
HSP90B3P	-0.198
ALG9	0.2357
BTBD10	0.633
SDK2	0.23975
BAIAP3	-0.44425
RABGGTB	-0.7165
ANKRD40	-0.2065
KRT74	0.5565
CALCOCO2	-0.0047857142857143
SNCA	-2.699
TMSL8	-3.363625
C2orf53	0.231
ESRRB	-0.06725
ARHGAP26	-0.821
TDRD9	-3.0335
HRAS	-0.686666666666667
KLRC4	-1.295
JAGN1	-0.498
BSDC1	-0.05075
RNF43	-0.5399
NDUFAF1	0.3885
PHF12	0.71575
OR1L3	0.233
FOLR2	1.60816666666667
LYZL6	-0.0531666666666667
tcag7.1260	-1.897
WSB1	-0.399333333333333
PROS1	-0.104
OSTN	0.3845
PSMB8	1.4895
SOCS4	-0.540625
DDIT4L	1.04125
MAS1	0.062
MGC34796	0.683
CSHL1	0.11
TBCCD1	0.565333333333333
ZBTB7C	-0.2695
AP2S1	0.25875
P15RS	-0.1594
VAT1	-1.01
SHANK3	0.869
TUFM	-0.821833333333333
THEG	-0.69375
KRT34	-1.882
SGSM3	-0.35125
TOMM22	-0.878125
SOCS3	0.761833333333333
CPO	1.4055
POP4	0.1515
BHLHB3	0.94125
MALL	1.16525
OR1B1	0.6395
PARK2	0.937833333333333
GPR124	0.568875
LCE1E	0.2745
RUVBL2	-0.68275
CGRRF1	0.109
ACPL2	0.71775
WNT10B	-2.304625
BAIAP2L2	-2.388
ISCA1	-0.298
C1orf125	-0.82825
RPAP1	-0.76125
RAI16	-0.290166666666667
RPL27	-0.582875
NLRP9	0.06
EPN1	-0.3595
LOC388610	-0.584125
SLC35A1	1.3695
GAL	-4.74875
SLC14A2	0.3175
RDH11	-0.3215
FAM138F	0.0265
AUH	0.61275
FLJ40243	0.35975
C14orf129	0.173166666666667
MBD2	-0.9505
ABHD14B	0.353125
PIGT	0.305875
ALS2CR4	-0.28025
ALAS1	0.6251
FOXO1	1.66616666666667
CRLF3	0.5635
C20orf107	-0.3565
FARS2	0.64825
CCDC28A	0.996
NPHP3	0.0295
OR13F1	0.22
TSEN54	-1.07225
DEFB106B	0.0348
OR8B4	0.0145
STH	1.406
ZC3H14	-1.041
CBX2	-0.6305
TMEM49	-1.16625
C6orf21	0.69
FLJ20920	1.503125
CRTAP	-0.00814285714285715
DDX50	0.2695
STYXL1	0.2885
BLVRB	-0.379333333333333
LOC147650	1.06516666666667
MMP24	0.0365
GRID1	1.856
BANF1	-0.0163333333333333
CTAGEP	0.3175
HMBS	-1.80025
SLC25A24	1.344
C14orf50	-0.0295
MRO	1.52066666666667
SLC25A15	-0.25225
FAM84B	1.7395
TDP1	-0.2655
C16orf78	-0.5638
C11orf57	0.737625
RFK	-1.05825
ZFYVE9	-1
STCH	-1.0987
WIBG	-0.07975
LOC283871	-0.876833333333333
GBA2	-0.9158
NDUFB3	-0.403
HSD17B13	-0.71075
GRIN3A	1.862
FMNL1	0.0286666666666667
SEPT7	0.0373
GNLY	4.6435
GRAMD1C	0.973
ZNF165	0.5265
USP38	1.44675
FAM83A	-3.9045
C14orf24	-0.127666666666667
ARMCX3	1.0705
ARHGDIB	0.9625
AK1	-0.260625
KIAA1045	0.411
DNAJB13	-0.229
NEU2	0.388
HIST1H4B	-0.294
FAM20B	-0.4367
HES2	0.0507142857142857
FAM73B	-1.0961
LOC388381	0.45275
INTS7	-0.119363636363636
AMPH	0.97375
ZNF775	-0.90125
UCKL1	-1.43616666666667
C10orf97	0.219
C1orf161	-0.33075
ALDH1L1	-1.199
FLJ39378	0.04875
SLC23A1	0.9955
RBM4B	0.2785
THAP4	-0.145666666666667
OGFRL1	0.12775
KIAA0831	-0.060125
PPP1R15A	-0.185
C1orf96	-0.187285714285714
C12orf11	-1.8795
BMF	1.02375
MAN1A1	-0.00762500000000001
KIAA1600	1.27833333333333
NLGN4X	-1.7615
ALOX12	-0.985
RB1CC1	1.2058
NEIL2	-0.2661
EIF4E	-0.209636363636364
ABHD5	0.3405
EXOC4	-0.0485
CIP29	-0.746
BATF2	2.2185
SLC29A4	-0.728625
HTR4	0.47375
EMB	-0.1005
TRAF6	0.74175
LMNB1	-1.90325
FAM19A5	-1.495625
SHE	2.08475
PIK3C2B	1.5985
C15orf15	-1.1128
USP15	-0.0501
TCEAL2	1.4885
C5orf39	-0.446666666666667
PTGER2	0.13075
SLC31A1	-0.6940625
IFT172	0.3945
ADAM29	0.09175
GFOD1	-0.76975
ST7L	0.271833333333333
C15orf26	-2.84575
PKN3	-1.53675
CNTD1	0.971166666666667
COMMD1	0.470625
NTRK2	2.96808333333333
FOXN3	0.32775
MFGE8	-0.171
PFKFB2	1.161
TAS2R4	-0.161
ENTHD1	2.03433333333333
PRMT5	-1.698375
MGC16384	-0.7005
LOC442229	-0.45925
TSKU	0.17025
KRTCAP3	1.480125
PDLIM1	-0.105
KCNS2	0.2735
RNF126	-0.843
CEP63	0.7755
CLIC4	0.089125
hCG_1990170	0.24075
ACR	0.6219
KLK7	2.10375
ALOX5AP	3.00625
RIPK3	3.618
TAS2R9	0.614
C19orf18	2.5135
BIRC6	0.259785714285714
ZNF16	1.3455
RFT1	0.1345
SLC8A2	-0.22925
TACC1	0.33025
ITGAD	1.56825
SAMHD1	2.275
SH3PXD2B	0.6566
EPC2	0.6585
C20orf85	1.207375
ATP13A2	0.343166666666667
KRT4	1.771875
CAPNS1	0.43975
MDM2	-0.524333333333333
PCDH20	1.509
KCNK9	0.436
OR2C1	0.0795
KLHDC3	-0.476833333333333
IPPK	0.2245
EFHD2	-0.128125
GALR3	-0.314
NBEA	-0.00783333333333334
ABCA6	3.4055
CLDN3	1.4745
AKT2	0.00521428571428571
EGFR	-1.61
RBM16	0.998375
ZDHHC3	0.274
SLC25A4	-0.175666666666667
CYB5B	-1.60383333333333
CPXM1	-0.65475
NDRG1	-1.74153846153846
FLJ43826	0.32325
OR5L2	0.489166666666667
FARP2	-0.4009
MRPL46	-0.98325
LDHAL6B	0.1154
MAPKAPK3	0.0218333333333333
NCAM2	-0.9525
PRKD2	0.207333333333333
ZFP36L1	1.588
CYSLTR1	0.7415
OR4C3	0.07625
HIST1H2AJ	0.8915
CCNB2	-1.83133333333333
ZNF10	-1.244375
TMEM175	-0.201
FAM134A	0.0231666666666667
TIGD4	-0.044
PCNP	-0.34925
MGC39715	1.169
LQK1	-2.7105
CREB1	0.4341
TMPRSS3	0.457
C4orf32	1.5155
LAT	-0.217833333333333
KCNA3	0.8775
SKIV2L2	-0.54975
ROPN1B	-1.279
tcag7.23	0.325
CDT1	-2.82875
ZHX2	0.907625
CD28	-1.6445
ZNF624	1.0185
SEPT2	0.0169166666666667
SOHLH2	-1.434375
MCOLN3	-0.09075
UNQ1945	0.0795
MASP2	-1.3005
ZNRF3	0.31
GPATCH3	-0.6715
AGL	0.495375
QRICH2	-0.0155
PSD4	0.665833333333333
CCNB1IP1	-1.64075
ENPP7	0.27375
OBFC1	0.1705
KCNG3	-4.09133333333333
C14orf79	-0.130666666666667
ENPEP	1.67783333333333
SCT	2.371
SKI	0.617625
SEC61G	-0.398
CAPN11	0.43225
ATXN7L3	-0.3985
DBNDD1	-0.378
FAIM	1.133
ANKRD36	-0.211
GABRP	3.0125
TACSTD2	0.942833333333333
EIF3J	-0.34125
PPP2R2A	-0.76975
TEKT4	0.599666666666667
PVALB	-3.71016666666667
F10	-2.54566666666667
FAM134C	0.3814
COMP	4.41075
EFCBP1	-2.7798125
SCLT1	1.537375
TAL1	-0.8577
ACSL1	1.0605
ABCC5	-1.146
ABL1	-0.850944444444445
RBBP7	0.441666666666667
PTPRG	-0.61375
NCOR1	-0.1707
SPINK4	-0.706166666666667
TXNRD1	-1.5946
TNRC15	0.687375
C9orf138	1.930625
UBE2H	0.779833333333333
BRDT	0.179
C8orf31	0.088
CCNE2	0.107727272727273
SLC6A8	-2.928
CALCR	-2.5235
PPP1CB	-0.184333333333333
ABHD8	-0.0945
ARF5	-0.157
SLC24A4	1.178
CCT3	0.054
ZNF121	1.035125
SLC3A2	-1.3918
OR13A1	0.136
SLC5A10	-0.34975
RAD50	0.09875
IER5	-0.5925
MTHFD1L	-2.150875
MBTPS2	0.64375
MVK	-0.938
NCL	-0.6431
PSMD10	0.20725
MOBP	0.030375
FLJ32894	0.4425
HRH1	-0.290166666666667
C5orf30	0.8015
NUDT16L1	0.1994
RASGRP3	4.1435
PRKRIP1	-0.7159
CCDC75	0.72075
LOC253970	0.31575
KIAA1239	0.22875
MED21	-0.9155
SYT11	0.767666666666667
NTSR2	-0.468
EGFL11	0.157
CXorf59	-0.4315
OR2A25	0.251
SPTBN2	-1.162
LRMP	-0.753666666666667
RNF111	0.25625
PTH	0.254
LOC619208	1.2255
KIAA0895	2.05975
RANBP5	-0.56
P2RY10	2.77616666666667
NME5	3.148
DDX21	-0.466
LRSAM1	-0.203
HDAC11	1.00583333333333
VMO1	1.1355
NOLA2	0.208
ADAR	0.440083333333333
MTO1	0.194833333333333
SF4	0.0366666666666667
P2RX1	0.374833333333333
HBM	0.73275
EN2	-0.4975
C14orf172	-0.68375
TM9SF2	0.2124
INHBE	-0.8775
TCTE3	-0.34675
TOX2	-2.03175
CTAGE3	0.33875
HBB	3.9937
MED15	-0.860833333333333
CASR	0.05575
C6orf66	-0.224666666666667
MTPN	-0.1605
UNC50	-0.59275
C21orf33	-0.06325
IRF2	1.002125
PGR	3.62883333333333
GPR84	2.938
CROCCL1	-2.17375
SRPX	-1.2145
BRE	0.803166666666667
FGF10	0.81425
SDC3	0.0326666666666667
ZRSR1	0.526166666666667
DKFZP434P211	-0.519875
SOX6	1.9435
RPUSD2	0.10875
C14orf173	-0.5695
MAPK11	-0.723666666666667
TBC1D22A	-0.2415
FAM123A	-0.7105
COL4A6	-2.23566666666667
TOMM70A	0.368
NAB1	-0.12375
MGC16385	-0.43425
TSPAN18	-0.208
MED31	-0.078
PLG	-0.5645
CAPSL	1.7585
ZNF532	0.665
ASB14	-0.02525
CA8	-0.8535
NUDT16P	1.50483333333333
SLFN11	0.005
LRRIQ2	0.787375
NOL7	-0.455
BRMS1L	-0.7005
JARID1A	0.0921666666666666
PANK2	0.38925
ICAM3	-0.65775
MDS1	-0.02975
TAF8	-0.0365
RNF139	2.14675
ZNF594	-0.0481666666666667
ADAM8	2.232875
SFTPC	-0.411375
MAN2B2	0.824125
RGS12	-0.038875
EIF1AY	-4.47483333333333
LRRIQ1	-1.0945
GPR150	-0.35025
CCDC21	-1.885
PRRG3	-0.013
SAA4	-3.4705
RAPGEF5	1.060625
ZCCHC2	-0.000749999999999997
MGC39372	0.549
PPP4R2	0.882833333333333
CDCA2	-1.87966666666667
OR4D5	-0.203166666666667
PTGFRN	1.4843
SIGLEC5	0.598166666666667
C19orf61	-0.901
NMUR2	0.206
KIAA1586	-1.25766666666667
DAGLA	0.177833333333333
CHCHD6	-0.667
GPR32	0.437
NEUROD6	0.164
SLC2A4RG	-0.151625
CA5B	1.0835
FBXL3	1.6915
MPHOSPH9	-1.221
HMG2L1	0.36075
HCN4	-0.546833333333333
CEACAM19	0.9575
SH2D4B	0.419833333333333
HFE2	-0.3265
TGM4	0.132
LYPD2	-0.121
TBC1D15	-0.30975
MRPS21	-0.00870000000000001
NONO	-0.6039
CLEC5A	1.928625
ITCH	-0.6988
MGAT3	-1.09683333333333
MBP	-0.431125
RPP25	-2.247
SOSTDC1	0.7435
HRC	0.41075
TRIM48	-0.062
TMEM133	-0.4835
ECEL1P2	-0.9185
HOXC11	0.345
DOK5	-0.62675
HELZ	0.195
LOC348180	-1.286
MGC33894	0.29925
ADRB3	-0.0745
DMD	-0.151833333333333
PTRH2	-0.8665
MPEG1	3.365
NDUFA12	0.203333333333333
KRTAP2-4	-0.0806666666666667
STAMBPL1	-1.09066666666667
ADCY2	-0.6028
UNQ6125	-0.1525
KLHL20	0.196833333333333
SRM	-0.65425
OTC	0.28925
TMIE	0.505833333333333
SNX8	-0.1625
LIPK	-0.763
CHURC1	-0.308583333333333
KLC2	0.0148333333333333
HDAC1	-0.875666666666667
FAM128A	-0.555666666666667
FNDC3B	-0.0277
MTCP1	0.232333333333333
WFDC10B	-0.1573
PCDHGB3	0.0155
ATRNL1	-1.351
CAV2	-0.299
MED26	0.1185
DUS1L	-0.8475
CHRM3	-1.4
NEK9	-0.0495
WARS2	0.9955
TBX22	0.5085
TOMM40	-0.578
RP6-213H19.1	-1.40733333333333
TUBGCP5	-0.24925
IGSF6	5.445
TPPP	0.0535
UNQ6190	0.401
GSTM5	2.092
BTD	0.594666666666667
PDCD1LG2	0.591333333333333
SNRPB2	0.690666666666667
ERICH1	-0.304625
APOA4	-1.528375
HOXA11	-1.40575
NARG1	-0.291375
MKX	3.17625
RAB28	-0.720214285714286
PKP3	0.56225
SH3GL2	-3.21775
CTSO	3.0045
RPN2	0.0674375
IL28RA	0.0298333333333333
SFMBT1	1.0905
WDR57	-1.760875
FER1L3	0.543583333333333
HSF5	0.6335
TTC9B	-0.281
C4BPA	-3.0745
ALB	-5.21369230769231
SORBS3	0.26775
UPF2	0.3195
JPH1	-0.6085
AGBL2	-0.841
DOPEY1	1.5735
TERF1	0.8475
KIF22	-0.3065
NINJ1	1.548
SEC61A2	-0.11125
HIST1H1D	0.788666666666667
SFXN4	0.089625
UCP3	0.1208
ZNF703	0.695833333333333
MYL6B	-0.58525
TREM1	2.39975
OR52E6	0.327
CKMT2	1.89175
HLA-C	2.61525
SLC13A3	-1.90716666666667
TIMP4	-1.8545
SLIT2	1.89625
RSF1	0.409111111111111
LONRF1	-0.927928571428572
MON1A	0.409
CACNG6	-2.2995
DPPA4	-5.93383333333333
ZSWIM3	0.31975
ZNF804A	0.564166666666667
CCIN	1.463
SLC25A31	0.74175
KCNMB4	-1.18675
RABL5	0.00887499999999999
GALNS	-0.8567
STX6	1.38
HIST1H1C	0.653833333333333
CIDEB	0.8385
CASP4	0.240833333333333
PDK3	1.0187
KCNJ11	0.3635
TPR	-0.236
ZSCAN20	-0.683
MTX2	0.26675
HIST1H2BH	0.586
LOC283767	1.1695
LYRM7	-1.04444444444444
BRD3	-0.415666666666667
HIST1H2BO	0.1595
MAGEB10	-0.114
SLC45A1	-0.07875
SERPINA3	-0.5315
KIAA0143	1.74575
KCNJ16	2.142
KRT79	-0.30775
FABP2	-0.662
NUT	-0.9325
ZNF57	0.76625
FBXL4	0.5395
CLEC9A	1.773
UGT8	-1.47533333333333
BMP2K	1.05175
MAPK4	-3.5465
SLC25A23	0.1402
HINT1	-0.5361
KRTAP13-1	0.2455
SFXN5	0.231
CHCHD2	-0.00625
FAM3D	1.8025
NDP	3.67025
RHOBTB1	0.764833333333333
SLC4A4	-1.14
RPL38	-0.22825
HTF9C	-0.802666666666667
AP2A2	0.223625
ZBTB46	-0.4845
MAP7D1	-0.004875
AOX1	-1.185
CYR61	0.954666666666667
DTNA	-1.53857142857143
JRKL	-0.7415
TMOD3	0.5365
EEA1	0.5596
ADCK5	0.25275
IL1R1	3.019
KLK3	0.0441428571428571
HRSP12	1.52725
KTN1	0.59225
LOH11CR2A	1.4664
RELL2	-1.16875
MAB21L1	1.51925
C20orf59	-0.724333333333333
PHKB	0.83675
ADAM2	-1.7798
TBC1D8B	1.38566666666667
FAM13A1	-0.4511875
LAPTM4B	-0.4625
LCN8	0.0635
TMEM147	0.9545
SYT4	-0.0543333333333333
XPO7	-0.585
C9orf62	-0.3725
GPR75	0.642
TRIM5	0.073
APOC1	0.757166666666667
RNASE4	-0.638666666666667
PARD6B	-1.860125
ARID1A	0.19125
TPD52L3	0.2264
RRAGB	1.8465
RCN2	-0.0478333333333333
HIST2H2BE	-0.524875
STARD7	-0.664
SHMT2	-1.49675
KIAA1751	0.348
MLYCD	-0.510625
LOC162632	-0.4605
UQCRH	-1.673
RP11-217H1.1	0.6739375
SDHA	-1.30683333333333
NCLN	-0.0647
ZNF17	0.945
RCBTB2	-1.27575
VEGFB	-0.5753
RP4-747L4.3	0.14625
COLQ	0.3129
MPN2	-0.716333333333333
DRG2	-0.5885
KLRB1	5.4205
ALPK2	-2.349
DNASE2B	1.29325
FLJ23834	-0.0211666666666666
AXUD1	0.625333333333333
SAFB	-0.2903
NSUN4	-0.71975
RFX2	0.618666666666667
MAPK8IP1	-0.5305
FANCD2	-0.208714285714286
ANKZF1	-2.023
C19orf50	-0.819875
DUSP8	-0.519
SENP5	0.487625
NFKBIL2	-0.4265
LBR	-1.907875
IGFL1	1.0505
LZTS2	0.713875
IL2RG	1.08925
CCDC51	0.18825
KLF3	0.8975
ANKRD37	-1.40775
KCTD14	-0.762833333333333
FZR1	0.09025
SLC44A4	0.1753
ESPL1	-0.84075
GMPR2	-0.418
TBC1D19	-0.826166666666667
ERGIC1	0.0521851851851852
ERBB4	1.5506
TSPAN32	0.38675
MAP4	-0.011125
GPHN	0.047
SLC6A2	0.268625
HIVEP1	1.594
DFFB	0.0703
EIF4EBP2	0.953125
DMRT1	-0.37475
HSPB6	-0.029
IER2	0.139333333333333
AIFM1	0.27125
WWC2	-0.260583333333333
MRPL4	-0.87225
FLJ21062	1.23233333333333
EPB41L4A	0.931666666666667
SH2D6	0.279
TAF4B	-0.8195
GAL3ST3	0.00199999999999999
MALT1	-0.6995
RTDR1	1.34775
ARVCF	-0.518125
MEX3B	-0.639
FBXO16	2.2635
KIF7	-1.95425
C1QC	4.21166666666667
ZNF783	-0.0465
ZNF85	0.5205
MMP13	4.0905
KIAA0329	-0.202625
RTP3	-0.305
ZBED3	2.12025
CLGN	-0.1195
SLC25A37	-1.69908333333333
hCG_18290	0.6245
OR5AS1	-0.1625
SMARCC2	-0.272166666666667
FAM109A	-0.171833333333333
CCDC12	0.11325
USF2	0.5555
DEPDC7	-1.56275
C20orf24	-0.944666666666667
JMJD3	0.6705
DSP	1.32585714285714
SLIC1	0.453125
FAM20A	1.342
IRF2BP2	1.142875
ZNF230	0.386
MSN	-0.631928571428571
SLC9A5	-0.883
EPDR1	-1.0915
MUSK	-0.183166666666667
ZNF434	0.232
