Hybridization REF	TCGA-AN-A0FL-01A-11R-A034-07
C20orf32	-1.7835
CCDC95	-0.5595
HIGD1B	4.52675
USP6NL	2.25025
ABCD4	-0.466833333333333
DIMT1L	-1.76325
TEK	0.325625
SLC25A46	-1.13725
LARP7	-0.9848
CD160	-0.442333333333333
MT1JP	-1.72766666666667
PHF20	-0.9418125
CPNE4	-1.164
GTPBP1	0.401857142857143
RAB33B	-0.0993333333333333
ALDOC	-1.58425
ZNF212	0.517
NUDT1	-0.885666666666667
RFPL2	-0.846
ZNF83	-0.476
GDPD5	2.23975
PDCD4	2.843
CEP350	0.116
OR10A2	0.69175
CST7	-1.48075
CIAO1	-0.12475
SELL	0.021
OR8J3	0.452
LTBP4	0.181666666666667
SIRT6	-0.31325
CCL19	2.66825
PPIL1	-0.528166666666667
GBP7	-0.167
STK17A	-1.0022
ABR	-1.08425
OR9G1	0.3935
FOXE1	-0.203
CNGA3	-0.111
GML	-0.091
CD38	-3.995
ZDHHC6	0.675166666666667
NEFH	1.30825
CTDSP2	0.402583333333333
PGBD5	-0.912666666666667
CCNY	1.58364285714286
RMND5B	-0.916666666666667
ZNF257	-1.46225
FLJ22167	-0.73275
EXOSC7	-1.33266666666667
ROR2	-1.06125
MAOA	2.2485
TNNT3	0.0726666666666666
GYPC	-1.682
C7orf33	0.861
PLIN	0.349333333333333
LOC90826	-0.4335
RNF4	-0.2944
F8A1	-1.09433333333333
PLEKHG4	-2.0455
GRB2	0.60385
HIST1H2AD	2.325
DUS3L	-1.36316666666667
EIF1	-1.36133333333333
RP5-1077B9.4	-0.715833333333333
FPGT	1.5
GDF10	-1.39966666666667
COQ9	0.68475
GCC2	-0.0457857142857143
RARRES3	2.669875
PLXNA1	-0.2466
KIAA0100	-0.642
PMF1	-0.1525
FNDC1	3.17775
HS2ST1	1.07716666666667
CRELD2	1.3135
C8G	-1.2195
CD82	2.50025
LIM2	-2.0835
UNQ6490	-0.5555
MMP16	0.89475
DRD3	0.04275
C5orf26	-2.10125
C11orf73	-0.3625
PTP4A2	-0.2785
OR4M2	0.6645
HPCA	-0.2445
SEC14L1	1.90783333333333
CHFR	-1.079375
EMILIN1	0.058
NDUFS4	-1.8915
COL18A1	-0.107875
PDZD3	-0.0922
C9orf16	0.226333333333333
ERBB2IP	-0.0608333333333333
EMX2	1.02225
FUS	-1.1605
TF	-3.4598
CLCN4	-0.573666666666667
CXorf56	0.17875
C11orf72	0.98225
ELAC2	-0.8525
NPR1	-1.22925
ASS1	-0.881166666666667
USP42	0.595875
POLR2J	-0.1745
SEC23IP	0.8735
UQCRC1	-0.46725
LOC729603	-0.0095
C1orf71	0.253625
POLG	-2.881
ADAM23	-3.81725
TFR2	-1.15325
RICTOR	-1.5627
MGC39606	2.5445
C19orf55	-0.3265
SNAPC1	0.0291666666666667
GNA11	0.776
CCDC52	-0.711
FSIP1	-1.684
UPF3A	-0.615125
IGSF11	0.854666666666667
LAGE3	0.24
CHST6	1.235
UNC13B	0.848625
TTLL4	-0.60675
ZNF687	0.70075
SDC2	0.182
COX7A2	-0.36225
LAMB4	-0.257
FAM24A	1.047
LRRTM3	-0.863666666666667
GPHB5	0.368
OR4C13	0.0745
EIF3EIP	0.929428571428572
HABP4	-2.675
TMEM125	4.92625
CNTN2	-0.236375
ASNSD1	0.06325
FUT4	0.052875
ACF	-2.68475
LOC158381	0.102
CDH8	0.53275
AGPS	-0.0266666666666667
C4orf18	-0.234875
PECI	0.626083333333333
UNG	-0.273125
GSTP1	-0.906375
DCUN1D5	-1.208
DKFZP564J0863	0.22
SLC9A3R1	0.59325
BCDO2	-1.271875
CHMP7	-0.466625
REM2	0.1865
DNHD1	-0.73
FKBP4	-1.08975
ZNF350	2.01475
MGC11102	0.82675
BST1	-0.93075
KISS1R	1.5835
NCR2	0.0955
DEFB125	0.0895
UBE2W	1.443625
KRT15	0.448375
C10orf99	0.8845
SCN11A	0.142
GFI1	-0.93225
RDHE2	-1.369
FHL1	-2.162
OSGEP	-0.520666666666667
GATA1	-2.73666666666667
SMC6	-2.10575
TTTY14	-1.03125
LPIN3	0.04725
RPL4	-1.5658
RBPMS	-1.3517
PRPF3	-0.411666666666667
EMR1	-2.4805
SPATA19	0.01275
XCR1	1.039
IRX3	2.0722
RBM6	-1.97925
KLF4	-1.8557
UNC5CL	-1.44675
SEBOX	-1.788
BTK	-1.947
KRCC1	0.46075
C6orf27	0.2375
SYTL5	-0.604
PRND	2.19175
LOC653319	-1.761
PIGL	-1.0185
HUS1	-0.998666666666667
SFRS6	1.96541666666667
C17orf77	0.913
UIMC1	-1.5145
FXYD2	-1.6424
LOC283152	0.1665
ZNF667	0.38525
ZCCHC12	-0.97125
TFEC	1.4411
ATP7B	-2.35416666666667
POLD2	-1.53516666666667
RG9MTD1	-0.3255
ACOT2	-0.337666666666667
HIST1H4I	0.175625
PPARGC1A	3.8943
ETFA	-2.3118
POLRMT	-0.948
ZNF146	0.503375
MIA2	-1.5645
KLHL6	-2.43466666666667
HOXB5	-1.081375
NENF	1.27866666666667
CUGBP1	1.53125
PRSS22	2.39783333333333
CASC4	1.6661
CUL4B	0.3339
CENPJ	-2.0902
PITX1	-1.61133333333333
FLJ31033	0.79
CELSR3	-2.71333333333333
ZNF568	1.089
ITSN1	-1.76083333333333
EHBP1L1	-0.591666666666667
C19orf2	0.35075
DCTN1	-0.3605
LIN28B	-3.19216666666667
TNKS2	-0.762
C1QBP	-1.010125
CADPS2	3.08225
SRMS	0.7165
GJA9	0.439166666666667
MGC24975	-1.22216666666667
TRIM45	-0.481833333333333
TSP50	-0.54925
TCP1	-1.2975
TMED7	0.3872
CMA1	-0.0565
CENPL	-0.574833333333333
PTCRA	0.061
FST	-4.69425
VWCE	-3.74175
PAWR	-0.399
ABCC12	9.25185853854297e-18
LDLR	-0.7734
ASTN2	0.275
LOC441212	-0.39475
GPATCH8	-0.48475
TANC2	-1.27975
KIF4A	-1.80025
C18orf18	-1.17375
PGM1	-0.993
KIAA0258	1.18525
CPD	0.763125
SNCAIP	-1.9035
DCT	-4.01433333333333
HLA-DOA	1.22863636363636
OR11L1	0.865
UPK1B	-0.173
DNAJB4	-0.508375
UGT1A8	-0.23875
HIST1H4L	-0.559
PECR	-1.38516666666667
HSPA2	1.686
WFIKKN1	-2.502
SERP1	1.3665
SYDE2	2.16875
TACR2	0.543
NUP85	-0.93
CD177	-0.562166666666667
LGR5	-2.06616666666667
PIGG	-0.449
PTHR1	-2.54533333333333
RAB5A	0.9738
FLJ13224	0.121
USP9Y	-1.0995
C7orf53	-0.229
LRP1B	3.13125
XAF1	1.7813
ABCG8	-0.971
ANKDD1A	-0.451
DAND5	-1.5975
SPAG6	0.00399999999999999
LINCR	3.35075
ZDHHC22	-1.36075
CCDC60	0.722
THOC7	-2.70033333333333
TCTA	0.9838
OR8K3	0.577
NY-REN-7	-0.06375
B2M	1.10083333333333
C6orf141	-0.10925
LPPR4	2.388
SQLE	0.320375
SEPHS1	1.24825
BTBD14B	1.16442857142857
PLRG1	-1.2965
SPG7	-1.174375
ZNF614	0.613666666666667
PARD6G	0.674833333333333
INPP5B	-1.1567
GRPEL2	-0.610625
PPID	-1.1203
TRIM56	-0.45
UBE2J1	0.51925
IL20RA	-0.55025
LOC387856	-0.0455
C1orf107	0.242916666666667
UTS2R	1.192
C19orf22	-0.12475
SAFB2	0.272375
KIAA0652	0.035875
KLRG1	0.2905
MS4A8B	0.7215
FRAG1	0.645
KIAA1546	1.36475
E2F4	-1.022
CLEC4M	0.746833333333333
BTBD14A	-0.16825
KIAA0999	0.961
GYPA	-3.33233333333333
TAC1	-0.1743
TRAIP	-2.05183333333333
KIAA0232	0.3633
ERCC8	-2.348875
GPX4	-0.02475
KIAA0368	-1.152375
GPR157	0.845666666666667
CTAGE4	-0.1085
C9orf30	-1.19133333333333
OR52A1	0.586
HSP90B3P	-0.5585
ALG9	-0.1324
BTBD10	-0.19275
SDK2	0.0745
BAIAP3	-0.2915
RABGGTB	-1.728875
ANKRD40	-1.0375
KRT74	0.7135
CALCOCO2	-0.481
SNCA	-2.7245
TMSL8	-1.747
C2orf53	0.306
ESRRB	-0.186
ARHGAP26	-0.44125
TDRD9	-2.6475
HRAS	0.145166666666667
KLRC4	-2.682
JAGN1	-0.00266666666666667
BSDC1	1.61275
RNF43	-0.4368
NDUFAF1	-0.73
PHF12	0.428
OR1L3	0.184
FOLR2	1.35333333333333
LYZL6	0.57
tcag7.1260	-2.48
WSB1	-2.56066666666667
PROS1	-1.785
OSTN	0.755
PSMB8	0.81925
SOCS4	-0.191625
DDIT4L	5.5405
MAS1	-0.0935
MGC34796	0.9575
CSHL1	0.201333333333333
TBCCD1	0.816833333333333
ZBTB7C	-0.182
AP2S1	0.556875
P15RS	-0.8385
VAT1	-0.3326
SHANK3	1.73366666666667
TUFM	0.609833333333333
THEG	-0.47325
KRT34	-1.92425
SGSM3	1.345625
TOMM22	0.45175
SOCS3	-0.496166666666667
CPO	0.1935
POP4	0.08375
BHLHB3	-2.077
MALL	1.70675
OR1B1	0.628
PARK2	0.259666666666667
GPR124	-0.2385
LCE1E	0.55
RUVBL2	-0.26225
CGRRF1	-0.5755
ACPL2	0.30275
WNT10B	-2.352375
BAIAP2L2	-0.296875
ISCA1	0.486
C1orf125	-0.148625
RPAP1	-1.63775
RAI16	-0.344333333333333
RPL27	-1.119125
NLRP9	0.089
EPN1	0.1745
LOC388610	-1.01975
SLC35A1	1.0569
GAL	-3.80225
SLC14A2	0.398
RDH11	0.818833333333333
FAM138F	-0.5095
AUH	0.91325
FLJ40243	-0.4445
C14orf129	0.206166666666667
MBD2	-1.14183333333333
ABHD14B	-0.5195
PIGT	0.945375
ALS2CR4	-0.621375
ALAS1	-0.231
FOXO1	-0.3535
CRLF3	-1.737875
C20orf107	-0.195
FARS2	0.125
CCDC28A	1.444
NPHP3	-0.15475
OR13F1	0.781
TSEN54	-0.1965
DEFB106B	0.3867
OR8B4	0.7105
STH	-1.50275
ZC3H14	0.156125
CBX2	-0.175
TMEM49	-3.1985
C6orf21	0.903
FLJ20920	0.093625
CRTAP	-0.838642857142857
DDX50	-0.608
STYXL1	-0.04525
BLVRB	-0.134666666666667
LOC147650	0.177666666666667
MMP24	0.883
GRID1	0.756666666666667
BANF1	-0.3675
CTAGEP	-0.0445
HMBS	-1.48675
SLC25A24	-3.24516666666667
C14orf50	0.48175
MRO	0.572833333333333
SLC25A15	-0.31025
FAM84B	3.9048
TDP1	-0.361
C16orf78	0.362166666666667
C11orf57	2.25625
RFK	-0.3945
ZFYVE9	-0.045125
STCH	-0.943
WIBG	-0.303
LOC283871	-0.963166666666667
GBA2	-0.1584
NDUFB3	0.72775
HSD17B13	-0.86225
GRIN3A	0.432833333333333
FMNL1	-2.26583333333333
SEPT7	-0.4855
GNLY	1.7145
GRAMD1C	0.343833333333333
ZNF165	0.92125
USP38	0.66475
FAM83A	-2.8955
C14orf24	0.717
ARMCX3	1.44525
ARHGDIB	-1.2115
AK1	0.31275
KIAA1045	-0.35125
DNAJB13	-0.262
NEU2	-0.3005
HIST1H4B	-0.1355
FAM20B	0.5233
HES2	-0.312571428571429
FAM73B	-0.346
LOC388381	-0.91175
INTS7	-0.869363636363636
AMPH	-0.7985
ZNF775	-0.17825
UCKL1	-0.876
C10orf97	-1.249
C1orf161	0.6675
ALDH1L1	4.24725
FLJ39378	-0.637875
SLC23A1	-2.165
RBM4B	-0.243
THAP4	0.235833333333333
OGFRL1	2.81575
KIAA0831	-0.11725
PPP1R15A	-0.518166666666667
C1orf96	2.14035714285714
C12orf11	-2.8745
BMF	-0.57475
MAN1A1	0.030625
KIAA1600	0.7485
NLGN4X	-2.06175
ALOX12	-1.58216666666667
RB1CC1	0.7704
NEIL2	0.1156
EIF4E	0.823090909090909
ABHD5	-0.74925
EXOC4	-0.3835
CIP29	-0.435166666666667
BATF2	3.167
SLC29A4	0.734875
HTR4	0.35975
EMB	-3.4055
TRAF6	0.691
LMNB1	-1.49975
FAM19A5	2.789625
SHE	0.761
PIK3C2B	0.548
C15orf15	-1.2444
USP15	0.2869
TCEAL2	1.64225
C5orf39	-0.830833333333333
PTGER2	-1.82325
SLC31A1	1.486
IFT172	-0.537
ADAM29	0.4925
GFOD1	1.763
ST7L	0.257666666666667
C15orf26	-2.64875
PKN3	-1.07575
CNTD1	-0.0341666666666667
COMMD1	0.379125
NTRK2	1.33341666666667
FOXN3	0.708875
MFGE8	-0.8543
PFKFB2	2.19266666666667
TAS2R4	-0.3915
ENTHD1	-0.1895
PRMT5	-1.64425
MGC16384	-1.678875
LOC442229	-0.26525
TSKU	-0.04475
KRTCAP3	3.34425
PDLIM1	0.0317
KCNS2	0.3855
RNF126	-0.650833333333333
CEP63	0.491625
CLIC4	-1.359375
hCG_1990170	1.042
ACR	0.8725
KLK7	3.71575
ALOX5AP	0.50525
RIPK3	3.01225
TAS2R9	0.5095
C19orf18	0.981
BIRC6	-0.338642857142857
ZNF16	1.984
RFT1	-0.54175
SLC8A2	-0.63
TACC1	-1.30325
ITGAD	0.427
SAMHD1	0.96975
SH3PXD2B	0.3818
EPC2	0.98475
C20orf85	0.255375
ATP13A2	-0.112833333333333
KRT4	0.647125
CAPNS1	-0.29775
MDM2	-0.196333333333333
PCDH20	0.22625
KCNK9	0.284
OR2C1	-0.387
KLHDC3	-0.192833333333333
IPPK	0.9255
EFHD2	-0.422125
GALR3	1.306
NBEA	3.83483333333333
ABCA6	-0.1936
CLDN3	2.87016666666667
AKT2	-0.133571428571429
EGFR	1.0373
RBM16	0.617125
ZDHHC3	0.1012
SLC25A4	-0.117
CYB5B	-0.96
CPXM1	-1.283
NDRG1	0.900153846153846
FLJ43826	-0.07225
OR5L2	1.00433333333333
FARP2	-0.7036
MRPL46	-1.67425
LDHAL6B	0.225833333333333
MAPKAPK3	-0.891166666666667
NCAM2	-3.5045
PRKD2	0.829
ZFP36L1	1.1123
CYSLTR1	-1.3545
OR4C3	-0.19125
HIST1H2AJ	1.201
CCNB2	-2.662
ZNF10	-0.53875
TMEM175	0.583
FAM134A	1.73583333333333
TIGD4	-0.2225
PCNP	-1.19725
MGC39715	0.51475
LQK1	-1.4305
CREB1	0.7844
TMPRSS3	0.3825
C4orf32	2.1615
LAT	-2.7645
KCNA3	0.537
SKIV2L2	-1.97975
ROPN1B	4.86275
tcag7.23	-0.3065
CDT1	-2.599
ZHX2	1.443625
CD28	-3.33125
ZNF624	-0.53425
SEPT2	-0.49925
SOHLH2	-2.57375
MCOLN3	-0.58925
UNQ1945	1.3155
MASP2	-0.3905
ZNRF3	1.7186
GPATCH3	-0.59225
AGL	0.79075
QRICH2	-0.0195
PSD4	0.881833333333333
CCNB1IP1	-1.042
ENPP7	0.0475
OBFC1	-1.26425
KCNG3	-2.46175
C14orf79	0.275583333333333
ENPEP	2.11183333333333
SCT	0.1215
SKI	1.625375
SEC61G	-0.84325
CAPN11	-0.10275
ATXN7L3	-0.4385
DBNDD1	0.863
FAIM	0.33375
ANKRD36	-0.2375
GABRP	1.12633333333333
TACSTD2	3.09166666666667
EIF3J	-1.35375
PPP2R2A	-1.65575
TEKT4	-1.04583333333333
PVALB	-3.00716666666667
F10	-3.1545
FAM134C	0.4741
COMP	3.990375
EFCBP1	-3.587625
SCLT1	1.206375
TAL1	-0.3304
ACSL1	2.097
ABCC5	-0.81725
ABL1	-0.565944444444444
RBBP7	-0.00174999999999999
PTPRG	-1.887125
NCOR1	-0.7669
SPINK4	-2.33366666666667
TXNRD1	-1.2544
TNRC15	1.401
C9orf138	0.127
UBE2H	1.9195
BRDT	0.156166666666667
C8orf31	-0.2575
CCNE2	-1.43790909090909
SLC6A8	-0.15375
CALCR	-3.99725
PPP1CB	0.156166666666667
ABHD8	0.77125
ARF5	0.7686
SLC24A4	-0.0705
CCT3	0.19175
ZNF121	1.087
SLC3A2	-0.7496
OR13A1	0.6335
SLC5A10	-0.28375
RAD50	-1.41925
IER5	-0.030125
MTHFD1L	-2.304
MBTPS2	0.50175
MVK	-0.497375
NCL	0.4022
PSMD10	-0.64075
MOBP	0.62475
FLJ32894	-0.841
HRH1	-1.13216666666667
C5orf30	-0.215
NUDT16L1	0.3509
RASGRP3	2.797
PRKRIP1	0.0463
CCDC75	0.20675
LOC253970	-0.20025
KIAA1239	0.161
MED21	-0.67125
SYT11	-0.599666666666667
NTSR2	0.4825
EGFL11	0.405
CXorf59	0.9225
OR2A25	0.349
SPTBN2	0.27475
LRMP	-1.9325
RNF111	-2.608
PTH	0.3385
LOC619208	-0.585333333333333
KIAA0895	0.73525
RANBP5	-1.136375
P2RY10	-0.5335
NME5	-1.62666666666667
DDX21	-0.634
LRSAM1	-0.598
HDAC11	1.50583333333333
VMO1	0.62175
NOLA2	-1.08416666666667
ADAR	0.89725
MTO1	-1.75666666666667
SF4	0.486333333333333
P2RX1	-0.345666666666667
HBM	0.7155
EN2	1.809
C14orf172	1.15325
TM9SF2	0.6343
INHBE	-1.29883333333333
TCTE3	-0.0246666666666666
TOX2	-3.433
CTAGE3	0.68875
HBB	4.6222
MED15	-1.04316666666667
CASR	1.019
C6orf66	0.181333333333333
MTPN	-0.12
UNC50	-0.3685
C21orf33	0.781125
IRF2	0.843625
PGR	0.903333333333333
GPR84	0.887
CROCCL1	-4.31475
SRPX	-3.59825
BRE	-1.26016666666667
FGF10	0.7555
SDC3	-1.02883333333333
ZRSR1	-0.214666666666667
DKFZP434P211	-1.202625
SOX6	0.6285
RPUSD2	-0.3035
C14orf173	0.3965
MAPK11	0.153833333333333
TBC1D22A	0.9785
FAM123A	-0.703
COL4A6	-3.85866666666667
TOMM70A	0.01375
NAB1	1.5535
MGC16385	0.21375
TSPAN18	-0.513166666666667
MED31	-1.039
PLG	0.017
CAPSL	0.172
ZNF532	-0.3132
ASB14	0.36025
CA8	-4.26225
NUDT16P	0.931833333333333
SLFN11	-1.9335
LRRIQ2	0.959625
NOL7	0.0535
BRMS1L	-0.523625
JARID1A	-0.126833333333333
PANK2	-0.524
ICAM3	0.301
MDS1	1.74075
TAF8	0.104
RNF139	1.46725
ZNF594	-0.3735
ADAM8	2.329375
SFTPC	-0.25825
MAN2B2	0.719
RGS12	0.4350625
EIF1AY	-3.7995
LRRIQ1	-1.90916666666667
GPR150	1.55825
CCDC21	-2.13
PRRG3	0.284
SAA4	-3.616
RAPGEF5	2.35575
ZCCHC2	0.681916666666667
MGC39372	0.0425
PPP4R2	0.447666666666667
CDCA2	-1.819
OR4D5	0.9785
PTGFRN	1.1293
SIGLEC5	0.922666666666667
C19orf61	-0.247833333333333
NMUR2	-0.1885
KIAA1586	-0.8355
DAGLA	-0.656833333333333
CHCHD6	-0.8555
GPR32	0.3135
NEUROD6	0.6605
SLC2A4RG	0.3076875
CA5B	1.99075
FBXL3	0.52425
MPHOSPH9	-2.5005
HMG2L1	0.791
HCN4	0.809666666666667
CEACAM19	-0.4455
SH2D4B	0.0131666666666667
HFE2	-0.2515
TGM4	0.296666666666667
LYPD2	-0.06425
TBC1D15	-0.5395
MRPS21	0.9176
NONO	-1.1196
CLEC5A	0.98625
ITCH	0.6171
MGAT3	-1.5845
MBP	-0.299625
RPP25	-1.54725
SOSTDC1	5.76225
HRC	-1.13625
TRIM48	0.0925
TMEM133	-1.0705
ECEL1P2	-1.782
HOXC11	0.57
DOK5	-1.59175
HELZ	1.4755
LOC348180	-0.5505
MGC33894	0.456
ADRB3	0.131
DMD	1.35733333333333
PTRH2	-0.84375
MPEG1	2.25566666666667
NDUFA12	-0.4815
KRTAP2-4	0.0734166666666667
STAMBPL1	-1.56083333333333
ADCY2	2.17616666666667
UNQ6125	-0.0315
KLHL20	1.2
SRM	-0.319
OTC	-0.678
TMIE	0.873333333333333
SNX8	0.922
LIPK	0.0745
CHURC1	-0.588416666666667
KLC2	0.4575
HDAC1	-1.18433333333333
FAM128A	-0.174166666666667
FNDC3B	1.2561
MTCP1	-0.240833333333333
WFDC10B	-0.1323
PCDHGB3	0.623
ATRNL1	-3.1416
CAV2	0.07475
MED26	0.653
DUS1L	0.80275
CHRM3	0.933625
NEK9	-0.456
WARS2	-0.4665
TBX22	0.48
TOMM40	-0.2005
RP6-213H19.1	-2.292
TUBGCP5	-1.16275
IGSF6	4.14425
TPPP	0.275333333333333
UNQ6190	0.385
GSTM5	-0.087875
BTD	0.0746666666666667
PDCD1LG2	-0.1315
SNRPB2	-0.351833333333333
ERICH1	0.5135
APOA4	-1.43425
HOXA11	0.34525
NARG1	-0.441125
MKX	-0.6665
RAB28	-0.599357142857143
PKP3	1.061
SH3GL2	-2.43075
CTSO	1.764
RPN2	1.5749375
IL28RA	0.315
SFMBT1	0.37275
WDR57	-1.7315
FER1L3	-0.376916666666667
HSF5	0.515
TTC9B	0.80825
C4BPA	-3.80233333333333
ALB	-4.24785714285714
SORBS3	-0.08975
UPF2	0.91
JPH1	0.3305
AGBL2	-2.6815
DOPEY1	0.932
TERF1	0.577666666666667
KIF22	-1.1915
NINJ1	1.7905
SEC61A2	-0.242
HIST1H1D	1.17966666666667
SFXN4	0.967875
UCP3	0.675
ZNF703	1.21766666666667
MYL6B	-0.12375
TREM1	0.592
OR52E6	0.2025
CKMT2	4.74025
HLA-C	2.407625
SLC13A3	2.0865
TIMP4	-2.86325
SLIT2	1.96825
RSF1	0.587111111111111
LONRF1	-0.562785714285714
MON1A	-0.151
CACNG6	-1.543
DPPA4	-4.67766666666667
ZSWIM3	0.92975
ZNF804A	-0.320333333333333
CCIN	0.818
SLC25A31	0.337
KCNMB4	-2.7005
RABL5	0.041125
GALNS	-0.2932
STX6	2.424625
HIST1H1C	1.35333333333333
CIDEB	-0.333625
CASP4	0.1525
PDK3	1.2881
KCNJ11	0.3985
TPR	0.365375
ZSCAN20	-2.176
MTX2	0.448
HIST1H2BH	1.403
LOC283767	-0.77375
LYRM7	-1.61111111111111
BRD3	0.798333333333333
HIST1H2BO	0.89225
MAGEB10	0.7975
SLC45A1	0.062
SERPINA3	0.12065
KIAA0143	0.08825
KCNJ16	0.711833333333333
KRT79	-0.10675
FABP2	-0.65475
NUT	-0.16825
ZNF57	-0.20525
FBXL4	0.13975
CLEC9A	0.0075
UGT8	-0.1235
BMP2K	-0.914
MAPK4	1.00875
SLC25A23	0.3233
HINT1	-1.5903
KRTAP13-1	-0.511
SFXN5	-1.271
CHCHD2	-0.303833333333333
FAM3D	4.4115
NDP	-1.42075
RHOBTB1	0.00299999999999998
SLC4A4	0.28725
RPL38	0.13
HTF9C	0.414833333333333
AP2A2	0.03125
ZBTB46	-0.4725
MAP7D1	-0.26425
AOX1	-2.758
CYR61	-0.051
DTNA	-1.43007142857143
JRKL	2.56775
TMOD3	-0.52625
EEA1	-0.2748
ADCK5	1.2225
IL1R1	1.6175
KLK3	0.692142857142857
HRSP12	0.705
KTN1	-0.723
LOH11CR2A	0.6134
RELL2	-1.70125
MAB21L1	0.16725
C20orf59	-0.771666666666667
PHKB	0.8175
ADAM2	-1.25616666666667
TBC1D8B	-0.127833333333333
FAM13A1	0.2056875
LAPTM4B	0.099
LCN8	0.2325
TMEM147	0.759
SYT4	0.1732
XPO7	-0.6405
C9orf62	1.883
GPR75	0.328
TRIM5	1.788375
APOC1	-1.04416666666667
RNASE4	-1.62083333333333
PARD6B	-2.124375
ARID1A	-0.5045
TPD52L3	0.2201
RRAGB	0.4155
RCN2	0.815166666666667
HIST2H2BE	2.09075
STARD7	0.7285
SHMT2	-0.08175
KIAA1751	0.0236666666666667
MLYCD	0.537375
LOC162632	-1.3004
UQCRH	-0.82625
RP11-217H1.1	1.395125
SDHA	-1.79016666666667
NCLN	-0.3724
ZNF17	0.552666666666667
RCBTB2	-2.18675
VEGFB	0.4044
RP4-747L4.3	2.73325
COLQ	-0.5005
MPN2	-0.785
DRG2	-1.25325
KLRB1	2.6905
ALPK2	-3.134
DNASE2B	4.273
FLJ23834	-0.6082
AXUD1	0.197166666666667
SAFB	0.4323
NSUN4	-0.25925
RFX2	-1.10383333333333
MAPK8IP1	0.3815
FANCD2	-0.480428571428571
ANKZF1	-0.955333333333333
C19orf50	-0.828625
DUSP8	2.098125
SENP5	0.984375
NFKBIL2	-0.2415
LBR	-1.4975
IGFL1	0.2035
LZTS2	0.3865
IL2RG	-1.318
CCDC51	-1.22275
KLF3	0.758875
ANKRD37	-0.719
KCTD14	2.27716666666667
FZR1	0.301583333333333
SLC44A4	-0.1472
ESPL1	-0.849625
GMPR2	-1.1339
TBC1D19	-1.24266666666667
ERGIC1	0.600444444444445
ERBB4	2.5552
TSPAN32	0.0853333333333333
MAP4	-1.37425
GPHN	-0.983
SLC6A2	2.406
HIVEP1	0.59425
DFFB	0.1477
EIF4EBP2	1.032125
DMRT1	-0.22325
HSPB6	-0.19225
IER2	0.974166666666667
AIFM1	0.5145
WWC2	-1.528
MRPL4	-0.0395
FLJ21062	-0.0883333333333333
EPB41L4A	-0.0764166666666666
SH2D6	0.04725
TAF4B	-0.377
GAL3ST3	-0.0425
MALT1	-1.51516666666667
RTDR1	-0.55975
ARVCF	0.295
MEX3B	-1.79883333333333
FBXO16	-3.4575
KIF7	-1.236
C1QC	3.86883333333333
ZNF783	-0.936
ZNF85	-0.9125
MMP13	2.0335
KIAA0329	1.137
RTP3	-0.7655
ZBED3	0.46425
CLGN	-4.35775
SLC25A37	-1.086
hCG_18290	-0.3
OR5AS1	1.9445
SMARCC2	0.79525
FAM109A	0.000333333333333336
CCDC12	-0.66
USF2	0.7603
DEPDC7	-2.30625
C20orf24	0.037
JMJD3	0.3715
DSP	0.139071428571429
SLIC1	0.334
FAM20A	3.28925
IRF2BP2	1.65475
ZNF230	0.128
MSN	-1.59085714285714
SLC9A5	-1.284
EPDR1	-3.5651
