Hybridization REF	TCGA-B6-A0IJ-01A-11R-A034-07
SCN11A	-0.32425
GFI1	-0.522
RDHE2	0.147
FHL1	-1.60666666666667
OSGEP	-0.354333333333333
GATA1	-3.54733333333333
SMC6	-0.841
TTTY14	-0.90075
LPIN3	0.35925
RPL4	-0.7663
RBPMS	-2.0313
PRPF3	0.468333333333333
EMR1	-0.8315
SPATA19	0.19675
XCR1	1.0725
IRX3	2.2942
RBM6	-1.23775
KLF4	-1.5544
UNC5CL	-2.0395
SEBOX	-0.091
BTK	0.60825
KRCC1	0.76925
C6orf27	0.4645
SYTL5	-0.6555
PRND	1.182
LOC653319	-1.3315
PIGL	-1.053
HUS1	-0.273166666666667
SFRS6	-1.20858333333333
C17orf77	0.573
UIMC1	-1.55216666666667
FXYD2	-1.1212
LOC283152	-0.70275
ZNF667	-1.57425
ZCCHC12	-0.46625
TFEC	4.5697
ATP7B	-1.07333333333333
POLD2	-0.893666666666666
RG9MTD1	0.72125
ACOT2	-0.752166666666667
HIST1H4I	-0.61725
PPARGC1A	-1.83444444444444
ETFA	-1.6798
POLRMT	-0.19675
ZNF146	0.74925
MIA2	-1.7425
KLHL6	1.0945
HOXB5	-1.686
NENF	1.66816666666667
CUGBP1	0.33075
PRSS22	2.28633333333333
CASC4	0.5318
CUL4B	0.024
CENPJ	0.0985
PITX1	0.00383333333333335
FLJ31033	0.188333333333333
CELSR3	-1.95116666666667
ZNF568	-0.01075
ITSN1	-1.11658333333333
EHBP1L1	0.0273333333333333
C19orf2	0.5075
DCTN1	-0.337
LIN28B	-2.375
TNKS2	0.179
C1QBP	0.120875
CADPS2	0.67325
SRMS	0.15325
GJA9	-0.3705
MGC24975	-0.422333333333333
TRIM45	-0.889166666666667
TSP50	0.169
TCP1	-0.88725
TMED7	-0.1374
CMA1	null
CENPL	0.936833333333333
PTCRA	0.33
FST	-4.4295
VWCE	-4.08625
PAWR	-0.4
ABCC12	0.294
LDLR	-1.2371
ASTN2	-0.2724
LOC441212	-0.485
GPATCH8	-0.00025
TANC2	-1.79558333333333
KIF4A	-0.48875
C18orf18	-0.4165
PGM1	-0.37575
KIAA0258	1.4795
CPD	0.147
SNCAIP	0.47275
DCT	-3.93983333333333
HLA-DOA	3.69272727272727
OR11L1	1.1055
UPK1B	-0.338
DNAJB4	-0.037375
UGT1A8	-0.52175
HIST1H4L	-0.0575
PECR	-0.912166666666667
HSPA2	1.053
WFIKKN1	-2.2365
SERP1	0.722
SYDE2	0.39625
TACR2	0.822
NUP85	-0.21
CD177	-0.525166666666667
LGR5	-1.487
PIGG	-0.793666666666667
PTHR1	-2.68566666666667
RAB5A	-0.3235
FLJ13224	-0.2395
USP9Y	-1.61916666666667
C7orf53	-0.789
LRP1B	-1.20275
XAF1	2.2917
ABCG8	0.1585
ANKDD1A	0.272833333333333
DAND5	-1.2735
SPAG6	0.843666666666667
LINCR	2.30475
ZDHHC22	-1.426
CCDC60	-0.44
THOC7	-1.25016666666667
TCTA	0.6163
OR8K3	0.5725
NY-REN-7	-0.7305
B2M	2.53116666666667
C6orf141	-2.549
LPPR4	0.4485
SQLE	0.342375
SEPHS1	1.062
BTBD14B	0.938357142857143
PLRG1	-0.528
SPG7	-0.357625
ZNF614	-0.161
PARD6G	1.232
INPP5B	0.3312
GRPEL2	0.3735
PPID	-0.532
TRIM56	0.00575
UBE2J1	0.63275
IL20RA	1.524
LOC387856	-0.0425
C1orf107	1.64166666666667
UTS2R	1.505
C19orf22	-0.124
SAFB2	-0.81275
KIAA0652	-0.1675
KLRG1	-0.596
MS4A8B	0.421833333333333
FRAG1	-1.0645
KIAA1546	0.193
E2F4	-0.5239
CLEC4M	1.34983333333333
BTBD14A	1.6825
KIAA0999	0.8039
GYPA	-4.22116666666667
TAC1	-1.28922222222222
TRAIP	-0.438666666666667
KIAA0232	-0.0337
ERCC8	-1.422125
GPX4	0.36475
KIAA0368	-0.06425
GPR157	-0.4725
CTAGE4	-1.195
C9orf30	0.0461666666666667
OR52A1	0.809
HSP90B3P	-0.782
ALG9	-0.853
BTBD10	0.38425
SDK2	0.48775
BAIAP3	-1.34225
RABGGTB	0.518625
ANKRD40	-0.505
KRT74	0.945
CALCOCO2	0.301428571428571
SNCA	-2.7205
TMSL8	-0.665875
C2orf53	1.3315
ESRRB	-0.36875
ARHGAP26	-0.1515
TDRD9	-2.698
HRAS	-0.187666666666667
KLRC4	-2.3945
JAGN1	0.282666666666667
BSDC1	0.52825
RNF43	-0.9404
NDUFAF1	-0.59525
PHF12	0.688
OR1L3	-0.0425
FOLR2	1.05108333333333
LYZL6	0.5615
tcag7.1260	-1.327
WSB1	-1.503
PROS1	-1.4538
OSTN	0.9725
PSMB8	1.2945
SOCS4	-0.301875
DDIT4L	2.8895
MAS1	-0.114
MGC34796	1.051
CSHL1	0.134666666666667
TBCCD1	0.305833333333333
ZBTB7C	-0.47
AP2S1	-1.01475
P15RS	0.1467
VAT1	-1.4414
SHANK3	0.677833333333333
TUFM	-0.635666666666667
THEG	0.3125
KRT34	-2.134
SGSM3	-0.26875
TOMM22	1.029875
SOCS3	2.14316666666667
CPO	-0.815
POP4	0.44725
BHLHB3	1.305
MALL	1.93775
OR1B1	0.34
PARK2	0.0458333333333333
GPR124	0.15275
LCE1E	0.9555
RUVBL2	-0.898
CGRRF1	-0.3801
ACPL2	0.4405
WNT10B	-0.8495
BAIAP2L2	-0.74
ISCA1	0.5495
C1orf125	-0.464625
RPAP1	-0.3995
RAI16	-1.332
RPL27	-0.328375
NLRP9	-0.4535
EPN1	0.1605
LOC388610	-0.418625
SLC35A1	-0.7804
GAL	-0.35
SLC14A2	0.70075
RDH11	-1.2975
FAM138F	-0.3215
AUH	-0.99125
FLJ40243	-0.05725
C14orf129	-0.617833333333333
MBD2	-0.2315
ABHD14B	-0.735875
PIGT	-0.01275
ALS2CR4	0.132625
ALAS1	0.2381
FOXO1	0.670666666666667
CRLF3	-0.0505
C20orf107	0.503
FARS2	0.1315
CCDC28A	0.34675
NPHP3	-0.3905
OR13F1	0.44
TSEN54	-0.17875
DEFB106B	0.4798
OR8B4	-0.0345
STH	-1.5435
ZC3H14	-0.714375
CBX2	1.105
TMEM49	-1.919
C6orf21	0.083
FLJ20920	-0.94875
CRTAP	-0.716142857142857
DDX50	0.875
STYXL1	-0.8515
BLVRB	-1.11683333333333
LOC147650	-0.138666666666667
MMP24	0.29975
GRID1	1.20083333333333
BANF1	-1.05966666666667
CTAGEP	-0.31825
HMBS	-1.5685
SLC25A24	0.440833333333333
C14orf50	-0.05925
MRO	0.327666666666667
SLC25A15	0.2005
FAM84B	0.7952
TDP1	-0.2545
C16orf78	0.114333333333333
C11orf57	0.235375
RFK	0.19575
ZFYVE9	0.3875
STCH	-0.8867
WIBG	-0.5745
LOC283871	-0.982833333333334
GBA2	-0.6147
NDUFB3	0.683
HSD17B13	-0.34575
GRIN3A	2.9105
FMNL1	0.036
SEPT7	-1.1716
GNLY	4.0155
GRAMD1C	0.6395
ZNF165	1.04575
USP38	0.08775
FAM83A	-3.46016666666667
C14orf24	0.169583333333333
ARMCX3	0.537
ARHGDIB	0.0905
AK1	0.669875
KIAA1045	1.301
DNAJB13	-0.421666666666667
NEU2	0.212
HIST1H4B	0.265833333333333
FAM20B	0.2262
HES2	1.21230769230769
FAM73B	-0.2611
LOC388381	-0.68725
INTS7	0.532545454545455
AMPH	-0.592
ZNF775	-0.167625
UCKL1	-0.893166666666667
C10orf97	-0.19325
C1orf161	-0.00625000000000001
ALDH1L1	-2.06825
FLJ39378	-0.121375
SLC23A1	-1.6125
RBM4B	-0.18625
THAP4	0.263
OGFRL1	2.90325
KIAA0831	0.112125
PPP1R15A	-0.453833333333333
C1orf96	1.2945
C12orf11	-0.08775
BMF	0.68125
MAN1A1	-0.555875
KIAA1600	0.327
NLGN4X	-1.093
ALOX12	-1.46966666666667
RB1CC1	-0.1111
NEIL2	-0.1343
EIF4E	0.297272727272727
ABHD5	-0.6215
EXOC4	-0.448
CIP29	0.226833333333333
BATF2	2.506
SLC29A4	-0.295125
HTR4	0.29375
EMB	0.30675
TRAF6	1.095
LMNB1	0.6635
FAM19A5	-1.136625
SHE	1.261
PIK3C2B	1.00425
C15orf15	-0.594
USP15	0.1093
TCEAL2	0.1765
C5orf39	0.046
PTGER2	-1.0135
SLC31A1	-0.9005625
IFT172	1.17
ADAM29	0.113
GFOD1	2.80325
ST7L	0.178833333333333
C15orf26	-1.7725
PKN3	-0.96625
CNTD1	0.344333333333333
COMMD1	0.057375
NTRK2	4.2565
FOXN3	0.317375
MFGE8	-0.6435
PFKFB2	0.8115
TAS2R4	-0.230666666666667
ENTHD1	0.824666666666667
PRMT5	-0.93425
MGC16384	-1.847875
LOC442229	0.5945
TSKU	-0.4145
KRTCAP3	3.60925
PDLIM1	0.357
KCNS2	-0.446
RNF126	-0.249666666666667
CEP63	-0.048
CLIC4	0.409
hCG_1990170	4.92575
ACR	0.4813
KLK7	0.88675
ALOX5AP	4.00025
RIPK3	2.99675
TAS2R9	0.7875
C19orf18	0.0485
BIRC6	0.089
ZNF16	1.297
RFT1	-0.4815
SLC8A2	-1.04025
TACC1	-0.156
ITGAD	2.09
SAMHD1	1.7625
SH3PXD2B	1.957
EPC2	0.42275
C20orf85	0.110875
ATP13A2	0.000666666666666667
KRT4	0.92425
CAPNS1	-0.77425
MDM2	1.19316666666667
PCDH20	1.907
KCNK9	0.167
OR2C1	-0.1805
KLHDC3	-0.197833333333333
IPPK	-0.97
EFHD2	0.58825
GALR3	1.3945
NBEA	0.7765
ABCA6	0.7711
CLDN3	2.14783333333333
AKT2	-0.199857142857143
EGFR	0.8562
RBM16	0.19375
ZDHHC3	-0.4272
SLC25A4	-0.400333333333333
CYB5B	-1.721
CPXM1	-0.992
NDRG1	1.50115384615385
FLJ43826	-0.20925
OR5L2	0.0956
FARP2	0.5369
MRPL46	-0.852916666666667
LDHAL6B	-0.470333333333333
MAPKAPK3	-0.500666666666667
NCAM2	-3.445
PRKD2	0.329833333333333
ZFP36L1	1.22
CYSLTR1	-0.04975
OR4C3	-1.63733333333333
HIST1H2AJ	-0.0405
CCNB2	-0.629444444444444
ZNF10	-0.55375
TMEM175	0.527
FAM134A	0.296333333333333
TIGD4	-1.303
PCNP	0.3645
MGC39715	0.33
LQK1	-0.70375
CREB1	0.0242
TMPRSS3	1.51125
C4orf32	-0.492875
LAT	-0.784
KCNA3	0.335
SKIV2L2	-0.15475
ROPN1B	2.4955
tcag7.23	-0.68
CDT1	-0.542125
ZHX2	0.345
CD28	-1.412
ZNF624	0.562
SEPT2	0.3505
SOHLH2	-2.395125
MCOLN3	1.010375
UNQ1945	1.1965
MASP2	-1.178
ZNRF3	0.2448
GPATCH3	-0.21325
AGL	0.81625
QRICH2	-0.243
PSD4	0.394333333333333
CCNB1IP1	-1.3735
ENPP7	0.29525
OBFC1	-0.272
KCNG3	0.6815
C14orf79	-1.50958333333333
ENPEP	0.2995
SCT	0.2685
SKI	1.131375
SEC61G	0.82675
CAPN11	-0.331666666666667
ATXN7L3	-0.3
DBNDD1	-0.0035
FAIM	0.5405
ANKRD36	-0.813
GABRP	5.96033333333333
TACSTD2	2.63783333333333
EIF3J	-0.3115
PPP2R2A	-1.456
TEKT4	-0.495
PVALB	-3.316
F10	-2.80016666666667
FAM134C	0.2234
COMP	1.3305
EFCBP1	-3.01353333333333
SCLT1	0.51125
TAL1	-1.2767
ACSL1	1.6375
ABCC5	0.0924166666666667
ABL1	-0.596111111111111
RBBP7	0.5125
PTPRG	-2.306375
NCOR1	-0.3077
SPINK4	-2.39633333333333
TXNRD1	-0.962
TNRC15	0.36875
C9orf138	-0.362857142857143
UBE2H	1.02883333333333
BRDT	-0.209
C8orf31	-0.504
CCNE2	0.0864545454545455
SLC6A8	-0.961375
CALCR	-3.5245
PPP1CB	1.41008333333333
ABHD8	0.14025
ARF5	0.5593
SLC24A4	0.86025
CCT3	0.75275
ZNF121	-0.941875
SLC3A2	-1.0375
OR13A1	0.335
SLC5A10	0.18475
RAD50	-0.403
IER5	1.502375
MTHFD1L	-0.5965
MBTPS2	-0.359
MVK	-0.479
NCL	0.6547
PSMD10	-0.88325
MOBP	0.729875
FLJ32894	-0.6905
HRH1	-1.58083333333333
C5orf30	0.205
NUDT16L1	-0.7226
RASGRP3	4.31716666666667
PRKRIP1	-0.8395
CCDC75	0.11
LOC253970	0.55725
KIAA1239	0.845666666666667
MED21	-0.524
SYT11	0.2785
NTSR2	2.0085
EGFL11	-0.24
CXorf59	0.838
OR2A25	0.2645
SPTBN2	1.07075
LRMP	0.0378333333333334
RNF111	0.027
PTH	0.8355
LOC619208	-0.8044
KIAA0895	-0.98125
RANBP5	-0.1055
P2RY10	2.008
NME5	-0.381166666666667
DDX21	0.71275
LRSAM1	-0.889
HDAC11	0.642833333333333
VMO1	3.2275
NOLA2	0.2005
ADAR	0.825833333333333
MTO1	-1.67966666666667
SF4	-0.00416666666666667
P2RX1	0.581333333333333
HBM	0.2035
EN2	2.2505
C14orf172	0.86125
TM9SF2	0.1714
INHBE	-2.279
TCTE3	-0.2245
TOX2	-1.376
CTAGE3	-0.302375
HBB	3.4289
MED15	-0.582666666666667
CASR	0.75175
C6orf66	-0.352833333333333
MTPN	-0.381125
UNC50	-0.288
C21orf33	0.436875
IRF2	1.25575
PGR	-1.178
GPR84	5.188
CROCCL1	-0.5505
SRPX	-2.99975
BRE	-0.274333333333333
FGF10	0.186
SDC3	0.788166666666667
ZRSR1	-0.145333333333333
DKFZP434P211	-0.836625
SOX6	2.156
RPUSD2	-0.01225
C14orf173	0.0619166666666667
MAPK11	-0.213833333333333
TBC1D22A	0.673
FAM123A	-0.267
COL4A6	-2.96883333333333
TOMM70A	0.2955
NAB1	1.147375
MGC16385	0.747375
TSPAN18	-0.161833333333333
MED31	-0.42825
PLG	-1.25625
CAPSL	0.3435
ZNF532	1.7958
ASB14	-0.108
CA8	1.0025
NUDT16P	1.57133333333333
SLFN11	-0.4845
LRRIQ2	0.37625
NOL7	0.0918333333333333
BRMS1L	0.038625
JARID1A	0.362166666666667
PANK2	-0.6925
ICAM3	-0.5075
MDS1	-0.5585
TAF8	-0.7025
RNF139	0.955
ZNF594	-0.344166666666667
ADAM8	3.85775
SFTPC	-0.60825
MAN2B2	-0.200875
RGS12	-0.2705
EIF1AY	-4.38441666666667
LRRIQ1	-1.37716666666667
GPR150	1.66625
CCDC21	-1.22466666666667
PRRG3	-0.28625
SAA4	-0.80375
RAPGEF5	1.777375
ZCCHC2	0.673833333333333
MGC39372	1.2055
PPP4R2	-0.265666666666667
CDCA2	-0.948166666666667
OR4D5	0.0138333333333334
PTGFRN	1.1347
SIGLEC5	1.98683333333333
C19orf61	-0.0211666666666667
NMUR2	0.2905
KIAA1586	0.096
DAGLA	0.725
CHCHD6	0.46075
GPR32	0.568
NEUROD6	-0.0201666666666667
SLC2A4RG	0.010875
CA5B	0.054
FBXL3	0.8445
MPHOSPH9	-0.9515
HMG2L1	0.81725
HCN4	0.6205
CEACAM19	2.44725
SH2D4B	0.4046
HFE2	-1.332
TGM4	0.42825
LYPD2	-0.55475
TBC1D15	0.137
MRPS21	0.5631
NONO	-0.962
CLEC5A	2.35625
ITCH	1.4507
MGAT3	1.74616666666667
MBP	0.4555
RPP25	0.28975
SOSTDC1	2.98025
HRC	-1.6835
TRIM48	0.7555
TMEM133	0.08175
ECEL1P2	-1.103
HOXC11	-1.2345
DOK5	-1.13375
HELZ	-0.0706666666666667
LOC348180	0.6525
MGC33894	0.655
ADRB3	0.476
DMD	-0.0864166666666668
PTRH2	-0.48375
MPEG1	4.4385
NDUFA12	-0.389166666666667
KRTAP2-4	0.0711666666666667
STAMBPL1	-0.722
ADCY2	3.0502
UNQ6125	0.774
KLHL20	0.142166666666667
SRM	-0.97875
OTC	-0.095
TMIE	0.796333333333333
SNX8	0.82425
LIPK	0.5505
CHURC1	-1.34425
KLC2	0.597333333333333
HDAC1	0.114666666666667
FAM128A	0.1125
FNDC3B	0.706
MTCP1	0.638833333333333
WFDC10B	-0.3796
PCDHGB3	0.076
ATRNL1	-2.443
CAV2	0.7675
MED26	1.12866666666667
DUS1L	0.134
CHRM3	-0.350625
NEK9	-1.79475
WARS2	0.24025
TBX22	-0.4275
TOMM40	0.15475
RP6-213H19.1	0.2495
TUBGCP5	-0.941
IGSF6	6.03
TPPP	-0.527333333333333
UNQ6190	-0.4065
GSTM5	0.342875
BTD	-0.849166666666667
PDCD1LG2	0.598666666666667
SNRPB2	-0.187666666666667
ERICH1	-0.535875
APOA4	-1.71
HOXA11	-1.76225
NARG1	0.068625
MKX	-1.131
RAB28	-1.109
PKP3	1.4195
SH3GL2	-2.71875
CTSO	1.00575
RPN2	0.9798125
IL28RA	0.4055
SFMBT1	0.86225
WDR57	-0.15275
FER1L3	0.156416666666667
HSF5	0.996666666666667
TTC9B	0.13225
C4BPA	-2.0975
ALB	-3.81757142857143
SORBS3	0.3655
UPF2	0.3285
JPH1	0.421
AGBL2	-1.5705
DOPEY1	1.202
TERF1	-0.0535833333333333
KIF22	-0.756333333333333
NINJ1	-0.01875
SEC61A2	-0.322666666666667
HIST1H1D	-0.422333333333333
SFXN4	-0.24675
UCP3	0.0716
ZNF703	0.957
MYL6B	-1.5305
TREM1	2.28275
OR52E6	0.949
CKMT2	-1.0245
HLA-C	2.891
SLC13A3	-2.45883333333333
TIMP4	-2.673
SLIT2	0.48025
RSF1	-0.351944444444445
LONRF1	-1.414
MON1A	-0.542
CACNG6	-1.46766666666667
DPPA4	-4.90433333333333
ZSWIM3	0.73575
ZNF804A	0.327166666666667
CCIN	0.42
SLC25A31	-0.51125
KCNMB4	-0.31975
RABL5	-0.709375
GALNS	0.1789
STX6	0.99375
HIST1H1C	-1.28216666666667
CIDEB	0.331875
CASP4	0.564166666666667
PDK3	0.0638
KCNJ11	-0.402
TPR	0.051
ZSCAN20	0.469
MTX2	0.05625
HIST1H2BH	0.11975
LOC283767	-1.1425
LYRM7	-1.4525
BRD3	0.226666666666667
HIST1H2BO	-0.0995
MAGEB10	-0.3095
SLC45A1	0.16375
SERPINA3	1.0307
KIAA0143	1.38725
KCNJ16	0.823333333333333
KRT79	-1.10375
FABP2	-0.322666666666667
NUT	-0.0622499999999999
ZNF57	-0.19325
FBXL4	-0.396
CLEC9A	2.9155
UGT8	0.580833333333333
BMP2K	0.30025
MAPK4	-1.43725
SLC25A23	-1.3305
HINT1	-0.0467
KRTAP13-1	0.4985
SFXN5	-1.1579
CHCHD2	0.7405
FAM3D	0.2555
NDP	-3.18175
RHOBTB1	-0.0588333333333333
SLC4A4	-1.559125
RPL38	0.056
HTF9C	0.141333333333333
AP2A2	-0.0455
ZBTB46	-0.4125
MAP7D1	0.238
AOX1	-1.72333333333333
CYR61	0.12125
DTNA	-0.143071428571429
JRKL	1.11025
TMOD3	-0.963
EEA1	-0.0202
ADCK5	1.5205
IL1R1	1.95633333333333
KLK3	0.782071428571429
HRSP12	0.0875
KTN1	-0.2005
LOH11CR2A	0.2081
RELL2	-0.2315
MAB21L1	1.0155
C20orf59	-1.02083333333333
PHKB	-0.608
ADAM2	-1.4008
TBC1D8B	0.421333333333333
FAM13A1	-0.6960625
LAPTM4B	-0.111916666666667
LCN8	-0.17
TMEM147	0.2465
SYT4	-0.204
XPO7	-0.767
C9orf62	2.21
GPR75	-0.3165
TRIM5	-0.186875
APOC1	1.6205
RNASE4	-1.31216666666667
PARD6B	-1.118125
ARID1A	0.130083333333333
TPD52L3	0.1759
RRAGB	0.172166666666667
RCN2	-0.448
HIST2H2BE	0.785
STARD7	0.3505
SHMT2	-1.3445
KIAA1751	-0.36
MLYCD	0.1495
LOC162632	-0.2034
UQCRH	-0.7575
RP11-217H1.1	0.223625
SDHA	-1.28883333333333
NCLN	-0.2019
ZNF17	0.016
RCBTB2	-1.128
VEGFB	-0.2093
RP4-747L4.3	1.749
COLQ	0.00639999999999998
MPN2	-1.6358
DRG2	-0.6265
KLRB1	5.73875
ALPK2	-2.24925
DNASE2B	0.69325
FLJ23834	0.231833333333333
AXUD1	-0.390666666666667
SAFB	-0.0977
NSUN4	-0.18475
RFX2	-0.597666666666667
MAPK8IP1	-2.001
FANCD2	-0.0619285714285714
ANKZF1	-1.12266666666667
C19orf50	0.467875
DUSP8	-0.862375
SENP5	0.791125
NFKBIL2	0.51275
LBR	0.84425
IGFL1	1.405
LZTS2	-0.502
IL2RG	0.8845
CCDC51	-0.547
KLF3	-0.12525
ANKRD37	-0.76775
KCTD14	-1.6315
FZR1	0.274416666666667
SLC44A4	-1.2746
ESPL1	-0.400375
GMPR2	-1.0116
TBC1D19	-0.823
ERGIC1	-0.15237037037037
ERBB4	0.2445
TSPAN32	0.647583333333333
MAP4	0.027
GPHN	-0.84175
SLC6A2	1.565875
HIVEP1	1.20525
DFFB	0.0493
EIF4EBP2	0.11925
DMRT1	-0.14325
HSPB6	-0.37475
IER2	0.697333333333333
AIFM1	0.172
WWC2	-0.265666666666667
MRPL4	-0.30025
FLJ21062	-1.14083333333333
EPB41L4A	-0.997333333333333
SH2D6	-0.231
TAF4B	0.7285
GAL3ST3	-1.116
MALT1	0.041
RTDR1	0.5055
ARVCF	-0.297625
MEX3B	0.398333333333333
FBXO16	-1.09425
KIF7	-1.062
C1QC	4.55183333333333
ZNF783	-0.142
ZNF85	-2.02975
MMP13	1.905
KIAA0329	0.028875
RTP3	5.4085
ZBED3	-0.5235
CLGN	-2.3275
SLC25A37	-0.370958333333333
hCG_18290	-0.60675
OR5AS1	0.2095
SMARCC2	0.182
FAM109A	-0.327666666666667
CCDC12	-0.14975
USF2	0.5985
DEPDC7	-1.46125
C20orf24	0.873833333333333
JMJD3	-0.1925
DSP	2.30807142857143
SLIC1	1.6125
FAM20A	3.014375
IRF2BP2	0.70925
ZNF230	0.166
MSN	1.23028571428571
SLC9A5	-1.6845
