Hybridization REF	TCGA-AN-A049-01A-21R-A00Z-07
TF	-3.7863
CLCN4	0.0226666666666667
CXorf56	-0.18075
C11orf72	0.4845
ELAC2	-0.037
NPR1	-0.521
ASS1	-2.88033333333333
USP42	0.4185
POLR2J	-1.6005
SEC23IP	1.007
UQCRC1	-0.5045
LOC729603	-0.5405
C1orf71	0.093125
POLG	-1.4505
ADAM23	-3.063
TFR2	-1.19
RICTOR	-0.7825
MGC39606	0.32775
C19orf55	-0.115625
SNAPC1	-1.46816666666667
GNA11	0.774625
CCDC52	2.3305
FSIP1	5.3275
UPF3A	-0.3665
IGSF11	-2.66833333333333
LAGE3	-0.7345
CHST6	-2.3785
UNC13B	-0.594125
TTLL4	-0.728375
ZNF687	0.033625
SDC2	-0.4489
COX7A2	0.5115
LAMB4	-0.259
FAM24A	-0.028
LRRTM3	-0.8842
GPHB5	0.1035
OR4C13	0.669
EIF3EIP	-0.705714285714286
HABP4	-1.3315
TMEM125	3.926
CNTN2	0.144375
ASNSD1	-0.177
FUT4	0.033625
ACF	-3.13325
LOC158381	0.8815
CDH8	0.19825
AGPS	0.617333333333333
C4orf18	3.54825
PECI	0.0523333333333333
UNG	-0.598875
GSTP1	-2.01175
DCUN1D5	-1.43133333333333
DKFZP564J0863	0.06475
SLC9A3R1	2.117625
BCDO2	0.73675
CHMP7	-0.16375
REM2	-0.4765
DNHD1	-0.124875
FKBP4	-0.00737500000000001
ZNF350	1.5885
MGC11102	1.136625
BST1	1.80275
KISS1R	0.096
NCR2	0.1945
DEFB125	1.28
UBE2W	1.90475
KRT15	0.723125
C10orf99	0.323
SCN11A	0.391875
GFI1	-1.687
RDHE2	5.0225
FHL1	-0.125166666666667
OSGEP	-0.271166666666667
GATA1	-3.35566666666667
SMC6	-1.15775
TTTY14	-1.02325
LPIN3	0.14075
RPL4	-0.4719
RBPMS	-0.0432
PRPF3	-0.5685
EMR1	-1.9775
SPATA19	-0.06
XCR1	0.6655
IRX3	1.8016
RBM6	-1.168
KLF4	0.3498
UNC5CL	-0.2955
SEBOX	-0.0835
BTK	-0.56025
KRCC1	0.28475
C6orf27	0.323
SYTL5	-0.5325
PRND	2.228375
LOC653319	-1.2485
PIGL	-0.9105
HUS1	0.894333333333333
SFRS6	0.772833333333333
C17orf77	0.2795
UIMC1	-0.164166666666667
FXYD2	-1.8363
LOC283152	1.30025
ZNF667	-1.617
ZCCHC12	-0.386
TFEC	3.0675
ATP7B	-0.687
POLD2	-0.318
RG9MTD1	0.87575
ACOT2	0.452833333333333
HIST1H4I	-0.92975
PPARGC1A	-2.3457
ETFA	-1.7875
POLRMT	-0.164
ZNF146	-0.08825
MIA2	-0.876
KLHL6	-0.869166666666667
HOXB5	-0.717875
NENF	0.570333333333333
CUGBP1	1.0795
PRSS22	1.844
CASC4	1.5026
CUL4B	0.4983
CENPJ	-1.1293
PITX1	1.21983333333333
FLJ31033	0.785
CELSR3	-2.198
ZNF568	0.291
ITSN1	-0.0119166666666668
EHBP1L1	-0.603833333333333
C19orf2	0.3555
DCTN1	0.232
LIN28B	-3.23466666666667
TNKS2	-0.000250000000000007
C1QBP	-0.511
CADPS2	0.304
SRMS	0.2525
GJA9	0.385
MGC24975	-0.701666666666667
TRIM45	0.7815
TSP50	1.3135
TCP1	-0.64525
TMED7	0.9285
CMA1	1.243
CENPL	-0.610166666666667
PTCRA	0.0495
FST	-4.01725
VWCE	-3.51775
PAWR	0.33025
ABCC12	0.386666666666667
LDLR	-1.5683
ASTN2	0.3474
LOC441212	-1.19175
GPATCH8	-0.174
TANC2	0.690916666666667
KIF4A	-1.03625
C18orf18	-0.6585
PGM1	-0.49925
KIAA0258	0.50325
CPD	0.7785
SNCAIP	-0.82725
DCT	-4.07216666666667
HLA-DOA	2.44404545454545
OR11L1	0.4235
UPK1B	0.131
DNAJB4	0.2305
UGT1A8	-0.55475
HIST1H4L	-0.993
PECR	-0.96
HSPA2	0.63125
WFIKKN1	-0.7115
SERP1	2.011375
SYDE2	1.7395
TACR2	0.397
NUP85	-0.16375
CD177	-0.28
LGR5	-1.94433333333333
PIGG	0.0905833333333333
PTHR1	-1.35
RAB5A	-0.2461
FLJ13224	0.2845
USP9Y	-1.0755
C7orf53	-0.739
LRP1B	5.90325
XAF1	2.7292
ABCG8	0.197
ANKDD1A	-0.557833333333333
DAND5	-1.686
SPAG6	0.3046
LINCR	0.11325
ZDHHC22	-1.3025
CCDC60	-0.914
THOC7	-1.62066666666667
TCTA	0.8749
OR8K3	0.18625
NY-REN-7	-0.578333333333333
B2M	1.75466666666667
C6orf141	0.258125
LPPR4	2.022
SQLE	-0.59925
SEPHS1	-0.7295
BTBD14B	0.2765
PLRG1	-0.3195
SPG7	-1.10225
ZNF614	-0.083
PARD6G	0.228666666666667
INPP5B	-0.1254
GRPEL2	0.374625
PPID	-0.8268
TRIM56	-0.932
UBE2J1	-0.22575
IL20RA	1.79675
LOC387856	-0.14725
C1orf107	0.252166666666667
UTS2R	0.167
C19orf22	0.314
SAFB2	0.1815
KIAA0652	0.4295
KLRG1	-0.724666666666667
MS4A8B	0.947166666666667
FRAG1	0.2045
KIAA1546	-0.0615
E2F4	-1.2187
CLEC4M	0.0436666666666667
BTBD14A	-0.4415
KIAA0999	0.4651
GYPA	-3.75233333333333
TAC1	1.2294
TRAIP	-1.48816666666667
KIAA0232	0.7701
ERCC8	-1.17625
GPX4	0.77225
KIAA0368	-0.826875
GPR157	-1.5135
CTAGE4	0.008
C9orf30	-1.47516666666667
OR52A1	-0.2455
HSP90B3P	0.1995
ALG9	-0.9898
BTBD10	0.76925
SDK2	0.5295
BAIAP3	2.28075
RABGGTB	-0.385375
ANKRD40	1.286
KRT74	0.56
CALCOCO2	0.6375
SNCA	-3.22525
TMSL8	-4.71125
C2orf53	0.4045
ESRRB	-0.26075
ARHGAP26	-0.380875
TDRD9	-2.25725
HRAS	0.909333333333333
KLRC4	-2.0035
JAGN1	0.556333333333333
BSDC1	1.39425
RNF43	0.0748
NDUFAF1	1.20475
PHF12	0.06675
OR1L3	0.43775
FOLR2	2.06208333333333
LYZL6	0.4575
tcag7.1260	-1.9655
WSB1	-1.707
PROS1	-0.8203
OSTN	0.645
PSMB8	1.49775
SOCS4	-0.21175
DDIT4L	0.25
MAS1	-1.6375
MGC34796	1.4715
CSHL1	-0.001
TBCCD1	0.806666666666667
ZBTB7C	-0.167
AP2S1	0.07825
P15RS	0.6635
VAT1	-0.679
SHANK3	0.8095
TUFM	0.280333333333333
THEG	-0.08875
KRT34	-1.4
SGSM3	-0.326
TOMM22	-0.77925
SOCS3	0.214
CPO	1.202
POP4	0.4745
BHLHB3	0.412
MALL	0.66175
OR1B1	0.1375
PARK2	0.491666666666667
GPR124	0.4795
LCE1E	0.3855
RUVBL2	-0.18225
CGRRF1	1.0251
ACPL2	0.05175
WNT10B	-2.077875
BAIAP2L2	-2.225125
ISCA1	0.116
C1orf125	0.40325
RPAP1	-0.16
RAI16	-0.873833333333333
RPL27	-0.6395
NLRP9	0.096
EPN1	0.1295
LOC388610	-2.519625
SLC35A1	0.7452
GAL	-3.56975
SLC14A2	0.17725
RDH11	-0.802333333333333
FAM138F	-0.2005
AUH	0.12475
FLJ40243	0.326
C14orf129	0.611333333333333
MBD2	-0.238166666666667
ABHD14B	-0.34075
PIGT	0.57525
ALS2CR4	-0.80375
ALAS1	-0.0708
FOXO1	0.940166666666667
CRLF3	-0.584875
C20orf107	0.4745
FARS2	1.1475
CCDC28A	0.4125
NPHP3	-0.11825
OR13F1	0.3675
TSEN54	-0.1185
DEFB106B	0.1693
OR8B4	1.0825
STH	1.03825
ZC3H14	-0.274375
CBX2	-0.3495
TMEM49	0.112
C6orf21	0.322
FLJ20920	0.87225
CRTAP	-0.681785714285714
DDX50	-0.3065
STYXL1	-0.7325
BLVRB	1.08083333333333
LOC147650	-0.803166666666667
MMP24	0.25175
GRID1	1.456
BANF1	-0.133833333333333
CTAGEP	0.22
HMBS	-1.9705
SLC25A24	0.8785
C14orf50	0.26875
MRO	2.38216666666667
SLC25A15	-0.78875
FAM84B	1.761
TDP1	-0.3485
C16orf78	-0.0568333333333333
C11orf57	-0.222875
RFK	-0.795625
ZFYVE9	-0.525
STCH	-0.166
WIBG	0.4755
LOC283871	0.1875
GBA2	-0.8945
NDUFB3	0.14725
HSD17B13	-0.13675
GRIN3A	0.6005
FMNL1	-1.1065
SEPT7	0.0916
GNLY	2.8525
GRAMD1C	1.2195
ZNF165	-1.85375
USP38	1.13125
FAM83A	-2.6145
C14orf24	0.420083333333333
ARMCX3	1.0065
ARHGDIB	2.6145
AK1	0.49775
KIAA1045	-0.22925
DNAJB13	-0.2405
NEU2	0.3925
HIST1H4B	-0.943833333333333
FAM20B	0.3059
HES2	0.270642857142857
FAM73B	-0.8418
LOC388381	0.5675
INTS7	0.0501818181818182
AMPH	1.49925
ZNF775	-0.58825
UCKL1	-0.385833333333333
C10orf97	-0.06
C1orf161	0.536
ALDH1L1	-0.565
FLJ39378	-0.37925
SLC23A1	-1.5755
RBM4B	0.11725
THAP4	-0.3095
OGFRL1	1.38875
KIAA0831	0.378875
PPP1R15A	-0.649833333333333
C1orf96	0.111857142857143
C12orf11	-1.91225
BMF	0.077
MAN1A1	-0.634
KIAA1600	0.641833333333333
NLGN4X	0.541
ALOX12	-0.853666666666667
RB1CC1	0.9318
NEIL2	0.1578
EIF4E	-0.420136363636364
ABHD5	-0.2325
EXOC4	-0.750333333333333
CIP29	-1.04333333333333
BATF2	2.054
SLC29A4	-0.388625
HTR4	0.10725
EMB	1.23
TRAF6	0.832
LMNB1	-3.7265
FAM19A5	-1.256
SHE	1.731
PIK3C2B	0.65375
C15orf15	-0.7538
USP15	-0.2921
TCEAL2	1.13925
C5orf39	-1.1565
PTGER2	-0.7975
SLC31A1	-0.7664375
IFT172	0.34575
ADAM29	0.583
GFOD1	0.2645
ST7L	0.455333333333333
C15orf26	-2.33425
PKN3	-1.64325
CNTD1	3.7975
COMMD1	0.50325
NTRK2	2.22791666666667
FOXN3	-0.247125
MFGE8	-0.2556
PFKFB2	0.390166666666667
TAS2R4	0.597
ENTHD1	1.90316666666667
PRMT5	-0.431875
MGC16384	-1.88225
LOC442229	0.12575
TSKU	1.794
KRTCAP3	2.832375
PDLIM1	0.4594
KCNS2	0.2295
RNF126	-0.629333333333333
CEP63	1.5065
CLIC4	-0.692625
hCG_1990170	-0.012
ACR	1.0603
KLK7	1.28825
ALOX5AP	3.352125
RIPK3	4.33825
TAS2R9	0.094
C19orf18	3.0335
BIRC6	0.260642857142857
ZNF16	1.472
RFT1	-1.03775
SLC8A2	-0.234
TACC1	-0.07275
ITGAD	1.155
SAMHD1	1.30375
SH3PXD2B	0.9202
EPC2	0.9625
C20orf85	0.46825
ATP13A2	0.209833333333333
KRT4	0.39875
CAPNS1	-0.04025
MDM2	0.3195
PCDH20	2.99225
KCNK9	0.809
OR2C1	0.429
KLHDC3	-0.913
IPPK	0.7925
EFHD2	0.532625
GALR3	0.1485
NBEA	1.32116666666667
ABCA6	2.9965
CLDN3	0.304166666666667
AKT2	-0.356357142857143
EGFR	-2.1826
RBM16	0.111125
ZDHHC3	-0.4456
SLC25A4	-3.508
CYB5B	-1.22166666666667
CPXM1	1.18375
NDRG1	-1.52615384615385
FLJ43826	0.59175
OR5L2	-0.278666666666667
FARP2	0.4106
MRPL46	-0.291166666666667
LDHAL6B	0.413833333333333
MAPKAPK3	-0.598166666666667
NCAM2	-1.77775
PRKD2	0.760166666666667
ZFP36L1	0.8462
CYSLTR1	-0.3915
OR4C3	0.863
HIST1H2AJ	2.689
CCNB2	-1.85544444444444
ZNF10	-1.899625
TMEM175	0.089
FAM134A	1.07983333333333
TIGD4	0.1275
PCNP	0.393
MGC39715	0.6135
LQK1	-0.65525
CREB1	0.7754
TMPRSS3	-2.486
C4orf32	2.064
LAT	-1.6785
KCNA3	-0.159
SKIV2L2	-0.9715
ROPN1B	-1.191
tcag7.23	-0.4675
CDT1	-2.973375
ZHX2	1.146875
CD28	-2.011
ZNF624	0.89425
SEPT2	0.00975
SOHLH2	-2.261625
MCOLN3	0.361571428571429
UNQ1945	0.3875
MASP2	-0.8535
ZNRF3	-0.0189
GPATCH3	-0.52625
AGL	0.567125
QRICH2	0.0545
PSD4	0.322333333333333
CCNB1IP1	-1.95
ENPP7	-0.038
OBFC1	0.66175
KCNG3	-1.214
C14orf79	0.93575
ENPEP	1.62066666666667
SCT	1.3685
SKI	0.239625
SEC61G	0.2855
CAPN11	0.7805
ATXN7L3	-0.1245
DBNDD1	-0.714666666666667
FAIM	1.00775
ANKRD36	-0.741
GABRP	2.18416666666667
TACSTD2	1.94016666666667
EIF3J	-0.75575
PPP2R2A	-0.704
TEKT4	-0.679333333333333
PVALB	-3.80233333333333
F10	-2.4645
FAM134C	0.7457
COMP	4.16325
EFCBP1	-2.65975
SCLT1	0.640375
TAL1	-1.0852
ACSL1	0.346
ABCC5	1.24941666666667
ABL1	-0.672055555555556
RBBP7	0.994666666666666
PTPRG	-0.752125
NCOR1	0.1395
SPINK4	0.903833333333333
TXNRD1	0.5528
TNRC15	-0.08125
C9orf138	0.712125
UBE2H	0.8375
BRDT	0.751833333333333
C8orf31	-0.096
CCNE2	0.602
SLC6A8	-1.671125
CALCR	-4.004
PPP1CB	0.0775833333333334
ABHD8	0.1545
ARF5	-0.4775
SLC24A4	0.58675
CCT3	-0.25525
ZNF121	0.103125
SLC3A2	-1.1603
OR13A1	0.4225
SLC5A10	1.28425
RAD50	-0.372125
IER5	-0.201125
MTHFD1L	-2.292625
MBTPS2	-0.13325
MVK	-0.610375
NCL	-0.5351
PSMD10	0.185
MOBP	0.471625
FLJ32894	-0.571
HRH1	-0.629833333333333
C5orf30	0.844
NUDT16L1	1.4766
RASGRP3	3.3015
PRKRIP1	-0.9653
CCDC75	0.14775
LOC253970	0.50975
KIAA1239	-0.19375
MED21	0.19775
SYT11	0.166583333333333
NTSR2	-0.2435
EGFL11	-0.6095
CXorf59	0.612
OR2A25	0.23
SPTBN2	-1.37125
LRMP	-1.37716666666667
RNF111	0.08325
PTH	1.4655
LOC619208	1.387
KIAA0895	0.7935
RANBP5	-1.24
P2RY10	1.05983333333333
NME5	4.01083333333333
DDX21	-1.0985
LRSAM1	0.2475
HDAC11	2.3635
VMO1	1.43625
NOLA2	0.488
ADAR	1.09525
MTO1	-0.750833333333333
SF4	0.0825
P2RX1	-0.242333333333333
HBM	0.36475
EN2	0.2275
C14orf172	0.319
TM9SF2	0.9699
INHBE	-0.932333333333333
TCTE3	-0.0920833333333334
TOX2	-2.6145
CTAGE3	0.296875
HBB	3.4449
MED15	-1.04266666666667
CASR	0.154
C6orf66	-1.01633333333333
MTPN	-0.564125
UNC50	0.6225
C21orf33	0.254875
IRF2	0.774
PGR	3.4305
GPR84	2.55775
CROCCL1	-2.52775
SRPX	-1.025
BRE	0.478666666666667
FGF10	0.776
SDC3	0.441333333333333
ZRSR1	0.367166666666667
DKFZP434P211	-0.567125
SOX6	0.031
RPUSD2	-0.28025
C14orf173	-0.236416666666667
MAPK11	-0.462333333333333
TBC1D22A	0.3365
FAM123A	-0.9345
COL4A6	-2.07166666666667
TOMM70A	0.41225
NAB1	0.35325
MGC16385	-0.236125
TSPAN18	-0.409166666666667
MED31	0.6735
PLG	-0.1635
CAPSL	3.2795
ZNF532	1.4068
ASB14	-0.12525
CA8	0.3575
NUDT16P	3.33666666666667
SLFN11	-1.2655
LRRIQ2	1.81175
NOL7	-0.0508333333333333
BRMS1L	-0.6515
JARID1A	0.464833333333333
PANK2	0.0165
ICAM3	-0.09225
MDS1	-0.389
TAF8	-0.1975
RNF139	1.373
ZNF594	0.485666666666667
ADAM8	2.3025
SFTPC	-0.097875
MAN2B2	1.412875
RGS12	0.417625
EIF1AY	-4.73066666666667
LRRIQ1	-1.36933333333333
GPR150	0.306
CCDC21	-1.23933333333333
PRRG3	0.54825
SAA4	-2.72425
RAPGEF5	1.9645
ZCCHC2	0.834
MGC39372	0.255
PPP4R2	-0.0916666666666667
CDCA2	-2.15933333333333
OR4D5	0.234
PTGFRN	1.3913
SIGLEC5	1.5855
C19orf61	-0.631666666666667
NMUR2	0.191
KIAA1586	-1.04166666666667
DAGLA	0.853
CHCHD6	0.89675
GPR32	0.8805
NEUROD6	0.295333333333333
SLC2A4RG	-0.4069375
CA5B	-0.08075
FBXL3	1.33775
MPHOSPH9	-0.78425
HMG2L1	-0.203
HCN4	0.152666666666667
CEACAM19	-0.19475
SH2D4B	0.905666666666667
HFE2	-0.449
TGM4	-0.166833333333333
LYPD2	0.278
TBC1D15	0.4805
MRPS21	-0.4572
NONO	-0.6136
CLEC5A	1.41214285714286
ITCH	-0.0688
MGAT3	-1.192
MBP	0.208375
RPP25	-1.04225
SOSTDC1	-0.805
HRC	-1.8735
TRIM48	1.1865
TMEM133	-0.34475
ECEL1P2	-1.104
HOXC11	-0.6185
DOK5	-0.24475
HELZ	0.667166666666667
LOC348180	-1.13325
MGC33894	0.08325
ADRB3	-0.0175
DMD	-0.127166666666667
PTRH2	-0.071
MPEG1	3.207
NDUFA12	0.358
KRTAP2-4	-0.169666666666667
STAMBPL1	-1.21433333333333
ADCY2	-0.475
UNQ6125	0.413
KLHL20	0.0486666666666667
SRM	-1.65175
OTC	-0.1245
TMIE	0.296166666666667
SNX8	0.55225
LIPK	-0.3635
CHURC1	-0.105
KLC2	0.265666666666667
HDAC1	0.104166666666667
FAM128A	0.6
FNDC3B	1.6148
MTCP1	0.1385
WFDC10B	-0.4032
PCDHGB3	0.8625
ATRNL1	-1.5673
CAV2	-0.586875
MED26	-0.13
DUS1L	0.466
CHRM3	-1.612875
NEK9	0.586
WARS2	0.15925
TBX22	0.2355
TOMM40	-0.73
RP6-213H19.1	-0.800666666666667
TUBGCP5	-0.68825
IGSF6	4.887
TPPP	1.0975
UNQ6190	0.143
GSTM5	1.340125
BTD	1.66083333333333
PDCD1LG2	0.5685
SNRPB2	-0.0563333333333333
ERICH1	-0.504375
APOA4	-1.42575
HOXA11	-1.60075
NARG1	-0.0845
MKX	-0.801
RAB28	-0.277214285714286
PKP3	1.7715
SH3GL2	-2.46225
CTSO	2.82475
RPN2	0.6874375
IL28RA	0.532
SFMBT1	0.595
WDR57	-0.004875
FER1L3	1.049
HSF5	0.853333333333333
TTC9B	0.63275
C4BPA	-3.3375
ALB	-4.19561538461538
SORBS3	-0.126125
UPF2	-0.3425
JPH1	1.128
AGBL2	0.85275
DOPEY1	2.1085
TERF1	0.35225
KIF22	-0.3045
NINJ1	1.253
SEC61A2	-0.582083333333333
HIST1H1D	-1.23466666666667
SFXN4	0.01275
UCP3	0.2334
ZNF703	0.878
MYL6B	-0.788
TREM1	2.65675
OR52E6	0.8865
CKMT2	1.07475
HLA-C	2.29125
SLC13A3	-1.70383333333333
TIMP4	-0.2785
SLIT2	1.70475
RSF1	0.674333333333333
LONRF1	-1.53235714285714
MON1A	-0.701166666666667
CACNG6	-0.0641666666666667
DPPA4	-5.48066666666667
ZSWIM3	-0.30075
ZNF804A	0.4035
CCIN	1.49725
SLC25A31	-0.641333333333333
KCNMB4	-0.852
RABL5	-0.048125
GALNS	-0.5361
STX6	0.477625
HIST1H1C	-0.134666666666667
CIDEB	-0.87675
CASP4	0.1675
PDK3	0.8761
KCNJ11	0.4805
TPR	-0.2555
ZSCAN20	-0.675
MTX2	0.20725
HIST1H2BH	0.02125
LOC283767	2.39825
LYRM7	-1.42555555555556
BRD3	0.158333333333333
HIST1H2BO	0.031
MAGEB10	0.218
SLC45A1	0.7165
SERPINA3	3.23885
KIAA0143	1.991
KCNJ16	0.635
KRT79	0.08375
FABP2	-0.840666666666667
NUT	0.06
ZNF57	-0.251
FBXL4	0.874875
CLEC9A	1.0915
UGT8	-1.07616666666667
BMP2K	-0.012
MAPK4	-3.0115
SLC25A23	-0.6397
HINT1	-0.1621
KRTAP13-1	0.224
SFXN5	-0.0895
CHCHD2	0.813666666666667
FAM3D	0.746
NDP	-3.4955
RHOBTB1	-0.326
SLC4A4	-1.631875
RPL38	0.07075
HTF9C	-1.01
AP2A2	0.288375
ZBTB46	-1.1525
MAP7D1	0.65675
AOX1	-0.974333333333333
CYR61	1.01241666666667
DTNA	-0.117714285714286
JRKL	-0.176
TMOD3	0.4905
EEA1	0.4635
ADCK5	0.53175
IL1R1	1.153
KLK3	0.566571428571429
HRSP12	0.34625
KTN1	1.50875
LOH11CR2A	0.0678
RELL2	-0.01625
MAB21L1	1.44375
C20orf59	-1.25633333333333
PHKB	-0.868
ADAM2	-2.45183333333333
TBC1D8B	1.2115
FAM13A1	-0.842625
LAPTM4B	0.245666666666667
LCN8	0.034
TMEM147	0.386
SYT4	0.197
XPO7	-0.5015
C9orf62	0.36775
GPR75	0.2945
TRIM5	1.081875
APOC1	-0.2445
RNASE4	0.799666666666667
PARD6B	0.24775
ARID1A	-0.0794166666666667
TPD52L3	-0.00974999999999999
RRAGB	1.62233333333333
RCN2	-0.0378333333333333
HIST2H2BE	0.4216875
STARD7	0.225
SHMT2	-1.334
KIAA1751	0.3595
MLYCD	0.05075
LOC162632	0.3795
UQCRH	-1.06025
RP11-217H1.1	0.826
SDHA	-1.31316666666667
NCLN	0.0611000000000001
ZNF17	0.3695
RCBTB2	-1.61025
VEGFB	0.1954
RP4-747L4.3	0.12825
COLQ	0.7203
MPN2	-1.3965
DRG2	0.136
KLRB1	4.63225
ALPK2	-1.618
DNASE2B	0.351
FLJ23834	0.655833333333333
AXUD1	0.219166666666667
SAFB	-0.3188
NSUN4	0.47175
RFX2	0.402333333333333
MAPK8IP1	-0.399333333333333
FANCD2	-0.407928571428571
ANKZF1	-1.11883333333333
C19orf50	-0.4935
DUSP8	1.19575
SENP5	2.00825
NFKBIL2	-0.33775
LBR	-0.94625
IGFL1	0.779
LZTS2	0.596125
IL2RG	-0.56
CCDC51	-0.53325
KLF3	0.09475
ANKRD37	-2.21025
KCTD14	-1.4165
FZR1	0.5905
SLC44A4	3.6452
ESPL1	-0.793125
GMPR2	0.3384
TBC1D19	-0.011
ERGIC1	0.839777777777778
ERBB4	1.0162
TSPAN32	0.14225
MAP4	-0.485375
GPHN	-0.05575
SLC6A2	0.049875
HIVEP1	0.277
DFFB	-0.9577
EIF4EBP2	0.82825
DMRT1	-0.00774999999999999
HSPB6	0.214
IER2	-0.81
AIFM1	0.063
WWC2	-0.0355833333333333
MRPL4	-0.26475
FLJ21062	0.211666666666667
EPB41L4A	1.02575
SH2D6	0.147
TAF4B	-0.91275
GAL3ST3	-0.119
MALT1	-0.712666666666667
RTDR1	0.47975
ARVCF	-0.85725
MEX3B	-1.2195
FBXO16	1.03175
KIF7	-1.079
C1QC	3.8385
ZNF783	-1.558
ZNF85	0.869
MMP13	4.691
KIAA0329	0.141375
RTP3	-0.6115
ZBED3	-0.238
CLGN	-0.81875
SLC25A37	-2.06554166666667
hCG_18290	-0.03525
OR5AS1	0.1515
SMARCC2	0.04725
FAM109A	-0.267833333333333
CCDC12	-0.768
USF2	0.664
DEPDC7	-2.45025
C20orf24	-0.407333333333333
JMJD3	0.7775
DSP	1.18085714285714
SLIC1	0.71975
FAM20A	1.654
IRF2BP2	0.48925
ZNF230	-0.59
MSN	-0.460714285714286
SLC9A5	-1.5395
EPDR1	-1.7821
MUSK	0.115333333333333
ZNF434	0.4245
SMARCD1	-0.3775
ZFP106	-0.8045
ZNF347	0.1711
GTF2E1	0.972
RY1	-0.154
ATAD2B	0.35125
