Hybridization REF	TCGA-BH-A0DZ-11A-22R-A089-07
TCP1	-0.68225
TMED7	0.0719
CMA1	1.284
CENPL	-1.75733333333333
PTCRA	-0.668
FST	-3.104
VWCE	-2.5915
PAWR	-0.286
ABCC12	1.07516666666667
LDLR	-0.4564
ASTN2	1.1555
LOC441212	-0.849
GPATCH8	0.05325
TANC2	-0.143
KIF4A	-3.187
C18orf18	-0.36
PGM1	-0.12225
KIAA0258	0.41875
CPD	0.918375
SNCAIP	0.325
DCT	-3.6025
HLA-DOA	2.03545454545455
OR11L1	-0.0155
UPK1B	0.187333333333333
DNAJB4	1.0235
UGT1A8	-0.00674999999999999
HIST1H4L	-2.9625
PECR	-1.53016666666667
HSPA2	1.43675
WFIKKN1	-2.5955
SERP1	0.978625
SYDE2	0.9705
TACR2	0.357
NUP85	-1.059
CD177	-0.670833333333333
LGR5	-1.53983333333333
PIGG	-0.177
PTHR1	-0.272166666666667
RAB5A	0.4485
FLJ13224	0.0165
USP9Y	-0.979166666666667
C7orf53	-1.0125
LRP1B	1.103
XAF1	1.0055
ABCG8	-0.318
ANKDD1A	-0.47
DAND5	-1.4675
SPAG6	2.11283333333333
LINCR	2.78175
ZDHHC22	-1.556125
CCDC60	0.7345
THOC7	-0.618666666666667
TCTA	0.8591
OR8K3	0.50225
NY-REN-7	-0.396
B2M	0.566166666666667
C6orf141	-2.110625
LPPR4	2.4305
SQLE	-1.722875
SEPHS1	-0.508
BTBD14B	-0.281
PLRG1	0.35975
SPG7	-0.72975
ZNF614	0.276666666666667
PARD6G	1.06983333333333
INPP5B	-0.6453
GRPEL2	-0.480125
PPID	-0.7463
TRIM56	-0.1055
UBE2J1	0.102125
IL20RA	5.39925
LOC387856	0.4275
C1orf107	0.7725
UTS2R	-0.673
C19orf22	0.50925
SAFB2	-0.49925
KIAA0652	-0.027375
KLRG1	-0.802833333333333
MS4A8B	0.635333333333333
FRAG1	1.009
KIAA1546	0.959
E2F4	-1.1294
CLEC4M	-0.147666666666667
BTBD14A	-1.5535
KIAA0999	1.2819
GYPA	-2.91116666666667
TAC1	3.9898
TRAIP	-1.745
KIAA0232	0.9402
ERCC8	-0.50525
GPX4	0.26725
KIAA0368	0.387625
GPR157	-1.1155
CTAGE4	0.365
C9orf30	-1.346
OR52A1	0.5375
HSP90B3P	-0.0835
ALG9	-0.0662
BTBD10	0.65825
SDK2	-0.2775
BAIAP3	-0.66375
RABGGTB	-0.90975
ANKRD40	0.234833333333333
KRT74	0.2365
CALCOCO2	0.930642857142857
SNCA	-2.072
TMSL8	-2.66825
C2orf53	-0.206
ESRRB	-0.14125
ARHGAP26	0.13725
TDRD9	-1.94225
HRAS	-0.173833333333333
KLRC4	-1.7065
JAGN1	0.211166666666667
BSDC1	0.61975
RNF43	0.5878
NDUFAF1	0.372
PHF12	0.44425
OR1L3	0.257
FOLR2	1.69541666666667
LYZL6	-0.0738333333333333
tcag7.1260	1.615
WSB1	-1.258
PROS1	0.9333
OSTN	0.023
PSMB8	0.71425
SOCS4	0.128375
DDIT4L	1.91425
MAS1	0.218
MGC34796	0.67825
CSHL1	0.2485
TBCCD1	0.311166666666667
ZBTB7C	-0.2455
AP2S1	-0.781
P15RS	0.3997
VAT1	-0.931
SHANK3	0.445333333333333
TUFM	-0.693
THEG	0.2765
KRT34	-1.561
SGSM3	0.21275
TOMM22	-0.35725
SOCS3	0.528333333333333
CPO	0.503
POP4	0.254
BHLHB3	3.6925
MALL	2.5415
OR1B1	0.1385
PARK2	0.844833333333333
GPR124	1.194875
LCE1E	-0.117
RUVBL2	-0.74425
CGRRF1	0.8551
ACPL2	0.82625
WNT10B	-2.02725
BAIAP2L2	-2.149
ISCA1	0.838
C1orf125	-0.020625
RPAP1	-0.37825
RAI16	-0.793833333333333
RPL27	-0.1065
NLRP9	0.0975
EPN1	-0.24
LOC388610	0.27975
SLC35A1	1.3812
GAL	-3.98475
SLC14A2	-0.00775
RDH11	-0.2915
FAM138F	-0.0295
AUH	0.9555
FLJ40243	0.59575
C14orf129	0.6285
MBD2	-0.476833333333333
ABHD14B	0.4045
PIGT	-0.18275
ALS2CR4	0.711125
ALAS1	-0.0616
FOXO1	1.744
CRLF3	-0.12025
C20orf107	-0.432
FARS2	0.66625
CCDC28A	0.47425
NPHP3	-0.23575
OR13F1	0.373
TSEN54	-1.06575
DEFB106B	-0.201222222222222
OR8B4	-0.409
STH	0.465
ZC3H14	-0.33475
CBX2	-0.198
TMEM49	-0.3185
C6orf21	0.3015
FLJ20920	1.048125
CRTAP	0.275928571428571
DDX50	0.3255
STYXL1	-0.01975
BLVRB	-0.255666666666667
LOC147650	-0.330666666666667
MMP24	0.17525
GRID1	1.84416666666667
BANF1	-0.544333333333333
CTAGEP	0.06375
HMBS	-1.47875
SLC25A24	0.0556666666666667
C14orf50	1.485
MRO	0.154333333333333
SLC25A15	-0.45275
FAM84B	0.9087
TDP1	-0.855
C16orf78	0.166
C11orf57	-0.131625
RFK	-0.2415
ZFYVE9	-0.885875
STCH	-0.9245
WIBG	0.13525
LOC283871	-0.6875
GBA2	-0.4413
NDUFB3	-0.40725
HSD17B13	-0.07725
GRIN3A	0.918333333333333
FMNL1	-0.829666666666667
SEPT7	-0.1245
GNLY	1.982
GRAMD1C	1.8435
ZNF165	0.198
USP38	1.01825
FAM83A	-2.77716666666667
C14orf24	0.549916666666667
ARMCX3	1.140125
ARHGDIB	0.560666666666667
AK1	-0.201
KIAA1045	0.8065
DNAJB13	0.0285
NEU2	0.607
HIST1H4B	-2.23183333333333
FAM20B	-0.7785
HES2	1.34528571428571
FAM73B	-0.608
LOC388381	0.58175
INTS7	-0.698818181818182
AMPH	2.01725
ZNF775	-0.785
UCKL1	-1.102
C10orf97	0.81325
C1orf161	0.13975
ALDH1L1	1.02825
FLJ39378	-0.0765
SLC23A1	-1.422
RBM4B	0.4575
THAP4	-0.173666666666667
OGFRL1	1.6205
KIAA0831	0.159375
PPP1R15A	0.248833333333333
C1orf96	-0.786857142857143
C12orf11	-1.3435
BMF	-0.1145
MAN1A1	-0.121
KIAA1600	0.762833333333333
NLGN4X	2.72675
ALOX12	-0.951666666666667
RB1CC1	-0.3049
NEIL2	0.881
EIF4E	0.213
ABHD5	0.29625
EXOC4	-0.146666666666667
CIP29	-0.322166666666667
BATF2	0.501
SLC29A4	-0.463
HTR4	0.131
EMB	-0.7455
TRAF6	0.69425
LMNB1	-2.4135
FAM19A5	-0.938875
SHE	2.374
PIK3C2B	1.31725
C15orf15	0.1595
USP15	0.1599
TCEAL2	2.44075
C5orf39	-0.9395
PTGER2	-0.999
SLC31A1	-0.24775
IFT172	0.88425
ADAM29	0.1705
GFOD1	0.177
ST7L	1.182
C15orf26	-2.704
PKN3	-0.82675
CNTD1	2.29916666666667
COMMD1	0.308375
NTRK2	4.31291666666667
FOXN3	0.4385
MFGE8	1.3973
PFKFB2	0.665
TAS2R4	-0.18025
ENTHD1	-0.508
PRMT5	-0.663
MGC16384	-1.26075
LOC442229	-0.8945
TSKU	0.530875
KRTCAP3	2.84425
PDLIM1	0.9563
KCNS2	0.04425
RNF126	-0.223333333333333
CEP63	-0.049625
CLIC4	0.388875
hCG_1990170	2.821
ACR	0.8965
KLK7	4.70525
ALOX5AP	2.56475
RIPK3	2.3505
TAS2R9	0.53
C19orf18	1.551
BIRC6	0.158214285714286
ZNF16	0.9005
RFT1	-0.4145
SLC8A2	-0.246
TACC1	-0.091875
ITGAD	1.01775
SAMHD1	0.4715
SH3PXD2B	1.3041
EPC2	0.8595
C20orf85	1.7975
ATP13A2	0.2695
KRT4	1.7755
CAPNS1	0.30325
MDM2	-1.11025
PCDH20	1.75225
KCNK9	0.2505
OR2C1	-0.023
KLHDC3	-1.08016666666667
IPPK	0.7275
EFHD2	-0.2155
GALR3	-0.568
NBEA	1.34883333333333
ABCA6	3.1181
CLDN3	1.18966666666667
AKT2	-0.316071428571429
EGFR	0.5104
RBM16	0.63475
ZDHHC3	0.4999
SLC25A4	-0.0316666666666667
CYB5B	-0.0731666666666667
CPXM1	0.50175
NDRG1	-1.50584615384615
FLJ43826	0.7545
OR5L2	-0.00833333333333334
FARP2	0.251
MRPL46	-0.625333333333333
LDHAL6B	0.277333333333333
MAPKAPK3	-0.296166666666667
NCAM2	-0.165
PRKD2	0.209666666666667
ZFP36L1	1.3303
CYSLTR1	0.684
OR4C3	0.24
HIST1H2AJ	0.585
CCNB2	-3.51688888888889
ZNF10	0.403375
TMEM175	-0.2425
FAM134A	0.4185
TIGD4	0.179
PCNP	-0.1205
MGC39715	0.38225
LQK1	-1.0895
CREB1	1.0476
TMPRSS3	0.84075
C4orf32	2.116625
LAT	-1.98933333333333
KCNA3	-0.1565
SKIV2L2	-0.222
ROPN1B	3.4145
tcag7.23	0.701
CDT1	-2.57725
ZHX2	1.00025
CD28	-3.45725
ZNF624	1.243
SEPT2	0.09475
SOHLH2	-0.506125
MCOLN3	0.291
UNQ1945	0.05
MASP2	-1.0615
ZNRF3	0.2329
GPATCH3	-0.35325
AGL	0.489625
QRICH2	0.2095
PSD4	0.670166666666667
CCNB1IP1	-0.49525
ENPP7	0.14725
OBFC1	0.568
KCNG3	-1.99575
C14orf79	0.497083333333333
ENPEP	2.42316666666667
SCT	0.1475
SKI	-0.00937499999999999
SEC61G	-1.432
CAPN11	2.4805
ATXN7L3	-0.428
DBNDD1	0.0718333333333333
FAIM	0.68275
ANKRD36	-0.7505
GABRP	4.61433333333333
TACSTD2	2.57583333333333
EIF3J	-0.474
PPP2R2A	0.19025
TEKT4	-0.765333333333333
PVALB	-0.165666666666667
F10	-1.7665
FAM134C	0.1864
COMP	1.40225
EFCBP1	-0.6370625
SCLT1	0.6875
TAL1	-0.9413
ACSL1	1.79725
ABCC5	-0.951083333333333
ABL1	-0.569666666666667
RBBP7	-0.298
PTPRG	-0.086875
NCOR1	-0.1342
SPINK4	-1.87983333333333
TXNRD1	-1.8325
TNRC15	0.62775
C9orf138	0.365125
UBE2H	0.397666666666667
BRDT	0.8965
C8orf31	-0.211
CCNE2	-1.64818181818182
SLC6A8	-2.15575
CALCR	-2.546
PPP1CB	1.8065
ABHD8	-0.184
ARF5	-0.0823
SLC24A4	0.599
CCT3	-0.4215
ZNF121	0.562375
SLC3A2	-0.7687
OR13A1	-0.3105
SLC5A10	-0.33225
RAD50	0.15025
IER5	-0.402875
MTHFD1L	-2.053125
MBTPS2	0.14125
MVK	-0.015625
NCL	-0.0255
PSMD10	0.186
MOBP	-0.187125
FLJ32894	0.202
HRH1	-0.742
C5orf30	0.4715
NUDT16L1	0.216
RASGRP3	3.0725
PRKRIP1	-0.6436
CCDC75	-0.17975
LOC253970	0.09
KIAA1239	0.5775
MED21	-0.59025
SYT11	-0.357166666666667
NTSR2	-0.139
EGFL11	-0.735
CXorf59	-0.3715
OR2A25	0.0145
SPTBN2	-0.10325
LRMP	-0.789666666666667
RNF111	0.3445
PTH	-0.4475
LOC619208	0.348833333333333
KIAA0895	0.90275
RANBP5	-0.224375
P2RY10	0.576666666666667
NME5	4.00066666666667
DDX21	-0.8375
LRSAM1	0.23
HDAC11	0.633166666666667
VMO1	0.85575
NOLA2	-0.3215
ADAR	-0.361333333333333
MTO1	-0.605
SF4	-0.0413333333333333
P2RX1	-0.233333333333333
HBM	-0.0685
EN2	-1.0105
C14orf172	-0.16825
TM9SF2	0.8223
INHBE	-0.789666666666667
TCTE3	-0.18875
TOX2	-2.5675
CTAGE3	0.238
HBB	3.5418
MED15	-0.596
CASR	-0.5215
C6orf66	-0.7235
MTPN	-0.7595
UNC50	0.232
C21orf33	0.435
IRF2	1.078125
PGR	2.406
GPR84	1.8145
CROCCL1	-1.5635
SRPX	0.89025
BRE	0.098
FGF10	1.75125
SDC3	1.61016666666667
ZRSR1	0.1195
DKFZP434P211	-0.56675
SOX6	0.1605
RPUSD2	-0.1005
C14orf173	-0.4275
MAPK11	-0.454333333333333
TBC1D22A	0.402
FAM123A	-0.0435
COL4A6	0.762666666666667
TOMM70A	0.34475
NAB1	0.375
MGC16385	-0.087125
TSPAN18	-0.805166666666667
MED31	-0.1205
PLG	-0.02925
CAPSL	1.4555
ZNF532	1.2371
ASB14	-0.12975
CA8	1.658
NUDT16P	1.32183333333333
SLFN11	-0.498
LRRIQ2	-0.30225
NOL7	-0.894833333333333
BRMS1L	0.0145
JARID1A	0.277333333333333
PANK2	-0.394
ICAM3	-0.91275
MDS1	-0.081
TAF8	-0.5265
RNF139	0.53975
ZNF594	0.0641666666666667
ADAM8	0.07925
SFTPC	-0.149625
MAN2B2	1.27475
RGS12	0.304625
EIF1AY	-4.35625
LRRIQ1	0.692166666666667
GPR150	-0.72875
CCDC21	-1.699
PRRG3	1.242
SAA4	-0.7805
RAPGEF5	1.036125
ZCCHC2	-0.10875
MGC39372	1.298
PPP4R2	0.241666666666667
CDCA2	-2.656
OR4D5	0.412833333333333
PTGFRN	0.3643
SIGLEC5	1.26766666666667
C19orf61	-0.451666666666667
NMUR2	0.7345
KIAA1586	-0.228333333333333
DAGLA	0.814
CHCHD6	-0.23025
GPR32	0.273
NEUROD6	-0.0718333333333333
SLC2A4RG	-0.1579375
CA5B	0.5175
FBXL3	1.934
MPHOSPH9	-1.6215
HMG2L1	0.38525
HCN4	-0.651666666666667
CEACAM19	0.40275
SH2D4B	0.0571666666666667
HFE2	-0.4115
TGM4	0.25
LYPD2	0.02325
TBC1D15	-0.1795
MRPS21	-0.6126
NONO	-0.6716
CLEC5A	0.476625
ITCH	-0.3224
MGAT3	0.450666666666667
MBP	0.09775
RPP25	-1.28825
SOSTDC1	4.777
HRC	-0.90725
TRIM48	0.144
TMEM133	0.87775
ECEL1P2	-0.99975
HOXC11	-0.5965
DOK5	0.9465
HELZ	0.871666666666667
LOC348180	-1.13575
MGC33894	0.2505
ADRB3	-0.025
DMD	1.31141666666667
PTRH2	-0.063
MPEG1	2.79616666666667
NDUFA12	-0.446
KRTAP2-4	0.0820833333333333
STAMBPL1	-1.09166666666667
ADCY2	0.687
UNQ6125	0.036
KLHL20	0.3
SRM	-1.0435
OTC	-0.113
TMIE	0.00200000000000001
SNX8	-0.74525
LIPK	-0.114
CHURC1	0.586333333333333
KLC2	-0.043
HDAC1	-0.386833333333333
FAM128A	-0.243166666666667
FNDC3B	-0.404
MTCP1	-0.0576666666666667
WFDC10B	-0.0251
PCDHGB3	0.3005
ATRNL1	-0.5705
CAV2	1.15925
MED26	-0.0838333333333333
DUS1L	-0.3625
CHRM3	-1.372625
NEK9	0.432
WARS2	-0.04325
TBX22	0.691
TOMM40	-0.812
RP6-213H19.1	-1.29183333333333
TUBGCP5	-0.0415
IGSF6	3.925
TPPP	0.997666666666667
UNQ6190	0.1205
GSTM5	3.08025
BTD	0.708833333333333
PDCD1LG2	0.374833333333333
SNRPB2	-0.4635
ERICH1	0.643375
APOA4	-1.8255
HOXA11	-1.216
NARG1	-0.284375
MKX	-0.541
RAB28	0.102
PKP3	1.01875
SH3GL2	-1.374
CTSO	3.34825
RPN2	-0.3895
IL28RA	0.675333333333333
SFMBT1	0.38675
WDR57	0.14
FER1L3	1.28833333333333
HSF5	0.0186666666666667
TTC9B	-0.29125
C4BPA	0.421333333333333
ALB	-3.32914285714286
SORBS3	0.488875
UPF2	0.0405
JPH1	-0.152
AGBL2	0.06875
DOPEY1	2.1705
TERF1	0.357166666666667
KIF22	-1.37916666666667
NINJ1	0.87375
SEC61A2	-0.753916666666667
HIST1H1D	-1.574
SFXN4	-0.016375
UCP3	0.0553
ZNF703	-0.217
MYL6B	-0.18425
TREM1	-0.22975
OR52E6	0.542
CKMT2	2.90375
HLA-C	1.0525
SLC13A3	-1.17666666666667
TIMP4	0.1805
SLIT2	3.28875
RSF1	0.142722222222222
LONRF1	-0.209
MON1A	0.0846666666666667
CACNG6	-2.35066666666667
DPPA4	-5.5955
ZSWIM3	-0.13925
ZNF804A	0.0758333333333333
CCIN	0.358
SLC25A31	0.405
KCNMB4	0.4305
RABL5	0.489875
GALNS	-0.6108
STX6	0.024625
HIST1H1C	-1.16833333333333
CIDEB	0.1875
CASP4	0.595833333333333
PDK3	-0.3401
KCNJ11	0.7075
TPR	-0.62
ZSCAN20	-0.767
MTX2	-0.322
HIST1H2BH	-0.487
LOC283767	0.83925
LYRM7	-0.872055555555555
BRD3	-0.715666666666667
HIST1H2BO	-0.859
MAGEB10	-0.028
SLC45A1	0.49925
SERPINA3	2.32465
KIAA0143	1.0995
KCNJ16	4.12716666666667
KRT79	0.5635
FABP2	-0.35425
NUT	-0.38175
ZNF57	0.3085
FBXL4	0.25075
CLEC9A	1.8315
UGT8	1.21533333333333
BMP2K	0.5135
MAPK4	-1.416
SLC25A23	-0.703
HINT1	-0.446
KRTAP13-1	0.5745
SFXN5	0.0367
CHCHD2	-0.246083333333333
FAM3D	3.422
NDP	-1.3095
RHOBTB1	-0.716166666666667
SLC4A4	-0.73125
RPL38	0.37925
HTF9C	-0.420166666666667
AP2A2	0.45675
ZBTB46	-0.2935
MAP7D1	-0.11875
AOX1	-0.164166666666667
CYR61	1.189
DTNA	0.6675
JRKL	0.87525
TMOD3	0.1625
EEA1	-0.00250000000000001
ADCK5	-0.69125
IL1R1	1.38866666666667
KLK3	0.5905
HRSP12	-0.3475
KTN1	0.3575
LOH11CR2A	1.5374
RELL2	-1.44025
MAB21L1	2.78525
C20orf59	-0.867333333333333
PHKB	0.433
ADAM2	-1.34316666666667
TBC1D8B	1.15283333333333
FAM13A1	0.4963125
LAPTM4B	-0.286166666666667
LCN8	0.0165
TMEM147	0.1135
SYT4	0.1105
XPO7	-0.6845
C9orf62	-1.1585
GPR75	0.5705
TRIM5	1.04325
APOC1	-0.724666666666667
RNASE4	1.29166666666667
PARD6B	-2.5995
ARID1A	0.264333333333333
TPD52L3	0.0762
RRAGB	0.985666666666667
RCN2	-0.0345
HIST2H2BE	-0.2039375
STARD7	-0.018
SHMT2	-1.326
KIAA1751	-0.3225
MLYCD	0.19075
LOC162632	-0.3034
UQCRH	-1.4285
RP11-217H1.1	-0.1359375
SDHA	-1.34616666666667
NCLN	-0.6378
ZNF17	0.689166666666667
RCBTB2	-0.485
VEGFB	-0.578
RP4-747L4.3	0.82925
COLQ	0.2616
MPN2	-0.891166666666667
DRG2	-0.1065
KLRB1	4.49325
ALPK2	0.772
DNASE2B	0.86825
FLJ23834	0.273833333333333
AXUD1	1.3205
SAFB	-0.5307
NSUN4	-0.3185
RFX2	0.738
MAPK8IP1	0.474166666666667
FANCD2	-1.09778571428571
ANKZF1	-1.43583333333333
C19orf50	-0.272625
DUSP8	1.792
SENP5	-0.71625
NFKBIL2	-1.0615
LBR	-1.498125
IGFL1	0.2565
LZTS2	-0.0705
IL2RG	-0.557875
CCDC51	-0.43225
KLF3	0.50825
ANKRD37	-1.0625
KCTD14	2.802
FZR1	-0.296916666666667
SLC44A4	2.7963
ESPL1	-1.2605
GMPR2	0.1108
TBC1D19	-0.538166666666667
ERGIC1	0.951074074074074
ERBB4	2.2315
TSPAN32	-0.019
MAP4	-0.234
GPHN	0.06
SLC6A2	1.419125
HIVEP1	0.80675
DFFB	-0.2261
EIF4EBP2	0.257375
DMRT1	-1.002
HSPB6	0.48725
IER2	0.630833333333333
AIFM1	-0.40625
WWC2	0.366181818181818
MRPL4	-0.69325
FLJ21062	1.27933333333333
EPB41L4A	1.4145
SH2D6	0.111
TAF4B	-0.19525
GAL3ST3	0.076
MALT1	-0.562166666666667
RTDR1	0.56125
ARVCF	0.5975
MEX3B	0.152833333333333
FBXO16	1.05175
KIF7	-0.51825
C1QC	3.56716666666667
ZNF783	-0.2915
ZNF85	0.75975
MMP13	1.079
KIAA0329	0.9355
RTP3	-0.548
ZBED3	0.09375
CLGN	-2.19175
SLC25A37	-0.220375
hCG_18290	0.65525
OR5AS1	0.602
SMARCC2	0.0545833333333333
FAM109A	-0.307
CCDC12	-0.11125
USF2	-0.0344
DEPDC7	-2.64425
C20orf24	-1.01
JMJD3	0.3295
DSP	1.43114285714286
SLIC1	0.10725
FAM20A	2.403125
IRF2BP2	0.726625
ZNF230	0.099
MSN	-0.333357142857143
SLC9A5	-1.5535
EPDR1	-0.6091
MUSK	0.00433333333333334
