Hybridization REF	TCGA-AR-A0TU-01A-31R-A109-07
ADAM29	0.16425
GFOD1	-1.59
ST7L	0.346333333333333
C15orf26	-2.64275
PKN3	-1.514
CNTD1	-0.549666666666667
COMMD1	0.548875
NTRK2	1.24266666666667
FOXN3	-0.004625
MFGE8	-0.8678
PFKFB2	1.06
TAS2R4	-0.01
ENTHD1	1.47283333333333
PRMT5	0.76325
MGC16384	-0.920125
LOC442229	-0.03875
TSKU	0.515
KRTCAP3	2.40925
PDLIM1	-1.3809
KCNS2	0.1315
RNF126	0.0286666666666667
CEP63	0.011875
CLIC4	0.94525
hCG_1990170	-0.71175
ACR	0.6102
KLK7	4.5535
ALOX5AP	2.298375
RIPK3	1.99725
TAS2R9	-0.004
C19orf18	1.143
BIRC6	0.703642857142857
ZNF16	1.2085
RFT1	0.10075
SLC8A2	-0.2415
TACC1	-1.302625
ITGAD	0.5815
SAMHD1	1.9255
SH3PXD2B	2.2189
EPC2	0.4525
C20orf85	0.256625
ATP13A2	-0.2415
KRT4	0.182625
CAPNS1	-1.12525
MDM2	-0.693333333333333
PCDH20	0.27825
KCNK9	0.184
OR2C1	0.11
KLHDC3	-0.898166666666667
IPPK	1.4565
EFHD2	-0.349375
GALR3	-0.459
NBEA	-0.3705
ABCA6	1.8747
CLDN3	2.111
AKT2	-0.0957857142857143
EGFR	-0.1095
RBM16	1.37525
ZDHHC3	-0.0691
SLC25A4	-1.38433333333333
CYB5B	-0.574
CPXM1	-1.52475
NDRG1	-1.12738461538462
FLJ43826	0.36025
OR5L2	-0.417166666666667
FARP2	-0.4219
MRPL46	-0.87975
LDHAL6B	0.350833333333333
MAPKAPK3	0.07
NCAM2	-1.753
PRKD2	-0.5
ZFP36L1	0.9291
CYSLTR1	-1.33825
OR4C3	0.27925
HIST1H2AJ	-0.515
CCNB2	-0.327777777777778
ZNF10	0.19125
TMEM175	-0.3995
FAM134A	0.377833333333333
TIGD4	0.4895
PCNP	-1.31125
MGC39715	-0.0275
LQK1	-0.8745
CREB1	0.1246
TMPRSS3	-1.804
C4orf32	1.697
LAT	-1.28541666666667
KCNA3	-0.2365
SKIV2L2	-0.7145
ROPN1B	2.68325
tcag7.23	-0.16
CDT1	-0.526625
ZHX2	0.682125
CD28	-2.26425
ZNF624	0.982
SEPT2	-0.04
SOHLH2	1.398375
MCOLN3	-0.782875
UNQ1945	0.2495
MASP2	-0.667
ZNRF3	-0.3388
GPATCH3	0.0925
AGL	0.256
QRICH2	0.049
PSD4	-0.140333333333333
CCNB1IP1	-0.65125
ENPP7	0.0005
OBFC1	-0.713
KCNG3	-1.97
C14orf79	-0.275166666666667
ENPEP	1.21166666666667
SCT	0.2
SKI	0.364
SEC61G	-1.15825
CAPN11	0.20125
ATXN7L3	-0.31625
DBNDD1	1.34016666666667
FAIM	-0.6475
ANKRD36	0.1935
GABRP	5.61766666666667
TACSTD2	1.42066666666667
EIF3J	-0.69875
PPP2R2A	-1.0535
TEKT4	-0.359
PVALB	-3.254
F10	-3.5405
FAM134C	-0.1623
COMP	1.926
EFCBP1	-3.1633125
SCLT1	1.382875
TAL1	-1.5755
ACSL1	0.542
ABCC5	-0.886166666666667
ABL1	-0.570111111111111
RBBP7	0.0368333333333333
PTPRG	-1.598625
NCOR1	-0.0394
SPINK4	-1.75666666666667
TXNRD1	-1.0599
TNRC15	-0.24225
C9orf138	0.37525
UBE2H	0.733833333333333
BRDT	0.0685
C8orf31	-0.0375
CCNE2	0.230545454545455
SLC6A8	-0.747625
CALCR	-3.87525
PPP1CB	0.4745
ABHD8	0.5345
ARF5	1.3098
SLC24A4	0.2585
CCT3	0.676
ZNF121	0.40225
SLC3A2	-0.1288
OR13A1	0.075
SLC5A10	-0.0305
RAD50	-0.80625
IER5	-0.016875
MTHFD1L	0.322125
MBTPS2	-0.05925
MVK	0.033125
NCL	0.7095
PSMD10	0.12925
MOBP	0.089125
FLJ32894	0.2755
HRH1	-2.011
C5orf30	-0.081
NUDT16L1	-0.3543
RASGRP3	2.94666666666667
PRKRIP1	0.1736
CCDC75	-0.65625
LOC253970	0.81225
KIAA1239	-0.07975
MED21	0.000750000000000001
SYT11	-0.244916666666667
NTSR2	-0.131
EGFL11	-0.0665
CXorf59	0.5905
OR2A25	0.4285
SPTBN2	0.65475
LRMP	-1.67316666666667
RNF111	-0.64475
PTH	0.288
LOC619208	-0.1125
KIAA0895	1.33925
RANBP5	-0.359
P2RY10	0.625166666666667
NME5	1.09333333333333
DDX21	0.29425
LRSAM1	-0.893
HDAC11	-0.143
VMO1	2.617
NOLA2	1.04866666666667
ADAR	0.25375
MTO1	-0.341166666666667
SF4	0.289333333333333
P2RX1	-0.041
HBM	-0.003
EN2	-0.3415
C14orf172	0.7845
TM9SF2	-0.7004
INHBE	-0.492
TCTE3	1.33225
TOX2	-2.5215
CTAGE3	0.32475
HBB	3.3046
MED15	-1.03366666666667
CASR	-0.08925
C6orf66	0.244833333333333
MTPN	-1.330375
UNC50	-0.914
C21orf33	-0.69875
IRF2	1.066875
PGR	-2.65716666666667
GPR84	2.49775
CROCCL1	-2.65675
SRPX	-2.4865
BRE	-0.3385
FGF10	-0.02125
SDC3	0.614666666666667
ZRSR1	0.2185
DKFZP434P211	-0.8955
SOX6	0.6785
RPUSD2	0.5845
C14orf173	-0.31625
MAPK11	-0.244333333333333
TBC1D22A	-0.013
FAM123A	0.0155
COL4A6	-2.9045
TOMM70A	0.2245
NAB1	-0.065
MGC16385	0.940625
TSPAN18	-1.51583333333333
MED31	-1.0235
PLG	-0.203
CAPSL	0.2885
ZNF532	1.5341
ASB14	-0.178
CA8	2.48825
NUDT16P	-0.0403333333333333
SLFN11	1.459
LRRIQ2	-0.196625
NOL7	0.0211666666666667
BRMS1L	0.083
JARID1A	0.963333333333333
PANK2	-0.43025
ICAM3	-1.71925
MDS1	-0.55725
TAF8	-0.6315
RNF139	0.68675
ZNF594	-0.407833333333333
ADAM8	1.893625
SFTPC	-0.0835
MAN2B2	0.2845
RGS12	-0.0234375
EIF1AY	-4.02583333333333
LRRIQ1	0.262333333333333
GPR150	-0.41925
CCDC21	-0.113333333333333
PRRG3	0.362
SAA4	-2.62975
RAPGEF5	0.500375
ZCCHC2	1.46233333333333
MGC39372	-0.2545
PPP4R2	0.518166666666667
CDCA2	0.0196666666666667
OR4D5	0.789666666666667
PTGFRN	0.8012
SIGLEC5	1.98166666666667
C19orf61	-0.628
NMUR2	-0.0575
KIAA1586	-0.027
DAGLA	0.859833333333333
CHCHD6	-0.0945
GPR32	0.6885
NEUROD6	0.122833333333333
SLC2A4RG	-0.7985625
CA5B	-0.0685
FBXL3	-0.58675
MPHOSPH9	-1.18675
HMG2L1	0.41125
HCN4	-0.332333333333333
CEACAM19	1.57075
SH2D4B	0.859666666666667
HFE2	-0.37
TGM4	0.1005
LYPD2	0.07275
TBC1D15	-1.03175
MRPS21	0.5823
NONO	0.1783
CLEC5A	2.56875
ITCH	0.623
MGAT3	-1.40216666666667
MBP	1.17075
RPP25	-2.49125
SOSTDC1	1.5525
HRC	-1.92925
TRIM48	0.08
TMEM133	0.676
ECEL1P2	-0.466
HOXC11	1.1075
DOK5	0.144
HELZ	0.995833333333333
LOC348180	0.542
MGC33894	0.462
ADRB3	0.0605
DMD	0.585416666666667
PTRH2	-0.02625
MPEG1	3.04316666666667
NDUFA12	-0.5845
KRTAP2-4	0.09925
STAMBPL1	-0.621166666666667
ADCY2	-0.65
UNQ6125	0.2075
KLHL20	0.568
SRM	-0.279
OTC	0.261
TMIE	-0.112666666666667
SNX8	0.2495
LIPK	-0.2405
CHURC1	-1.448
KLC2	0.1855
HDAC1	0.321
FAM128A	-0.710666666666667
FNDC3B	-0.355
MTCP1	1.02566666666667
WFDC10B	-0.14
PCDHGB3	-0.008
ATRNL1	-1.075
CAV2	-0.3185
MED26	0.934166666666667
DUS1L	1.02625
CHRM3	-1.091375
NEK9	-0.4145
WARS2	0.32675
TBX22	0.03
TOMM40	-0.097
RP6-213H19.1	0.597166666666667
TUBGCP5	-0.05825
IGSF6	4.617
TPPP	0.0666666666666667
UNQ6190	0.25
GSTM5	-0.516
BTD	-0.224666666666667
PDCD1LG2	0.529166666666667
SNRPB2	0.694333333333333
ERICH1	0.649625
APOA4	-1.4605
HOXA11	-1.2035
NARG1	0.085875
MKX	0.316
RAB28	-0.217285714285714
PKP3	1.11025
SH3GL2	1.06075
CTSO	1.43275
RPN2	-0.6159375
IL28RA	0.633166666666667
SFMBT1	-0.4275
WDR57	1.41375
FER1L3	-0.529083333333333
HSF5	0.241666666666667
TTC9B	-0.2105
C4BPA	-3.14066666666667
ALB	-3.76428571428571
SORBS3	-1.11875
UPF2	2.2755
JPH1	1.1325
AGBL2	0.193
DOPEY1	1.8865
TERF1	0.416
KIF22	0.156333333333333
NINJ1	0.42325
SEC61A2	0.681833333333333
HIST1H1D	-0.878333333333333
SFXN4	-0.054375
UCP3	0.6288
ZNF703	-0.182666666666667
MYL6B	-0.24175
TREM1	2.885
OR52E6	0.5125
CKMT2	-1.36475
HLA-C	2.460625
SLC13A3	0.993833333333333
TIMP4	-3.1675
SLIT2	2.787
RSF1	0.561833333333333
LONRF1	0.611571428571429
MON1A	0.29
CACNG6	-2.0585
DPPA4	-5.41766666666667
ZSWIM3	-0.4135
ZNF804A	0.0153333333333333
CCIN	1.362
SLC25A31	0.09375
KCNMB4	0.704
RABL5	0.573125
GALNS	0.3645
STX6	1.6235
HIST1H1C	-2.92533333333333
CIDEB	0.4405
CASP4	-0.591166666666667
PDK3	1.1544
KCNJ11	0.904
TPR	0.321125
ZSCAN20	0.039
MTX2	-0.4575
HIST1H2BH	-0.7475
LOC283767	1.76575
LYRM7	-1.24277777777778
BRD3	0.3755
HIST1H2BO	-1.038
MAGEB10	-0.46
SLC45A1	-0.39075
SERPINA3	-0.29155
KIAA0143	0.0655
KCNJ16	2.68483333333333
KRT79	0.15
FABP2	-0.452
NUT	1.50825
ZNF57	0.15525
FBXL4	-0.173
CLEC9A	0.314
UGT8	4.03366666666667
BMP2K	0.9485
MAPK4	0.75125
SLC25A23	-0.1061
HINT1	-0.7356
KRTAP13-1	0.258
SFXN5	-0.3733
CHCHD2	-0.451583333333333
FAM3D	3.541
NDP	-2.2325
RHOBTB1	0.709833333333333
SLC4A4	-1.45775
RPL38	0.81725
HTF9C	-0.686
AP2A2	0.10475
ZBTB46	-0.7485
MAP7D1	0.70975
AOX1	-2.09983333333333
CYR61	-0.1455
DTNA	-1.10421428571429
JRKL	0.37325
TMOD3	0.26225
EEA1	-0.0129
ADCK5	0.43675
IL1R1	0.154
KLK3	0.0180714285714286
HRSP12	0.56575
KTN1	0.25825
LOH11CR2A	-0.6984
RELL2	-1.086
MAB21L1	-0.143
C20orf59	-0.628166666666667
PHKB	-0.47325
ADAM2	-1.6555
TBC1D8B	0.554166666666667
FAM13A1	0.213
LAPTM4B	0.33075
LCN8	0.2195
TMEM147	0.297
SYT4	0.367166666666667
XPO7	-0.3825
C9orf62	-0.38775
GPR75	0.2855
TRIM5	0.557625
APOC1	0.778833333333333
RNASE4	-0.881
PARD6B	-2.975125
ARID1A	0.795916666666667
TPD52L3	0.084
RRAGB	0.433166666666667
RCN2	-0.965
HIST2H2BE	-1.06225
STARD7	0.5625
SHMT2	-0.3935
KIAA1751	0.213166666666667
MLYCD	0.604375
LOC162632	-0.9354
UQCRH	0.54125
RP11-217H1.1	0.0706875
SDHA	-1.55583333333333
NCLN	0.1247
ZNF17	-0.1545
RCBTB2	-3.4925
VEGFB	0.1516
RP4-747L4.3	0.1085
COLQ	0.2374
MPN2	-0.754166666666667
DRG2	-0.6705
KLRB1	3.869
ALPK2	-3.4295
DNASE2B	0.30275
FLJ23834	0.749
AXUD1	0.871833333333333
SAFB	0.5002
NSUN4	1.3755
RFX2	-0.539333333333333
MAPK8IP1	-0.0693333333333333
FANCD2	0.436428571428571
ANKZF1	-1.33533333333333
C19orf50	0.907
DUSP8	0.484125
SENP5	0.0495
NFKBIL2	-0.07525
LBR	-0.21525
IGFL1	-0.2585
LZTS2	-0.38175
IL2RG	0.131375
CCDC51	-0.60475
KLF3	0.5855
ANKRD37	-2.53625
KCTD14	-1.2985
FZR1	0.287583333333333
SLC44A4	-1.5836
ESPL1	-0.38025
GMPR2	-0.3045
TBC1D19	-1.06283333333333
ERGIC1	-0.0166296296296296
ERBB4	-1.1985
TSPAN32	0.607583333333333
MAP4	-0.095875
GPHN	-0.24525
SLC6A2	0.220125
HIVEP1	0.47575
DFFB	0.8374
EIF4EBP2	0.237625
DMRT1	-0.25075
HSPB6	-0.05925
IER2	0.606166666666667
AIFM1	0.80975
WWC2	0.321333333333333
MRPL4	0.86925
FLJ21062	-0.0845
EPB41L4A	-1.05475
SH2D6	0.2375
TAF4B	0.6695
GAL3ST3	-0.1345
MALT1	-0.504833333333333
RTDR1	1.1395
ARVCF	-0.445625
MEX3B	0.510166666666667
FBXO16	-2.82925
KIF7	-0.74975
C1QC	4.0675
ZNF783	0.967
ZNF85	1.02075
MMP13	-0.802
KIAA0329	-0.081125
RTP3	-0.9645
ZBED3	1.09025
CLGN	-4.846
SLC25A37	-0.404625
hCG_18290	0.8055
OR5AS1	0.1975
SMARCC2	-0.153083333333333
FAM109A	0.181
CCDC12	-0.0445
USF2	-0.0567
DEPDC7	-0.20825
C20orf24	-0.9105
JMJD3	0.343
DSP	0.856714285714286
SLIC1	0.448375
FAM20A	1.3805
IRF2BP2	0.761125
ZNF230	-0.279
MSN	0.0228571428571429
SLC9A5	-1.9185
EPDR1	-1.8568
MUSK	-0.0553333333333333
ZNF434	-1.00833333333333
SMARCD1	-0.286
