Hybridization REF	TCGA-A8-A08T-01A-21R-A00Z-07
FUT4	-0.36875
ACF	-3.35425
LOC158381	0.3275
CDH8	-0.435
AGPS	-0.704333333333333
C4orf18	2.6005
PECI	-0.162833333333333
UNG	-0.4145
GSTP1	-2.3115
DCUN1D5	-1.28716666666667
DKFZP564J0863	-1.11925
SLC9A3R1	0.406125
BCDO2	-0.43275
CHMP7	-0.614375
REM2	0.062
DNHD1	-0.6725
FKBP4	-0.447
ZNF350	2.25675
MGC11102	-0.46625
BST1	0.9945
KISS1R	0.6305
NCR2	0.336
DEFB125	0.8165
UBE2W	2.530625
KRT15	-1.074625
C10orf99	0.0995
SCN11A	0.0795
GFI1	-2.686
RDHE2	2.40133333333333
FHL1	-0.900166666666667
OSGEP	-0.2445
GATA1	-3.05683333333333
SMC6	-1.31
TTTY14	-1.31575
LPIN3	0.00200000000000002
RPL4	0.2398
RBPMS	0.4135
PRPF3	0.290833333333333
EMR1	-2.556
SPATA19	-0.1935
XCR1	0.645
IRX3	0.8543
RBM6	-0.20875
KLF4	0.607
UNC5CL	0.36675
SEBOX	0.2915
BTK	-0.7515
KRCC1	1.05675
C6orf27	0.561
SYTL5	-1.4035
PRND	2.534
LOC653319	-1.671
PIGL	-1.147875
HUS1	-0.598833333333333
SFRS6	0.005
C17orf77	-0.045
UIMC1	-0.574166666666667
FXYD2	-1.9201
LOC283152	-0.61875
ZNF667	-1.3755
ZCCHC12	-0.8365
TFEC	2.6443
ATP7B	1.01333333333333
POLD2	-0.643833333333333
RG9MTD1	0.1035
ACOT2	0.262
HIST1H4I	-0.913625
PPARGC1A	-2.546
ETFA	-1.2541
POLRMT	-0.13325
ZNF146	0.300375
MIA2	-0.246
KLHL6	-0.741333333333333
HOXB5	-1.238125
NENF	0.736833333333333
CUGBP1	0.5275
PRSS22	0.790333333333333
CASC4	1.339
CUL4B	0.3234
CENPJ	-1.5814
PITX1	-0.539166666666667
FLJ31033	-0.907
CELSR3	0.0438333333333333
ZNF568	0.95675
ITSN1	0.00983333333333332
EHBP1L1	-0.836666666666667
C19orf2	-0.43975
DCTN1	0.1655
LIN28B	-4.53633333333333
TNKS2	-0.1205
C1QBP	-0.2555
CADPS2	0.23925
SRMS	0.369
GJA9	0.4565
MGC24975	-0.170833333333333
TRIM45	0.280833333333333
TSP50	-0.354
TCP1	-1.21925
TMED7	0.1735
CMA1	0.6575
CENPL	-0.981
PTCRA	-0.142
FST	-3.25725
VWCE	-3.95025
PAWR	0.18175
ABCC12	0.167333333333333
LDLR	-2.0399
ASTN2	1.5828
LOC441212	-1.232
GPATCH8	-0.108
TANC2	-1.80425
KIF4A	-2.417
C18orf18	-3.02475
PGM1	-1.454
KIAA0258	0.49825
CPD	0.1415
SNCAIP	-2.409
DCT	-4.06566666666667
HLA-DOA	2.6615
OR11L1	0.3165
UPK1B	-0.2596
DNAJB4	-0.94325
UGT1A8	-1.20925
HIST1H4L	-0.904
PECR	-0.9335
HSPA2	3.2515
WFIKKN1	-1.605
SERP1	0.4395
SYDE2	1.47875
TACR2	0.1015
NUP85	-0.69075
CD177	-0.290333333333333
LGR5	-1.52633333333333
PIGG	0.182583333333333
PTHR1	-1.76566666666667
RAB5A	0.0605
FLJ13224	-0.1395
USP9Y	-1.97833333333333
C7orf53	-0.999
LRP1B	4.0335
XAF1	0.2867
ABCG8	-1.761
ANKDD1A	-0.542
DAND5	-2.214
SPAG6	0.673
LINCR	1.29
ZDHHC22	-1.770125
CCDC60	0.864
THOC7	-1.02433333333333
TCTA	0.4074
OR8K3	0.0575
NY-REN-7	-0.82575
B2M	1.02033333333333
C6orf141	-0.93125
LPPR4	1.99425
SQLE	0.258625
SEPHS1	-0.4785
BTBD14B	0.294714285714286
PLRG1	0.28775
SPG7	-0.4789375
ZNF614	-0.117333333333333
PARD6G	1.03516666666667
INPP5B	-0.4769
GRPEL2	-0.06325
PPID	-0.6366
TRIM56	-0.378
UBE2J1	-0.08875
IL20RA	1.20975
LOC387856	0.37875
C1orf107	1.55533333333333
UTS2R	0.5455
C19orf22	-0.0985
SAFB2	-0.226125
KIAA0652	0.33125
KLRG1	-1.15483333333333
MS4A8B	0.423333333333333
FRAG1	0.565
KIAA1546	0.9905
E2F4	-1.4516
CLEC4M	0.0473333333333333
BTBD14A	-0.9755
KIAA0999	-0.8531
GYPA	-3.79266666666667
TAC1	0.4339
TRAIP	-1.551
KIAA0232	1.086
ERCC8	-1.91675
GPX4	0.210125
KIAA0368	-0.095375
GPR157	-0.741333333333333
CTAGE4	1.286
C9orf30	-1.54
OR52A1	0.671
HSP90B3P	-0.52
ALG9	-0.5448
BTBD10	0.297
SDK2	0.028
BAIAP3	2.39975
RABGGTB	-0.199
ANKRD40	0.140666666666667
KRT74	-0.028
CALCOCO2	-0.0115714285714286
SNCA	-3.0665
TMSL8	-2.95775
C2orf53	1.501
ESRRB	0.3385
ARHGAP26	-0.974875
TDRD9	-1.70275
HRAS	-0.0738333333333333
KLRC4	-2.4735
JAGN1	-0.2925
BSDC1	0.37825
RNF43	0.4222
NDUFAF1	0.21425
PHF12	0.3175
OR1L3	0.30825
FOLR2	1.86383333333333
LYZL6	0.231
tcag7.1260	-2.135
WSB1	-1.61916666666667
PROS1	-1.4471
OSTN	0.5305
PSMB8	-0.67725
SOCS4	-0.3175
DDIT4L	4.386
MAS1	-0.8895
MGC34796	0.945
CSHL1	-0.0415
TBCCD1	-0.0833333333333333
ZBTB7C	0.4695
AP2S1	-0.842625
P15RS	0.328
VAT1	-0.4198
SHANK3	0.980166666666667
TUFM	0.265
THEG	-0.75575
KRT34	-2.07325
SGSM3	0.719625
TOMM22	-0.229375
SOCS3	0.281333333333333
CPO	1.353
POP4	0.115
BHLHB3	0.71075
MALL	0.3095
OR1B1	0.7835
PARK2	1.0265
GPR124	0.375625
LCE1E	0.4765
RUVBL2	-0.308
CGRRF1	0.6177
ACPL2	0.363
WNT10B	-2.031625
BAIAP2L2	-1.8815
ISCA1	0.486
C1orf125	1.089
RPAP1	-0.5535
RAI16	-0.202
RPL27	-0.222125
NLRP9	0.075
EPN1	0.1645
LOC388610	-0.38825
SLC35A1	0.7869
GAL	-3.9035
SLC14A2	0.1025
RDH11	-0.465
FAM138F	-0.032
AUH	0.17275
FLJ40243	0.17275
C14orf129	0.169
MBD2	-0.395166666666667
ABHD14B	0.34675
PIGT	-0.398125
ALS2CR4	-0.872125
ALAS1	0.0862
FOXO1	1.16533333333333
CRLF3	-0.491625
C20orf107	-0.6565
FARS2	0.98775
CCDC28A	1.626
NPHP3	-0.92525
OR13F1	0.173
TSEN54	-0.61175
DEFB106B	0.117444444444444
OR8B4	0.727
STH	1.66875
ZC3H14	-0.19875
CBX2	0.036
TMEM49	-1.525
C6orf21	0.4135
FLJ20920	1.59775
CRTAP	-0.00499999999999998
DDX50	0.148
STYXL1	0.1705
BLVRB	-0.506
LOC147650	-0.112333333333333
MMP24	0.11275
GRID1	1.1445
BANF1	-0.603166666666667
CTAGEP	0.1875
HMBS	-2.195
SLC25A24	0.0268333333333333
C14orf50	0.81275
MRO	0.145833333333333
SLC25A15	-0.57325
FAM84B	2.6114
TDP1	-0.52
C16orf78	-0.2434
C11orf57	0.33075
RFK	-0.536
ZFYVE9	0.352625
STCH	-1.1746
WIBG	0.2985
LOC283871	-1.0095
GBA2	-0.1177
NDUFB3	-0.6895
HSD17B13	-1.13225
GRIN3A	1.92933333333333
FMNL1	-0.9825
SEPT7	-0.931
GNLY	3.3425
GRAMD1C	1.01083333333333
ZNF165	0.196
USP38	0.67575
FAM83A	-3.42266666666667
C14orf24	0.0904166666666667
ARMCX3	0.805625
ARHGDIB	0.8875
AK1	-0.33425
KIAA1045	-0.06225
DNAJB13	-0.223166666666667
NEU2	0.3465
HIST1H4B	-0.748833333333333
FAM20B	0.3355
HES2	0.939071428571429
FAM73B	-0.3701
LOC388381	-0.17375
INTS7	-0.207181818181818
AMPH	-0.28425
ZNF775	-0.058
UCKL1	-0.0953333333333333
C10orf97	0.3495
C1orf161	0.55175
ALDH1L1	-1.62325
FLJ39378	-0.111625
SLC23A1	-0.799
RBM4B	-0.0505
THAP4	0.775333333333333
OGFRL1	1.108
KIAA0831	0.629375
PPP1R15A	-0.459833333333333
C1orf96	0.269857142857143
C12orf11	-2.04725
BMF	0.585375
MAN1A1	-0.053125
KIAA1600	0.879
NLGN4X	0.82125
ALOX12	-1.55633333333333
RB1CC1	0.4193
NEIL2	0.2685
EIF4E	0.454681818181818
ABHD5	-0.52725
EXOC4	0.0621666666666667
CIP29	-0.6065
BATF2	-0.445
SLC29A4	-0.773875
HTR4	0.73425
EMB	-1.10325
TRAF6	0.351
LMNB1	-2.2035
FAM19A5	-0.056
SHE	1.52775
PIK3C2B	0.37725
C15orf15	-0.0281
USP15	-0.4729
TCEAL2	0.017
C5orf39	-1.448
PTGER2	0.406
SLC31A1	-0.690375
IFT172	0.58125
ADAM29	0.3765
GFOD1	-1.1405
ST7L	0.6565
C15orf26	-3.1225
PKN3	-1.4185
CNTD1	2.99566666666667
COMMD1	0.274
NTRK2	2.32375
FOXN3	0.097625
MFGE8	-0.921
PFKFB2	1.462
TAS2R4	-0.40575
ENTHD1	1.77666666666667
PRMT5	-0.225
MGC16384	-1.150625
LOC442229	-0.01125
TSKU	-0.02975
KRTCAP3	3.2575
PDLIM1	-0.0879
KCNS2	0.46
RNF126	-0.268
CEP63	0.216875
CLIC4	-0.21725
hCG_1990170	-0.4005
ACR	0.3607
KLK7	-0.710333333333333
ALOX5AP	3.390375
RIPK3	3.9125
TAS2R9	0.714
C19orf18	1.7665
BIRC6	-0.277928571428571
ZNF16	0.44
RFT1	-0.453
SLC8A2	-0.99925
TACC1	-0.152375
ITGAD	2.62933333333333
SAMHD1	0.071
SH3PXD2B	0.7045
EPC2	1.1405
C20orf85	0.52475
ATP13A2	0.34
KRT4	0.2895
CAPNS1	0.057
MDM2	-0.278833333333333
PCDH20	2.66625
KCNK9	0.978
OR2C1	0.108
KLHDC3	-0.539833333333333
IPPK	0.8665
EFHD2	-0.294
GALR3	0.462
NBEA	0.242166666666667
ABCA6	2.5194
CLDN3	2.54083333333333
AKT2	-0.402642857142857
EGFR	-1.552
RBM16	0.419625
ZDHHC3	0.2601
SLC25A4	0.783833333333333
CYB5B	-1.845
CPXM1	-1.08575
NDRG1	-0.491923076923077
FLJ43826	0.47575
OR5L2	0.0438333333333333
FARP2	0.6527
MRPL46	-0.405416666666667
LDHAL6B	0.152166666666667
MAPKAPK3	-0.187
NCAM2	0.313
PRKD2	0.507
ZFP36L1	0.7356
CYSLTR1	-0.1295
OR4C3	-0.02375
HIST1H2AJ	0.8805
CCNB2	-2.77122222222222
ZNF10	-0.6235
TMEM175	0.1295
FAM134A	1.28766666666667
TIGD4	-0.5005
PCNP	-0.11
MGC39715	0.13575
LQK1	-0.687
CREB1	0.3105
TMPRSS3	3.245
C4orf32	1.53125
LAT	-1.5625
KCNA3	-0.4945
SKIV2L2	-1.829
ROPN1B	-4.69825
tcag7.23	-0.0425
CDT1	-3.381875
ZHX2	2.22175
CD28	-3.834
ZNF624	1.39825
SEPT2	0.31925
SOHLH2	-1.76825
MCOLN3	-0.704125
UNQ1945	0.3045
MASP2	-0.729
ZNRF3	0.3035
GPATCH3	0.26325
AGL	-0.32925
QRICH2	-0.097
PSD4	1.7175
CCNB1IP1	-1.25025
ENPP7	-0.2685
OBFC1	-0.516
KCNG3	-2.29375
C14orf79	1.35058333333333
ENPEP	1.08383333333333
SCT	2.778
SKI	1.08125
SEC61G	-0.69675
CAPN11	0.0655
ATXN7L3	-0.09975
DBNDD1	-0.424833333333333
FAIM	-0.083
ANKRD36	-0.494
GABRP	-0.376666666666667
TACSTD2	1.82416666666667
EIF3J	-0.3465
PPP2R2A	-1.1455
TEKT4	0.395666666666667
PVALB	-1.91483333333333
F10	-3.189
FAM134C	1.0621
COMP	4.8035
EFCBP1	-3.1169375
SCLT1	0.277375
TAL1	-1.3734
ACSL1	0.85675
ABCC5	0.922666666666667
ABL1	-0.425444444444444
RBBP7	-0.26075
PTPRG	-0.656625
NCOR1	0.2601
SPINK4	-1.14816666666667
TXNRD1	-0.9464
TNRC15	1.014625
C9orf138	1.1575
UBE2H	0.973166666666667
BRDT	2.249
C8orf31	-0.22025
CCNE2	-2.223
SLC6A8	-0.89675
CALCR	-4.05025
PPP1CB	0.464083333333333
ABHD8	-0.42175
ARF5	-0.0554
SLC24A4	0.5515
CCT3	0.54475
ZNF121	0.76425
SLC3A2	-0.8195
OR13A1	0.424
SLC5A10	0.4645
RAD50	0.3095
IER5	0.01425
MTHFD1L	-2.251125
MBTPS2	0.79675
MVK	-0.71175
NCL	0.2275
PSMD10	-0.5075
MOBP	0.33
FLJ32894	-0.4695
HRH1	-0.396833333333333
C5orf30	1.807
NUDT16L1	1.3755
RASGRP3	3.086
PRKRIP1	-0.4043
CCDC75	-0.17225
LOC253970	0.66175
KIAA1239	-0.281
MED21	-0.306
SYT11	0.258416666666667
NTSR2	-0.548
EGFL11	0.4165
CXorf59	0.3725
OR2A25	0.57875
SPTBN2	-1.48325
LRMP	-1.6235
RNF111	0.0895
PTH	-0.2935
LOC619208	1.29633333333333
KIAA0895	1.00775
RANBP5	-0.9695
P2RY10	1.00933333333333
NME5	4.35383333333333
DDX21	-0.659
LRSAM1	0.3215
HDAC11	1.815
VMO1	1.4865
NOLA2	-0.192333333333333
ADAR	1.08058333333333
MTO1	-1.199
SF4	0.677333333333333
P2RX1	-0.0658333333333333
HBM	0.033
EN2	0.516
C14orf172	0.30925
TM9SF2	0.4093
INHBE	-1.18
TCTE3	-0.09775
TOX2	-3.41425
CTAGE3	0.132375
HBB	4.1491
MED15	-0.475333333333333
CASR	0.21175
C6orf66	-1.08266666666667
MTPN	-0.492
UNC50	-0.0145
C21orf33	0.158625
IRF2	0.787375
PGR	-0.239166666666667
GPR84	2.65325
CROCCL1	-1.5355
SRPX	-1.9825
BRE	0.0985
FGF10	2.613
SDC3	-0.3035
ZRSR1	0.668166666666667
DKFZP434P211	0.232625
SOX6	-0.3035
RPUSD2	0.14025
C14orf173	-0.230666666666667
MAPK11	-0.838666666666667
TBC1D22A	0.939
FAM123A	-1.543
COL4A6	-4.08566666666667
TOMM70A	-0.124
NAB1	-0.652625
MGC16385	-0.3615
TSPAN18	-0.348333333333333
MED31	-0.68625
PLG	-1.442
CAPSL	2.411
ZNF532	0.475
ASB14	-0.1155
CA8	0.10975
NUDT16P	2.62916666666667
SLFN11	-1.693
LRRIQ2	-0.04875
NOL7	-0.302166666666667
BRMS1L	-0.863625
JARID1A	0.169166666666667
PANK2	-1.39875
ICAM3	-0.476
MDS1	-0.731
TAF8	-0.595
RNF139	1.75025
ZNF594	1.09
ADAM8	2.20375
SFTPC	-0.110625
MAN2B2	1.424875
RGS12	0.8905625
EIF1AY	-4.5095
LRRIQ1	0.708666666666667
GPR150	0.60525
CCDC21	-1.29616666666667
PRRG3	0.46275
SAA4	-4.15225
RAPGEF5	1.619375
ZCCHC2	0.774666666666667
MGC39372	-0.1285
PPP4R2	0.0603333333333333
CDCA2	-2.87883333333333
OR4D5	0.274333333333333
PTGFRN	0.5749
SIGLEC5	2.00833333333333
C19orf61	0.000833333333333333
NMUR2	0.914
KIAA1586	-1.521
DAGLA	-1.10466666666667
CHCHD6	0.198
GPR32	0.3645
NEUROD6	0.249833333333333
SLC2A4RG	0.00825
CA5B	0.37025
FBXL3	1.42825
MPHOSPH9	-1.31375
HMG2L1	0.607
HCN4	0.228166666666667
CEACAM19	0.3165
SH2D4B	0.240333333333333
HFE2	-1.3685
TGM4	1.0442
LYPD2	0.20425
TBC1D15	0.5215
MRPS21	-1.5113
NONO	-0.478
CLEC5A	2.5585
ITCH	0.1646
MGAT3	-0.694166666666667
MBP	-0.28125
RPP25	-0.41125
SOSTDC1	-3.717
HRC	-1.86975
TRIM48	0.228
TMEM133	-0.76
ECEL1P2	-1.07175
HOXC11	2.321
DOK5	-0.07425
HELZ	0.219333333333333
LOC348180	-0.815
MGC33894	0.44775
ADRB3	0.62
DMD	-0.0331666666666667
PTRH2	-0.49025
MPEG1	2.91383333333333
NDUFA12	-0.374833333333333
KRTAP2-4	-0.0311666666666667
STAMBPL1	-1.63216666666667
ADCY2	1.537
UNQ6125	0.14
KLHL20	0.0173333333333333
SRM	-0.90925
OTC	-0.00874999999999998
TMIE	0.41
SNX8	0.51225
LIPK	-0.428
CHURC1	0.286916666666667
KLC2	0.238833333333333
HDAC1	-0.543666666666667
FAM128A	0.0385
FNDC3B	-1.1564
MTCP1	-1.15683333333333
WFDC10B	0.029
PCDHGB3	0.532
ATRNL1	-0.2543
CAV2	-0.734625
MED26	0.184333333333333
DUS1L	0.32075
CHRM3	-1.747
NEK9	0.44025
WARS2	0.4445
TBX22	1.123
TOMM40	-0.8145
RP6-213H19.1	-2.495
TUBGCP5	-0.4825
IGSF6	5.303
TPPP	0.83
UNQ6190	-1.5895
GSTM5	0.883875
BTD	0.667166666666667
PDCD1LG2	-0.120333333333333
SNRPB2	-0.690166666666667
ERICH1	-1.479875
APOA4	-1.88975
HOXA11	-1.12925
NARG1	0.120375
MKX	0.25
RAB28	0.244214285714286
PKP3	1.33325
SH3GL2	0.518
CTSO	2.763
RPN2	0.091875
IL28RA	0.348166666666667
SFMBT1	0.2355
WDR57	-0.842625
FER1L3	1.09091666666667
HSF5	0.710333333333333
TTC9B	0.015
C4BPA	-3.4805
ALB	-3.58757142857143
SORBS3	-0.285
UPF2	-0.148
JPH1	0.622
AGBL2	-0.984
DOPEY1	1.3045
TERF1	1.24225
KIF22	-0.669833333333333
NINJ1	0.95725
SEC61A2	-0.971333333333333
HIST1H1D	-1.71983333333333
SFXN4	0.6045
UCP3	0.0435
ZNF703	1.5405
MYL6B	-0.50375
TREM1	2.2455
OR52E6	0.929
CKMT2	1.91375
HLA-C	1.3245
SLC13A3	-2.019
TIMP4	-2.31325
SLIT2	2.042
RSF1	-0.0305
LONRF1	-1.37264285714286
MON1A	-0.691166666666667
CACNG6	-1.86916666666667
DPPA4	-5.12033333333333
ZSWIM3	0.10825
ZNF804A	0.303833333333333
CCIN	0.95825
SLC25A31	0.16175
KCNMB4	-1.3335
RABL5	0.264
GALNS	-0.5496
STX6	1.298
HIST1H1C	-1.38133333333333
CIDEB	0.526125
CASP4	-0.3065
PDK3	-0.2139
KCNJ11	2.463
TPR	0.05125
ZSCAN20	0.023
MTX2	0.18875
HIST1H2BH	-0.3595
LOC283767	2.0525
LYRM7	-1.10222222222222
BRD3	0.965
HIST1H2BO	-0.51425
MAGEB10	0.4065
SLC45A1	1.16475
SERPINA3	0.39045
KIAA0143	0.04425
KCNJ16	-0.02
KRT79	0.952
FABP2	-0.41925
NUT	-0.3385
ZNF57	-0.1775
FBXL4	0.62175
CLEC9A	0.71
UGT8	-1.48133333333333
BMP2K	0.1045
MAPK4	-2.74975
SLC25A23	-0.2917
HINT1	-0.3992
KRTAP13-1	-0.048
SFXN5	-0.0309
CHCHD2	-0.180166666666667
FAM3D	1.8125
NDP	2.863375
RHOBTB1	-0.191833333333333
SLC4A4	-1.2885
RPL38	-0.0095
HTF9C	0.091
AP2A2	0.98225
ZBTB46	0.0695
MAP7D1	-0.022375
AOX1	-0.482833333333333
CYR61	0.0595833333333333
DTNA	-0.425
JRKL	-0.55175
TMOD3	-0.57275
EEA1	-0.3116
ADCK5	-1.38575
IL1R1	2.48466666666667
KLK3	0.202571428571429
HRSP12	-0.36625
KTN1	0.43225
LOH11CR2A	0.2991
RELL2	-1.65775
MAB21L1	0.824
C20orf59	-0.975
PHKB	-0.61325
ADAM2	-2.47616666666667
TBC1D8B	1.4115
FAM13A1	-1.39425
LAPTM4B	-0.401416666666667
LCN8	0.1185
TMEM147	0.3295
SYT4	-0.207166666666667
XPO7	-0.8605
C9orf62	0.62475
GPR75	-0.3125
TRIM5	-0.723
APOC1	-0.863
RNASE4	1.0555
PARD6B	-0.597375
ARID1A	0.481083333333333
TPD52L3	0.4284
RRAGB	0.919333333333333
RCN2	-1.088
HIST2H2BE	-0.2394375
STARD7	0.0865
SHMT2	-1.09375
KIAA1751	-0.374833333333333
MLYCD	-0.02575
LOC162632	-0.8467
UQCRH	-1.351
RP11-217H1.1	-0.0318125
SDHA	-0.608666666666667
NCLN	-0.3126
ZNF17	1.10283333333333
RCBTB2	-2.147
VEGFB	-0.3188
RP4-747L4.3	0.35525
COLQ	0.4651
MPN2	-1.2745
DRG2	-0.1995
KLRB1	4.8175
ALPK2	-1.39175
DNASE2B	0.157
FLJ23834	-0.304333333333333
AXUD1	0.423833333333333
SAFB	-0.3156
NSUN4	0.0525
RFX2	0.316333333333333
MAPK8IP1	0.147
FANCD2	-1.38721428571429
ANKZF1	-0.7905
C19orf50	-0.671875
DUSP8	1.67525
SENP5	-0.286875
NFKBIL2	-1.1305
LBR	-1.160875
IGFL1	1.2785
LZTS2	0.381625
IL2RG	-0.760125
CCDC51	0.10975
KLF3	0.72475
ANKRD37	0.454
KCTD14	-2.8945
FZR1	0.586083333333333
SLC44A4	4.2096
ESPL1	-1.138875
GMPR2	-0.5788
TBC1D19	-0.0671666666666667
ERGIC1	0.975740740740741
ERBB4	3.6444
TSPAN32	0.0555833333333333
MAP4	0.142
GPHN	-0.347
SLC6A2	-0.433
HIVEP1	0.1745
DFFB	0.0756
EIF4EBP2	0.3095
DMRT1	-0.396666666666667
HSPB6	0.15025
IER2	-0.0918333333333333
AIFM1	-0.48
WWC2	-0.422833333333333
MRPL4	-0.58675
FLJ21062	1.02066666666667
EPB41L4A	1.33025
SH2D6	0.268
TAF4B	0.0495
GAL3ST3	-0.434
MALT1	-0.974333333333333
RTDR1	0.36325
ARVCF	0.982375
MEX3B	-1.61716666666667
FBXO16	0.4865
KIF7	-0.717
C1QC	4.15683333333333
ZNF783	-0.480166666666667
ZNF85	-0.69275
MMP13	1.4375
KIAA0329	0.283625
RTP3	-0.4795
ZBED3	-0.55225
CLGN	-0.9795
SLC25A37	-1.62258333333333
hCG_18290	0.0645
OR5AS1	0.529
SMARCC2	0.33225
FAM109A	0.4205
CCDC12	-0.284
USF2	0.2468
DEPDC7	-2.3575
C20orf24	-1.06266666666667
JMJD3	0.5715
DSP	2.57907142857143
SLIC1	0.556375
FAM20A	0.26125
IRF2BP2	0.196375
ZNF230	0.2045
MSN	-0.907928571428571
SLC9A5	-1.987
EPDR1	-0.9322
MUSK	-0.308
ZNF434	-0.144
SMARCD1	-1.11183333333333
