Hybridization REF	TCGA-C8-A12M-01A-11R-A115-07
STH	1.81225
ZC3H14	-1.13175
CBX2	0.2255
TMEM49	0.98525
C6orf21	0.634
FLJ20920	-2.49575
CRTAP	0.210357142857143
DDX50	-0.90825
STYXL1	-0.27925
BLVRB	0.3965
LOC147650	0.174833333333333
MMP24	0.456
GRID1	2.04933333333333
BANF1	-0.970833333333333
CTAGEP	-0.2205
HMBS	-2.966
SLC25A24	-0.0438333333333334
C14orf50	-0.30925
MRO	0.0796666666666667
SLC25A15	-0.85725
FAM84B	2.476
TDP1	-0.8175
C16orf78	0.0746
C11orf57	0.1135
RFK	-0.20775
ZFYVE9	-0.0910000000000001
STCH	-0.8802
WIBG	-0.2335
LOC283871	-0.605166666666667
GBA2	0.377
NDUFB3	0.266
HSD17B13	-0.4465
GRIN3A	0.857166666666667
FMNL1	-1.35216666666667
SEPT7	-0.791
GNLY	2.9025
GRAMD1C	0.261666666666667
ZNF165	0.496
USP38	1.211
FAM83A	-3.33616666666667
C14orf24	1.691
ARMCX3	1.424875
ARHGDIB	-0.645666666666667
AK1	0.53325
KIAA1045	-0.262
DNAJB13	0.011
NEU2	0.274
HIST1H4B	-1.27466666666667
FAM20B	-0.5259
HES2	0.373571428571429
FAM73B	-0.0578
LOC388381	-0.20675
INTS7	-1.35036363636364
AMPH	-0.4635
ZNF775	0.250125
UCKL1	-0.0375
C10orf97	0.153
C1orf161	-0.1395
ALDH1L1	-0.86475
FLJ39378	0.575875
SLC23A1	-2.178
RBM4B	-0.0365
THAP4	0.7105
OGFRL1	-1.21175
KIAA0831	0.45275
PPP1R15A	-0.0908333333333333
C1orf96	-0.886785714285714
C12orf11	-1.702
BMF	1.470375
MAN1A1	-0.74325
KIAA1600	0.286
NLGN4X	-2.2495
ALOX12	-1.0395
RB1CC1	2.1061
NEIL2	-0.1447
EIF4E	-0.330954545454546
ABHD5	-0.65625
EXOC4	1.0395
CIP29	-0.785833333333333
BATF2	-0.19925
SLC29A4	-0.276375
HTR4	-0.19275
EMB	-0.4875
TRAF6	0.31475
LMNB1	-2.502
FAM19A5	-2.471375
SHE	1.836
PIK3C2B	1.15475
C15orf15	-0.4366
USP15	-0.4395
TCEAL2	-0.92325
C5orf39	-1.61383333333333
PTGER2	-1.97725
SLC31A1	-0.4966875
IFT172	-0.063
ADAM29	0.45025
GFOD1	-0.92575
ST7L	0.319666666666667
C15orf26	-2.86625
PKN3	-1.254
CNTD1	2.19666666666667
COMMD1	0.69025
NTRK2	1.1745
FOXN3	-0.220625
MFGE8	-0.1917
PFKFB2	0.798333333333333
TAS2R4	0.47325
ENTHD1	0.0298333333333333
PRMT5	0.271375
MGC16384	-1.5015
LOC442229	-0.5205
TSKU	3.5495
KRTCAP3	1.94775
PDLIM1	-0.4819
KCNS2	0.2405
RNF126	-0.879666666666667
CEP63	0.21825
CLIC4	-0.31775
hCG_1990170	-0.925333333333333
ACR	0.6901
KLK7	-0.732
ALOX5AP	1.254
RIPK3	1.4245
TAS2R9	0.034
C19orf18	1.9315
BIRC6	0.0771428571428572
ZNF16	2.1015
RFT1	-0.57575
SLC8A2	0.206
TACC1	-0.691625
ITGAD	1.27966666666667
SAMHD1	-0.018
SH3PXD2B	1.192
EPC2	1.79175
C20orf85	0.254428571428571
ATP13A2	0.577
KRT4	0.073625
CAPNS1	0.57375
MDM2	0.862416666666667
PCDH20	-0.124
KCNK9	1.0435
OR2C1	0.225
KLHDC3	-0.136166666666667
IPPK	0.458
EFHD2	-0.908
GALR3	1.066
NBEA	2.4485
ABCA6	1.6892
CLDN3	1.799
AKT2	0.115428571428571
EGFR	-3.1283
RBM16	0.208875
ZDHHC3	0.5823
SLC25A4	0.875166666666667
CYB5B	-1.23283333333333
CPXM1	-1.08525
NDRG1	0.993384615384615
FLJ43826	0.37425
OR5L2	0.59775
FARP2	0.1973
MRPL46	-0.398916666666667
LDHAL6B	-0.0293333333333334
MAPKAPK3	0.141333333333333
NCAM2	-1.5105
PRKD2	0.417
ZFP36L1	-0.4945
CYSLTR1	-0.6225
OR4C3	0.4585
HIST1H2AJ	2.0825
CCNB2	-2.65244444444444
ZNF10	0.0795
TMEM175	0.2435
FAM134A	1.40316666666667
TIGD4	-0.2715
PCNP	-0.22575
MGC39715	0.2565
LQK1	-1.2175
CREB1	0.7701
TMPRSS3	-2.35275
C4orf32	-0.08275
LAT	-0.958
KCNA3	0.1385
SKIV2L2	-1.36125
ROPN1B	-3.92125
tcag7.23	-0.114
CDT1	-2.50675
ZHX2	2.61975
CD28	-2.686
ZNF624	1.13175
SEPT2	-0.209333333333333
SOHLH2	-2.445875
MCOLN3	-1.171625
UNQ1945	0.4715
MASP2	-0.9655
ZNRF3	-0.1435
GPATCH3	-0.26825
AGL	1.677375
QRICH2	-0.0635
PSD4	1.01083333333333
CCNB1IP1	-1.915
ENPP7	0.1
OBFC1	-0.30575
KCNG3	-2.255
C14orf79	0.579916666666667
ENPEP	1.852
SCT	1.0285
SKI	0.060375
SEC61G	-0.7845
CAPN11	-0.4185
ATXN7L3	-0.04875
DBNDD1	1.4685
FAIM	-0.13025
ANKRD36	-0.276
GABRP	-0.517166666666667
TACSTD2	-0.440666666666667
EIF3J	-0.25725
PPP2R2A	-2.0945
TEKT4	-1.0975
PVALB	2.71116666666667
F10	-3.58316666666667
FAM134C	1.3568
COMP	4.291375
EFCBP1	-3.7290625
SCLT1	0.817625
TAL1	-1.1229
ACSL1	1.825
ABCC5	1.84791666666667
ABL1	-0.130944444444444
RBBP7	-0.337166666666667
PTPRG	-1.426
NCOR1	-0.00650000000000001
SPINK4	0.848
TXNRD1	-1.3782
TNRC15	1.094375
C9orf138	2.156875
UBE2H	1.71416666666667
BRDT	0.381166666666667
C8orf31	0.5025
CCNE2	-0.143272727272727
SLC6A8	-1.656375
CALCR	-2.68366666666667
PPP1CB	0.595
ABHD8	-0.453
ARF5	0.1398
SLC24A4	0.32725
CCT3	0.69475
ZNF121	0.728375
SLC3A2	-1.7277
OR13A1	0.1445
SLC5A10	0.76725
RAD50	0.580375
IER5	0.132
MTHFD1L	-3.18275
MBTPS2	-0.08375
MVK	-1.209875
NCL	-0.7119
PSMD10	-0.04475
MOBP	0.662375
FLJ32894	-0.413
HRH1	-0.453666666666667
C5orf30	2.64325
NUDT16L1	0.8096
RASGRP3	4.06766666666667
PRKRIP1	-0.257
CCDC75	0.2125
LOC253970	0.31525
KIAA1239	0.08025
MED21	-0.609
SYT11	0.210083333333333
NTSR2	0.2155
EGFL11	0.429
CXorf59	-0.0365
OR2A25	-0.16775
SPTBN2	0.14175
LRMP	-1.4796
RNF111	0.30975
PTH	0.3525
LOC619208	0.3045
KIAA0895	1.01075
RANBP5	-1.099875
P2RY10	1.11066666666667
NME5	4.66633333333333
DDX21	-1.4135
LRSAM1	0.953
HDAC11	1.44616666666667
VMO1	1.23025
NOLA2	0.560333333333333
ADAR	0.656916666666667
MTO1	-0.0653333333333333
SF4	0.357666666666667
P2RX1	0.284
HBM	-0.0195
EN2	0.6865
C14orf172	-0.184
TM9SF2	0.6874
INHBE	-0.6705
TCTE3	-0.393083333333333
TOX2	-1.74225
CTAGE3	-0.20775
HBB	3.9487
MED15	-0.912666666666667
CASR	-0.08275
C6orf66	-1.51266666666667
MTPN	0.51575
UNC50	0.0665
C21orf33	0.370875
IRF2	1.09525
PGR	-2.45033333333333
GPR84	0.9155
CROCCL1	-1.80525
SRPX	-2.18725
BRE	0.3205
FGF10	0.00849999999999998
SDC3	-0.8975
ZRSR1	0.410166666666667
DKFZP434P211	-0.391
SOX6	-0.5035
RPUSD2	-0.7115
C14orf173	-0.403166666666667
MAPK11	-0.017
TBC1D22A	-0.1125
FAM123A	0.57
COL4A6	-4.27383333333333
TOMM70A	0.76
NAB1	-1.39075
MGC16385	-0.0835
TSPAN18	0.492666666666667
MED31	0.466
PLG	0.25325
CAPSL	1.2015
ZNF532	-0.4435
ASB14	0.18775
CA8	-1.9115
NUDT16P	-0.693166666666667
SLFN11	-1.4815
LRRIQ2	0.269375
NOL7	-0.500333333333333
BRMS1L	-1.188875
JARID1A	0.4795
PANK2	-1.52475
ICAM3	-0.4215
MDS1	-0.00449999999999999
TAF8	-0.138
RNF139	2.661
ZNF594	0.369833333333333
ADAM8	-0.0465
SFTPC	-0.379875
MAN2B2	1.693
RGS12	0.811875
EIF1AY	-4.31790909090909
LRRIQ1	1.21416666666667
GPR150	1.05075
CCDC21	-1.177
PRRG3	0.5325
SAA4	-4.6005
RAPGEF5	1.69075
ZCCHC2	0.300416666666667
MGC39372	-0.4405
PPP4R2	0.0463333333333333
CDCA2	-2.96033333333333
OR4D5	0.541666666666667
PTGFRN	-0.1604
SIGLEC5	0.430666666666667
C19orf61	-0.2225
NMUR2	0.02
KIAA1586	-0.719666666666667
DAGLA	-1.48033333333333
CHCHD6	0.03475
GPR32	-0.2835
NEUROD6	0.0523333333333333
SLC2A4RG	-0.394375
CA5B	0.70775
FBXL3	0.52375
MPHOSPH9	-1.594
HMG2L1	-0.82825
HCN4	0.484
CEACAM19	0.68525
SH2D4B	0.540666666666667
HFE2	-0.6095
TGM4	0.4312
LYPD2	-0.14775
TBC1D15	1.014
MRPS21	-1.5776
NONO	0.1192
CLEC5A	0.1845
ITCH	-0.1728
MGAT3	-1.28183333333333
MBP	-1.033875
RPP25	-2.68625
SOSTDC1	-0.47775
HRC	-0.93075
TRIM48	0.036
TMEM133	-0.4235
ECEL1P2	-0.8545
HOXC11	-0.099
DOK5	-1.37625
HELZ	0.671166666666667
LOC348180	-0.59425
MGC33894	0.25175
ADRB3	0.8955
DMD	-0.178583333333333
PTRH2	1.0415
MPEG1	2.832
NDUFA12	1.265
KRTAP2-4	-0.239166666666667
STAMBPL1	-1.68033333333333
ADCY2	-1.5114
UNQ6125	0.8135
KLHL20	0.366833333333333
SRM	-1.07375
OTC	-0.20375
TMIE	0.042
SNX8	-0.9925
LIPK	-0.138
CHURC1	1.48075
KLC2	0.380666666666667
HDAC1	-0.156833333333333
FAM128A	0.958
FNDC3B	-0.8983
MTCP1	-1.1345
WFDC10B	0.3137
PCDHGB3	1.1395
ATRNL1	-0.575
CAV2	-0.443125
MED26	0.202666666666667
DUS1L	1.9225
CHRM3	-0.72425
NEK9	0.34125
WARS2	0.4955
TBX22	-0.177
TOMM40	-0.98925
RP6-213H19.1	-2.8815
TUBGCP5	-0.255
IGSF6	4.67425
TPPP	1.318
UNQ6190	-0.485
GSTM5	-0.47125
BTD	0.808
PDCD1LG2	0.00216666666666666
SNRPB2	-0.672
ERICH1	-0.973125
APOA4	-1.25825
HOXA11	-0.57125
NARG1	-0.315125
MKX	-1.42275
RAB28	-0.902857142857143
PKP3	-0.1825
SH3GL2	-1.0085
CTSO	3.3405
RPN2	0.41925
IL28RA	0.0133333333333333
SFMBT1	-0.48125
WDR57	-1.933875
FER1L3	0.446333333333333
HSF5	0.136166666666667
TTC9B	0.43675
C4BPA	-3.67083333333333
ALB	-5.40633333333333
SORBS3	-0.036375
UPF2	0.134
JPH1	-0.0865
AGBL2	0.9815
DOPEY1	-0.116
TERF1	1.32591666666667
KIF22	-0.817166666666667
NINJ1	1.512
SEC61A2	-0.462
HIST1H1D	-0.471666666666667
SFXN4	-0.066
UCP3	-0.2878
ZNF703	2.54883333333333
MYL6B	-0.31475
TREM1	-0.515
OR52E6	0.49
CKMT2	0.0635
HLA-C	1.67775
SLC13A3	-1.267
TIMP4	-3.375
SLIT2	1.29825
RSF1	-0.117
LONRF1	-2.07328571428571
MON1A	-0.915333333333333
CACNG6	3.36583333333333
DPPA4	-6.19016666666667
ZSWIM3	0.776
ZNF804A	0.3965
CCIN	0.57625
SLC25A31	0.4365
KCNMB4	-0.076
RABL5	0.449375
GALNS	0.3957
STX6	0.431
HIST1H1C	1.15366666666667
CIDEB	-1.18725
CASP4	-0.265833333333333
PDK3	-0.3944
KCNJ11	0.62
TPR	-0.236625
ZSCAN20	-1.3855
MTX2	0.09
HIST1H2BH	0.22625
LOC283767	1.42125
LYRM7	-1.03266666666667
BRD3	1.24266666666667
HIST1H2BO	0.2475
MAGEB10	-0.387
SLC45A1	0.9255
SERPINA3	1.65465
KIAA0143	1.679
KCNJ16	-0.498
KRT79	0.04975
FABP2	-0.52825
NUT	0.19625
ZNF57	-0.11625
FBXL4	-0.460625
CLEC9A	0.3295
UGT8	-1.34366666666667
BMP2K	0.44525
MAPK4	-3.76625
SLC25A23	0.0796
HINT1	-1.5671
KRTAP13-1	0.349
SFXN5	0.5678
CHCHD2	-0.106333333333333
FAM3D	0.078
NDP	-3.73725
RHOBTB1	0.644
SLC4A4	-0.502625
RPL38	1.71025
HTF9C	-0.758666666666667
AP2A2	0.46425
ZBTB46	0.221
MAP7D1	-0.194625
AOX1	-1.45433333333333
CYR61	-0.572666666666667
DTNA	1.45671428571429
JRKL	-0.986
TMOD3	-0.29025
EEA1	-0.499
ADCK5	0.09675
IL1R1	-0.695666666666667
KLK3	0.132285714285714
HRSP12	1.007
KTN1	0.1515
LOH11CR2A	-0.1007
RELL2	-0.12825
MAB21L1	0.30175
C20orf59	-0.214166666666667
PHKB	-0.0205
ADAM2	-1.94916666666667
TBC1D8B	1.7015
FAM13A1	-2.2555625
LAPTM4B	1.2035
LCN8	-0.4885
TMEM147	0.3395
SYT4	1.36966666666667
XPO7	-1.573
C9orf62	1.10075
GPR75	0.659
TRIM5	-0.98875
APOC1	-1.18
RNASE4	-0.323166666666667
PARD6B	-2.307
ARID1A	0.472833333333333
TPD52L3	-0.202
RRAGB	1.587
RCN2	-0.3425
HIST2H2BE	2.498125
STARD7	-0.626
SHMT2	-1.94475
KIAA1751	-0.119666666666667
MLYCD	0.738375
LOC162632	0.0931
UQCRH	-1.07225
RP11-217H1.1	0.0671875
SDHA	-0.996833333333333
NCLN	-0.5315
ZNF17	0.539333333333333
RCBTB2	-1.8555
VEGFB	-1.4423
RP4-747L4.3	1.242
COLQ	0.4114
MPN2	-0.9905
DRG2	0.245
KLRB1	4.7125
ALPK2	-5.02975
DNASE2B	0.28575
FLJ23834	0.582666666666667
AXUD1	-0.127666666666667
SAFB	-0.3879
NSUN4	0.0555
RFX2	1.02616666666667
MAPK8IP1	-0.0401666666666667
FANCD2	-1.20307142857143
ANKZF1	-1.33066666666667
C19orf50	-1.090625
DUSP8	1.79875
SENP5	-0.62225
NFKBIL2	0.13825
LBR	-2.614625
IGFL1	-0.025
LZTS2	-0.16425
IL2RG	-0.221125
CCDC51	0.1295
KLF3	0.0843749999999999
ANKRD37	-1.349
KCTD14	-2.68783333333333
FZR1	0.0718333333333333
SLC44A4	1.143
ESPL1	-0.637875
GMPR2	-0.781
TBC1D19	-0.534166666666667
ERGIC1	1.42885185185185
ERBB4	0.0574444444444444
TSPAN32	0.337416666666667
MAP4	-0.18525
GPHN	-0.89275
SLC6A2	-0.2585
HIVEP1	-0.97775
DFFB	-0.2893
EIF4EBP2	-0.4205
DMRT1	1.12125
HSPB6	-0.3165
IER2	-0.657666666666667
AIFM1	-0.2985
WWC2	-0.875916666666667
MRPL4	-1.07275
FLJ21062	0.802833333333333
EPB41L4A	2.19866666666667
SH2D6	0.2285
TAF4B	-0.93675
GAL3ST3	0.199
MALT1	-1.2745
RTDR1	0.5115
ARVCF	-0.309
MEX3B	0.482166666666667
FBXO16	0.05225
KIF7	-2.128
C1QC	4.062
ZNF783	-0.702333333333333
ZNF85	0.62875
MMP13	0.7095
KIAA0329	-0.099
RTP3	-0.01
ZBED3	-0.23825
CLGN	0.85425
SLC25A37	-2.47491666666667
hCG_18290	0.23225
OR5AS1	0.54
SMARCC2	0.706166666666667
FAM109A	0.3955
CCDC12	-0.39
USF2	0.1459
DEPDC7	-3.54125
C20orf24	-1.05833333333333
JMJD3	1.2365
DSP	1.02592857142857
SLIC1	0.312
FAM20A	-0.471625
IRF2BP2	-0.798875
ZNF230	-0.1775
