Hybridization REF	TCGA-A7-A0DB-01A-11R-A00Z-07
HIST1H4L	-0.571
PECR	-0.764833333333333
HSPA2	2.7475
WFIKKN1	-1.3485
SERP1	1.592
SYDE2	0.85
TACR2	0.57
NUP85	-0.84275
CD177	3.1305
LGR5	-1.61516666666667
PIGG	-0.0461666666666667
PTHR1	-0.301833333333333
RAB5A	0.3191
FLJ13224	0.2595
USP9Y	-1.20825
C7orf53	-0.8405
LRP1B	-0.45675
XAF1	0.969
ABCG8	-0.548
ANKDD1A	-0.4315
DAND5	-1.4405
SPAG6	4.81733333333333
LINCR	0.05575
ZDHHC22	-1.5525
CCDC60	-0.2825
THOC7	-1.01016666666667
TCTA	0.856
OR8K3	0.366
NY-REN-7	0.00450000000000005
B2M	0.959333333333333
C6orf141	-2.321125
LPPR4	0.9285
SQLE	-1.64275
SEPHS1	-0.7625
BTBD14B	0.427928571428572
PLRG1	-0.62525
SPG7	-0.6986875
ZNF614	0.253166666666667
PARD6G	0.231166666666667
INPP5B	-0.5927
GRPEL2	-0.1255
PPID	-0.6143
TRIM56	0.06725
UBE2J1	-0.2665
IL20RA	4.16225
LOC387856	0.27525
C1orf107	0.290833333333333
UTS2R	0.95525
C19orf22	0.02775
SAFB2	0.25675
KIAA0652	0.096625
KLRG1	-0.375166666666667
MS4A8B	1.605
FRAG1	0.23275
KIAA1546	0.19775
E2F4	-1.617
CLEC4M	0.330333333333333
BTBD14A	-1.423
KIAA0999	0.1007
GYPA	-2.8692
TAC1	1.3316
TRAIP	-0.9825
KIAA0232	0.4732
ERCC8	-1.012
GPX4	0.694875
KIAA0368	-0.497875
GPR157	-0.544833333333333
CTAGE4	0.5945
C9orf30	-1.37866666666667
OR52A1	0.116
HSP90B3P	-0.258
ALG9	-0.1791
BTBD10	0.2215
SDK2	0.69225
BAIAP3	0.4145
RABGGTB	-1.271
ANKRD40	-0.512666666666667
KRT74	-0.0225
CALCOCO2	0.2495
SNCA	-2.21575
TMSL8	-3.883125
C2orf53	0.1035
ESRRB	-0.2215
ARHGAP26	-0.971625
TDRD9	-2.2935
HRAS	-0.422833333333333
KLRC4	-3.552
JAGN1	-0.298166666666667
BSDC1	0.06025
RNF43	-1.009
NDUFAF1	0.32375
PHF12	0.3125
OR1L3	0.426666666666667
FOLR2	2.3435
LYZL6	0.482166666666667
tcag7.1260	-1.277
WSB1	-1.6455
PROS1	-0.5445
OSTN	0.738
PSMB8	0.319
SOCS4	-0.0565
DDIT4L	1.85875
MAS1	-0.0335
MGC34796	1.03
CSHL1	-0.1974
TBCCD1	0.296833333333333
ZBTB7C	-0.049
AP2S1	0.13525
P15RS	-0.36
VAT1	-0.3489
SHANK3	0.864
TUFM	0.164166666666667
THEG	-0.5125
KRT34	-2.19666666666667
SGSM3	-0.339875
TOMM22	-0.8565
SOCS3	0.0528333333333333
CPO	0.7045
POP4	0.485
BHLHB3	1.688
MALL	0.89375
OR1B1	0.5415
PARK2	0.697333333333333
GPR124	0.70775
LCE1E	0.545
RUVBL2	-0.2015
CGRRF1	0.7448
ACPL2	1.33025
WNT10B	-2.741625
BAIAP2L2	-2.10775
ISCA1	0.243
C1orf125	0.780714285714286
RPAP1	-0.9675
RAI16	0.4555
RPL27	-0.55925
NLRP9	-0.256
EPN1	0.479
LOC388610	-0.757625
SLC35A1	0.8805
GAL	-3.4435
SLC14A2	-0.05125
RDH11	-0.471666666666667
FAM138F	-0.3215
AUH	0.28425
FLJ40243	0.12975
C14orf129	0.372666666666667
MBD2	-0.626
ABHD14B	0.060125
PIGT	0.949
ALS2CR4	-0.442125
ALAS1	0.4664
FOXO1	1.16816666666667
CRLF3	-0.885125
C20orf107	-0.7255
FARS2	0.88575
CCDC28A	1.136
NPHP3	-0.47625
OR13F1	0.3625
TSEN54	-0.7025
DEFB106B	0.221333333333333
OR8B4	-0.221
STH	2.826
ZC3H14	-0.085125
CBX2	-0.4755
TMEM49	-1.4805
C6orf21	0.9585
FLJ20920	1.284
CRTAP	0.556857142857143
DDX50	-0.1815
STYXL1	0.56125
BLVRB	0.0148333333333333
LOC147650	0.479833333333333
MMP24	-0.139
GRID1	1.43566666666667
BANF1	-0.643666666666667
CTAGEP	0.398
HMBS	-2.14625
SLC25A24	0.490333333333333
C14orf50	0.848
MRO	1.48483333333333
SLC25A15	-1.477
FAM84B	0.9146
TDP1	-0.39
C16orf78	0.3704
C11orf57	0.144375
RFK	-0.607625
ZFYVE9	-1.1975
STCH	-1.4812
WIBG	0.57825
LOC283871	-0.631166666666667
GBA2	-0.604
NDUFB3	-0.537
HSD17B13	-0.4405
GRIN3A	1.2926
FMNL1	-0.805166666666667
SEPT7	-0.2885
GNLY	2.4635
GRAMD1C	0.876833333333333
ZNF165	-0.4585
USP38	0.18825
FAM83A	-3.4065
C14orf24	0.317666666666667
ARMCX3	1.21325
ARHGDIB	0.657333333333333
AK1	0.07575
KIAA1045	0.329666666666667
DNAJB13	-0.744833333333333
NEU2	0.0915
HIST1H4B	-0.687333333333333
FAM20B	-0.0587999999999999
HES2	0.8575
FAM73B	-0.2792
LOC388381	-0.830666666666667
INTS7	-0.0168181818181818
AMPH	1.4795
ZNF775	0.092125
UCKL1	-0.740333333333333
C10orf97	-0.074
C1orf161	0.49125
ALDH1L1	1.67425
FLJ39378	-0.354625
SLC23A1	-1.3355
RBM4B	0.0185
THAP4	0.122833333333333
OGFRL1	1.53325
KIAA0831	0.32325
PPP1R15A	-0.495
C1orf96	-0.0498571428571428
C12orf11	-2.186
BMF	0.29975
MAN1A1	-1.04975
KIAA1600	0.786666666666667
NLGN4X	-0.5485
ALOX12	-1.98583333333333
RB1CC1	-0.4358
NEIL2	0.5675
EIF4E	-0.0292272727272727
ABHD5	-0.15075
EXOC4	0.265833333333333
CIP29	-0.245833333333333
BATF2	-0.99175
SLC29A4	-0.44925
HTR4	0.3065
EMB	-0.53475
TRAF6	0.65625
LMNB1	-1.67575
FAM19A5	-0.788
SHE	1.86
PIK3C2B	1.056
C15orf15	-0.7918
USP15	-0.3649
TCEAL2	1.26525
C5orf39	-0.581166666666667
PTGER2	-0.40925
SLC31A1	0.387375
IFT172	0.69075
ADAM29	-0.01825
GFOD1	0.442
ST7L	0.964166666666667
C15orf26	-3.3255
PKN3	-1.47225
CNTD1	1.49533333333333
COMMD1	0.348
NTRK2	2.84041666666667
FOXN3	0.204875
MFGE8	-0.2926
PFKFB2	0.987333333333333
TAS2R4	-0.05725
ENTHD1	0.520833333333333
PRMT5	-0.272125
MGC16384	-0.6515
LOC442229	-0.32375
TSKU	-0.328125
KRTCAP3	1.932875
PDLIM1	1.19
KCNS2	0.616666666666667
RNF126	-0.879
CEP63	0.48675
CLIC4	-0.493875
hCG_1990170	-0.707666666666667
ACR	-0.0168888888888889
KLK7	1.25675
ALOX5AP	3.322875
RIPK3	4.08475
TAS2R9	-0.4115
C19orf18	2.42
BIRC6	-0.186642857142857
ZNF16	0.809
RFT1	0.347
SLC8A2	-0.920666666666667
TACC1	0.379625
ITGAD	0.30025
SAMHD1	1.5985
SH3PXD2B	0.8141
EPC2	1.05375
C20orf85	5.337125
ATP13A2	0.545
KRT4	0.9455
CAPNS1	0.3865
MDM2	-0.431
PCDH20	1.1635
KCNK9	0.175
OR2C1	-0.612
KLHDC3	-0.883166666666667
IPPK	0.534
EFHD2	0.052875
GALR3	0.77225
NBEA	1.0715
ABCA6	3.6111
CLDN3	2.11166666666667
AKT2	-0.728857142857143
EGFR	-1.7683
RBM16	0.19325
ZDHHC3	0.6996
SLC25A4	-0.595666666666667
CYB5B	-1.28233333333333
CPXM1	0.52025
NDRG1	-1.22423076923077
FLJ43826	-0.1935
OR5L2	0.075
FARP2	0.0782
MRPL46	-0.714833333333333
LDHAL6B	0.111833333333333
MAPKAPK3	0.1755
NCAM2	0.463
PRKD2	0.759666666666667
ZFP36L1	1.0991
CYSLTR1	0.33525
OR4C3	0.469
HIST1H2AJ	1.3515
CCNB2	-2.59522222222222
ZNF10	-0.22125
TMEM175	0.43
FAM134A	0.734666666666667
TIGD4	-0.943
PCNP	-0.35325
MGC39715	-0.160333333333333
LQK1	-1.256
CREB1	0.4901
TMPRSS3	0.994
C4orf32	3.42325
LAT	-1.77133333333333
KCNA3	-0.138
SKIV2L2	-0.31875
ROPN1B	-1.3625
tcag7.23	0.2895
CDT1	-3.0345
ZHX2	1.192875
CD28	-3.0805
ZNF624	1.1445
SEPT2	0.63075
SOHLH2	-0.508625
MCOLN3	-0.58175
UNQ1945	0.6895
MASP2	-0.4005
ZNRF3	-0.2938
GPATCH3	-0.36825
AGL	1.608375
QRICH2	0.074
PSD4	0.800333333333333
CCNB1IP1	-1.71225
ENPP7	0.11525
OBFC1	-0.1655
KCNG3	-2.36133333333333
C14orf79	1.27041666666667
ENPEP	1.1915
SCT	2.698
SKI	0.8085
SEC61G	-1.0835
CAPN11	-0.079
ATXN7L3	-0.442
DBNDD1	-0.671666666666667
FAIM	0.50675
ANKRD36	-0.905
GABRP	2.13833333333333
TACSTD2	2.9082
EIF3J	-0.68775
PPP2R2A	-0.49275
TEKT4	0.0131666666666667
PVALB	-2.80533333333333
F10	-1.865
FAM134C	0.7615
COMP	4.704
EFCBP1	-2.32614285714286
SCLT1	0.264625
TAL1	-0.9674
ACSL1	2.3525
ABCC5	0.28375
ABL1	-0.512277777777778
RBBP7	0.0205833333333333
PTPRG	0.720625
NCOR1	-0.0769
SPINK4	-1.60916666666667
TXNRD1	-1.8535
TNRC15	0.8065
C9orf138	1.0725
UBE2H	1.50033333333333
BRDT	0.7038
C8orf31	-0.21875
CCNE2	-1.96518181818182
SLC6A8	-1.94225
CALCR	-2.276
PPP1CB	0.342333333333333
ABHD8	0.2895
ARF5	0.43
SLC24A4	0.08225
CCT3	0.00574999999999999
ZNF121	0.15125
SLC3A2	-0.9142
OR13A1	0.6315
SLC5A10	-0.396
RAD50	0.5925
IER5	0.06725
MTHFD1L	-2.577
MBTPS2	0.32025
MVK	-0.65675
NCL	-0.5964
PSMD10	-0.6445
MOBP	0.810285714285714
FLJ32894	-0.141
HRH1	-0.8425
C5orf30	1.79825
NUDT16L1	1.5003
RASGRP3	3.48966666666667
PRKRIP1	-0.0873
CCDC75	0.805
LOC253970	0.0786666666666667
KIAA1239	0.6245
MED21	-0.23225
SYT11	-0.018
NTSR2	0.105
EGFL11	-0.286
CXorf59	-0.462
OR2A25	0.304
SPTBN2	-1.19525
LRMP	-0.876666666666667
RNF111	0.3035
PTH	-0.392
LOC619208	0.864333333333333
KIAA0895	0.45275
RANBP5	-0.998875
P2RY10	0.764833333333333
NME5	4.66383333333333
DDX21	-1.7515
LRSAM1	0.4905
HDAC11	1.5745
VMO1	1.87525
NOLA2	-0.0131666666666667
ADAR	0.6495
MTO1	-0.843
SF4	0.438333333333333
P2RX1	0.0361666666666667
HBM	0.0465
EN2	1.1005
C14orf172	0.2475
TM9SF2	1.1213
INHBE	-1.61966666666667
TCTE3	-0.4765
TOX2	-3.04725
CTAGE3	0.78275
HBB	3.5413
MED15	-1.255
CASR	0.32625
C6orf66	-1.2435
MTPN	0.143125
UNC50	-0.36175
C21orf33	0.00199999999999999
IRF2	0.724875
PGR	3.752
GPR84	1.69275
CROCCL1	-2.46325
SRPX	-0.599
BRE	0.103833333333333
FGF10	1.3055
SDC3	-0.5035
ZRSR1	0.3495
DKFZP434P211	-0.3315
SOX6	0.6705
RPUSD2	0.0745
C14orf173	0.00358333333333332
MAPK11	-0.4725
TBC1D22A	0.0595
FAM123A	0.46
COL4A6	-2.16
TOMM70A	0.09425
NAB1	-0.3225
MGC16385	-0.3875
TSPAN18	-0.0776666666666667
MED31	-0.4735
PLG	-0.1585
CAPSL	5.2485
ZNF532	0.4957
ASB14	-0.05875
CA8	-1.29775
NUDT16P	2.22883333333333
SLFN11	-0.761
LRRIQ2	0.353125
NOL7	-0.709333333333333
BRMS1L	-0.545375
JARID1A	-0.0786666666666666
PANK2	0.08875
ICAM3	0.01225
MDS1	-0.71
TAF8	-0.1755
RNF139	0.76325
ZNF594	-0.109666666666667
ADAM8	0.63375
SFTPC	0.0565
MAN2B2	1.654375
RGS12	0.5610625
EIF1AY	-4.7636
LRRIQ1	-0.00766666666666666
GPR150	0.735
CCDC21	-1.4365
PRRG3	0.307
SAA4	-2.973
RAPGEF5	0.944125
ZCCHC2	-0.101583333333333
MGC39372	0.765
PPP4R2	0.4385
CDCA2	-2.13566666666667
OR4D5	0.128166666666667
PTGFRN	1.1666
SIGLEC5	1.161
C19orf61	-0.0675
NMUR2	-0.944
KIAA1586	-1.24883333333333
DAGLA	0.0516666666666667
CHCHD6	-0.0015
GPR32	0.6635
NEUROD6	0.00783333333333334
SLC2A4RG	0.402375
CA5B	-0.48075
FBXL3	1.4435
MPHOSPH9	-1.29575
HMG2L1	-0.49225
HCN4	0.651333333333333
CEACAM19	0.2555
SH2D4B	0.0278333333333333
HFE2	-1.426
TGM4	-0.1105
LYPD2	-0.013
TBC1D15	0.15725
MRPS21	0.0849
NONO	-0.9556
CLEC5A	2.24575
ITCH	0.1105
MGAT3	-0.703833333333333
MBP	-0.130285714285714
RPP25	-1.1195
SOSTDC1	0.44375
HRC	-1.214
TRIM48	0.2045
TMEM133	-0.12225
ECEL1P2	-0.973
HOXC11	-1.0175
DOK5	-0.602
HELZ	0.151833333333333
LOC348180	-1.088
MGC33894	0.24475
ADRB3	0.086
DMD	0.2298
PTRH2	-1.04975
MPEG1	2.63833333333333
NDUFA12	-0.143166666666667
KRTAP2-4	0.123833333333333
STAMBPL1	-1.88416666666667
ADCY2	2.04383333333333
UNQ6125	-0.8385
KLHL20	0.598166666666667
SRM	-1.43125
OTC	-0.02025
TMIE	0.2808
SNX8	0.005
LIPK	0.1865
CHURC1	0.115583333333333
KLC2	0.288833333333333
HDAC1	-0.696333333333333
FAM128A	0.189166666666667
FNDC3B	-0.0334
MTCP1	-0.793833333333333
WFDC10B	0.043
PCDHGB3	0.019
ATRNL1	-0.5
CAV2	-0.210875
MED26	0.236666666666667
DUS1L	0.0025
CHRM3	-1.73825
NEK9	0.71125
WARS2	0.4245
TBX22	-0.055
TOMM40	-0.81675
RP6-213H19.1	-2.333
TUBGCP5	-0.2025
IGSF6	5.41225
TPPP	-0.278666666666667
UNQ6190	1.2705
GSTM5	2.186625
BTD	2.082
PDCD1LG2	-0.271
SNRPB2	-0.3165
ERICH1	-0.548125
APOA4	-1.187125
HOXA11	-1.31175
NARG1	-0.60775
MKX	-1.60225
RAB28	-0.539285714285714
PKP3	0.451
SH3GL2	-1.51225
CTSO	2.815
RPN2	0.4120625
IL28RA	0.1085
SFMBT1	0.9895
WDR57	-0.667875
FER1L3	0.960166666666667
HSF5	0.3992
TTC9B	0.30425
C4BPA	-3.55783333333333
ALB	-3.83584615384615
SORBS3	0.016875
UPF2	-1.0965
JPH1	-0.9815
AGBL2	-1.1065
DOPEY1	1.2495
TERF1	-0.444
KIF22	-0.758666666666667
NINJ1	1.66525
SEC61A2	-1.27691666666667
HIST1H1D	-0.267
SFXN4	-0.471125
UCP3	0.2421
ZNF703	0.743166666666667
MYL6B	-0.71825
TREM1	1.87725
OR52E6	0.061
CKMT2	2.11125
HLA-C	1.936625
SLC13A3	-1.8005
TIMP4	2.1615
SLIT2	2.64225
RSF1	0.0897777777777778
LONRF1	-0.988357142857143
MON1A	0.107
CACNG6	-1.50866666666667
DPPA4	-5.018
ZSWIM3	0.56875
ZNF804A	0.704166666666667
CCIN	1.20025
SLC25A31	0.30025
KCNMB4	-0.26575
RABL5	0.9055
GALNS	-0.5544
STX6	1.25525
HIST1H1C	-1.361
CIDEB	0.107875
CASP4	-0.244166666666667
PDK3	0.5229
KCNJ11	2.2845
TPR	0.249
ZSCAN20	-0.3975
MTX2	-0.2855
HIST1H2BH	0.2455
LOC283767	0.771
LYRM7	-0.856166666666667
BRD3	0.949166666666667
HIST1H2BO	0.0455
MAGEB10	0.6695
SLC45A1	1.456
SERPINA3	3.06105
KIAA0143	1.2875
KCNJ16	1.17566666666667
KRT79	0.37675
FABP2	-0.8015
NUT	-0.1205
ZNF57	0.088
FBXL4	0.17775
CLEC9A	0.6605
UGT8	-1.37833333333333
BMP2K	0.21775
MAPK4	-3.59825
SLC25A23	0.1319
HINT1	-0.2721
KRTAP13-1	0.3685
SFXN5	-0.6485
CHCHD2	0.216
FAM3D	2.8085
NDP	1.161375
RHOBTB1	0.578333333333333
SLC4A4	0.0898571428571428
RPL38	-0.21425
HTF9C	-0.992666666666667
AP2A2	0.420125
ZBTB46	-0.1095
MAP7D1	0.075875
AOX1	-0.7645
CYR61	0.714083333333333
DTNA	-1.61225
JRKL	-0.168
TMOD3	-0.4965
EEA1	0.0336
ADCK5	-0.703
IL1R1	2.76866666666667
KLK3	0.483692307692308
HRSP12	-0.75475
KTN1	0.51575
LOH11CR2A	0.7462
RELL2	-1.665
MAB21L1	1.09375
C20orf59	-0.888666666666667
PHKB	-0.36375
ADAM2	-2.40616666666667
TBC1D8B	1.54966666666667
FAM13A1	-0.01225
LAPTM4B	-1.33541666666667
LCN8	0.2625
TMEM147	1.0775
SYT4	-0.38725
XPO7	-0.4575
C9orf62	0.87275
GPR75	-0.244
TRIM5	0.231
APOC1	1.9035
RNASE4	0.9525
PARD6B	-0.45825
ARID1A	0.189666666666667
TPD52L3	0.739888888888889
RRAGB	1.487
RCN2	-0.964
HIST2H2BE	0.2316875
STARD7	0.01525
SHMT2	-1.89775
KIAA1751	-0.752
MLYCD	0.224125
LOC162632	-1.1005
UQCRH	-1.42225
RP11-217H1.1	0.241875
SDHA	-0.355666666666667
NCLN	0.1405
ZNF17	1.27016666666667
RCBTB2	-1.388
VEGFB	-0.1431
RP4-747L4.3	0.398
COLQ	0.7709
MPN2	-0.3588
DRG2	-0.2825
KLRB1	4.38475
ALPK2	-2.44875
DNASE2B	4.29275
FLJ23834	0.6485
AXUD1	0.892333333333333
SAFB	0.0518
NSUN4	-0.096
RFX2	-0.1762
MAPK8IP1	-0.0886666666666667
FANCD2	-0.986357142857143
ANKZF1	-1.41033333333333
C19orf50	-0.32325
DUSP8	0.342375
SENP5	0.072375
NFKBIL2	-0.86725
LBR	-1.787125
IGFL1	0.837
LZTS2	0.29825
IL2RG	-0.437375
CCDC51	-0.0465
KLF3	0.340125
ANKRD37	-1.5945
KCTD14	-1.22066666666667
FZR1	0.614083333333333
SLC44A4	3.9791
ESPL1	-1.59571428571429
GMPR2	-0.0256
TBC1D19	-0.1845
ERGIC1	0.763962962962963
ERBB4	3.4045
TSPAN32	-0.241636363636364
MAP4	0.300375
GPHN	-0.9465
SLC6A2	-0.011
HIVEP1	-0.10525
DFFB	-0.7718
EIF4EBP2	0.6455
DMRT1	-1.18533333333333
HSPB6	0.6095
IER2	-0.0765
AIFM1	-0.36725
WWC2	0.372666666666667
MRPL4	-0.277
FLJ21062	2.0415
EPB41L4A	1.527
SH2D6	-0.16875
TAF4B	-1.17525
GAL3ST3	0.299
MALT1	-1.52083333333333
RTDR1	-0.53275
ARVCF	-0.683875
MEX3B	-0.697333333333333
FBXO16	1.546
KIF7	-1.08775
C1QC	4.53266666666667
ZNF783	-0.0196666666666667
ZNF85	0.257
MMP13	3.5595
KIAA0329	0.859285714285714
RTP3	-0.2805
ZBED3	1.03575
CLGN	-1.942
SLC25A37	-1.276875
hCG_18290	0.132
OR5AS1	0.142
SMARCC2	0.398666666666667
FAM109A	-0.1095
CCDC12	-0.1685
USF2	0.5389
DEPDC7	-1.99075
C20orf24	-0.5485
JMJD3	0.4155
DSP	1.50521428571429
SLIC1	0.348875
FAM20A	1.74525
IRF2BP2	0.569125
