Hybridization REF	TCGA-AN-A0FJ-01A-11R-A00Z-07
PLEKHG4	-0.521
GRB2	-0.47235
HIST1H2AD	-0.23425
DUS3L	-0.221333333333333
EIF1	0.297833333333333
RP5-1077B9.4	-0.460333333333333
FPGT	1.41825
GDF10	-0.401
COQ9	-0.04425
GCC2	-0.673785714285714
RARRES3	-0.059
PLXNA1	0.5297
KIAA0100	-0.2339
PMF1	0.33925
FNDC1	5.60475
HS2ST1	0.0304166666666667
CRELD2	2.4475
C8G	-1.5815
CD82	1.18875
LIM2	-1.45
UNQ6490	0.728
MMP16	-0.41175
DRD3	0.326
C5orf26	-1.64575
C11orf73	-0.50125
PTP4A2	-0.06675
OR4M2	0.214
HPCA	-1.46533333333333
SEC14L1	-1.43666666666667
CHFR	0.344625
EMILIN1	0.492875
NDUFS4	-1.10925
COL18A1	-0.387125
PDZD3	0.2202
C9orf16	0.098
ERBB2IP	-0.489833333333333
EMX2	3.28425
FUS	-0.726
TF	-4.28911111111111
CLCN4	3.2325
CXorf56	0.7405
C11orf72	0.25075
ELAC2	-1.15741666666667
NPR1	0.17325
ASS1	-3.67816666666667
USP42	0.0725
POLR2J	-0.7565
SEC23IP	0.6135
UQCRC1	-0.51175
LOC729603	-0.47525
C1orf71	-0.145375
POLG	-1.4325
ADAM23	-3.93875
TFR2	-1.3505
RICTOR	-0.5147
MGC39606	1.118
C19orf55	-0.3835
SNAPC1	0.833833333333333
GNA11	1.294125
CCDC52	0.864166666666667
FSIP1	-0.626
UPF3A	0.774125
IGSF11	-2.76366666666667
LAGE3	-0.11325
CHST6	1.9705
UNC13B	0.280625
TTLL4	1.062
ZNF687	0.034125
SDC2	1.368
COX7A2	0.19725
LAMB4	1.129
FAM24A	-0.2685
LRRTM3	-0.847166666666667
GPHB5	0.214
OR4C13	-0.8545
EIF3EIP	1.52342857142857
HABP4	-0.119
TMEM125	1.565
CNTN2	0.094
ASNSD1	0.197
FUT4	0.820125
ACF	-3.8365
LOC158381	-0.44
CDH8	-0.756666666666667
AGPS	-1.03766666666667
C4orf18	1.2295
PECI	-0.972583333333333
UNG	0.969625
GSTP1	0.522
DCUN1D5	-1.02133333333333
DKFZP564J0863	-0.8485
SLC9A3R1	-0.9535
BCDO2	-1.64825
CHMP7	1.206875
REM2	1.0115
DNHD1	-0.34375
FKBP4	-1.177
ZNF350	1.165
MGC11102	0.35575
BST1	0.14475
KISS1R	-0.3735
NCR2	-0.0825
DEFB125	0.3355
UBE2W	1.056375
KRT15	2.354625
C10orf99	0.902
SCN11A	-0.155571428571429
GFI1	-2.45975
RDHE2	-0.9855
FHL1	-1.595
OSGEP	-1.35066666666667
GATA1	-3.941
SMC6	-0.80975
TTTY14	-1.66875
LPIN3	-0.3295
RPL4	-0.2317
RBPMS	-0.3242
PRPF3	-0.512666666666667
EMR1	-2.798
SPATA19	-0.3745
XCR1	0.1725
IRX3	1.8803
RBM6	-0.89125
KLF4	-2.2396
UNC5CL	-0.84325
SEBOX	0.304
BTK	-1.4815
KRCC1	1.1905
C6orf27	0.292
SYTL5	-1.771
PRND	3.531625
LOC653319	-0.838
PIGL	-2.0755
HUS1	0.034
SFRS6	0.0633333333333333
C17orf77	0.2955
UIMC1	-2.14066666666667
FXYD2	-1.9308
LOC283152	-0.65075
ZNF667	0.71825
ZCCHC12	-0.0375
TFEC	2.0116
ATP7B	0.444166666666667
POLD2	-0.596666666666667
RG9MTD1	0.2115
ACOT2	-1.38283333333333
HIST1H4I	-1.614875
PPARGC1A	-3.5684
ETFA	-1.3895
POLRMT	-0.572
ZNF146	1.40575
MIA2	-2.63
KLHL6	-1.48966666666667
HOXB5	-1.244375
NENF	0.266833333333333
CUGBP1	0.171
PRSS22	1.51633333333333
CASC4	0.6474
CUL4B	0.2054
CENPJ	-0.7011
PITX1	0.304333333333333
FLJ31033	0.199166666666667
CELSR3	-1.58916666666667
ZNF568	0.92725
ITSN1	-0.496916666666667
EHBP1L1	-0.255833333333333
C19orf2	0.661
DCTN1	0.06125
LIN28B	-3.7072
TNKS2	0.79775
C1QBP	-0.216875
CADPS2	2.1595
SRMS	0.49125
GJA9	0.796
MGC24975	-2.16333333333333
TRIM45	-0.970333333333333
TSP50	-0.39475
TCP1	-1.056
TMED7	-0.7902
CMA1	-0.241
CENPL	0.258
PTCRA	-0.71
FST	-3.80675
VWCE	-4.59925
PAWR	-0.347
ABCC12	-0.1432
LDLR	-1.5689
ASTN2	-0.5886
LOC441212	0.25575
GPATCH8	0.235
TANC2	-1.89825
KIF4A	-0.49175
C18orf18	0.62425
PGM1	-0.2355
KIAA0258	0.232
CPD	1.10175
SNCAIP	-0.16325
DCT	-4.29633333333333
HLA-DOA	2.77540909090909
OR11L1	0.459
UPK1B	3.10566666666667
DNAJB4	0.524875
UGT1A8	-0.41
HIST1H4L	-2.2075
PECR	-0.363166666666667
HSPA2	0.73925
WFIKKN1	-3.1785
SERP1	1.359125
SYDE2	0.46775
TACR2	-0.0595
NUP85	-0.64775
CD177	-0.303166666666667
LGR5	2.601
PIGG	-1.23533333333333
PTHR1	-1.45366666666667
RAB5A	0.2716
FLJ13224	0.419
USP9Y	-2.0358
C7orf53	-1.762
LRP1B	-2.30166666666667
XAF1	-0.4586
ABCG8	-0.2545
ANKDD1A	-0.560833333333333
DAND5	-1.716
SPAG6	0.0018333333333333
LINCR	1.43925
ZDHHC22	-1.52085714285714
CCDC60	-0.0235
THOC7	-1.375
TCTA	-0.0876
OR8K3	0.43725
NY-REN-7	-1.11875
B2M	1.06666666666667
C6orf141	-0.931
LPPR4	2.301
SQLE	-1.4425
SEPHS1	-0.21
BTBD14B	0.129857142857143
PLRG1	-0.2235
SPG7	0.595125
ZNF614	-0.259333333333333
PARD6G	1.55866666666667
INPP5B	0.5587
GRPEL2	-0.655625
PPID	-0.9485
TRIM56	-0.59025
UBE2J1	-0.109375
IL20RA	0.28375
LOC387856	0.3295
C1orf107	0.885
UTS2R	-0.39625
C19orf22	0.40825
SAFB2	-0.589
KIAA0652	0.8965
KLRG1	1.04333333333333
MS4A8B	-0.06
FRAG1	1.15575
KIAA1546	0.80975
E2F4	-0.7849
CLEC4M	0.2658
BTBD14A	-0.793
KIAA0999	0.1769
GYPA	-4.17416666666667
TAC1	-0.7406
TRAIP	-1.038
KIAA0232	-0.055
ERCC8	-0.57
GPX4	0.62375
KIAA0368	0.24225
GPR157	-1.9595
CTAGE4	1.0625
C9orf30	0.00983333333333333
OR52A1	-0.014
HSP90B3P	0.7725
ALG9	-1.5148
BTBD10	1.29075
SDK2	0.2425
BAIAP3	-1.528
RABGGTB	-1.48675
ANKRD40	-0.499833333333333
KRT74	1.056
CALCOCO2	-0.426785714285714
SNCA	-1.212
TMSL8	0.353
C2orf53	-0.0285
ESRRB	-0.15625
ARHGAP26	-1.707875
TDRD9	-3.2075
HRAS	-0.0516666666666667
KLRC4	-2.305
JAGN1	-0.346
BSDC1	0.81
RNF43	-0.2122
NDUFAF1	0.5085
PHF12	0.2245
OR1L3	0.48975
FOLR2	1.90066666666667
LYZL6	0.0808333333333333
tcag7.1260	-2.069
WSB1	-2.26666666666667
PROS1	-1.2069
OSTN	1.063
PSMB8	-0.5405
SOCS4	0.38575
DDIT4L	0.7785
MAS1	0.507
MGC34796	0.4965
CSHL1	0.474666666666667
TBCCD1	0.839833333333333
ZBTB7C	0.2925
AP2S1	-0.589
P15RS	0.6285
VAT1	-0.099
SHANK3	1.60433333333333
TUFM	0.0828333333333333
THEG	-0.42225
KRT34	0.35175
SGSM3	0.39675
TOMM22	-0.0205
SOCS3	0.683166666666667
CPO	-0.258
POP4	0.68525
BHLHB3	3.86525
MALL	2.96525
OR1B1	0.5215
PARK2	0.3374
GPR124	0.89525
LCE1E	-0.066
RUVBL2	-0.417
CGRRF1	-0.4305
ACPL2	2.48375
WNT10B	1.71625
BAIAP2L2	-0.948125
ISCA1	0.572
C1orf125	-0.811625
RPAP1	-0.70625
RAI16	-1.37616666666667
RPL27	-0.232
NLRP9	0.427
EPN1	0.5245
LOC388610	0.6805
SLC35A1	0.6345
GAL	-2.1735
SLC14A2	0.0565
RDH11	-0.257666666666667
FAM138F	0.197
AUH	-1.166
FLJ40243	0.26925
C14orf129	-0.2
MBD2	-0.272666666666667
ABHD14B	-0.878125
PIGT	-1.566375
ALS2CR4	1.08275
ALAS1	1.065
FOXO1	1.20383333333333
CRLF3	-0.172875
C20orf107	-1.1805
FARS2	0.72625
CCDC28A	-0.34225
NPHP3	-0.99825
OR13F1	0.753
TSEN54	0.007
DEFB106B	0.1939
OR8B4	1.121
STH	-1.41675
ZC3H14	-0.23375
CBX2	-0.075
TMEM49	-1.333
C6orf21	0.866
FLJ20920	-1.167375
CRTAP	-0.832428571428571
DDX50	0.511
STYXL1	0.20425
BLVRB	-1.66366666666667
LOC147650	0.420666666666667
MMP24	0.109
GRID1	0.312833333333333
BANF1	0.498666666666667
CTAGEP	0.015
HMBS	-1.12575
SLC25A24	-0.251166666666667
C14orf50	-0.39975
MRO	0.0065
SLC25A15	-0.29125
FAM84B	0.3548
TDP1	-1.011
C16orf78	-0.2032
C11orf57	0.241125
RFK	-1.425375
ZFYVE9	-0.192875
STCH	-0.0568
WIBG	-0.21925
LOC283871	-0.722833333333333
GBA2	-1.0586
NDUFB3	-0.867
HSD17B13	-1.0025
GRIN3A	1.61766666666667
FMNL1	-1.10016666666667
SEPT7	-0.1789
GNLY	2.8815
GRAMD1C	0.2125
ZNF165	-0.28175
USP38	0.11225
FAM83A	-3.35983333333333
C14orf24	0.159666666666667
ARMCX3	0.93725
ARHGDIB	-0.867
AK1	-1.49075
KIAA1045	0.37125
DNAJB13	0.7165
NEU2	-0.22
HIST1H4B	-1.898
FAM20B	-0.6958
HES2	2.2545
FAM73B	-1.0817
LOC388381	0.55475
INTS7	-0.125181818181818
AMPH	3.7235
ZNF775	-0.147
UCKL1	-1.25083333333333
C10orf97	-0.27625
C1orf161	-0.0725
ALDH1L1	-2.52625
FLJ39378	-0.341
SLC23A1	-2.788
RBM4B	0.91025
THAP4	0.146166666666667
OGFRL1	4.15575
KIAA0831	-0.059375
PPP1R15A	0.245333333333333
C1orf96	-0.387928571428572
C12orf11	0.2375
BMF	2.642375
MAN1A1	-2.345
KIAA1600	1.821
NLGN4X	-3.33725
ALOX12	-1.18166666666667
RB1CC1	1.0304
NEIL2	0.9893
EIF4E	-0.265045454545455
ABHD5	1.11875
EXOC4	0.3125
CIP29	0.413166666666667
BATF2	-1.2915
SLC29A4	1.457
HTR4	0.5155
EMB	-2.56275
TRAF6	1.82625
LMNB1	-3.776
FAM19A5	-1.064375
SHE	1.9775
PIK3C2B	0.8925
C15orf15	-0.5307
USP15	0.452
TCEAL2	2.001
C5orf39	-1.4845
PTGER2	-1.07625
SLC31A1	-1.463125
IFT172	1.113
ADAM29	0.47925
GFOD1	0.73925
ST7L	0.776666666666667
C15orf26	-1.9685
PKN3	-2.099
CNTD1	1.97533333333333
COMMD1	-0.00199999999999999
NTRK2	3.10875
FOXN3	0.27225
MFGE8	-1.3496
PFKFB2	0.756666666666667
TAS2R4	0.21125
ENTHD1	0.286833333333333
PRMT5	-0.853125
MGC16384	-1.934875
LOC442229	-1.14875
TSKU	0.058125
KRTCAP3	3.804375
PDLIM1	1.1409
KCNS2	0.521
RNF126	-0.476166666666667
CEP63	-0.030125
CLIC4	0.608625
hCG_1990170	5.503
ACR	2.0151
KLK7	-1.09675
ALOX5AP	1.89475
RIPK3	2.4905
TAS2R9	0.156
C19orf18	-0.056
BIRC6	0.966
ZNF16	1.4965
RFT1	-1.0675
SLC8A2	-0.48275
TACC1	-1.335125
ITGAD	0.53175
SAMHD1	2.16175
SH3PXD2B	2.4661
EPC2	1.0775
C20orf85	0.82675
ATP13A2	0.282333333333333
KRT4	0.17425
CAPNS1	-0.773
MDM2	-1.03883333333333
PCDH20	0.00250000000000003
KCNK9	0.6355
OR2C1	-0.4815
KLHDC3	-0.129833333333333
IPPK	0.038
EFHD2	-0.307625
GALR3	-0.2935
NBEA	-1.144
ABCA6	1.9225
CLDN3	0.7545
AKT2	-0.461928571428571
EGFR	0.8729
RBM16	-0.2185
ZDHHC3	0.2019
SLC25A4	-1.104
CYB5B	0.0603333333333333
CPXM1	0.09225
NDRG1	1.26353846153846
FLJ43826	0.52125
OR5L2	0.3744
FARP2	0.2581
MRPL46	-1.37483333333333
LDHAL6B	0.0686666666666667
MAPKAPK3	-0.407333333333333
NCAM2	-0.01975
PRKD2	0.0958333333333333
ZFP36L1	1.4552
CYSLTR1	-1.677
OR4C3	0.34675
HIST1H2AJ	0.7665
CCNB2	-1.07844444444444
ZNF10	0.016875
TMEM175	-0.1105
FAM134A	1.12066666666667
TIGD4	0.2025
PCNP	0.3235
MGC39715	0.8255
LQK1	-0.9805
CREB1	1.3714
TMPRSS3	-3.06125
C4orf32	-1.164
LAT	-2.16791666666667
KCNA3	-0.996
SKIV2L2	-0.55925
ROPN1B	2.84
tcag7.23	-0.185
CDT1	-1.325
ZHX2	0.963375
CD28	-2.91925
ZNF624	0.42025
SEPT2	0.2055
SOHLH2	4.7355
MCOLN3	1.05414285714286
UNQ1945	0.1295
MASP2	-1.3745
ZNRF3	0.481
GPATCH3	0.133
AGL	0.606125
QRICH2	0.6575
PSD4	0.127833333333333
CCNB1IP1	-0.9195
ENPP7	0.09375
OBFC1	-0.2825
KCNG3	1.65325
C14orf79	-0.155
ENPEP	3.1845
SCT	0.871
SKI	1.32675
SEC61G	-0.00775000000000001
CAPN11	-0.06725
ATXN7L3	0.3535
DBNDD1	1.08283333333333
FAIM	0.7745
ANKRD36	-1.881
GABRP	4.54916666666667
TACSTD2	1.88683333333333
EIF3J	0.121
PPP2R2A	0.558
TEKT4	-0.9835
PVALB	-3.91466666666667
F10	-2.94916666666667
FAM134C	1.3938
COMP	4.32125
EFCBP1	-3.6185
SCLT1	-1.268
TAL1	-0.8027
ACSL1	-0.051
ABCC5	-0.482
ABL1	-0.61
RBBP7	0.583166666666667
PTPRG	-1.756125
NCOR1	0.0043
SPINK4	-2.78866666666667
TXNRD1	0.1333
TNRC15	-0.086625
C9orf138	-0.378375
UBE2H	0.120333333333333
BRDT	0.244833333333333
C8orf31	-0.13175
CCNE2	-0.470181818181818
SLC6A8	-0.103125
CALCR	-5.02325
PPP1CB	1.8555
ABHD8	0.578
ARF5	0.676
SLC24A4	0.543
CCT3	0.4055
ZNF121	0.268375
SLC3A2	-0.3826
OR13A1	0.635
SLC5A10	-0.731
RAD50	-0.99425
IER5	-0.924875
MTHFD1L	-0.778375
MBTPS2	0.27575
MVK	-0.939375
NCL	0.4658
PSMD10	0.275
MOBP	0.0945714285714286
FLJ32894	0.09
HRH1	-0.612166666666667
C5orf30	-0.30675
NUDT16L1	0.3478
RASGRP3	6.26216666666667
PRKRIP1	-0.9463
CCDC75	-0.78125
LOC253970	0.04425
KIAA1239	-0.08525
MED21	0.7025
SYT11	1.74441666666667
NTSR2	1.2055
EGFL11	0.185
CXorf59	0.5565
OR2A25	0.32075
SPTBN2	1.534
LRMP	-1.50133333333333
RNF111	-0.308
PTH	0.506
LOC619208	0.272666666666667
KIAA0895	1.223
RANBP5	0.6515
P2RY10	0.161666666666667
NME5	-1.06316666666667
DDX21	0.0555
LRSAM1	-0.5915
HDAC11	-0.660666666666667
VMO1	-0.165
NOLA2	-0.791666666666667
ADAR	0.124833333333333
MTO1	-0.7
SF4	0.2555
P2RX1	-0.371166666666667
HBM	0.1205
EN2	-0.3565
C14orf172	-0.01175
TM9SF2	0.6591
INHBE	-1.077
TCTE3	0.227583333333333
TOX2	-3.02175
CTAGE3	-0.499625
HBB	3.1242
MED15	-0.743166666666667
CASR	0.152
C6orf66	-1.06016666666667
MTPN	-0.79125
UNC50	-0.37925
C21orf33	-0.122
IRF2	0.79525
PGR	-3.11683333333333
GPR84	2.57225
CROCCL1	0.224
SRPX	-2.08475
BRE	-0.103833333333333
FGF10	-0.31825
SDC3	1.5795
ZRSR1	-0.227333333333333
DKFZP434P211	-0.945875
SOX6	-1.13
RPUSD2	0.4415
C14orf173	-0.36875
MAPK11	-0.387833333333333
TBC1D22A	1.3435
FAM123A	3.9555
COL4A6	-5.31616666666667
TOMM70A	0.52875
NAB1	1.210375
MGC16385	0.5065
TSPAN18	-0.724
MED31	-0.85475
PLG	-0.35775
CAPSL	0.1485
ZNF532	3.1853
ASB14	-0.823
CA8	1.45125
NUDT16P	2.22116666666667
SLFN11	-0.9895
LRRIQ2	-0.279125
NOL7	-0.339666666666667
BRMS1L	-0.475375
JARID1A	-0.384666666666667
PANK2	-0.0165
ICAM3	0.7305
MDS1	-1.49833333333333
TAF8	-0.47475
RNF139	-0.20675
ZNF594	-0.168666666666667
ADAM8	2.33325
SFTPC	0.078125
MAN2B2	0.50775
RGS12	-0.6891875
EIF1AY	-5.3435
LRRIQ1	1.36416666666667
GPR150	-0.5655
CCDC21	-0.773333333333333
PRRG3	-0.01375
SAA4	-2.8835
RAPGEF5	1.88325
ZCCHC2	-0.340166666666667
MGC39372	0.563
PPP4R2	-0.470166666666667
CDCA2	-0.850333333333333
OR4D5	1.1925
PTGFRN	0.4148
SIGLEC5	1.90766666666667
C19orf61	-0.372166666666667
NMUR2	-0.4075
KIAA1586	-0.059
DAGLA	0.462833333333333
CHCHD6	-0.11075
GPR32	0.65
NEUROD6	0.262833333333333
SLC2A4RG	-0.8344375
CA5B	0.70675
FBXL3	1.0885
MPHOSPH9	-1.571
HMG2L1	1.23625
HCN4	-0.176333333333333
CEACAM19	1.756
SH2D4B	1.82183333333333
HFE2	-0.979
TGM4	0.396
LYPD2	-0.01075
TBC1D15	0.27025
MRPS21	-0.0245
NONO	-0.2703
CLEC5A	2.124625
ITCH	-0.215
MGAT3	1.68533333333333
MBP	0.2155
RPP25	-0.59075
SOSTDC1	3.59075
HRC	-1.30725
TRIM48	0.162
TMEM133	1.05275
ECEL1P2	-1.40075
HOXC11	-0.98
DOK5	-1.286
HELZ	0.1215
LOC348180	0.42125
MGC33894	0.616
ADRB3	0.4315
DMD	1.313
PTRH2	-0.793
MPEG1	3.07666666666667
NDUFA12	0.154166666666667
KRTAP2-4	0.00133333333333336
STAMBPL1	-0.583
ADCY2	-0.813166666666667
UNQ6125	-0.148
KLHL20	-0.0741666666666667
SRM	-0.0315
OTC	0.2675
TMIE	-0.329666666666667
SNX8	0.64275
LIPK	0.871
CHURC1	-1.147
KLC2	0.0936666666666667
HDAC1	0.6285
FAM128A	-0.750833333333333
FNDC3B	0.8614
MTCP1	0.470166666666667
WFDC10B	-0.1263
PCDHGB3	0.466
ATRNL1	1.1222
CAV2	1.443625
MED26	0.965
DUS1L	-0.327
CHRM3	-0.435625
NEK9	-0.563
WARS2	-0.69075
TBX22	-0.105
TOMM40	-0.02025
RP6-213H19.1	1.086
TUBGCP5	-0.92675
IGSF6	3.07875
TPPP	-0.0456666666666667
UNQ6190	0.2775
GSTM5	0.543
BTD	-0.3425
PDCD1LG2	0.637166666666667
SNRPB2	-0.160833333333333
ERICH1	0.437375
APOA4	-1.80175
HOXA11	1.706
NARG1	-0.35075
MKX	0.70425
RAB28	0.0937142857142857
PKP3	0.97375
SH3GL2	-1.606
CTSO	2.3245
RPN2	0.18075
IL28RA	0.200166666666667
SFMBT1	-0.088
WDR57	1.039875
FER1L3	-0.311166666666667
HSF5	0.428333333333333
TTC9B	0.90225
C4BPA	-2.9635
ALB	-4.39585714285714
SORBS3	0.255125
UPF2	1.45
JPH1	1.183
AGBL2	-1.37325
DOPEY1	0.55
TERF1	0.181
KIF22	-0.748833333333333
NINJ1	-1.16075
SEC61A2	-0.306833333333333
HIST1H1D	-1.1655
SFXN4	-0.117
UCP3	0.4003
ZNF703	0.2335
MYL6B	0.56925
TREM1	2.055
OR52E6	1.127
CKMT2	5.17275
HLA-C	0.852
SLC13A3	-2.73116666666667
TIMP4	-1.23225
SLIT2	2.9695
RSF1	0.567888888888889
LONRF1	0.487357142857143
MON1A	-0.585333333333333
CACNG6	-2.40916666666667
DPPA4	-5.49316666666667
ZSWIM3	-0.19675
ZNF804A	0.306166666666667
CCIN	0.54425
SLC25A31	-0.081
KCNMB4	1.881
RABL5	0.501375
GALNS	0.795
STX6	-0.12275
HIST1H1C	-2.3925
CIDEB	0.4805
CASP4	-1.73683333333333
PDK3	0.1497
KCNJ11	1.0805
TPR	-0.176625
ZSCAN20	-0.338
MTX2	-0.0905
HIST1H2BH	-0.873
LOC283767	-0.2415
LYRM7	-1.0115
BRD3	-0.459333333333333
HIST1H2BO	-1.12075
MAGEB10	0.466
SLC45A1	2.83275
SERPINA3	-0.8524
KIAA0143	0.26225
KCNJ16	-0.278166666666667
KRT79	1.66675
FABP2	-1.16875
NUT	1.16325
ZNF57	0.53825
FBXL4	0.30825
CLEC9A	1.8325
UGT8	1.92066666666667
BMP2K	-0.073
MAPK4	-2.51
SLC25A23	-0.3398
HINT1	-0.4306
KRTAP13-1	0.5755
SFXN5	-0.7007
CHCHD2	0.0755000000000001
FAM3D	1.537
NDP	0.271625
RHOBTB1	0.6445
SLC4A4	-2.1335
RPL38	-0.679
HTF9C	-0.00966666666666667
AP2A2	0.570125
ZBTB46	0.108
MAP7D1	0.535125
AOX1	-2.27533333333333
CYR61	0.573166666666667
DTNA	1.21192857142857
JRKL	1.1105
TMOD3	-0.17825
EEA1	-0.3881
ADCK5	0.0715
IL1R1	1.171
KLK3	0.370153846153846
HRSP12	-0.6675
KTN1	-0.3795
LOH11CR2A	-1.5357
RELL2	-0.12125
MAB21L1	1.91775
C20orf59	-0.885333333333333
PHKB	0.08775
ADAM2	-2.599
TBC1D8B	0.858666666666667
FAM13A1	-0.00356250000000002
LAPTM4B	0.544583333333333
LCN8	-0.105
TMEM147	-0.0145
SYT4	0.276166666666667
XPO7	0.909
C9orf62	-0.50625
GPR75	1.804
TRIM5	1.003375
APOC1	-0.863333333333333
RNASE4	-0.5985
PARD6B	-3.25275
ARID1A	1.21166666666667
TPD52L3	0.1119
RRAGB	1.33383333333333
RCN2	-0.252166666666667
HIST2H2BE	-0.609375
STARD7	1.04075
SHMT2	-0.0555
KIAA1751	-0.112166666666667
MLYCD	1.177125
LOC162632	-0.6008
UQCRH	0.001
RP11-217H1.1	0.102375
SDHA	-0.3085
NCLN	0.3495
ZNF17	0.484666666666667
RCBTB2	-1.08975
VEGFB	-0.1935
RP4-747L4.3	1.84925
COLQ	0.272
MPN2	-0.829166666666667
DRG2	-0.722
KLRB1	4.0495
ALPK2	-0.66375
DNASE2B	0.35025
FLJ23834	0.750833333333333
AXUD1	0.117333333333333
SAFB	-0.3408
NSUN4	0.30175
RFX2	-1.18816666666667
MAPK8IP1	0.115166666666667
FANCD2	-0.00950000000000003
ANKZF1	0.0926666666666667
C19orf50	-0.021125
DUSP8	0.255
SENP5	-0.108375
NFKBIL2	-0.59225
LBR	-0.388125
IGFL1	0.3705
LZTS2	0.81225
IL2RG	-0.978125
CCDC51	-0.56425
KLF3	0.211
ANKRD37	-1.4565
KCTD14	1.78666666666667
FZR1	1.14841666666667
SLC44A4	3.2998
ESPL1	-0.45425
GMPR2	-1.1116
TBC1D19	-0.4745
ERGIC1	-0.349407407407407
ERBB4	0.2964
TSPAN32	-0.222416666666667
MAP4	0.386625
GPHN	-0.267
SLC6A2	-0.177625
HIVEP1	1.726
DFFB	0.9763
EIF4EBP2	0.13175
DMRT1	0.0465
HSPB6	0.13675
IER2	-0.264
AIFM1	-0.5855
WWC2	0.28325
MRPL4	0.23075
FLJ21062	-0.566166666666667
EPB41L4A	-0.433166666666667
SH2D6	0.583
TAF4B	2.316
GAL3ST3	0.085
MALT1	0.984833333333333
RTDR1	1.42925
ARVCF	-0.307
MEX3B	1.2865
FBXO16	1.39975
KIF7	-1.124
C1QC	3.89783333333333
ZNF783	0.296333333333333
ZNF85	-1.09175
MMP13	2.257
KIAA0329	-0.21175
RTP3	1.925
ZBED3	-0.1895
CLGN	-3.02375
SLC25A37	0.4855
hCG_18290	-0.369
OR5AS1	0.7895
SMARCC2	0.676916666666666
FAM109A	0.493166666666667
CCDC12	-1.004
USF2	0.3473
DEPDC7	0.83475
C20orf24	-0.1785
JMJD3	0.955
DSP	2.24714285714286
SLIC1	0.321
FAM20A	0.578375
IRF2BP2	0.514125
ZNF230	-0.0235
MSN	0.425571428571429
SLC9A5	-2.1545
EPDR1	-2.1641
