Hybridization REF	TCGA-A2-A04T-01A-21R-A034-07
FMNL1	-0.0791666666666667
SEPT7	-0.9303
GNLY	4.2845
GRAMD1C	-0.350666666666667
ZNF165	0.193
USP38	0.87
FAM83A	-3.627
C14orf24	-0.32625
ARMCX3	1.101125
ARHGDIB	-0.288666666666667
AK1	0.261375
KIAA1045	2.846
DNAJB13	-0.57
NEU2	0.382
HIST1H4B	0.1245
FAM20B	-0.1583
HES2	-0.168071428571429
FAM73B	-0.2899
LOC388381	-0.65725
INTS7	0.350090909090909
AMPH	0.288
ZNF775	0.250125
UCKL1	-0.54
C10orf97	-0.2285
C1orf161	-0.03375
ALDH1L1	-1.72025
FLJ39378	-0.78525
SLC23A1	-3.118
RBM4B	0.10025
THAP4	-0.676166666666667
OGFRL1	2.42375
KIAA0831	-0.596375
PPP1R15A	-0.451166666666667
C1orf96	0.952142857142857
C12orf11	-0.83225
BMF	1.837
MAN1A1	-1.88775
KIAA1600	0.933333333333333
NLGN4X	-0.6215
ALOX12	-1.69816666666667
RB1CC1	0.0593
NEIL2	0.1869
EIF4E	0.514181818181818
ABHD5	-0.46225
EXOC4	-0.0113333333333333
CIP29	0.248
BATF2	1.29325
SLC29A4	-0.8655
HTR4	0.414
EMB	-0.87175
TRAF6	0.24175
LMNB1	-0.42175
FAM19A5	1.788375
SHE	0.9105
PIK3C2B	0.401
C15orf15	-0.8401
USP15	0.3719
TCEAL2	2.59225
C5orf39	-0.0713333333333333
PTGER2	-1.54175
SLC31A1	0.2334375
IFT172	0.20925
ADAM29	0.2285
GFOD1	-0.45225
ST7L	-0.633333333333333
C15orf26	-3.5205
PKN3	-1.92775
CNTD1	0.0613333333333333
COMMD1	0.873875
NTRK2	2.9735
FOXN3	0.112875
MFGE8	2.4372
PFKFB2	0.868166666666667
TAS2R4	-0.6445
ENTHD1	0.857833333333333
PRMT5	-1.506375
MGC16384	-1.13525
LOC442229	0.18625
TSKU	-0.074125
KRTCAP3	2.568375
PDLIM1	-0.9474
KCNS2	0.309
RNF126	-0.5245
CEP63	-0.864
CLIC4	0.7825
hCG_1990170	5.1235
ACR	0.8588
KLK7	3.16575
ALOX5AP	2.6845
RIPK3	2.93925
TAS2R9	0.7975
C19orf18	1.963
BIRC6	0.183571428571429
ZNF16	1.578
RFT1	-0.83575
SLC8A2	-0.575
TACC1	0.3175
ITGAD	0.13475
SAMHD1	1.07125
SH3PXD2B	1.684
EPC2	1.5765
C20orf85	0.77
ATP13A2	0.600833333333333
KRT4	0.077
CAPNS1	-0.2215
MDM2	0.8275
PCDH20	1.689
KCNK9	0.24
OR2C1	-0.0555
KLHDC3	0.556166666666667
IPPK	0.545
EFHD2	-0.27475
GALR3	0.66475
NBEA	-0.107
ABCA6	1.799
CLDN3	2.093
AKT2	-0.463071428571429
EGFR	-0.1684
RBM16	-0.043875
ZDHHC3	-0.3806
SLC25A4	0.228333333333333
CYB5B	-1.01533333333333
CPXM1	-1.54375
NDRG1	0.504230769230769
FLJ43826	-0.25475
OR5L2	0.616166666666667
FARP2	-0.7274
MRPL46	0.385
LDHAL6B	0.299166666666667
MAPKAPK3	-0.581666666666667
NCAM2	-3.38625
PRKD2	0.185
ZFP36L1	0.276
CYSLTR1	-0.59425
OR4C3	0.05425
HIST1H2AJ	0.2925
CCNB2	-0.706333333333333
ZNF10	-0.12
TMEM175	0.282
FAM134A	-0.245666666666667
TIGD4	-0.3395
PCNP	-0.4075
MGC39715	0.297
LQK1	-0.39925
CREB1	0.5877
TMPRSS3	-0.5775
C4orf32	-0.8855
LAT	-1.01225
KCNA3	0.3385
SKIV2L2	-1.363
ROPN1B	4.87075
tcag7.23	-0.0375
CDT1	-0.867125
ZHX2	1.57425
CD28	-2.204
ZNF624	0.41225
SEPT2	-1.10216666666667
SOHLH2	-0.679875
MCOLN3	0.962625
UNQ1945	0.7275
MASP2	-1.226
ZNRF3	-1.3493
GPATCH3	-0.4025
AGL	0.755
QRICH2	1.775
PSD4	0.471166666666667
CCNB1IP1	-0.961
ENPP7	0.14675
OBFC1	-1.145
KCNG3	-0.30175
C14orf79	-0.333416666666667
ENPEP	0.604333333333333
SCT	1.1095
SKI	1.198
SEC61G	-0.73875
CAPN11	-0.4955
ATXN7L3	-0.11475
DBNDD1	1.01283333333333
FAIM	-0.00425
ANKRD36	-0.441
GABRP	5.79316666666667
TACSTD2	1.50133333333333
EIF3J	-0.53
PPP2R2A	-0.31475
TEKT4	-0.723
PVALB	-3.96416666666667
F10	-3.522
FAM134C	0.1168
COMP	4.165625
EFCBP1	-3.087625
SCLT1	1.164875
TAL1	-1.378
ACSL1	2.22875
ABCC5	-0.54525
ABL1	-0.448222222222222
RBBP7	0.196583333333333
PTPRG	-0.647625
NCOR1	-0.4458
SPINK4	-2.677
TXNRD1	-0.7584
TNRC15	0.307
C9orf138	0.131
UBE2H	0.196666666666667
BRDT	0.533
C8orf31	-0.2625
CCNE2	0.645818181818182
SLC6A8	-1.831875
CALCR	-4.7355
PPP1CB	0.441666666666667
ABHD8	-0.45325
ARF5	0.43
SLC24A4	1.2475
CCT3	0.53875
ZNF121	0.297875
SLC3A2	-1.1884
OR13A1	0.3955
SLC5A10	-0.312
RAD50	-1.234375
IER5	-0.20575
MTHFD1L	-1.1005
MBTPS2	-0.374333333333333
MVK	-0.94725
NCL	-0.2626
PSMD10	-0.14375
MOBP	0.531
FLJ32894	0.168
HRH1	-1.72566666666667
C5orf30	-0.362
NUDT16L1	-0.1366
RASGRP3	3.90183333333333
PRKRIP1	-0.7119
CCDC75	0.17075
LOC253970	0.0425
KIAA1239	-0.131
MED21	0.43
SYT11	0.48675
NTSR2	0.4295
EGFL11	-0.337
CXorf59	-0.114
OR2A25	0.066
SPTBN2	0.78925
LRMP	-1.321
RNF111	0.148
PTH	0.717
LOC619208	0.386833333333333
KIAA0895	0.967
RANBP5	1.075875
P2RY10	1.71116666666667
NME5	1.61433333333333
DDX21	-0.7805
LRSAM1	0.395
HDAC11	1.397
VMO1	2.5325
NOLA2	1.0615
ADAR	0.8945
MTO1	-0.2195
SF4	-0.06
P2RX1	-0.258
HBM	0.72975
EN2	0.868
C14orf172	0.109
TM9SF2	1.5929
INHBE	-1.72716666666667
TCTE3	0.15025
TOX2	-2.58725
CTAGE3	-0.153875
HBB	3.2105
MED15	-0.754833333333333
CASR	0.4255
C6orf66	-0.434666666666667
MTPN	0.20625
UNC50	-0.58775
C21orf33	-0.057125
IRF2	0.987625
PGR	-2.841
GPR84	3.53575
CROCCL1	-1.59325
SRPX	-0.7535
BRE	-0.0676666666666667
FGF10	0.26175
SDC3	0.285666666666667
ZRSR1	-0.123666666666667
DKFZP434P211	-0.294875
SOX6	1.124
RPUSD2	-0.06775
C14orf173	-0.124333333333333
MAPK11	-0.743
TBC1D22A	0.316
FAM123A	1.8715
COL4A6	-4.69766666666667
TOMM70A	-0.29475
NAB1	0.610625
MGC16385	1.013375
TSPAN18	1.147
MED31	-0.17875
PLG	0.18475
CAPSL	0.418
ZNF532	1.096
ASB14	0.923
CA8	-0.32875
NUDT16P	-0.203
SLFN11	0.138
LRRIQ2	-0.25875
NOL7	-0.538833333333333
BRMS1L	-0.0165
JARID1A	1.49783333333333
PANK2	-0.76675
ICAM3	-1.22
MDS1	-0.4615
TAF8	-0.104
RNF139	0.411
ZNF594	0.703166666666667
ADAM8	2.201125
SFTPC	0.176625
MAN2B2	0.324875
RGS12	-0.02475
EIF1AY	-4.98775
LRRIQ1	-1.24833333333333
GPR150	0.82475
CCDC21	-0.499
PRRG3	1.8245
SAA4	-4.38575
RAPGEF5	2.118625
ZCCHC2	0.635166666666667
MGC39372	-0.699
PPP4R2	-0.167
CDCA2	-0.346666666666667
OR4D5	0.932833333333333
PTGFRN	1.1931
SIGLEC5	0.590333333333333
C19orf61	-0.669833333333333
NMUR2	0.2275
KIAA1586	-0.2685
DAGLA	-0.133
CHCHD6	-0.67475
GPR32	0.421
NEUROD6	0.126666666666667
SLC2A4RG	0.6105625
CA5B	-0.46725
FBXL3	0.9505
MPHOSPH9	-1.8575
HMG2L1	1.149
HCN4	0.4785
CEACAM19	0.99625
SH2D4B	0.165166666666667
HFE2	-0.54
TGM4	-0.254666666666667
LYPD2	0.3445
TBC1D15	0.52925
MRPS21	0.454
NONO	-0.2387
CLEC5A	3.45875
ITCH	0.2448
MGAT3	0.0566666666666666
MBP	-0.436125
RPP25	0.4965
SOSTDC1	2.9005
HRC	-2.6165
TRIM48	0.431
TMEM133	-0.491
ECEL1P2	-1.81233333333333
HOXC11	0.9395
DOK5	3.929
HELZ	-0.0166666666666667
LOC348180	0.159
MGC33894	0.81175
ADRB3	0.0125
DMD	0.458333333333333
PTRH2	-1.057
MPEG1	3.30183333333333
NDUFA12	0.171166666666667
KRTAP2-4	0.1735
STAMBPL1	-1.15516666666667
ADCY2	2.69283333333333
UNQ6125	0.3445
KLHL20	-0.177166666666667
SRM	-0.449
OTC	-0.22175
TMIE	0.1235
SNX8	-0.3395
LIPK	0.8295
CHURC1	0.17625
KLC2	0.188333333333333
HDAC1	0.2235
FAM128A	0.272333333333333
FNDC3B	0.4258
MTCP1	0.269166666666667
WFDC10B	0.0191
PCDHGB3	-1.7075
ATRNL1	1.1744
CAV2	-1.500125
MED26	0.1665
DUS1L	0.448
CHRM3	0.58725
NEK9	-0.51125
WARS2	0.22275
TBX22	0.1475
TOMM40	-0.19175
RP6-213H19.1	0.8575
TUBGCP5	-0.1045
IGSF6	5.633
TPPP	0.525
UNQ6190	0.4865
GSTM5	-0.49625
BTD	-0.0353333333333333
PDCD1LG2	1.70283333333333
SNRPB2	-1.04283333333333
ERICH1	-0.97
APOA4	-2.040125
HOXA11	-1.03875
NARG1	0.141375
MKX	-1.03575
RAB28	-0.610214285714286
PKP3	0.648
SH3GL2	3.487
CTSO	1.07625
RPN2	0.8901875
IL28RA	1.1875
SFMBT1	0.29975
WDR57	-0.46425
FER1L3	-0.11525
HSF5	-0.174833333333333
TTC9B	-0.164
C4BPA	-4.4465
ALB	-5.09471428571428
SORBS3	-0.110125
UPF2	0.6525
JPH1	1.4545
AGBL2	-1.3875
DOPEY1	0.667
TERF1	-0.263583333333333
KIF22	-0.412333333333333
NINJ1	1.61375
SEC61A2	-0.0863333333333333
HIST1H1D	-0.7535
SFXN4	-0.80025
UCP3	0.608
ZNF703	0.435166666666667
MYL6B	0.4585
TREM1	2.79575
OR52E6	-0.046
CKMT2	1.54825
HLA-C	1.74025
SLC13A3	-1.07066666666667
TIMP4	-0.49975
SLIT2	0.778
RSF1	0.239611111111111
LONRF1	-0.4735
MON1A	-0.372666666666667
CACNG6	-2.12116666666667
DPPA4	-5.4405
ZSWIM3	0.569
ZNF804A	0.7575
CCIN	0.311
SLC25A31	-0.6225
KCNMB4	-2.6915
RABL5	-0.232625
GALNS	1.012
STX6	1.285125
HIST1H1C	-1.37683333333333
CIDEB	0.738875
CASP4	-0.750333333333333
PDK3	-0.2224
KCNJ11	0.193
TPR	-0.565875
ZSCAN20	0.78
MTX2	0.04225
HIST1H2BH	0.8315
LOC283767	0.5885
LYRM7	-1.47355555555556
BRD3	1.08966666666667
HIST1H2BO	1.0305
MAGEB10	0.097
SLC45A1	-0.221
SERPINA3	-2.03105
KIAA0143	1.061
KCNJ16	1.08433333333333
KRT79	-0.054
FABP2	-0.356
NUT	3.00075
ZNF57	-0.2135
FBXL4	-0.71525
CLEC9A	0.9635
UGT8	4.33183333333333
BMP2K	0.45825
MAPK4	-0.265
SLC25A23	0.2541
HINT1	-0.8309
KRTAP13-1	0.2335
SFXN5	0.0499
CHCHD2	-0.10925
FAM3D	2.9585
NDP	-1.060875
RHOBTB1	-1.263
SLC4A4	0.041
RPL38	-0.16575
HTF9C	-0.326666666666667
AP2A2	0.106125
ZBTB46	-0.6745
MAP7D1	0.275
AOX1	-2.07483333333333
CYR61	0.37525
DTNA	2.71964285714286
JRKL	1.12025
TMOD3	-1.05275
EEA1	0.531
ADCK5	0.35575
IL1R1	0.4375
KLK3	0.285857142857143
HRSP12	-0.5595
KTN1	-0.3515
LOH11CR2A	-1.4223
RELL2	-0.9515
MAB21L1	0.313
C20orf59	-1.13383333333333
PHKB	-0.00975
ADAM2	-2.2095
TBC1D8B	1.19216666666667
FAM13A1	0.677875
LAPTM4B	-0.2245
LCN8	-0.174
TMEM147	0.026
SYT4	0.141
XPO7	-0.2885
C9orf62	1
GPR75	0.2455
TRIM5	-1.467125
APOC1	0.272333333333333
RNASE4	-2.25716666666667
PARD6B	-2.410125
ARID1A	0.179583333333333
TPD52L3	0.4017
RRAGB	-0.528166666666667
RCN2	1.2755
HIST2H2BE	1.3778125
STARD7	0.89225
SHMT2	0.30275
KIAA1751	0.237166666666667
MLYCD	0.266875
LOC162632	-0.8126
UQCRH	0.3895
RP11-217H1.1	1.0926875
SDHA	0.147666666666667
NCLN	-0.4509
ZNF17	0.7515
RCBTB2	-1.30625
VEGFB	0.0107
RP4-747L4.3	2.80425
COLQ	0.8272
MPN2	-0.954333333333333
DRG2	-0.99075
KLRB1	5.3035
ALPK2	-1.59225
DNASE2B	0.07325
FLJ23834	0.417666666666667
AXUD1	0.246333333333333
SAFB	0.1634
NSUN4	0.66775
RFX2	1.25583333333333
MAPK8IP1	-1.05766666666667
FANCD2	0.256428571428572
ANKZF1	-1.662
C19orf50	-1.028625
DUSP8	1.51825
SENP5	0.755875
NFKBIL2	0.19725
LBR	-0.378875
IGFL1	-0.063
LZTS2	0.5195
IL2RG	1.163
CCDC51	-0.0715
KLF3	-0.049
ANKRD37	-1.688
KCTD14	-2.3145
FZR1	0.172
SLC44A4	-2.086
ESPL1	-0.469875
GMPR2	-1.6274
TBC1D19	-0.0196666666666667
ERGIC1	-0.505444444444444
ERBB4	0.6339
TSPAN32	0.61525
MAP4	-0.2805
GPHN	-0.43825
SLC6A2	1.814
HIVEP1	0.85775
DFFB	0.5485
EIF4EBP2	0.3105
DMRT1	4.05575
HSPB6	-0.45625
IER2	-0.637666666666667
AIFM1	0.22125
WWC2	-0.215545454545455
MRPL4	-0.404
FLJ21062	-1.0985
EPB41L4A	-0.285916666666667
SH2D6	0.269
TAF4B	1.2005
GAL3ST3	-0.1385
MALT1	-0.5395
RTDR1	0.39225
ARVCF	-0.302
MEX3B	1.20716666666667
FBXO16	-1.139
KIF7	0.57725
C1QC	4.15333333333333
ZNF783	0.598
ZNF85	-2.21375
MMP13	0.336
KIAA0329	-0.2925
RTP3	2.8325
ZBED3	0.00675
CLGN	-4.486
SLC25A37	-1.29475
hCG_18290	0.812
OR5AS1	0.4395
SMARCC2	0.543
FAM109A	-0.494
CCDC12	-0.8705
USF2	0.3762
DEPDC7	-2.81475
C20orf24	-0.176166666666667
JMJD3	0.505
DSP	2.0945
SLIC1	0.815375
FAM20A	1.315875
IRF2BP2	1.672375
ZNF230	-0.172
MSN	-0.111714285714286
SLC9A5	-2.17
EPDR1	-2.5138
MUSK	-0.1135
ZNF434	-1.088
SMARCD1	-0.558833333333333
ZFP106	-0.01525
ZNF347	0.8368
GTF2E1	-0.378
RY1	-0.155333333333333
