Hybridization REF	TCGA-AN-A0G0-01A-11R-A034-07
GYPC	-0.9565
C7orf33	1.6495
PLIN	-0.331666666666667
LOC90826	-0.31825
RNF4	-0.0327
F8A1	-0.264166666666667
PLEKHG4	-4.097
GRB2	-0.417
HIST1H2AD	-1.363
DUS3L	-0.210166666666667
EIF1	-0.314833333333333
RP5-1077B9.4	-1.04616666666667
FPGT	0.6385
GDF10	-2.36533333333333
COQ9	0.298
GCC2	-0.602928571428571
RARRES3	0.9225
PLXNA1	-0.6642
KIAA0100	1.8043
PMF1	0.2455
FNDC1	5.835
HS2ST1	0.60325
CRELD2	1.7365
C8G	-2.127
CD82	1.157
LIM2	-1.308
UNQ6490	0.00600000000000001
MMP16	2.2325
DRD3	-0.2375
C5orf26	-0.375
C11orf73	0.789125
PTP4A2	-0.0105
OR4M2	0.577
HPCA	-0.888
SEC14L1	-0.518
CHFR	0.390625
EMILIN1	0.4795
NDUFS4	-0.611
COL18A1	-1.04
PDZD3	-0.1295
C9orf16	-0.1185
ERBB2IP	-0.367333333333333
EMX2	3.978
FUS	-0.84725
TF	-2.9686
CLCN4	0.375666666666667
CXorf56	-0.15925
C11orf72	0.59675
ELAC2	-0.892416666666667
NPR1	-1.26975
ASS1	-3.43983333333333
USP42	0.585625
POLR2J	-0.6535
SEC23IP	0.409666666666667
UQCRC1	-0.18375
LOC729603	0.33125
C1orf71	0.417625
POLG	-0.7495
ADAM23	-3.56575
TFR2	-0.533
RICTOR	-1.4034
MGC39606	-0.53975
C19orf55	-0.2425
SNAPC1	-0.042
GNA11	0.163875
CCDC52	-1.17083333333333
FSIP1	-0.424
UPF3A	-1.19225
IGSF11	-2.0685
LAGE3	-0.72275
CHST6	1.595
UNC13B	0.631875
TTLL4	-0.242875
ZNF687	0.47975
SDC2	0.7367
COX7A2	0.50675
LAMB4	0.27725
FAM24A	0.385
LRRTM3	-1.21483333333333
GPHB5	0.1185
OR4C13	0.178
EIF3EIP	1.023
HABP4	-0.272
TMEM125	3.844
CNTN2	0.0751428571428571
ASNSD1	-0.21025
FUT4	1.53175
ACF	-3.61175
LOC158381	0.093
CDH8	0.52325
AGPS	-0.505333333333333
C4orf18	0.820125
PECI	-0.34025
UNG	-0.32725
GSTP1	1.03225
DCUN1D5	0.566
DKFZP564J0863	0.4195
SLC9A3R1	-0.36325
BCDO2	-1.233625
CHMP7	-0.158625
REM2	1.1955
DNHD1	-0.779125
FKBP4	-1.2725
ZNF350	0.1475
MGC11102	0.7105
BST1	3.662
KISS1R	0.565
NCR2	0.615
DEFB125	0.7425
UBE2W	1.725875
KRT15	3.128375
C10orf99	0.3045
SCN11A	-0.270857142857143
GFI1	-2.20525
RDHE2	-0.848666666666667
FHL1	-2.4395
OSGEP	-0.717333333333333
GATA1	-3.51216666666667
SMC6	-0.55325
TTTY14	-1.47225
LPIN3	-0.35
RPL4	0.0838
RBPMS	-0.6312
PRPF3	-0.1745
EMR1	-2.581
SPATA19	-0.1945
XCR1	0.655
IRX3	1.1349
RBM6	-1.41375
KLF4	-2.1756
UNC5CL	-0.70925
SEBOX	-0.0115
BTK	-0.873
KRCC1	0.98175
C6orf27	0.4025
SYTL5	-1.4475
PRND	1.206
LOC653319	-0.927
PIGL	-1.024
HUS1	0.9525
SFRS6	0.216333333333333
C17orf77	0.1815
UIMC1	-0.9675
FXYD2	-1.9712
LOC283152	-0.66175
ZNF667	-0.5635
ZCCHC12	-1.13825
TFEC	3.5537
ATP7B	-2.29616666666667
POLD2	-0.382833333333333
RG9MTD1	-0.46525
ACOT2	-0.7105
HIST1H4I	-1.0905
PPARGC1A	2.544
ETFA	-1.4366
POLRMT	0.1385
ZNF146	0.34875
MIA2	-1.9915
KLHL6	-0.305333333333333
HOXB5	-1.5555
NENF	0.807
CUGBP1	1.1575
PRSS22	2.08233333333333
CASC4	1.7368
CUL4B	-0.2725
CENPJ	-1.932
PITX1	-0.257
FLJ31033	0.751
CELSR3	-1.6015
ZNF568	0.827
ITSN1	-0.833916666666667
EHBP1L1	-0.334166666666667
C19orf2	-0.32375
DCTN1	-0.38
LIN28B	-3.45916666666667
TNKS2	0.16325
C1QBP	-0.328375
CADPS2	2.79575
SRMS	-0.073
GJA9	-0.0606666666666667
MGC24975	-0.650833333333333
TRIM45	-0.994333333333333
TSP50	-0.46175
TCP1	-0.247
TMED7	0.6521
CMA1	0.445
CENPL	0.243666666666667
PTCRA	-0.332
FST	-4.38975
VWCE	-3.436
PAWR	0.75625
ABCC12	-0.19925
LDLR	-0.7292
ASTN2	0.8075
LOC441212	0.54325
GPATCH8	-0.09425
TANC2	-1.32616666666667
KIF4A	-1.2505
C18orf18	-0.44825
PGM1	0.37725
KIAA0258	1.595
CPD	1.66
SNCAIP	-2.52825
DCT	-4.21066666666667
HLA-DOA	2.72509090909091
OR11L1	0.8775
UPK1B	-0.51
DNAJB4	0.407875
UGT1A8	-0.53225
HIST1H4L	-0.2075
PECR	-2.48016666666667
HSPA2	-1.09175
WFIKKN1	-2.5815
SERP1	0.929125
SYDE2	0.56575
TACR2	0.0665
NUP85	-0.51425
CD177	-0.943666666666667
LGR5	-2.09733333333333
PIGG	0.518583333333333
PTHR1	-1.836
RAB5A	-0.0923
FLJ13224	0.0845
USP9Y	-1.40283333333333
C7orf53	-0.8985
LRP1B	2.7
XAF1	0.8082
ABCG8	-0.393
ANKDD1A	-0.833166666666667
DAND5	-2.01
SPAG6	-0.407
LINCR	3.313
ZDHHC22	-1.7205
CCDC60	-1.2045
THOC7	-1.35033333333333
TCTA	-0.0998
OR8K3	0.47525
NY-REN-7	-1.112
B2M	1.3825
C6orf141	-0.984375
LPPR4	1.57175
SQLE	-0.606125
SEPHS1	0.331
BTBD14B	0.804928571428571
PLRG1	-0.3155
SPG7	-0.718125
ZNF614	-0.263333333333333
PARD6G	1.255
INPP5B	-0.7241
GRPEL2	0.335125
PPID	-0.5792
TRIM56	-0.75825
UBE2J1	1.483
IL20RA	3.2675
LOC387856	0.03475
C1orf107	0.301083333333333
UTS2R	0.42825
C19orf22	-0.23525
SAFB2	0.08325
KIAA0652	-0.13025
KLRG1	-1.25916666666667
MS4A8B	0.0171666666666667
FRAG1	0.18525
KIAA1546	0.36025
E2F4	-1.1259
CLEC4M	0.374
BTBD14A	0.7735
KIAA0999	1.3378
GYPA	-4.68433333333333
TAC1	-0.689555555555555
TRAIP	-1.39783333333333
KIAA0232	0.3954
ERCC8	-0.6925
GPX4	0.50375
KIAA0368	-1.339375
GPR157	-1.5945
CTAGE4	1.082
C9orf30	-0.259666666666667
OR52A1	0.4405
HSP90B3P	0.147
ALG9	0.4075
BTBD10	0.1915
SDK2	-0.21925
BAIAP3	-1.788
RABGGTB	-0.370125
ANKRD40	0.355
KRT74	0.336
CALCOCO2	-0.721357142857143
SNCA	-2.885
TMSL8	-0.71475
C2orf53	0.0005
ESRRB	-0.57575
ARHGAP26	-0.714125
TDRD9	-2.8875
HRAS	0.375833333333333
KLRC4	-2.5085
JAGN1	-0.4695
BSDC1	-0.358
RNF43	-0.5415
NDUFAF1	0.327
PHF12	2.06066666666667
OR1L3	0.05475
FOLR2	1.17325
LYZL6	0.196333333333333
tcag7.1260	-2.274
WSB1	0.517
PROS1	0.3038
OSTN	0.9225
PSMB8	0.589
SOCS4	-0.130857142857143
DDIT4L	3.39375
MAS1	-1.8195
MGC34796	-0.0915
CSHL1	0.367833333333333
TBCCD1	-0.348166666666667
ZBTB7C	0.043
AP2S1	-0.465
P15RS	1.1926
VAT1	-1.1358
SHANK3	1.72283333333333
TUFM	-0.360833333333333
THEG	-0.953
KRT34	-1.753
SGSM3	1.275625
TOMM22	0.684625
SOCS3	-0.120833333333333
CPO	-0.3175
POP4	0.1555
BHLHB3	-0.4985
MALL	4.0475
OR1B1	0.884
PARK2	0.0871666666666667
GPR124	-0.37625
LCE1E	-0.3195
RUVBL2	-0.44575
CGRRF1	0.4625
ACPL2	0.11425
WNT10B	-2.811875
BAIAP2L2	-1.222125
ISCA1	-0.273
C1orf125	-0.157375
RPAP1	-0.15525
RAI16	-0.233666666666667
RPL27	-0.378125
NLRP9	-0.411
EPN1	0.344
LOC388610	-0.216625
SLC35A1	0.9145
GAL	-3.70325
SLC14A2	0.222
RDH11	0.423166666666667
FAM138F	0.331
AUH	0.0705
FLJ40243	0.2405
C14orf129	0.376
MBD2	-0.118333333333333
ABHD14B	-0.966625
PIGT	-0.126125
ALS2CR4	-0.274625
ALAS1	0.1281
FOXO1	0.422333333333333
CRLF3	-0.6615
C20orf107	-0.969
FARS2	0.328
CCDC28A	-0.13275
NPHP3	-1.44975
OR13F1	0.3185
TSEN54	-0.725
DEFB106B	-0.2409
OR8B4	-0.052
STH	-1.31
ZC3H14	0.2625
CBX2	-0.7255
TMEM49	-1.66375
C6orf21	0.842
FLJ20920	-0.9215
CRTAP	-1.03642857142857
DDX50	-0.17025
STYXL1	0.22525
BLVRB	-1.8055
LOC147650	-2.3555
MMP24	0.269
GRID1	0.822833333333333
BANF1	0.224666666666667
CTAGEP	1.26025
HMBS	-0.3275
SLC25A24	-0.118666666666667
C14orf50	-0.5795
MRO	4.71716666666667
SLC25A15	-0.4685
FAM84B	2.8538
TDP1	0.7255
C16orf78	0.123833333333333
C11orf57	1.056
RFK	-0.62175
ZFYVE9	-0.055875
STCH	0.2434
WIBG	0.17625
LOC283871	-0.686166666666667
GBA2	0.2151
NDUFB3	0.399
HSD17B13	-0.93375
GRIN3A	2.13416666666667
FMNL1	-1.63433333333333
SEPT7	-0.5456
GNLY	4.6905
GRAMD1C	-0.601833333333333
ZNF165	-0.33975
USP38	0.49525
FAM83A	-0.9165
C14orf24	0.5015
ARMCX3	0.38375
ARHGDIB	0.517833333333333
AK1	-1.01675
KIAA1045	-0.3645
DNAJB13	-0.262
NEU2	-0.2065
HIST1H4B	-0.110666666666667
FAM20B	0.636
HES2	-0.158071428571429
FAM73B	-0.7895
LOC388381	-1.68725
INTS7	0.783363636363636
AMPH	-0.2845
ZNF775	-0.105
UCKL1	-1.0945
C10orf97	0.2645
C1orf161	0.43625
ALDH1L1	0.0675
FLJ39378	-0.536375
SLC23A1	-3.297
RBM4B	-0.40075
THAP4	0.0685
OGFRL1	2.7225
KIAA0831	0.289375
PPP1R15A	-0.460333333333333
C1orf96	1.55235714285714
C12orf11	-1.02575
BMF	-0.141625
MAN1A1	0.50675
KIAA1600	0.912833333333333
NLGN4X	-1.748
ALOX12	-1.2232
RB1CC1	0.0761
NEIL2	0.648
EIF4E	0.5025
ABHD5	0.1335
EXOC4	-0.2115
CIP29	0.303
BATF2	1.58575
SLC29A4	0.946375
HTR4	0.4695
EMB	-2.136
TRAF6	0.67625
LMNB1	-1.18825
FAM19A5	-0.918875
SHE	0.906
PIK3C2B	0.27925
C15orf15	-0.0814
USP15	-0.2073
TCEAL2	-1.84175
C5orf39	1.11033333333333
PTGER2	-1.5845
SLC31A1	-0.152625
IFT172	0.8305
ADAM29	0.505
GFOD1	-0.65475
ST7L	0.102833333333333
C15orf26	-2.444
PKN3	-1.75475
CNTD1	1.16966666666667
COMMD1	0.252375
NTRK2	1.43058333333333
FOXN3	-0.448125
MFGE8	2.1194
PFKFB2	0.611166666666667
TAS2R4	-1.20275
ENTHD1	2.941
PRMT5	-0.65525
MGC16384	-1.5015
LOC442229	0.79
TSKU	1.8115
KRTCAP3	3.9595
PDLIM1	-0.1024
KCNS2	0.096
RNF126	-0.1845
CEP63	-0.713875
CLIC4	0.117875
hCG_1990170	-1.1065
ACR	0.5478
KLK7	-0.476
ALOX5AP	2.47775
RIPK3	2.47525
TAS2R9	0.454
C19orf18	0.255
BIRC6	-0.335357142857143
ZNF16	1.1825
RFT1	-0.85075
SLC8A2	-0.5645
TACC1	-1.083625
ITGAD	0.0865000000000001
SAMHD1	0.69
SH3PXD2B	1.1613
EPC2	0.48275
C20orf85	0.04125
ATP13A2	0.603666666666667
KRT4	0.3365
CAPNS1	-0.59125
MDM2	-0.258
PCDH20	8.06325
KCNK9	0.7525
OR2C1	-0.341
KLHDC3	-0.784
IPPK	-0.4775
EFHD2	-0.771
GALR3	0.52175
NBEA	2.12133333333333
ABCA6	1.1513
CLDN3	1.0705
AKT2	-0.252714285714286
EGFR	1.4271
RBM16	0.12625
ZDHHC3	0.1406
SLC25A4	0.156333333333333
CYB5B	-1.17216666666667
CPXM1	-0.74575
NDRG1	-1.75315384615385
FLJ43826	-0.36525
OR5L2	0.108
FARP2	-0.0898
MRPL46	-0.177666666666667
LDHAL6B	-0.033
MAPKAPK3	-0.884666666666667
NCAM2	-2.8705
PRKD2	0.1985
ZFP36L1	1.1357
CYSLTR1	-1.851
OR4C3	0.129
HIST1H2AJ	0.9165
CCNB2	-0.249777777777778
ZNF10	0.09975
TMEM175	-0.0355
FAM134A	0.3295
TIGD4	1.026
PCNP	-0.70475
MGC39715	1.23075
LQK1	0.6885
CREB1	0.9295
TMPRSS3	0.48975
C4orf32	0.766625
LAT	-1.84275
KCNA3	1.1095
SKIV2L2	-0.8185
ROPN1B	4.4285
tcag7.23	-0.7245
CDT1	-1.623875
ZHX2	1.03625
CD28	-4.04675
ZNF624	-0.353
SEPT2	0.493916666666667
SOHLH2	-0.168
MCOLN3	-1.404125
UNQ1945	0.58
MASP2	-0.796
ZNRF3	0.589
GPATCH3	-0.3965
AGL	0.48975
QRICH2	-0.148
PSD4	0.6595
CCNB1IP1	-1.3985
ENPP7	0.55825
OBFC1	-0.169
KCNG3	-2.814
C14orf79	0.458583333333333
ENPEP	0.988166666666667
SCT	0.592
SKI	3.117625
SEC61G	0.6005
CAPN11	0.21225
ATXN7L3	-0.18775
DBNDD1	0.931
FAIM	0.214
ANKRD36	-0.191
GABRP	1.9665
TACSTD2	0.869333333333333
EIF3J	0.25975
PPP2R2A	-0.29025
TEKT4	-0.529666666666667
PVALB	-3.86583333333333
F10	-3.47283333333333
FAM134C	0.6638
COMP	4.483875
EFCBP1	-3.86125
SCLT1	1.25125
TAL1	-1.5397
ACSL1	2.221
ABCC5	-0.8375
ABL1	-0.915
RBBP7	-0.598416666666667
PTPRG	-0.366375
NCOR1	-0.4285
SPINK4	-2.56783333333333
TXNRD1	0.0696
TNRC15	0.19525
C9orf138	0.692625
UBE2H	1.10633333333333
BRDT	-0.451333333333333
C8orf31	-0.196
CCNE2	0.188272727272727
SLC6A8	-1.138125
CALCR	-3.77625
PPP1CB	0.48425
ABHD8	-0.553
ARF5	-0.3048
SLC24A4	0.4975
CCT3	0.0795
ZNF121	1.005375
SLC3A2	-0.9541
OR13A1	0.4495
SLC5A10	-0.1645
RAD50	-0.831125
IER5	-0.300125
MTHFD1L	-0.927125
MBTPS2	-0.2115
MVK	-0.734
NCL	0.2645
PSMD10	-0.74975
MOBP	0.0834285714285714
FLJ32894	-0.339
HRH1	-0.0543333333333333
C5orf30	-0.416
NUDT16L1	0.7599
RASGRP3	4.8255
PRKRIP1	-0.2176
CCDC75	-0.1685
LOC253970	-0.898
KIAA1239	2.5895
MED21	0.1235
SYT11	-0.556333333333333
NTSR2	-0.8685
EGFL11	0.068
CXorf59	3.014
OR2A25	0.74725
SPTBN2	0.8225
LRMP	-2.03683333333333
RNF111	-0.053
PTH	0.7735
LOC619208	0.889166666666667
KIAA0895	1.2335
RANBP5	-1.06775
P2RY10	-0.0216666666666667
NME5	2.86866666666667
DDX21	-0.5845
LRSAM1	-0.894
HDAC11	-0.3615
VMO1	2.48725
NOLA2	-0.867833333333333
ADAR	1.10966666666667
MTO1	-0.362166666666667
SF4	0.0468333333333333
P2RX1	0.064
HBM	0.39575
EN2	0.8135
C14orf172	0.48975
TM9SF2	0.198
INHBE	-1.777
TCTE3	-0.242916666666667
TOX2	-3.30775
CTAGE3	1.3175
HBB	3.6942
MED15	-0.256
CASR	0.14975
C6orf66	0.158666666666667
MTPN	0.1875
UNC50	-0.08075
C21orf33	-0.185875
IRF2	0.662
PGR	-3.80733333333333
GPR84	2.52325
CROCCL1	-2.33975
SRPX	-0.20925
BRE	-0.0626666666666667
FGF10	-0.3635
SDC3	1.05033333333333
ZRSR1	-0.298833333333333
DKFZP434P211	-0.9125
SOX6	1.3755
RPUSD2	-0.3625
C14orf173	0.5295
MAPK11	0.0725
TBC1D22A	0.8175
FAM123A	-0.9665
COL4A6	-4.28116666666667
TOMM70A	-0.65475
NAB1	1.58475
MGC16385	0.3195
TSPAN18	-0.165
MED31	-0.13825
PLG	-0.9785
CAPSL	0.2475
ZNF532	1.8273
ASB14	0.659
CA8	-4.3255
NUDT16P	-0.887
SLFN11	0.5765
LRRIQ2	-0.0285
NOL7	-0.110333333333333
BRMS1L	0.21875
JARID1A	0.02
PANK2	-0.20675
ICAM3	-0.0645
MDS1	0.6115
TAF8	-1.034
RNF139	0.5125
ZNF594	-1.1775
ADAM8	2.989375
SFTPC	-0.211125
MAN2B2	0.558
RGS12	0.1599375
EIF1AY	-5.06933333333333
LRRIQ1	-1.78883333333333
GPR150	0.47425
CCDC21	-1.4
PRRG3	0.32825
SAA4	-3.47275
RAPGEF5	2.925875
ZCCHC2	1.25641666666667
MGC39372	-0.014
PPP4R2	0.765833333333333
CDCA2	-0.485166666666667
OR4D5	1.05083333333333
PTGFRN	1.8013
SIGLEC5	2.2855
C19orf61	0.124333333333333
NMUR2	0.102
KIAA1586	-0.37
DAGLA	1.03266666666667
CHCHD6	-1.13375
GPR32	0.98
NEUROD6	-0.107166666666667
SLC2A4RG	-0.757625
CA5B	-1.01425
FBXL3	0.0455
MPHOSPH9	-0.44025
HMG2L1	0.81475
HCN4	0.0261666666666667
CEACAM19	-0.616
SH2D4B	-0.4196
HFE2	-1.558
TGM4	0.3155
LYPD2	-0.015
TBC1D15	0.08725
MRPS21	0.5423
NONO	-0.6217
CLEC5A	2.4735
ITCH	0.5126
MGAT3	-1.81183333333333
MBP	0.01925
RPP25	-2.05
SOSTDC1	6.351
HRC	-2.2575
TRIM48	1.3095
TMEM133	0.05175
ECEL1P2	-1.53075
HOXC11	0.8665
DOK5	-0.7805
HELZ	-0.186666666666667
LOC348180	-0.5785
MGC33894	0.49725
ADRB3	0.2655
DMD	1.94908333333333
PTRH2	-0.08825
MPEG1	3.264
NDUFA12	0.005
KRTAP2-4	-0.24825
STAMBPL1	-0.087
ADCY2	-1.0245
UNQ6125	0.1875
KLHL20	-0.0856666666666666
SRM	-0.294
OTC	-0.0835
TMIE	-0.544333333333333
SNX8	1.382
LIPK	0.5985
CHURC1	0.24425
KLC2	0.479166666666667
HDAC1	-0.677833333333333
FAM128A	-0.114666666666667
FNDC3B	1.9874
MTCP1	-1.27066666666667
WFDC10B	0.286
PCDHGB3	0.204
ATRNL1	-2.9812
CAV2	-0.326875
MED26	-0.0848333333333333
DUS1L	0.4525
CHRM3	0.828
NEK9	-0.30825
WARS2	0.637
TBX22	-0.0005
TOMM40	-0.756
RP6-213H19.1	-0.382
TUBGCP5	-0.6215
IGSF6	5.79675
TPPP	-0.1224
UNQ6190	-1.066
GSTM5	-1.324
BTD	-0.784
PDCD1LG2	0.629166666666667
SNRPB2	0.547666666666667
ERICH1	-0.926375
APOA4	-1.683375
HOXA11	-1.471
NARG1	-0.149625
MKX	-1.193
RAB28	0.206428571428571
PKP3	1.451
SH3GL2	-1.7785
CTSO	3.265
RPN2	1.2313125
IL28RA	0.0153333333333333
SFMBT1	0.4775
WDR57	-0.4025
FER1L3	-0.248833333333333
HSF5	0.379666666666667
TTC9B	0.005
C4BPA	-2.7465
ALB	-4.22415384615385
SORBS3	0.1845
UPF2	0.249
JPH1	0.853
AGBL2	-2.6245
DOPEY1	1.796
TERF1	-0.01075
KIF22	-1.12533333333333
NINJ1	-0.0155
SEC61A2	-0.00625000000000002
HIST1H1D	-0.7605
SFXN4	0.36025
UCP3	0.6873
ZNF703	0.971166666666667
MYL6B	0.053
TREM1	3.3365
OR52E6	-0.4695
CKMT2	1.79
HLA-C	1.3735
SLC13A3	0.2825
TIMP4	-1.4425
SLIT2	1.458
RSF1	2.68133333333333
LONRF1	-0.611857142857143
MON1A	-0.261166666666667
CACNG6	-1.97733333333333
DPPA4	-5.41283333333333
ZSWIM3	0.21525
ZNF804A	0.0203333333333334
CCIN	0.75275
SLC25A31	-1.46866666666667
KCNMB4	-1.0175
RABL5	0.159625
GALNS	-0.4509
STX6	1.18
HIST1H1C	-4.53866666666667
CIDEB	0.609125
CASP4	1.2225
PDK3	0.734
KCNJ11	-0.11
TPR	0.204625
ZSCAN20	-0.19
MTX2	-0.1785
HIST1H2BH	-0.48175
LOC283767	-0.916
LYRM7	-1.48983333333333
BRD3	-1.05333333333333
HIST1H2BO	-1.39575
MAGEB10	0.428
SLC45A1	-0.45075
SERPINA3	3.9706
KIAA0143	0.65725
KCNJ16	0.681
KRT79	0.07875
FABP2	-0.01
NUT	-0.70275
ZNF57	-0.5965
FBXL4	0.0965
CLEC9A	0.709
UGT8	3.8585
BMP2K	-0.1245
MAPK4	0.19875
SLC25A23	-0.7674
HINT1	-0.3808
KRTAP13-1	0.5925
SFXN5	-0.8128
CHCHD2	0.498833333333333
FAM3D	4.36
NDP	-2.69725
RHOBTB1	0.7305
SLC4A4	-1.45
RPL38	-0.56825
HTF9C	0.550833333333333
AP2A2	0.689625
ZBTB46	-1.1055
MAP7D1	-0.2395
AOX1	-2.254
CYR61	0.50675
DTNA	-1.31057142857143
JRKL	1.2045
TMOD3	0.479
EEA1	0.1167
ADCK5	-0.04575
IL1R1	0.676666666666667
KLK3	0.609461538461539
HRSP12	-0.371
KTN1	0.07025
LOH11CR2A	1.6242
RELL2	-1.0095
MAB21L1	1.1805
C20orf59	-1.369
PHKB	0.4785
ADAM2	-1.81083333333333
TBC1D8B	1.311
FAM13A1	-0.34575
LAPTM4B	0.416583333333333
LCN8	0.096
TMEM147	0.7495
SYT4	0.16275
XPO7	-0.1175
C9orf62	1.10525
GPR75	1.104
TRIM5	-0.2525
APOC1	0.7765
RNASE4	-1.2545
PARD6B	-3.34625
ARID1A	0.189833333333333
TPD52L3	0.904333333333333
RRAGB	-0.752333333333333
RCN2	0.1715
HIST2H2BE	-1.409375
STARD7	-0.10275
SHMT2	0.023
KIAA1751	0.310166666666667
MLYCD	0.164375
LOC162632	-1.2221
UQCRH	-0.1385
RP11-217H1.1	0.8875
SDHA	-1.32466666666667
NCLN	0.7205
ZNF17	-0.0485
RCBTB2	-1.6295
VEGFB	-0.4595
RP4-747L4.3	2.47625
COLQ	-0.1168
MPN2	-1.3665
DRG2	-1.2105
KLRB1	4.93875
ALPK2	-1.437
DNASE2B	1.141
FLJ23834	-0.601333333333333
AXUD1	-0.4355
SAFB	-0.3861
NSUN4	0.59075
RFX2	-1.11216666666667
MAPK8IP1	-0.736333333333333
FANCD2	-0.0504285714285714
ANKZF1	-1.4165
C19orf50	-0.2475
DUSP8	1.400125
SENP5	0.405375
NFKBIL2	0.191
LBR	0.084375
IGFL1	-0.277
LZTS2	0.535375
IL2RG	-0.581625
CCDC51	-0.85475
KLF3	0.560625
ANKRD37	-0.16225
KCTD14	4.76716666666667
FZR1	0.25
SLC44A4	1.1928
ESPL1	-0.765125
GMPR2	-0.5352
TBC1D19	-0.406
ERGIC1	0.302185185185185
ERBB4	1.6057
TSPAN32	0.286166666666667
MAP4	-0.819
GPHN	0.21625
SLC6A2	-0.16375
HIVEP1	0.4955
DFFB	0.1548
EIF4EBP2	1.259125
DMRT1	-2.023
HSPB6	-0.28525
IER2	0.3255
AIFM1	-0.315
WWC2	-1.22858333333333
MRPL4	-0.592
FLJ21062	-1.11016666666667
EPB41L4A	0.852583333333333
SH2D6	0.5225
TAF4B	-0.392
GAL3ST3	-0.085
MALT1	0.769666666666667
RTDR1	-0.3195
ARVCF	0.690125
MEX3B	-0.397666666666667
FBXO16	2.42925
KIF7	-1.83525
C1QC	4.18866666666667
ZNF783	-0.518
ZNF85	-0.83225
MMP13	5.1545
KIAA0329	0.11875
RTP3	-3.3365
ZBED3	0.7085
CLGN	-2.37
SLC25A37	-0.615875
hCG_18290	-0.89875
OR5AS1	0.76
SMARCC2	-0.139833333333333
FAM109A	0.0925
CCDC12	-0.9415
USF2	0.1312
DEPDC7	-0.965
C20orf24	-0.1125
JMJD3	0.637
DSP	0.373357142857143
SLIC1	0.616125
FAM20A	3.297875
IRF2BP2	1.38725
ZNF230	-0.347
MSN	-0.8065
SLC9A5	-1.8455
EPDR1	-2.1787
MUSK	0.717
ZNF434	-0.615333333333333
SMARCD1	0.415833333333333
ZFP106	0.38775
ZNF347	-0.1168
GTF2E1	-0.29425
