Hybridization REF	TCGA-A8-A09K-01A-11R-A00Z-07
SIRT6	-0.06475
CCL19	4.29275
PPIL1	-1.00133333333333
GBP7	0.3275
STK17A	-1.4216
ABR	0.31575
OR9G1	-0.452
FOXE1	-0.6845
CNGA3	-0.2345
GML	0.419
CD38	0.2215
ZDHHC6	0.408166666666667
NEFH	-3.345
CTDSP2	0.59725
PGBD5	-1.95416666666667
CCNY	0.337285714285714
RMND5B	0.232166666666667
ZNF257	-2.2815
FLJ22167	0.069
EXOSC7	-0.350666666666667
ROR2	-0.73525
MAOA	-1.573125
TNNT3	0.820666666666667
GYPC	-1.4595
C7orf33	-1.083
PLIN	2.33266666666667
LOC90826	-0.385
RNF4	0.7042
F8A1	0.569833333333333
PLEKHG4	-1.592
GRB2	1.8187
HIST1H2AD	2.879
DUS3L	-0.475333333333333
EIF1	-0.892666666666667
RP5-1077B9.4	-0.5285
FPGT	1.61525
GDF10	0.0886
COQ9	-0.3405
GCC2	0.452785714285714
RARRES3	2.0645
PLXNA1	-0.1668
KIAA0100	1.0996
PMF1	0.1525
FNDC1	4.07875
HS2ST1	-0.3915
CRELD2	0.53675
C8G	-1.653
CD82	-0.6125
LIM2	-1.4425
UNQ6490	-0.3985
MMP16	-0.22775
DRD3	-0.18275
C5orf26	-1.65825
C11orf73	-1.120875
PTP4A2	0.54475
OR4M2	0.346
HPCA	-1.11166666666667
SEC14L1	-0.334833333333333
CHFR	-0.002625
EMILIN1	-0.0495
NDUFS4	-0.956
COL18A1	-1.263
PDZD3	0.347111111111111
C9orf16	-0.207166666666667
ERBB2IP	-0.370666666666667
EMX2	0.9385
FUS	-0.457
TF	-3.4636
CLCN4	-1.034
CXorf56	0.85425
C11orf72	0.19375
ELAC2	-0.79525
NPR1	-1.50125
ASS1	-3.69266666666667
USP42	0.068125
POLR2J	0.045
SEC23IP	0.734833333333333
UQCRC1	0.17725
LOC729603	-0.302
C1orf71	0.2045
POLG	-1.9555
ADAM23	-4.076
TFR2	-1.9415
RICTOR	-0.8142
MGC39606	0.301
C19orf55	-0.097125
SNAPC1	-2.15966666666667
GNA11	1.645375
CCDC52	-0.2625
FSIP1	4.768
UPF3A	-0.466625
IGSF11	-2.64716666666667
LAGE3	1.29125
CHST6	-3.9355
UNC13B	0.354875
TTLL4	-1.483625
ZNF687	0.087625
SDC2	-0.3144
COX7A2	-0.09475
LAMB4	-0.0705
FAM24A	0.3205
LRRTM3	-0.898833333333333
GPHB5	-0.15925
OR4C13	-0.7085
EIF3EIP	0.0974285714285714
HABP4	-1.49
TMEM125	2.8825
CNTN2	-0.388875
ASNSD1	0.0845
FUT4	-0.492
ACF	-3.71475
LOC158381	0.561
CDH8	-0.68925
AGPS	-1.02433333333333
C4orf18	2.42825
PECI	-1.43658333333333
UNG	-0.672625
GSTP1	-2.8875
DCUN1D5	-2.40216666666667
DKFZP564J0863	-2.0695
SLC9A3R1	3.586875
BCDO2	0.6285
CHMP7	-0.795625
REM2	1.349
DNHD1	-0.2935
FKBP4	1.214625
ZNF350	0.95025
MGC11102	-0.103
BST1	-0.005
KISS1R	0.1565
NCR2	-0.327
DEFB125	0.517
UBE2W	1.52725
KRT15	2.53225
C10orf99	0.0955
SCN11A	-0.169142857142857
GFI1	-0.85925
RDHE2	-0.8312
FHL1	-1.97966666666667
OSGEP	-1.691
GATA1	-2.99966666666667
SMC6	-1.4015
TTTY14	-0.68275
LPIN3	0.16175
RPL4	-0.6253
RBPMS	-1.8754
PRPF3	0.133
EMR1	-2.381
SPATA19	-0.45925
XCR1	0.7405
IRX3	1.7238
RBM6	0.2185
KLF4	-1.6381
UNC5CL	0.32275
SEBOX	-0.625
BTK	-0.469
KRCC1	1.54375
C6orf27	0.5885
SYTL5	-1.095
PRND	1.624
LOC653319	-1.126
PIGL	-0.271
HUS1	0.0908333333333333
SFRS6	-0.241333333333333
C17orf77	0.3955
UIMC1	-0.630333333333333
FXYD2	-1.6556
LOC283152	1.13425
ZNF667	-2.087
ZCCHC12	-1.28925
TFEC	2.9991
ATP7B	-0.567166666666667
POLD2	-0.404833333333333
RG9MTD1	0.044
ACOT2	1.29133333333333
HIST1H4I	1.5665
PPARGC1A	-2.8809
ETFA	-2.9963
POLRMT	-0.20975
ZNF146	-0.00725
MIA2	-0.959
KLHL6	-0.500666666666667
HOXB5	-1.892125
NENF	0.0958333333333334
CUGBP1	-0.22525
PRSS22	1.9405
CASC4	1.6213
CUL4B	0.5269
CENPJ	-1.8641
PITX1	-0.335
FLJ31033	0.439
CELSR3	0.792333333333333
ZNF568	-0.5665
ITSN1	-0.174416666666667
EHBP1L1	-0.849166666666667
C19orf2	0.3215
DCTN1	0.10425
LIN28B	-2.31633333333333
TNKS2	0.73525
C1QBP	-0.97375
CADPS2	0.42075
SRMS	0.6205
GJA9	-0.022
MGC24975	-0.5055
TRIM45	-1.24116666666667
TSP50	1.33225
TCP1	-1.70075
TMED7	-0.59
CMA1	1.2925
CENPL	-0.834
PTCRA	-0.074
FST	-4.5175
VWCE	-3.79
PAWR	-1.31725
ABCC12	-0.488
LDLR	-0.8083
ASTN2	1.1952
LOC441212	-1.499375
GPATCH8	-0.12025
TANC2	-0.740666666666667
KIF4A	-1.4145
C18orf18	-0.33375
PGM1	-1.419
KIAA0258	0.392
CPD	1.41475
SNCAIP	-1.62133333333333
DCT	-4.1115
HLA-DOA	2.50172727272727
OR11L1	0.5805
UPK1B	-0.548666666666667
DNAJB4	-0.45825
UGT1A8	-0.43025
HIST1H4L	-1.8585
PECR	-0.4585
HSPA2	2.21625
WFIKKN1	0.693
SERP1	1.88275
SYDE2	3.1375
TACR2	0.4135
NUP85	0.671
CD177	-0.978833333333333
LGR5	-1.70416666666667
PIGG	0.51975
PTHR1	-2.71566666666667
RAB5A	0.5156
FLJ13224	-0.379
USP9Y	-1.0018
C7orf53	-0.9235
LRP1B	-0.51875
XAF1	1.1578
ABCG8	-1.8165
ANKDD1A	-0.326333333333333
DAND5	-0.9895
SPAG6	0.728333333333333
LINCR	0.26125
ZDHHC22	-1.13875
CCDC60	0.32
THOC7	-0.835666666666667
TCTA	1.8241
OR8K3	-0.0925
NY-REN-7	-0.63525
B2M	1.1445
C6orf141	1.865875
LPPR4	1.43225
SQLE	-0.59075
SEPHS1	-0.8225
BTBD14B	0.630428571428571
PLRG1	-0.866
SPG7	-0.4205
ZNF614	-0.799166666666667
PARD6G	-0.171333333333333
INPP5B	-1.4115
GRPEL2	-0.99625
PPID	-0.6486
TRIM56	-0.4785
UBE2J1	-0.676625
IL20RA	5.0025
LOC387856	0.354
C1orf107	0.641833333333333
UTS2R	-0.2215
C19orf22	0.33775
SAFB2	0.289125
KIAA0652	0.7575
KLRG1	0.8375
MS4A8B	4.271
FRAG1	0.59975
KIAA1546	0.1915
E2F4	-1.1482
CLEC4M	0.217666666666667
BTBD14A	-0.86525
KIAA0999	0.818
GYPA	-3.34533333333333
TAC1	0.059
TRAIP	-1.00416666666667
KIAA0232	2.1949
ERCC8	-1.3525
GPX4	1.977
KIAA0368	0.784125
GPR157	0.405833333333333
CTAGE4	0.795
C9orf30	-2.66333333333333
OR52A1	0.4385
HSP90B3P	-0.8845
ALG9	-0.9195
BTBD10	0.938
SDK2	-0.7145
BAIAP3	2.58825
RABGGTB	-0.290625
ANKRD40	-0.632666666666667
KRT74	0.8505
CALCOCO2	0.166071428571429
SNCA	-3.541
TMSL8	-1.73875
C2orf53	0.6935
ESRRB	-1.1305
ARHGAP26	-1.687375
TDRD9	-3.496
HRAS	0.887166666666667
KLRC4	-1.956
JAGN1	-0.117
BSDC1	1.097
RNF43	2.6341
NDUFAF1	0.378
PHF12	0.561
OR1L3	0.35175
FOLR2	2.0665
LYZL6	0.440833333333333
tcag7.1260	-0.8835
WSB1	-2.1715
PROS1	-2.2189
OSTN	0.7205
PSMB8	0.24775
SOCS4	-0.47475
DDIT4L	-0.34275
MAS1	-0.8485
MGC34796	1.994
CSHL1	-0.0252
TBCCD1	-0.247666666666667
ZBTB7C	0.4795
AP2S1	-0.991875
P15RS	0.7167
VAT1	-0.4687
SHANK3	1.23083333333333
TUFM	0.0513333333333333
THEG	-0.364666666666667
KRT34	-2.0765
SGSM3	0.68025
TOMM22	0.181125
SOCS3	0.5225
CPO	0.052
POP4	0.56325
BHLHB3	-0.17275
MALL	0.19325
OR1B1	-0.7875
PARK2	0.312
GPR124	-0.624625
LCE1E	-0.066
RUVBL2	-0.5565
CGRRF1	-0.3852
ACPL2	0.73975
WNT10B	-1.62225
BAIAP2L2	-1.869875
ISCA1	0.4915
C1orf125	0.160625
RPAP1	-0.43075
RAI16	-0.6645
RPL27	-1.629125
NLRP9	0.6735
EPN1	0.3655
LOC388610	-0.246375
SLC35A1	0.7142
GAL	-4.36125
SLC14A2	0.141
RDH11	-0.690333333333333
FAM138F	-0.185
AUH	0.556
FLJ40243	-0.307
C14orf129	0.268833333333333
MBD2	0.1425
ABHD14B	0.63675
PIGT	1.411875
ALS2CR4	-1.021
ALAS1	0.5906
FOXO1	0.701
CRLF3	-0.832625
C20orf107	0.817
FARS2	0.0245
CCDC28A	0.40325
NPHP3	-0.8455
OR13F1	0.4735
TSEN54	1.16
DEFB106B	0.0274
OR8B4	-0.0995
STH	2.523
ZC3H14	-1.070625
CBX2	-0.4305
TMEM49	-0.49125
C6orf21	0.6
FLJ20920	-1.762
CRTAP	-0.354571428571429
DDX50	-0.6935
STYXL1	0.428
BLVRB	0.535666666666667
LOC147650	0.109666666666667
MMP24	0.797
GRID1	0.401333333333333
BANF1	-0.346166666666667
CTAGEP	0.08975
HMBS	-2.34575
SLC25A24	0.326833333333333
C14orf50	-0.13325
MRO	0.0903333333333333
SLC25A15	-0.55425
FAM84B	2.5757
TDP1	-1.249
C16orf78	-0.697333333333333
C11orf57	0.043875
RFK	-0.306625
ZFYVE9	-0.950375
STCH	-1.411
WIBG	0.62225
LOC283871	0.325833333333333
GBA2	0.3039
NDUFB3	-0.26775
HSD17B13	-0.42925
GRIN3A	1.608
FMNL1	-0.724666666666667
SEPT7	-0.0428
GNLY	4.1445
GRAMD1C	2.68516666666667
ZNF165	0.4185
USP38	1.312
FAM83A	-3.14916666666667
C14orf24	0.400333333333333
ARMCX3	0.905875
ARHGDIB	-0.557833333333333
AK1	0.347875
KIAA1045	-1.07666666666667
DNAJB13	-0.6325
NEU2	0.342
HIST1H4B	-0.703333333333333
FAM20B	-0.3606
HES2	-0.391
FAM73B	-0.1458
LOC388381	-0.765
INTS7	-0.538727272727273
AMPH	-0.71925
ZNF775	-0.21475
UCKL1	0.276666666666667
C10orf97	-0.40925
C1orf161	-0.41
ALDH1L1	-1.9345
FLJ39378	-0.1315
SLC23A1	-1.506
RBM4B	-0.07825
THAP4	0.488666666666667
OGFRL1	-1.81975
KIAA0831	0.13775
PPP1R15A	-0.896666666666667
C1orf96	-0.218214285714286
C12orf11	-2.282
BMF	1.251125
MAN1A1	-0.695
KIAA1600	0.3095
NLGN4X	1.60775
ALOX12	-1.55116666666667
RB1CC1	1.0178
NEIL2	0.9684
EIF4E	-0.188727272727273
ABHD5	0.57825
EXOC4	0.075
CIP29	-0.6325
BATF2	1.46
SLC29A4	-1.31725
HTR4	0.15175
EMB	-0.108
TRAF6	0.4005
LMNB1	-2.4015
FAM19A5	0.703875
SHE	0.90025
PIK3C2B	1.8715
C15orf15	-0.5193
USP15	0.0963
TCEAL2	-0.1985
C5orf39	-0.497333333333333
PTGER2	-1.17525
SLC31A1	-0.9598125
IFT172	-0.19575
ADAM29	-0.00624999999999996
GFOD1	-1.1865
ST7L	0.557
C15orf26	-2.233
PKN3	-2.0995
CNTD1	1.97933333333333
COMMD1	0.087875
NTRK2	1.06675
FOXN3	-0.508125
MFGE8	-1.8241
PFKFB2	1.84933333333333
TAS2R4	0.2955
ENTHD1	0.283
PRMT5	-1.116125
MGC16384	-0.734375
LOC442229	-0.82825
TSKU	0.978
KRTCAP3	2.132625
PDLIM1	-0.8612
KCNS2	0.09725
RNF126	-0.119166666666667
CEP63	0.375875
CLIC4	-1.257625
hCG_1990170	-1.4815
ACR	1.5354
KLK7	-0.7445
ALOX5AP	2.565875
RIPK3	3.7085
TAS2R9	0.1365
C19orf18	0.6125
BIRC6	0.240928571428571
ZNF16	1.225
RFT1	-0.077
SLC8A2	-1.27366666666667
TACC1	-0.46975
ITGAD	2.3435
SAMHD1	0.91225
SH3PXD2B	0.2916
EPC2	0.87925
C20orf85	0.45275
ATP13A2	0.501333333333333
KRT4	0.531125
CAPNS1	0.391
MDM2	0.375833333333333
PCDH20	2.024
KCNK9	0.842
OR2C1	0.5495
KLHDC3	-0.7615
IPPK	1.2535
EFHD2	-0.456875
GALR3	-0.21225
NBEA	1.393
ABCA6	2.3625
CLDN3	2.03733333333333
AKT2	0.179
EGFR	-3.2329
RBM16	0.045
ZDHHC3	0.289
SLC25A4	0.496333333333333
CYB5B	-1.56216666666667
CPXM1	-1.5395
NDRG1	0.244538461538462
FLJ43826	-0.28725
OR5L2	0.273333333333333
FARP2	0.4056
MRPL46	-0.0338333333333333
LDHAL6B	0.1365
MAPKAPK3	0.152333333333333
NCAM2	-1.31675
PRKD2	0.1765
ZFP36L1	0.2066
CYSLTR1	1.7
OR4C3	0.5935
HIST1H2AJ	3.443
CCNB2	-2.17855555555556
ZNF10	-0.41525
TMEM175	0.2
FAM134A	1.47983333333333
TIGD4	1.014
PCNP	-0.07825
MGC39715	0.56925
LQK1	-0.73925
CREB1	0.6535
TMPRSS3	-3.21825
C4orf32	0.214125
LAT	-0.595083333333333
KCNA3	-0.168
SKIV2L2	-1.14675
ROPN1B	-3.035
tcag7.23	-0.156
CDT1	-3.16975
ZHX2	0.537375
CD28	-2.06625
ZNF624	0.82825
SEPT2	-0.119833333333333
SOHLH2	-2.916
MCOLN3	1.49975
UNQ1945	0.3875
MASP2	-0.6855
ZNRF3	1.9373
GPATCH3	0.09975
AGL	0.212
QRICH2	0.373
PSD4	1.48783333333333
CCNB1IP1	-3.844
ENPP7	-0.351
OBFC1	-0.40075
KCNG3	-1.62125
C14orf79	0.95975
ENPEP	1.04216666666667
SCT	1.1215
SKI	0.6
SEC61G	1.1675
CAPN11	0.03175
ATXN7L3	0.00274999999999999
DBNDD1	0.113833333333333
FAIM	0.26475
ANKRD36	0.2175
GABRP	-0.0968333333333334
TACSTD2	1.8405
EIF3J	-0.245
PPP2R2A	-1.84375
TEKT4	0.098
PVALB	0.168833333333333
F10	-3.12683333333333
FAM134C	0.8551
COMP	2.8765
EFCBP1	-3.1623125
SCLT1	0.158
TAL1	-1.1707
ACSL1	0.3425
ABCC5	1.47025
ABL1	-0.476888888888889
RBBP7	0.500583333333333
PTPRG	0.282875
NCOR1	-0.0408
SPINK4	1.96016666666667
TXNRD1	-1.1975
TNRC15	1.15475
C9orf138	1.461
UBE2H	1.1805
BRDT	3.64233333333333
C8orf31	-0.126
CCNE2	-1.21136363636364
SLC6A8	-1.005875
CALCR	-4.79925
PPP1CB	-0.00641666666666667
ABHD8	0.159
ARF5	-0.0467
SLC24A4	0.77725
CCT3	0.34725
ZNF121	0.605875
SLC3A2	-1.2458
OR13A1	0.39
SLC5A10	0.91525
RAD50	-0.0845
IER5	-0.444375
MTHFD1L	-3.25875
MBTPS2	0.737
MVK	0.023875
NCL	-0.806
PSMD10	0.385
MOBP	0.4375
FLJ32894	-0.579
HRH1	-2.06883333333333
C5orf30	0.861
NUDT16L1	1.4471
RASGRP3	2.47016666666667
PRKRIP1	-0.346
CCDC75	0.2785
LOC253970	0.614333333333333
KIAA1239	-0.6185
MED21	-0.12475
SYT11	-0.39875
NTSR2	-0.0165
EGFL11	-0.7465
CXorf59	0.47
OR2A25	0.77
SPTBN2	0.1955
LRMP	-1.22633333333333
RNF111	0.73875
PTH	-0.5375
LOC619208	0.1155
KIAA0895	1.69425
RANBP5	-1.25875
P2RY10	1.709
NME5	3.9115
DDX21	-1.12175
LRSAM1	0.9615
HDAC11	1.87316666666667
VMO1	0.99325
NOLA2	-0.237333333333333
ADAR	0.558083333333333
MTO1	-1.19116666666667
SF4	0.251833333333333
P2RX1	1.04
HBM	0.00299999999999999
EN2	0.3105
C14orf172	-0.243
TM9SF2	0.2819
INHBE	-1.5905
TCTE3	0.09225
TOX2	-2.2335
CTAGE3	-0.09775
HBB	3.0573
MED15	-0.299
CASR	0.134
C6orf66	-1.69116666666667
MTPN	-0.16575
UNC50	0.295
C21orf33	0.487375
IRF2	1.3425
PGR	-1.31683333333333
GPR84	1.43825
CROCCL1	-1.34975
SRPX	-3.35175
BRE	-0.101666666666667
FGF10	2.46
SDC3	0.402333333333333
ZRSR1	0.651833333333333
DKFZP434P211	-0.073125
SOX6	-0.202
RPUSD2	0.03525
C14orf173	-0.862333333333334
MAPK11	-0.224333333333333
TBC1D22A	1.126
FAM123A	-1.734
COL4A6	-3.89333333333333
TOMM70A	0.1295
NAB1	-0.845
MGC16385	-1.33575
TSPAN18	-0.960833333333333
MED31	-0.39075
PLG	-0.51775
CAPSL	3.3175
ZNF532	0.2391
ASB14	-0.00624999999999999
CA8	-2.86075
NUDT16P	2.82733333333333
SLFN11	-1.6055
LRRIQ2	1.213875
NOL7	-1.0095
BRMS1L	-1.82475
JARID1A	0.265666666666667
PANK2	-0.6265
ICAM3	0.036
MDS1	-0.08375
TAF8	-0.8755
RNF139	1.3605
ZNF594	-0.347333333333333
ADAM8	0.6715
SFTPC	-0.13625
MAN2B2	1.77525
RGS12	0.6508125
EIF1AY	-4.65881818181818
LRRIQ1	0.768
GPR150	0.05975
CCDC21	-0.733333333333333
PRRG3	0.4025
SAA4	-3.76475
RAPGEF5	1.445125
ZCCHC2	0.266166666666667
MGC39372	-1.061
PPP4R2	-0.576833333333333
CDCA2	-2.882
OR4D5	1.02516666666667
PTGFRN	-0.2147
SIGLEC5	1.58916666666667
C19orf61	-0.2695
NMUR2	-0.8885
KIAA1586	-0.684333333333333
DAGLA	1.31066666666667
CHCHD6	0.579
GPR32	0.851
NEUROD6	-0.0948333333333334
SLC2A4RG	0.377375
CA5B	0.021
FBXL3	0.5795
MPHOSPH9	-1.51425
HMG2L1	1.412
HCN4	-0.196833333333333
CEACAM19	0.40925
SH2D4B	0.458666666666667
HFE2	-0.5085
TGM4	0.9928
LYPD2	0.1875
TBC1D15	-0.00625
MRPS21	-0.3634
NONO	-0.3461
CLEC5A	0.595875
ITCH	0.0168
MGAT3	-0.503
MBP	-0.969375
RPP25	0.039
SOSTDC1	-2.954
HRC	-1.7765
TRIM48	0.4455
TMEM133	-1.39075
ECEL1P2	-1.981
HOXC11	-1.815
DOK5	-2.008
HELZ	1.6725
LOC348180	-0.8935
MGC33894	-0.1235
ADRB3	0.6015
DMD	-0.445363636363636
PTRH2	0.53375
MPEG1	3.0595
NDUFA12	-0.532666666666667
KRTAP2-4	-0.0156666666666667
STAMBPL1	-1.01766666666667
ADCY2	-0.7688
UNQ6125	0.5265
KLHL20	0.2305
SRM	-1.12875
OTC	0.2735
TMIE	0.102666666666667
SNX8	-0.679
LIPK	-0.1995
CHURC1	0.838833333333333
KLC2	0.612833333333333
HDAC1	0.2025
FAM128A	1.10516666666667
FNDC3B	-1.1618
MTCP1	-0.3435
WFDC10B	0.6491
PCDHGB3	0.306
ATRNL1	-1.3596
CAV2	-2.008125
MED26	0.500333333333333
DUS1L	0.723
CHRM3	-1.429875
NEK9	0.35425
WARS2	-1.0415
TBX22	-0.579
TOMM40	-0.70225
RP6-213H19.1	-2.72966666666667
TUBGCP5	-0.98625
IGSF6	4.81
TPPP	0.280833333333333
UNQ6190	-0.4465
GSTM5	0.11775
BTD	1.31766666666667
PDCD1LG2	0.658833333333333
SNRPB2	0.005
ERICH1	-1.002625
APOA4	-1.368
HOXA11	-1.72475
NARG1	-0.468125
MKX	-0.9805
RAB28	0.242285714285714
PKP3	1.6915
SH3GL2	-2.39225
CTSO	3.85125
RPN2	0.223375
IL28RA	-1.06333333333333
SFMBT1	0.87675
WDR57	-0.02575
FER1L3	0.698
HSF5	-0.118333333333333
TTC9B	1.1745
C4BPA	-3.8985
ALB	-3.65528571428571
SORBS3	-0.269625
UPF2	-0.205
JPH1	-0.137
AGBL2	1.8765
DOPEY1	-0.1915
TERF1	0.317333333333333
KIF22	-0.160333333333333
NINJ1	1.14325
SEC61A2	-0.257833333333333
HIST1H1D	0.900166666666667
SFXN4	-0.118625
UCP3	0.2315
ZNF703	2.21016666666667
MYL6B	-0.31
TREM1	0.04525
OR52E6	1.566
CKMT2	-0.2725
HLA-C	1.4645
SLC13A3	-2.20416666666667
TIMP4	-2.1045
SLIT2	1.53675
RSF1	-0.285777777777778
LONRF1	-1.65657142857143
MON1A	0.400666666666667
CACNG6	-1.87616666666667
DPPA4	-4.96066666666667
ZSWIM3	0.301
ZNF804A	1.06683333333333
CCIN	0.139
SLC25A31	1.18675
KCNMB4	-2.75025
RABL5	0.769625
GALNS	0.4814
STX6	0.821
HIST1H1C	2.127
CIDEB	1.06025
CASP4	-0.65
PDK3	-0.6691
KCNJ11	1.846
TPR	-0.289875
ZSCAN20	-0.944
MTX2	0.30925
HIST1H2BH	2.1005
LOC283767	0.96375
LYRM7	-1.77138888888889
BRD3	0.9725
HIST1H2BO	2.00175
MAGEB10	0.565
SLC45A1	2.44925
SERPINA3	-1.4805
KIAA0143	1.087
KCNJ16	0.591
KRT79	-0.2415
FABP2	-0.55125
NUT	-0.436
ZNF57	0.69025
FBXL4	0.473375
CLEC9A	1.229
UGT8	-1.33733333333333
BMP2K	0.01025
MAPK4	-4.0795
SLC25A23	0.4355
HINT1	-1.784
KRTAP13-1	0.3675
SFXN5	0.36
CHCHD2	0.734583333333333
FAM3D	0.514
NDP	-3.66025
RHOBTB1	0.000999999999999992
SLC4A4	-1.382375
RPL38	0.23425
HTF9C	0.637333333333333
AP2A2	0.587875
ZBTB46	0.757
MAP7D1	0.578625
AOX1	-2.346
CYR61	-1.15608333333333
DTNA	0.580857142857143
JRKL	-2.2475
TMOD3	-0.37425
EEA1	-0.2425
ADCK5	0.6175
IL1R1	-0.887666666666667
KLK3	0.419928571428571
HRSP12	0.48375
KTN1	-0.07875
LOH11CR2A	0.6412
RELL2	-0.3975
MAB21L1	0.99125
C20orf59	-0.464666666666667
PHKB	-0.1685
ADAM2	-1.826
TBC1D8B	0.896666666666667
FAM13A1	-1.0923125
LAPTM4B	3.473
LCN8	0.274
TMEM147	0.6455
SYT4	0.6545
XPO7	-1.481
C9orf62	-0.04325
GPR75	0.1815
TRIM5	0.560625
APOC1	-0.419333333333333
RNASE4	-1.39716666666667
PARD6B	1.85075
ARID1A	0.806166666666667
TPD52L3	0.4756
RRAGB	1.92733333333333
RCN2	-0.2245
HIST2H2BE	2.57125
STARD7	0.274
SHMT2	-1.80875
KIAA1751	0.797166666666667
MLYCD	0.398875
LOC162632	0.2265
UQCRH	-1.579
RP11-217H1.1	0.091375
SDHA	-1.16666666666667
NCLN	-0.0975
ZNF17	0.466
RCBTB2	-2.91225
VEGFB	-0.4682
RP4-747L4.3	0.72575
COLQ	0.1959
MPN2	-0.159166666666667
DRG2	-0.7605
KLRB1	4.95625
ALPK2	-4.09025
DNASE2B	0.49275
FLJ23834	-0.937666666666667
AXUD1	0.210666666666667
SAFB	-0.209
NSUN4	-0.35775
RFX2	-0.470833333333333
MAPK8IP1	1.22383333333333
FANCD2	-1.57478571428571
ANKZF1	-0.935833333333333
C19orf50	-0.69225
DUSP8	2.2355
SENP5	0.3635
NFKBIL2	-0.39325
LBR	-1.871625
IGFL1	0.0045
LZTS2	0.666125
IL2RG	0.43725
CCDC51	0.55575
KLF3	0.384
ANKRD37	-0.65325
KCTD14	-2.49583333333333
FZR1	1.03141666666667
SLC44A4	3.1108
ESPL1	-0.576875
GMPR2	-0.4156
TBC1D19	-0.182666666666667
ERGIC1	0.314444444444444
ERBB4	4.197
TSPAN32	0.654333333333333
MAP4	-0.125125
GPHN	1.2705
SLC6A2	0.07625
HIVEP1	0.00325
DFFB	-0.0691
EIF4EBP2	0.033375
DMRT1	-0.5635
HSPB6	-0.249
IER2	-0.265833333333333
AIFM1	0.19475
WWC2	-1.65690909090909
MRPL4	-0.32075
FLJ21062	1.84166666666667
EPB41L4A	-0.1795
SH2D6	0.29275
TAF4B	-0.17275
GAL3ST3	-0.609
MALT1	-1.28533333333333
RTDR1	1.2715
ARVCF	0.823625
MEX3B	-2.0775
FBXO16	0.164
KIF7	-2.4735
C1QC	3.72933333333333
ZNF783	-0.845166666666667
ZNF85	-0.1065
MMP13	1.848
KIAA0329	0.596875
RTP3	-0.5325
ZBED3	-1.188
CLGN	-2.75625
SLC25A37	-2.89725
hCG_18290	-0.3665
OR5AS1	0.188
SMARCC2	0.50175
FAM109A	-0.215666666666667
CCDC12	0.35725
USF2	0.9577
DEPDC7	-3.7055
C20orf24	0.0976666666666667
JMJD3	0.6105
DSP	1.39985714285714
SLIC1	0.796
FAM20A	0.725625
IRF2BP2	1.032625
ZNF230	-0.4905
MSN	-1.55828571428571
SLC9A5	-1.953
