Hybridization REF	TCGA-A8-A07U-01A-11R-A034-07
ACOT2	-0.389333333333333
HIST1H4I	-0.515125
PPARGC1A	-2.0476
ETFA	-0.8501
POLRMT	-0.65675
ZNF146	1.213375
MIA2	-0.588
KLHL6	1.3115
HOXB5	-0.688625
NENF	0.557333333333333
CUGBP1	-0.3685
PRSS22	1.71066666666667
CASC4	0.8446
CUL4B	-0.1173
CENPJ	-1.147
PITX1	1.009
FLJ31033	1.53483333333333
CELSR3	-2.08133333333333
ZNF568	-0.012
ITSN1	-0.282333333333333
EHBP1L1	0.264333333333333
C19orf2	1.5555
DCTN1	0.23575
LIN28B	-0.416666666666667
TNKS2	-1.31425
C1QBP	-0.6335
CADPS2	1.8085
SRMS	0.09875
GJA9	0.0623333333333333
MGC24975	-0.716833333333333
TRIM45	-1.90166666666667
TSP50	0.102
TCP1	-0.6755
TMED7	0.2135
CMA1	0.5155
CENPL	-0.174333333333333
PTCRA	1.3595
FST	-3.46875
VWCE	-3.30025
PAWR	-0.66275
ABCC12	0.143666666666667
LDLR	-1.1433
ASTN2	-0.4504
LOC441212	-0.215125
GPATCH8	-0.206
TANC2	-1.16341666666667
KIF4A	-0.51875
C18orf18	-1.436
PGM1	0.09425
KIAA0258	0.9195
CPD	-0.351875
SNCAIP	0.98575
DCT	-4.06433333333333
HLA-DOA	2.65736363636364
OR11L1	0.847
UPK1B	0.102166666666667
DNAJB4	-0.228875
UGT1A8	0.694
HIST1H4L	-0.539
PECR	-1.37266666666667
HSPA2	0.46575
WFIKKN1	-2.402
SERP1	1.3895
SYDE2	-0.26125
TACR2	0.57
NUP85	-0.9095
CD177	-0.149666666666667
LGR5	-1.08416666666667
PIGG	-0.12625
PTHR1	-1.0235
RAB5A	0.1656
FLJ13224	0.3195
USP9Y	-0.514666666666667
C7orf53	-0.5155
LRP1B	-0.3725
XAF1	4.0727
ABCG8	0.257
ANKDD1A	0.0526666666666666
DAND5	-2.2445
SPAG6	0.942333333333333
LINCR	2.915
ZDHHC22	-1.62825
CCDC60	0.122
THOC7	-1.22516666666667
TCTA	0.8215
OR8K3	-0.03825
NY-REN-7	0.2365
B2M	2.2885
C6orf141	-2.91575
LPPR4	1.55625
SQLE	-0.343375
SEPHS1	1.6205
BTBD14B	0.439642857142857
PLRG1	-0.82125
SPG7	-0.2036875
ZNF614	-0.850333333333333
PARD6G	0.902666666666667
INPP5B	-0.4829
GRPEL2	-0.32925
PPID	-0.9307
TRIM56	0.196
UBE2J1	1.083375
IL20RA	2.18625
LOC387856	0.2855
C1orf107	0.390833333333333
UTS2R	1.3735
C19orf22	-0.50775
SAFB2	-0.261375
KIAA0652	0.614625
KLRG1	0.0753333333333333
MS4A8B	0.138333333333333
FRAG1	0.2485
KIAA1546	-0.5045
E2F4	-0.0026
CLEC4M	0.470833333333333
BTBD14A	-0.58525
KIAA0999	1.0164
GYPA	-2.80833333333333
TAC1	-0.0533
TRAIP	-0.9025
KIAA0232	-0.4858
ERCC8	-1.81325
GPX4	0.084375
KIAA0368	-0.519125
GPR157	0.398166666666667
CTAGE4	0.978
C9orf30	-0.598666666666667
OR52A1	0.0305
HSP90B3P	0.1515
ALG9	-0.7151
BTBD10	0.61025
SDK2	0.6935
BAIAP3	-0.94475
RABGGTB	-1.419125
ANKRD40	-0.5435
KRT74	0.205
CALCOCO2	0.364214285714286
SNCA	-3.7315
TMSL8	-5.32925
C2orf53	-0.2065
ESRRB	-0.21325
ARHGAP26	0.253625
TDRD9	-1.21125
HRAS	-0.429666666666667
KLRC4	-1.821
JAGN1	0.216
BSDC1	0.06225
RNF43	-0.7875
NDUFAF1	-0.24475
PHF12	-0.01375
OR1L3	-0.30525
FOLR2	1.9895
LYZL6	0.0648333333333333
tcag7.1260	1.969
WSB1	-1.60933333333333
PROS1	-0.9721
OSTN	0.286
PSMB8	2.08775
SOCS4	-0.176375
DDIT4L	1.038
MAS1	0.402
MGC34796	0.54075
CSHL1	0.248166666666667
TBCCD1	0.223666666666667
ZBTB7C	-0.1535
AP2S1	-0.60325
P15RS	-0.4901
VAT1	-0.9372
SHANK3	1.431
TUFM	-0.122333333333333
THEG	-0.227
KRT34	-1.713
SGSM3	0.629125
TOMM22	-0.02625
SOCS3	1.07233333333333
CPO	0.082
POP4	1.34775
BHLHB3	2.70525
MALL	2.361
OR1B1	0.0635
PARK2	0.341333333333333
GPR124	0.542875
LCE1E	0.252
RUVBL2	-0.5365
CGRRF1	-0.5928
ACPL2	0.424
WNT10B	-1.358375
BAIAP2L2	0.605625
ISCA1	-0.242
C1orf125	-0.066125
RPAP1	-0.144
RAI16	-0.197833333333333
RPL27	-0.978875
NLRP9	0.0365
EPN1	0.169
LOC388610	-1.108125
SLC35A1	-0.493
GAL	0.1275
SLC14A2	0.449
RDH11	-1.61183333333333
FAM138F	-0.529
AUH	-0.7985
FLJ40243	-0.1255
C14orf129	-0.0148333333333333
MBD2	-0.414166666666667
ABHD14B	0.2795
PIGT	0.30875
ALS2CR4	-1.036875
ALAS1	0.8918
FOXO1	1.42766666666667
CRLF3	0.287125
C20orf107	0.0865
FARS2	1.01775
CCDC28A	0.26425
NPHP3	-0.82825
OR13F1	0.5575
TSEN54	-0.19025
DEFB106B	0.1801
OR8B4	0.4925
STH	-0.97575
ZC3H14	-0.3555
CBX2	0.1075
TMEM49	-1.62925
C6orf21	0.5475
FLJ20920	0.1215
CRTAP	-0.463428571428571
DDX50	-0.409
STYXL1	0.2815
BLVRB	-0.439333333333333
LOC147650	-0.842
MMP24	-0.28275
GRID1	0.573333333333333
BANF1	-0.0846666666666667
CTAGEP	0.3345
HMBS	-1.62325
SLC25A24	-0.163666666666667
C14orf50	0.19725
MRO	0.209833333333333
SLC25A15	-0.15675
FAM84B	1.1686
TDP1	0.097
C16orf78	0.162
C11orf57	-0.60175
RFK	-0.55375
ZFYVE9	-0.911
STCH	-0.3421
WIBG	0.06525
LOC283871	-0.521333333333333
GBA2	-0.0742
NDUFB3	0.108
HSD17B13	0.51025
GRIN3A	1.95316666666667
FMNL1	0.886833333333333
SEPT7	-0.3453
GNLY	5.1385
GRAMD1C	1.1205
ZNF165	0.52725
USP38	0.126
FAM83A	-2.0385
C14orf24	0.1085
ARMCX3	-0.0485
ARHGDIB	1.243
AK1	-0.340875
KIAA1045	0.35575
DNAJB13	-0.0486666666666667
NEU2	0.51
HIST1H4B	-0.907666666666667
FAM20B	-0.1207
HES2	0.203285714285714
FAM73B	-0.3383
LOC388381	-0.248
INTS7	-0.298909090909091
AMPH	0.59425
ZNF775	0.062375
UCKL1	-0.127333333333333
C10orf97	-1.47625
C1orf161	0.4105
ALDH1L1	1.1305
FLJ39378	0.261
SLC23A1	-0.467
RBM4B	-0.22375
THAP4	-0.1575
OGFRL1	2.04525
KIAA0831	-0.485375
PPP1R15A	-0.2785
C1orf96	0.305214285714286
C12orf11	-1.099
BMF	0.735375
MAN1A1	0.200625
KIAA1600	0.626666666666667
NLGN4X	-1.42925
ALOX12	0.479833333333333
RB1CC1	0.0789
NEIL2	0.5861
EIF4E	-0.206636363636364
ABHD5	0.47775
EXOC4	-0.437666666666667
CIP29	0.0928333333333333
BATF2	4.0995
SLC29A4	-0.23975
HTR4	0.37325
EMB	-0.04275
TRAF6	0.39875
LMNB1	-1.294
FAM19A5	-0.70575
SHE	1.4035
PIK3C2B	0.972
C15orf15	-0.5424
USP15	-0.0431
TCEAL2	-0.4195
C5orf39	-0.0823333333333333
PTGER2	0.228
SLC31A1	0.063625
IFT172	0.0435
ADAM29	0.102
GFOD1	3.02875
ST7L	0.255666666666667
C15orf26	-2.21175
PKN3	-0.72025
CNTD1	-0.3665
COMMD1	0.104
NTRK2	1.43075
FOXN3	0.331125
MFGE8	0.1627
PFKFB2	0.231666666666667
TAS2R4	-0.08675
ENTHD1	0.8505
PRMT5	-0.914875
MGC16384	-0.477375
LOC442229	0.0635
TSKU	1.199375
KRTCAP3	3.29425
PDLIM1	0.2638
KCNS2	0.3845
RNF126	-0.243
CEP63	-0.028375
CLIC4	-0.40125
hCG_1990170	-0.309
ACR	0.7109
KLK7	3.20825
ALOX5AP	3.936375
RIPK3	2.932
TAS2R9	-0.0165
C19orf18	0.4555
BIRC6	-0.0817857142857143
ZNF16	1.6175
RFT1	-0.18375
SLC8A2	-0.3355
TACC1	0.3375
ITGAD	0.83125
SAMHD1	2.4945
SH3PXD2B	1.1143
EPC2	0.45125
C20orf85	0.132375
ATP13A2	0.344833333333333
KRT4	0.331625
CAPNS1	1.2685
MDM2	-0.279166666666667
PCDH20	1.1615
KCNK9	0.27
OR2C1	-0.2285
KLHDC3	-0.1325
IPPK	0.638
EFHD2	0.807875
GALR3	1.19275
NBEA	-1.4185
ABCA6	2.3175
CLDN3	2.20366666666667
AKT2	0.246928571428571
EGFR	1.1197
RBM16	-0.246625
ZDHHC3	-0.0577
SLC25A4	-1.16866666666667
CYB5B	-0.289333333333333
CPXM1	1.2485
NDRG1	1.06738461538462
FLJ43826	-0.10175
OR5L2	0.0628333333333333
FARP2	-0.2514
MRPL46	-0.331583333333333
LDHAL6B	0.0975
MAPKAPK3	0.1235
NCAM2	-2.3195
PRKD2	1.08333333333333
ZFP36L1	0.8716
CYSLTR1	0.393
OR4C3	0.19375
HIST1H2AJ	1.8665
CCNB2	0.0171111111111111
ZNF10	-0.568625
TMEM175	1.6525
FAM134A	-0.0645
TIGD4	0.207
PCNP	-0.4425
MGC39715	0.21575
LQK1	-2.46775
CREB1	-0.0279
TMPRSS3	2.7685
C4orf32	0.822625
LAT	0.191583333333333
KCNA3	0.442
SKIV2L2	-1.85075
ROPN1B	-1.0245
tcag7.23	-1.176
CDT1	-1.726625
ZHX2	0.478875
CD28	-0.9125
ZNF624	0.1425
SEPT2	-0.451583333333333
SOHLH2	-1.613375
MCOLN3	-0.56975
UNQ1945	0.9125
MASP2	-0.8975
ZNRF3	-0.4158
GPATCH3	-0.01475
AGL	-0.4415
QRICH2	-0.3355
PSD4	1.0765
CCNB1IP1	-1.1255
ENPP7	-0.0035
OBFC1	0.306
KCNG3	-1.01075
C14orf79	-0.578
ENPEP	1.10466666666667
SCT	1.478
SKI	0.780375
SEC61G	-1.20425
CAPN11	0.01925
ATXN7L3	0.1525
DBNDD1	0.599
FAIM	0.96975
ANKRD36	-0.881
GABRP	5.268
TACSTD2	1.88766666666667
EIF3J	-0.00575
PPP2R2A	-0.23275
TEKT4	-0.258
PVALB	-3.47383333333333
F10	-2.22933333333333
FAM134C	0.595
COMP	3.1245
EFCBP1	-2.1029375
SCLT1	0.536375
TAL1	-0.9682
ACSL1	1.7715
ABCC5	-0.07125
ABL1	-0.537277777777778
RBBP7	0.39675
PTPRG	-1.420625
NCOR1	-0.207
SPINK4	-1.60966666666667
TXNRD1	-1.0578
TNRC15	-0.0315
C9orf138	0.65025
UBE2H	0.800166666666667
BRDT	0.085
C8orf31	1.38975
CCNE2	-2.15154545454545
SLC6A8	-1.05
CALCR	-2.7985
PPP1CB	1.48408333333333
ABHD8	-0.392
ARF5	0.4153
SLC24A4	0.8495
CCT3	0.7295
ZNF121	-0.196
SLC3A2	-0.5684
OR13A1	0.674
SLC5A10	-0.01
RAD50	-0.587125
IER5	0.57425
MTHFD1L	-0.892
MBTPS2	0.39425
MVK	-0.358
NCL	-0.5523
PSMD10	0.425
MOBP	0.028875
FLJ32894	-0.246
HRH1	-0.371
C5orf30	-0.468
NUDT16L1	-0.3252
RASGRP3	3.29783333333333
PRKRIP1	-0.48
CCDC75	0.159
LOC253970	0.5175
KIAA1239	0.6985
MED21	-0.29925
SYT11	0.52675
NTSR2	-0.0965
EGFL11	0.1115
CXorf59	0.093
OR2A25	0.09125
SPTBN2	1.37325
LRMP	0.233166666666667
RNF111	0.103
PTH	0.3055
LOC619208	-0.1785
KIAA0895	-0.99275
RANBP5	-1.308625
P2RY10	1.98216666666667
NME5	0.926
DDX21	-0.28325
LRSAM1	0.4805
HDAC11	-0.000166666666666667
VMO1	2.90425
NOLA2	-0.0605
ADAR	2.20658333333333
MTO1	-1.149
SF4	-0.0198333333333333
P2RX1	0.867333333333333
HBM	0.16675
EN2	1.426
C14orf172	0.34875
TM9SF2	0.214
INHBE	-1.07883333333333
TCTE3	-0.0715833333333333
TOX2	-1.1445
CTAGE3	0.118125
HBB	3.2156
MED15	-0.4755
CASR	0.50675
C6orf66	-0.2885
MTPN	-0.074375
UNC50	-0.14875
C21orf33	0.391875
IRF2	0.93975
PGR	-1.855
GPR84	3.13375
CROCCL1	-2.46725
SRPX	-1.09725
BRE	0.480833333333333
FGF10	0.49575
SDC3	0.18
ZRSR1	0.440333333333333
DKFZP434P211	-0.146
SOX6	-0.3915
RPUSD2	-0.599
C14orf173	-0.205
MAPK11	0.110333333333333
TBC1D22A	1.8665
FAM123A	-0.228
COL4A6	-1.66033333333333
TOMM70A	0.49225
NAB1	0.045125
MGC16385	0.416125
TSPAN18	-0.0963333333333333
MED31	-1.1155
PLG	0.102
CAPSL	0.389
ZNF532	0.6937
ASB14	0.30475
CA8	-0.7865
NUDT16P	0.183
SLFN11	-0.1355
LRRIQ2	-0.566125
NOL7	0.0115
BRMS1L	-0.448375
JARID1A	0.802833333333333
PANK2	-1.06575
ICAM3	0.986
MDS1	0.317
TAF8	-0.20925
RNF139	0.50775
ZNF594	-0.737166666666667
ADAM8	3.058875
SFTPC	-0.15125
MAN2B2	0.94125
RGS12	0.15575
EIF1AY	-4.05216666666667
LRRIQ1	-1.30083333333333
GPR150	1.51475
CCDC21	-0.654
PRRG3	0.10475
SAA4	-1.35275
RAPGEF5	1.494375
ZCCHC2	0.70775
MGC39372	1.178
PPP4R2	-0.0495
CDCA2	0.476333333333333
OR4D5	0.0953333333333333
PTGFRN	0.922
SIGLEC5	2.3885
C19orf61	0.168666666666667
NMUR2	-0.206
KIAA1586	-1.62
DAGLA	-0.674833333333333
CHCHD6	0.81575
GPR32	0.093
NEUROD6	0.298
SLC2A4RG	0.4394375
CA5B	-0.0845
FBXL3	0.2265
MPHOSPH9	-0.912
HMG2L1	-0.261
HCN4	1.028
CEACAM19	1.67425
SH2D4B	0.103166666666667
HFE2	-0.299
TGM4	-0.0923333333333333
LYPD2	0.19675
TBC1D15	-0.2275
MRPS21	0.6346
NONO	-0.7986
CLEC5A	1.49375
ITCH	0.1074
MGAT3	1.761
MBP	0.3665
RPP25	-0.908
SOSTDC1	-2.58675
HRC	-1.17025
TRIM48	0.0085
TMEM133	-0.05175
ECEL1P2	-1.0405
HOXC11	-0.515
DOK5	-0.3475
HELZ	-0.0193333333333333
LOC348180	-0.015
MGC33894	-0.0395
ADRB3	0.186
DMD	0.182916666666667
PTRH2	-0.89
MPEG1	3.40666666666667
NDUFA12	0.243166666666667
KRTAP2-4	0.293333333333333
STAMBPL1	0.1345
ADCY2	-0.6945
UNQ6125	0.373
KLHL20	0.0223333333333333
SRM	-0.381
OTC	-0.20175
TMIE	0.628666666666667
SNX8	0.8385
LIPK	0.238
CHURC1	0.57575
KLC2	0.565666666666667
HDAC1	-0.535666666666667
FAM128A	-0.0843333333333333
FNDC3B	1.001
MTCP1	-0.0895
WFDC10B	0.5873
PCDHGB3	-0.3175
ATRNL1	-1.6721
CAV2	0.3955
MED26	-0.0403333333333333
DUS1L	0.4515
CHRM3	-1.688125
NEK9	0.11225
WARS2	-0.87925
TBX22	-0.4505
TOMM40	-0.59025
RP6-213H19.1	-0.126166666666667
TUBGCP5	-1.23825
IGSF6	4.8965
TPPP	0.114166666666667
UNQ6190	-0.0225
GSTM5	0.949875
BTD	-0.434
PDCD1LG2	1.54466666666667
SNRPB2	0.102
ERICH1	0.354375
APOA4	-1.29725
HOXA11	-1.864
NARG1	-0.59975
MKX	0.21275
RAB28	-0.163357142857143
PKP3	0.764
SH3GL2	-2.143
CTSO	1.97025
RPN2	0.68625
IL28RA	0.0483333333333333
SFMBT1	0.55825
WDR57	-0.502875
FER1L3	0.33025
HSF5	0.319
TTC9B	0.35275
C4BPA	-3.136
ALB	-3.17207142857143
SORBS3	0.019625
UPF2	1.2475
JPH1	-0.125
AGBL2	-0.97525
DOPEY1	1.586
TERF1	-0.47975
KIF22	-0.9965
NINJ1	1.04925
SEC61A2	0.537916666666667
HIST1H1D	-0.643666666666667
SFXN4	0.328625
UCP3	0.6813
ZNF703	0.3185
MYL6B	-1.01125
TREM1	1.66425
OR52E6	0.1605
CKMT2	0.883
HLA-C	3.399875
SLC13A3	-0.386166666666667
TIMP4	0.5685
SLIT2	1.62275
RSF1	-0.339611111111111
LONRF1	-0.907142857142857
MON1A	-0.141333333333333
CACNG6	-0.766166666666667
DPPA4	-4.84383333333333
ZSWIM3	0.072
ZNF804A	0.540166666666667
CCIN	1.40625
SLC25A31	0.404
KCNMB4	-0.981
RABL5	-0.331
GALNS	0.2594
STX6	0.766375
HIST1H1C	-1.42883333333333
CIDEB	0.362375
CASP4	1.17983333333333
PDK3	-0.4579
KCNJ11	0.0695
TPR	-0.544125
ZSCAN20	-1.047
MTX2	-0.14425
HIST1H2BH	0.615
LOC283767	1.079
LYRM7	-1.55266666666667
BRD3	-0.457666666666667
HIST1H2BO	0.38425
MAGEB10	0.4845
SLC45A1	0.34325
SERPINA3	0.3067
KIAA0143	2.50875
KCNJ16	-0.0131666666666667
KRT79	0.074
FABP2	-0.08275
NUT	1.24025
ZNF57	-1.015
FBXL4	0.3145
CLEC9A	0.7825
UGT8	-0.221833333333333
BMP2K	0.35925
MAPK4	-1.4625
SLC25A23	-0.2333
HINT1	-0.648
KRTAP13-1	0.2075
SFXN5	-0.6912
CHCHD2	-0.211416666666667
FAM3D	-0.034
NDP	-2.361125
RHOBTB1	-0.447333333333333
SLC4A4	-0.734
RPL38	-0.592
HTF9C	-0.350666666666667
AP2A2	0.313375
ZBTB46	0.325
MAP7D1	0.499625
AOX1	-1.08033333333333
CYR61	-0.31225
DTNA	-0.7375
JRKL	0.43975
TMOD3	-0.1535
EEA1	1.2625
ADCK5	0.268
IL1R1	1.43583333333333
KLK3	0.468642857142857
HRSP12	0.7465
KTN1	-0.74425
LOH11CR2A	-0.0361
RELL2	-0.671
MAB21L1	0.33375
C20orf59	-0.542166666666667
PHKB	-0.5715
ADAM2	-0.988333333333333
TBC1D8B	1.265
FAM13A1	-0.164875
LAPTM4B	-0.09775
LCN8	0.594
TMEM147	2.37
SYT4	0.249833333333333
XPO7	-0.419
C9orf62	1.57
GPR75	0.3775
TRIM5	0.3685
APOC1	0.485166666666667
RNASE4	-0.8365
PARD6B	-1.225625
ARID1A	-0.140333333333333
TPD52L3	0.4095
RRAGB	0.278
RCN2	-0.238333333333333
HIST2H2BE	0.8595625
STARD7	0.52075
SHMT2	-0.566
KIAA1751	0.193166666666667
MLYCD	0.549375
LOC162632	-1.0996
UQCRH	-0.8745
RP11-217H1.1	0.8434375
SDHA	-0.153
NCLN	-0.1971
ZNF17	-0.2885
RCBTB2	-1.15525
VEGFB	0.0119
RP4-747L4.3	1.8605
COLQ	-0.00790000000000001
MPN2	-0.510333333333333
DRG2	-0.4215
KLRB1	4.25
ALPK2	-0.56475
DNASE2B	0.5395
FLJ23834	-0.1175
AXUD1	0.8025
SAFB	-0.1211
NSUN4	-0.41875
RFX2	0.105
MAPK8IP1	-0.761
FANCD2	-0.627857142857143
ANKZF1	-2.33716666666667
C19orf50	-0.2955
DUSP8	0.193125
SENP5	0.50025
NFKBIL2	0.24925
LBR	0.021625
IGFL1	1.2835
LZTS2	0.1545
IL2RG	1.893375
CCDC51	-0.21725
KLF3	0.331875
ANKRD37	-2.0525
KCTD14	-0.799666666666667
FZR1	0.0123333333333333
SLC44A4	-1.5727
ESPL1	-0.571625
GMPR2	-1.0229
TBC1D19	-0.931666666666667
ERGIC1	-0.704037037037037
ERBB4	-1.3227
TSPAN32	1.04525
MAP4	0.251
GPHN	-0.76875
SLC6A2	2.8855
HIVEP1	1.13875
DFFB	-0.1407
EIF4EBP2	0.536125
DMRT1	-0.18475
HSPB6	-0.00874999999999999
IER2	0.443833333333333
AIFM1	0.24925
WWC2	-0.43225
MRPL4	-0.138
FLJ21062	-0.982666666666666
EPB41L4A	0.330833333333333
SH2D6	0.25675
TAF4B	-0.032
GAL3ST3	-0.237
MALT1	-0.0623333333333333
RTDR1	0.7315
ARVCF	-0.6485
MEX3B	-2.24083333333333
FBXO16	-0.5605
KIF7	-1.3715
C1QC	4.23
ZNF783	-0.0768333333333333
ZNF85	-0.86925
MMP13	2.031
KIAA0329	0.155625
RTP3	-0.605
ZBED3	-0.972
CLGN	-3.39275
SLC25A37	0.0679583333333333
hCG_18290	-0.52875
OR5AS1	-0.053
SMARCC2	0.551666666666667
FAM109A	0.218333333333333
CCDC12	-0.34025
USF2	1.2217
DEPDC7	-1.27125
C20orf24	0.805833333333333
JMJD3	0.085
DSP	1.35014285714286
SLIC1	1.01925
FAM20A	3.3015
IRF2BP2	0.3075
ZNF230	-0.966
MSN	1.2845
SLC9A5	-1.6735
EPDR1	-1.7759
MUSK	0.281833333333333
ZNF434	-0.417
SMARCD1	-0.759
ZFP106	-0.24325
