Hybridization REF	TCGA-E2-A14O-01A-31R-A115-07
C11orf73	-0.15075
PTP4A2	2.323125
OR4M2	0.898
HPCA	-0.8645
SEC14L1	-0.286833333333333
CHFR	0.4565
EMILIN1	0.818125
NDUFS4	-0.2835
COL18A1	-0.590875
PDZD3	0.1525
C9orf16	0.9235
ERBB2IP	0.992833333333333
EMX2	2.94175
FUS	-0.386
TF	-2.8443
CLCN4	-2.566
CXorf56	0.6245
C11orf72	0.75375
ELAC2	-0.486
NPR1	-1.21575
ASS1	-2.483
USP42	-0.918
POLR2J	0.93
SEC23IP	0.824833333333333
UQCRC1	0.97
LOC729603	-1.21
C1orf71	-0.159125
POLG	-1.742
ADAM23	-3.07175
TFR2	-0.33775
RICTOR	-0.8362
MGC39606	-0.89025
C19orf55	0.0035
SNAPC1	-1.21483333333333
GNA11	0.529875
CCDC52	1.14533333333333
FSIP1	5.756
UPF3A	-0.48825
IGSF11	-2.47666666666667
LAGE3	1.0845
CHST6	-1.962
UNC13B	-0.673875
TTLL4	-1.827375
ZNF687	0.974375
SDC2	-1.7354
COX7A2	0.329
LAMB4	-0.6135
FAM24A	0.458
LRRTM3	-0.6998
GPHB5	0.79975
OR4C13	-0.887
EIF3EIP	-0.4265
HABP4	-1.1625
TMEM125	3.65675
CNTN2	0.049
ASNSD1	-0.91125
FUT4	-0.992625
ACF	-3.03625
LOC158381	0.1475
CDH8	-0.3995
AGPS	-0.9915
C4orf18	2.9855
PECI	0.02025
UNG	0.250875
GSTP1	-2.451875
DCUN1D5	-1.3315
DKFZP564J0863	-0.15475
SLC9A3R1	2.68
BCDO2	-1.799
CHMP7	1.27275
REM2	0.147
DNHD1	0.046625
FKBP4	1.37125
ZNF350	0.232
MGC11102	0.90375
BST1	0.292
KISS1R	1.11
NCR2	0.372
DEFB125	1.36
UBE2W	0.539625
KRT15	4.2155
C10orf99	0.888
SCN11A	0.156375
GFI1	-2.676
RDHE2	2.85283333333333
FHL1	-1.96166666666667
OSGEP	0.453333333333333
GATA1	-2.79066666666667
SMC6	-1.95575
TTTY14	-1.12825
LPIN3	0.33375
RPL4	-1.518
RBPMS	0.6884
PRPF3	0.105333333333333
EMR1	-1.4785
SPATA19	0.18725
XCR1	0.6215
IRX3	3.3291
RBM6	-0.1745
KLF4	-1.56
UNC5CL	-1.28075
SEBOX	0.631
BTK	-0.644
KRCC1	0.999
C6orf27	1.021
SYTL5	0.0915
PRND	1.5385
LOC653319	-0.8245
PIGL	-0.17875
HUS1	-0.711666666666667
SFRS6	1.73783333333333
C17orf77	0.956
UIMC1	0.2
FXYD2	-1.3902
LOC283152	2.9
ZNF667	-2.94825
ZCCHC12	-1.51025
TFEC	1.5141
ATP7B	0.0991666666666667
POLD2	-0.6985
RG9MTD1	-0.476
ACOT2	1.171
HIST1H4I	-0.498375
PPARGC1A	-3.1217
ETFA	-2.4313
POLRMT	0.01225
ZNF146	-0.51175
MIA2	-3.911
KLHL6	-1.26783333333333
HOXB5	-0.6715
NENF	1.84533333333333
CUGBP1	0.90925
PRSS22	1.8285
CASC4	0.6563
CUL4B	-0.1738
CENPJ	-2.1916
PITX1	1.4485
FLJ31033	0.0303333333333333
CELSR3	0.9725
ZNF568	-0.108
ITSN1	-0.640416666666667
EHBP1L1	-0.882333333333333
C19orf2	-0.981
DCTN1	-0.14725
LIN28B	-3.95483333333333
TNKS2	-1.84225
C1QBP	0.1585
CADPS2	-1.2325
SRMS	0.5065
GJA9	0.5425
MGC24975	0.0628333333333333
TRIM45	-0.433333333333333
TSP50	-0.1035
TCP1	-1.778
TMED7	-0.168
CMA1	0.961
CENPL	-1.07683333333333
PTCRA	0.4435
FST	-3.284
VWCE	-3.53825
PAWR	-2.15275
ABCC12	1.37533333333333
LDLR	-1.046
ASTN2	1.0459
LOC441212	-0.494625
GPATCH8	0.1435
TANC2	-0.589416666666667
KIF4A	-1.26425
C18orf18	-2.1925
PGM1	-1.489
KIAA0258	1.217
CPD	0.745875
SNCAIP	-1.69
DCT	-3.92716666666667
HLA-DOA	1.94340909090909
OR11L1	0.8015
UPK1B	-0.3812
DNAJB4	-1.279375
UGT1A8	0.10775
HIST1H4L	-3.0325
PECR	0.0413333333333333
HSPA2	3.0295
WFIKKN1	-2.793
SERP1	0.417375
SYDE2	1.17425
TACR2	0.1695
NUP85	-0.09975
CD177	3.217
LGR5	-2.65783333333333
PIGG	-0.735083333333333
PTHR1	-1.14033333333333
RAB5A	0.1885
FLJ13224	-0.223
USP9Y	-1.15116666666667
C7orf53	-1.151
LRP1B	-1.01575
XAF1	1.9371
ABCG8	-0.3025
ANKDD1A	-0.927
DAND5	-1.4145
SPAG6	2.62016666666667
LINCR	0.6095
ZDHHC22	0.11525
CCDC60	-0.7945
THOC7	-0.9625
TCTA	1.8847
OR8K3	0.54575
NY-REN-7	-0.3995
B2M	0.567833333333333
C6orf141	-0.128125
LPPR4	1.411
SQLE	-1.4095
SEPHS1	-0.8535
BTBD14B	0.217285714285714
PLRG1	-0.8225
SPG7	-0.5731875
ZNF614	-1.073
PARD6G	0.317
INPP5B	-0.8194
GRPEL2	0.468875
PPID	-0.8605
TRIM56	-1.27825
UBE2J1	-0.75925
IL20RA	3.65325
LOC387856	0.025
C1orf107	0.143166666666667
UTS2R	0.70125
C19orf22	1.313
SAFB2	-0.325125
KIAA0652	-0.174625
KLRG1	-0.641666666666667
MS4A8B	2.3615
FRAG1	2.309
KIAA1546	-0.88675
E2F4	-0.9531
CLEC4M	1.31966666666667
BTBD14A	-0.33375
KIAA0999	0.3753
GYPA	-3.8754
TAC1	0.5688
TRAIP	-0.3535
KIAA0232	0.7983
ERCC8	-1.393
GPX4	1.810875
KIAA0368	-0.993125
GPR157	-0.826
CTAGE4	2.684
C9orf30	-1.503
OR52A1	0.1795
HSP90B3P	0.193
ALG9	-0.3576
BTBD10	1.117
SDK2	0.8875
BAIAP3	1.97775
RABGGTB	-0.783
ANKRD40	0.925
KRT74	0.7835
CALCOCO2	1.09807142857143
SNCA	-3.3585
TMSL8	-4.11975
C2orf53	0.2835
ESRRB	-0.267
ARHGAP26	-1.501875
TDRD9	-1.822
HRAS	1.2525
KLRC4	-1.6175
JAGN1	0.471166666666667
BSDC1	0.877
RNF43	-0.4591
NDUFAF1	0.331
PHF12	0.4285
OR1L3	0.5825
FOLR2	1.0115
LYZL6	-0.123
tcag7.1260	-1.9015
WSB1	-1.0775
PROS1	-2.701
OSTN	0.9715
PSMB8	-0.99775
SOCS4	-0.848125
DDIT4L	-1.9415
MAS1	-0.242
MGC34796	2.2135
CSHL1	0.149666666666667
TBCCD1	0.975333333333333
ZBTB7C	0.5135
AP2S1	0.863625
P15RS	-0.1934
VAT1	0.0894000000000001
SHANK3	0.689
TUFM	0.8535
THEG	-0.15225
KRT34	-1.3615
SGSM3	-0.026125
TOMM22	-0.77625
SOCS3	0.574833333333333
CPO	1.207
POP4	0.28375
BHLHB3	-0.40075
MALL	0.3915
OR1B1	0.5285
PARK2	0.0993333333333333
GPR124	-0.070875
LCE1E	0.8775
RUVBL2	-0.3205
CGRRF1	0.3106
ACPL2	0.48025
WNT10B	-1.863625
BAIAP2L2	-1.693
ISCA1	-0.0595
C1orf125	0.478
RPAP1	-0.465
RAI16	1.47983333333333
RPL27	0.049125
NLRP9	-0.292
EPN1	0.691
LOC388610	-0.138875
SLC35A1	0.9344
GAL	-3.594
SLC14A2	0.80275
RDH11	-0.247166666666667
FAM138F	0.2775
AUH	-0.27475
FLJ40243	0.17425
C14orf129	-0.068
MBD2	-1.03416666666667
ABHD14B	1.07575
PIGT	0.3795
ALS2CR4	-0.911375
ALAS1	-0.1205
FOXO1	-0.191666666666667
CRLF3	-0.57425
C20orf107	0.316
FARS2	0.96275
CCDC28A	0.0255
NPHP3	-0.9065
OR13F1	0.5195
TSEN54	0.3345
DEFB106B	0.4582
OR8B4	0.4075
STH	1.93875
ZC3H14	-0.257875
CBX2	0.367
TMEM49	-0.195
C6orf21	1.4085
FLJ20920	0.770625
CRTAP	0.197285714285714
DDX50	-0.28975
STYXL1	1.36825
BLVRB	1.41433333333333
LOC147650	0.0396666666666667
MMP24	0.66375
GRID1	1.332
BANF1	-0.172166666666667
CTAGEP	0.97625
HMBS	-1.4355
SLC25A24	-1.1185
C14orf50	3.77025
MRO	0.71
SLC25A15	-1.4515
FAM84B	0.5727
TDP1	-0.277
C16orf78	0.1435
C11orf57	-0.94225
RFK	-1.789125
ZFYVE9	-1.109875
STCH	-2.0015
WIBG	1.86575
LOC283871	1.29733333333333
GBA2	-1.0695
NDUFB3	-0.24425
HSD17B13	-1.36975
GRIN3A	0.692
FMNL1	-1.0105
SEPT7	-1.5196
GNLY	3.699
GRAMD1C	0.264166666666667
ZNF165	-0.05775
USP38	0.175
FAM83A	-2.958
C14orf24	0.77475
ARMCX3	0.47175
ARHGDIB	1.21166666666667
AK1	0.87225
KIAA1045	0.26275
DNAJB13	-0.149666666666667
NEU2	0.8155
HIST1H4B	-1.02566666666667
FAM20B	-0.1322
HES2	2.43657142857143
FAM73B	-0.3287
LOC388381	-0.26125
INTS7	-0.271
AMPH	0.8415
ZNF775	0.400875
UCKL1	-0.322166666666667
C10orf97	-0.40825
C1orf161	0.18825
ALDH1L1	-1.25875
FLJ39378	0.00999999999999998
SLC23A1	0.0685
RBM4B	0.905
THAP4	0.229833333333333
OGFRL1	0.3895
KIAA0831	0.238875
PPP1R15A	0.195833333333333
C1orf96	-0.0914285714285714
C12orf11	-0.633
BMF	0.503375
MAN1A1	-1.452
KIAA1600	0.2225
NLGN4X	-0.3485
ALOX12	-0.990333333333333
RB1CC1	-0.3524
NEIL2	1.4898
EIF4E	-0.183863636363636
ABHD5	0.36125
EXOC4	-0.185166666666667
CIP29	1.62866666666667
BATF2	0.90825
SLC29A4	-0.531625
HTR4	0.46275
EMB	-2.97375
TRAF6	0.72825
LMNB1	-1.15325
FAM19A5	0.029125
SHE	0.73375
PIK3C2B	1.5335
C15orf15	-1.4246
USP15	0.1552
TCEAL2	0.25275
C5orf39	-0.791166666666667
PTGER2	-2.10175
SLC31A1	-1.1876875
IFT172	0.04625
ADAM29	0.5985
GFOD1	-0.844
ST7L	0.373333333333333
C15orf26	-0.48725
PKN3	-1.02725
CNTD1	4.55716666666667
COMMD1	0.06675
NTRK2	2.09091666666667
FOXN3	-0.32275
MFGE8	-1.0848
PFKFB2	2.2045
TAS2R4	-0.77775
ENTHD1	1.9
PRMT5	-1.069625
MGC16384	-1.998875
LOC442229	-1.026
TSKU	1.73425
KRTCAP3	3.01025
PDLIM1	1.2034
KCNS2	0.4885
RNF126	-0.211333333333333
CEP63	0.66375
CLIC4	-1.169625
hCG_1990170	-1.19675
ACR	0.5156
KLK7	-0.741
ALOX5AP	1.73275
RIPK3	4.8285
TAS2R9	0.3335
C19orf18	0.8005
BIRC6	0.329428571428571
ZNF16	1.3865
RFT1	0.47775
SLC8A2	-0.28975
TACC1	-0.314875
ITGAD	0.55925
SAMHD1	0.2415
SH3PXD2B	0.7264
EPC2	-0.04925
C20orf85	2.5245
ATP13A2	0.241333333333333
KRT4	0.8285
CAPNS1	-0.12125
MDM2	0.744666666666667
PCDH20	0.505
KCNK9	1.6785
OR2C1	0.4295
KLHDC3	-0.980666666666667
IPPK	0.555
EFHD2	0.219375
GALR3	0.475
NBEA	0.764166666666667
ABCA6	1.807
CLDN3	2.64066666666667
AKT2	-0.6775
EGFR	-3.0043
RBM16	0.46075
ZDHHC3	1.0798
SLC25A4	-0.447333333333333
CYB5B	-0.738666666666667
CPXM1	-0.4315
NDRG1	0.076
FLJ43826	0.38725
OR5L2	-0.106833333333333
FARP2	0.0782
MRPL46	-0.908666666666667
LDHAL6B	0.1928
MAPKAPK3	-0.1605
NCAM2	-1.99925
PRKD2	-0.0243333333333333
ZFP36L1	1.4761
CYSLTR1	-1.3415
OR4C3	0.526
HIST1H2AJ	3.8445
CCNB2	-2.196
ZNF10	0.324125
TMEM175	0.547
FAM134A	1.142
TIGD4	-0.188
PCNP	-1.30275
MGC39715	-0.259
LQK1	-0.223
CREB1	-0.8272
TMPRSS3	-0.28425
C4orf32	1.325
LAT	-1.40783333333333
KCNA3	-0.4215
SKIV2L2	-0.95925
ROPN1B	-3.3485
tcag7.23	-0.451
CDT1	-2.356625
ZHX2	1.18975
CD28	-3.55
ZNF624	0.60075
SEPT2	-0.2525
SOHLH2	-2.316875
MCOLN3	-0.611375
UNQ1945	0.981
MASP2	-0.322
ZNRF3	-0.1869
GPATCH3	0.26325
AGL	-0.905125
QRICH2	0.4485
PSD4	0.770833333333333
CCNB1IP1	-2.951
ENPP7	0.893
OBFC1	1.07775
KCNG3	-2.238
C14orf79	1.20825
ENPEP	0.214666666666667
SCT	2.1205
SKI	-0.07725
SEC61G	-1.292
CAPN11	0.3455
ATXN7L3	0.505
DBNDD1	0.7955
FAIM	-0.5095
ANKRD36	-2.2895
GABRP	-0.792
TACSTD2	1.51
EIF3J	-1.11225
PPP2R2A	-0.08175
TEKT4	0.826666666666667
PVALB	-3.107
F10	-2.23166666666667
FAM134C	1.3217
COMP	4.994125
EFCBP1	-3.8946875
SCLT1	-1.30225
TAL1	-1.0926
ACSL1	0.17825
ABCC5	1.29241666666667
ABL1	-0.760722222222222
RBBP7	2.58316666666667
PTPRG	0.365125
NCOR1	-0.0165
SPINK4	0.6355
TXNRD1	-1.028
TNRC15	-0.53475
C9orf138	0.807
UBE2H	0.945333333333333
BRDT	2.75883333333333
C8orf31	0.28325
CCNE2	-0.329909090909091
SLC6A8	-0.733
CALCR	-4.45625
PPP1CB	0.0675833333333334
ABHD8	0.88775
ARF5	0.8882
SLC24A4	-0.47825
CCT3	0.55425
ZNF121	-1.11925
SLC3A2	-0.5664
OR13A1	0.939
SLC5A10	0.50675
RAD50	0.318875
IER5	0.3985
MTHFD1L	-2.859625
MBTPS2	0.369
MVK	0.700875
NCL	0.2395
PSMD10	-0.5825
MOBP	0.681714285714286
FLJ32894	-0.601
HRH1	-1.83683333333333
C5orf30	1.028
NUDT16L1	1.3181
RASGRP3	2.99816666666667
PRKRIP1	0.3396
CCDC75	-1.00225
LOC253970	0.54375
KIAA1239	0.33875
MED21	0.047
SYT11	-0.478833333333333
NTSR2	-0.05
EGFL11	1.058
CXorf59	-0.264
OR2A25	0.59
SPTBN2	1.61975
LRMP	-2.1995
RNF111	-0.8885
PTH	-0.528
LOC619208	0.6115
KIAA0895	0.2795
RANBP5	-2.000125
P2RY10	-0.276
NME5	4.1415
DDX21	-0.98375
LRSAM1	0.533
HDAC11	1.81416666666667
VMO1	1.729
NOLA2	0.446
ADAR	0.290333333333333
MTO1	-1.64116666666667
SF4	0.6685
P2RX1	-0.0928333333333333
HBM	0.66375
EN2	0.9905
C14orf172	1.17825
TM9SF2	-0.4665
INHBE	-1.13683333333333
TCTE3	-0.281833333333333
TOX2	-3.3125
CTAGE3	-0.339625
HBB	3.5254
MED15	-0.6015
CASR	0.7155
C6orf66	-1.48866666666667
MTPN	-1.27675
UNC50	-0.94075
C21orf33	0.7365
IRF2	1.27275
PGR	4.046
GPR84	2.309
CROCCL1	-2.4415
SRPX	-2.41625
BRE	0.680666666666667
FGF10	1.045
SDC3	-0.176333333333333
ZRSR1	0.309
DKFZP434P211	-0.59625
SOX6	0.6835
RPUSD2	-0.33525
C14orf173	-0.1065
MAPK11	-0.172833333333333
TBC1D22A	0.3035
FAM123A	-1.69
COL4A6	-3.19866666666667
TOMM70A	0.48025
NAB1	-1.151875
MGC16385	-0.077875
TSPAN18	-1.534
MED31	-0.04825
PLG	0.16125
CAPSL	1.902
ZNF532	0.9157
ASB14	-0.341
CA8	0.51125
NUDT16P	2.74416666666667
SLFN11	-1.9115
LRRIQ2	-0.995625
NOL7	0.0255
BRMS1L	-1.55825
JARID1A	0.323166666666667
PANK2	-0.02
ICAM3	0.04675
MDS1	2.32725
TAF8	-0.51725
RNF139	0.58375
ZNF594	-0.364666666666667
ADAM8	1.37175
SFTPC	0.16175
MAN2B2	1.17025
RGS12	0.00987499999999999
EIF1AY	-4.01258333333333
LRRIQ1	-2.08766666666667
GPR150	0.6485
CCDC21	-1.00416666666667
PRRG3	0.387
SAA4	-2.9085
RAPGEF5	0.99025
ZCCHC2	-0.5925
MGC39372	1.412
PPP4R2	0.5445
CDCA2	-1.63133333333333
OR4D5	0.504833333333333
PTGFRN	1.5027
SIGLEC5	0.616166666666667
C19orf61	0.0226666666666667
NMUR2	0.6075
KIAA1586	-2.60433333333333
DAGLA	-0.147666666666667
CHCHD6	0.10025
GPR32	0.6365
NEUROD6	0.393333333333333
SLC2A4RG	0.6123125
CA5B	-0.2215
FBXL3	-0.011
MPHOSPH9	-0.64275
HMG2L1	-0.2795
HCN4	0.242166666666667
CEACAM19	0.582
SH2D4B	-0.00650000000000001
HFE2	-0.4685
TGM4	0.5435
LYPD2	-0.3665
TBC1D15	-0.11475
MRPS21	1.1189
NONO	-0.6857
CLEC5A	2.40275
ITCH	0.3094
MGAT3	-1.69216666666667
MBP	-1.258375
RPP25	-0.1045
SOSTDC1	-3.502
HRC	-1.26225
TRIM48	0.2375
TMEM133	-1.97225
ECEL1P2	-0.9785
HOXC11	-0.472
DOK5	-1.2105
HELZ	1.061
LOC348180	-0.49925
MGC33894	0.6795
ADRB3	0.348
DMD	-0.5645
PTRH2	-0.035
MPEG1	2.56283333333333
NDUFA12	0.332333333333333
KRTAP2-4	0.222
STAMBPL1	-1.27983333333333
ADCY2	2.368
UNQ6125	0.1535
KLHL20	-0.101666666666667
SRM	-1.07
OTC	0.226
TMIE	-0.064
SNX8	0.79775
LIPK	-0.1825
CHURC1	-0.612916666666667
KLC2	1.06816666666667
HDAC1	-0.212
FAM128A	0.216666666666667
FNDC3B	0.1907
MTCP1	0.411333333333333
WFDC10B	0.00740000000000004
PCDHGB3	0.2185
ATRNL1	-0.9657
CAV2	-1.8955
MED26	-0.0973333333333333
DUS1L	0.71425
CHRM3	-2.055125
NEK9	0.444
WARS2	-0.265
TBX22	0.622
TOMM40	-0.29075
RP6-213H19.1	-1.72966666666667
TUBGCP5	-0.75575
IGSF6	4.58125
TPPP	0.6865
UNQ6190	-1.073
GSTM5	-0.049375
BTD	1.5435
PDCD1LG2	-0.272333333333333
SNRPB2	0.307833333333333
ERICH1	0.133125
APOA4	-1.14325
HOXA11	-3.0195
NARG1	0.02925
MKX	-1.70075
RAB28	0.0148571428571429
PKP3	1.891
SH3GL2	-1.4555
CTSO	1.87
RPN2	1.3020625
IL28RA	-0.0631666666666667
SFMBT1	1.51375
WDR57	0.634
FER1L3	0.128416666666667
HSF5	0.556666666666667
TTC9B	0.74275
C4BPA	-3.5234
ALB	-4.18714285714286
SORBS3	1.04375
UPF2	0.8665
JPH1	2.071
AGBL2	2.001
DOPEY1	1.4925
TERF1	0.0428333333333333
KIF22	0.381666666666667
NINJ1	1.483
SEC61A2	0.397583333333333
HIST1H1D	-1.90166666666667
SFXN4	0.2765
UCP3	-0.2287
ZNF703	2.04033333333333
MYL6B	0.55325
TREM1	2.9575
OR52E6	0.572
CKMT2	0.94775
HLA-C	0.834125
SLC13A3	-2.87266666666667
TIMP4	-1.48675
SLIT2	1.35675
RSF1	-0.607166666666667
LONRF1	-0.124357142857143
MON1A	0.407833333333333
CACNG6	-1.335
DPPA4	-4.90816666666667
ZSWIM3	0.23675
ZNF804A	0.0738333333333333
CCIN	1.69325
SLC25A31	-0.493
KCNMB4	-0.09825
RABL5	0.8675
GALNS	-0.183
STX6	0.294375
HIST1H1C	-0.524333333333333
CIDEB	-0.690625
CASP4	-1.10416666666667
PDK3	0.3597
KCNJ11	1.834
TPR	-0.332625
ZSCAN20	-0.603
MTX2	-0.3265
HIST1H2BH	0.417
LOC283767	1.31375
LYRM7	-1.16233333333333
BRD3	-0.681833333333333
HIST1H2BO	0.61725
MAGEB10	0.4715
SLC45A1	0.342
SERPINA3	3.64515
KIAA0143	0.81325
KCNJ16	-0.407833333333333
KRT79	1.1935
FABP2	-0.4325
NUT	-0.49625
ZNF57	-0.281
FBXL4	-0.823125
CLEC9A	0.233
UGT8	-1.40933333333333
BMP2K	-0.90475
MAPK4	-3.2095
SLC25A23	0.2117
HINT1	-0.4897
KRTAP13-1	0.564
SFXN5	0.4327
CHCHD2	0.66675
FAM3D	1.847
NDP	-2.0625
RHOBTB1	-1.80666666666667
SLC4A4	-1.8165
RPL38	0.4725
HTF9C	0.232166666666667
AP2A2	0.445625
ZBTB46	-0.663
MAP7D1	0.227125
AOX1	-1.4855
CYR61	0.532333333333333
DTNA	-2.26535714285714
JRKL	0.10625
TMOD3	-0.50025
EEA1	0.7617
ADCK5	0.85775
IL1R1	3.944
KLK3	0.723214285714286
HRSP12	0.34275
KTN1	0.68525
LOH11CR2A	0.2493
RELL2	0.38025
MAB21L1	0.05275
C20orf59	-0.5925
PHKB	-0.899
ADAM2	-2.6405
TBC1D8B	1.10433333333333
FAM13A1	-2.2376875
LAPTM4B	-0.5235
LCN8	0.5135
TMEM147	0.739
SYT4	-0.028
XPO7	-0.1955
C9orf62	0.61
GPR75	0.573
TRIM5	-0.794
APOC1	-0.548166666666667
RNASE4	0.809833333333333
PARD6B	1.133125
ARID1A	0.26725
TPD52L3	-0.139
RRAGB	0.8965
RCN2	-1.30633333333333
HIST2H2BE	0.4529375
STARD7	-0.52675
SHMT2	-0.336
KIAA1751	0.989166666666667
MLYCD	0.122
LOC162632	-0.332
UQCRH	-1.639
RP11-217H1.1	-0.0783125
SDHA	-1.1285
NCLN	0.2999
ZNF17	-0.213666666666667
RCBTB2	-3.52
VEGFB	1.001
RP4-747L4.3	-1.44
COLQ	0.8861
MPN2	-0.268833333333333
DRG2	2.2655
KLRB1	2.9905
ALPK2	-1.905
DNASE2B	1.38125
FLJ23834	-0.159333333333333
AXUD1	0.519833333333333
SAFB	0.1394
NSUN4	0.09375
RFX2	0.907666666666667
MAPK8IP1	-1.32233333333333
FANCD2	0.380857142857143
ANKZF1	-1.13833333333333
C19orf50	-0.465875
DUSP8	-0.639375
SENP5	0.186625
NFKBIL2	0.05775
LBR	-0.10675
IGFL1	0.0965
LZTS2	0.9995
IL2RG	-0.748875
CCDC51	1.051
KLF3	-0.200625
ANKRD37	-1.554
KCTD14	-1.24433333333333
FZR1	0.893583333333333
SLC44A4	3.8245
ESPL1	-0.445125
GMPR2	0.0587
TBC1D19	-1.04283333333333
ERGIC1	1.20766666666667
ERBB4	2.1554
TSPAN32	-0.0844166666666667
MAP4	0.185125
GPHN	0.697
SLC6A2	-0.256125
HIVEP1	0.615
DFFB	-0.7154
EIF4EBP2	0.525
DMRT1	-0.75175
HSPB6	0.0455
IER2	0.591833333333333
AIFM1	0.617
WWC2	-0.248416666666667
MRPL4	-0.14325
FLJ21062	1.0305
EPB41L4A	1.59941666666667
SH2D6	0.705
TAF4B	-1.854
GAL3ST3	0.4425
MALT1	-1.36416666666667
RTDR1	0.32975
ARVCF	0.410625
MEX3B	-3.105
FBXO16	3.132
KIF7	-1.323
C1QC	4.2435
ZNF783	-1.46966666666667
ZNF85	-1.38775
MMP13	4.802
KIAA0329	0.722625
RTP3	-1.1735
ZBED3	0.3345
CLGN	1.315
SLC25A37	-1.66041666666667
hCG_18290	0.10075
OR5AS1	0.1375
SMARCC2	0.6385
FAM109A	0.409333333333333
CCDC12	1.005
USF2	0.7739
DEPDC7	-2.72775
C20orf24	-0.388666666666667
JMJD3	0.166
DSP	1.425
SLIC1	0.09675
FAM20A	1.513625
IRF2BP2	1.278375
ZNF230	-0.77
MSN	-1.19871428571429
SLC9A5	-1.3025
EPDR1	-2.7985
MUSK	0.449166666666667
ZNF434	0.743
SMARCD1	-0.1615
ZFP106	-2.0685
ZNF347	-1.0041
GTF2E1	0.4805
RY1	-0.326166666666667
ATAD2B	0.4105
ARHGAP17	0.3973
KCNIP3	-0.91175
