Hybridization REF	TCGA-BH-A0DQ-11A-12R-A089-07
MALL	1.464
OR1B1	0.1655
PARK2	1.11383333333333
GPR124	1.764875
LCE1E	-1.036
RUVBL2	-0.82075
CGRRF1	1.1059
ACPL2	0.969
WNT10B	-1.35575
BAIAP2L2	-2.135625
ISCA1	0.734
C1orf125	0.2805
RPAP1	-0.63325
RAI16	0.0525
RPL27	-0.2405
NLRP9	0.3115
EPN1	-0.3145
LOC388610	0.808375
SLC35A1	1.6682
GAL	-4.34475
SLC14A2	0.05575
RDH11	-0.547833333333333
FAM138F	-0.467
AUH	1.11475
FLJ40243	0.028
C14orf129	0.6185
MBD2	-0.355833333333333
ABHD14B	0.50925
PIGT	0.930625
ALS2CR4	0.5535
ALAS1	-0.1073
FOXO1	1.985
CRLF3	-0.373875
C20orf107	-0.2035
FARS2	0.4585
CCDC28A	1.4525
NPHP3	0.16175
OR13F1	0.3545
TSEN54	-1.238
DEFB106B	0.075
OR8B4	-0.2815
STH	1.95225
ZC3H14	-0.21925
CBX2	-0.6595
TMEM49	-1.0565
C6orf21	0.258
FLJ20920	1.2515
CRTAP	0.195071428571429
DDX50	0.2575
STYXL1	-0.012
BLVRB	-0.1335
LOC147650	-0.205666666666667
MMP24	0.22875
GRID1	2.45416666666667
BANF1	-0.6055
CTAGEP	0.652
HMBS	-2.45575
SLC25A24	0.36
C14orf50	1.91225
MRO	0.2115
SLC25A15	-0.37675
FAM84B	0.862
TDP1	-1.047
C16orf78	0.218666666666667
C11orf57	-0.13275
RFK	-0.5745
ZFYVE9	-0.19575
STCH	-0.7343
WIBG	0.18875
LOC283871	-1.2155
GBA2	-0.5112
NDUFB3	-0.65375
HSD17B13	0.0055
GRIN3A	1.82466666666667
FMNL1	-1.02416666666667
SEPT7	0.00689999999999999
GNLY	3.1595
GRAMD1C	2.5715
ZNF165	-0.3235
USP38	0.656
FAM83A	-3.04216666666667
C14orf24	0.4915
ARMCX3	1.617625
ARHGDIB	0.861333333333333
AK1	-0.329375
KIAA1045	1.12525
DNAJB13	-0.281833333333333
NEU2	0.664
HIST1H4B	-2.39466666666667
FAM20B	-0.4748
HES2	-0.270571428571429
FAM73B	-0.4501
LOC388381	0.488
INTS7	-1.18972727272727
AMPH	1.4515
ZNF775	-0.57325
UCKL1	-0.914666666666667
C10orf97	0.61725
C1orf161	-0.47625
ALDH1L1	-0.2445
FLJ39378	-0.00525
SLC23A1	-1.774
RBM4B	0.6435
THAP4	-0.0491666666666667
OGFRL1	0.772
KIAA0831	0.76775
PPP1R15A	-0.3885
C1orf96	-0.910642857142857
C12orf11	-1.90575
BMF	0.29325
MAN1A1	-0.691125
KIAA1600	1.06266666666667
NLGN4X	1.34875
ALOX12	-0.997
RB1CC1	-0.1476
NEIL2	0.504
EIF4E	0.0211363636363636
ABHD5	-0.14775
EXOC4	-0.151166666666667
CIP29	0.139333333333333
BATF2	0.24825
SLC29A4	-0.904
HTR4	0.18725
EMB	-0.6305
TRAF6	0.819
LMNB1	-3.6825
FAM19A5	-1.573375
SHE	2.6895
PIK3C2B	1.096
C15orf15	0.0209
USP15	0.3793
TCEAL2	1.84575
C5orf39	-0.943666666666667
PTGER2	-1.016
SLC31A1	-0.24525
IFT172	0.70725
ADAM29	1.342
GFOD1	0.82
ST7L	0.714
C15orf26	-3.14425
PKN3	-1.087
CNTD1	2.95383333333333
COMMD1	0.264
NTRK2	4.23375
FOXN3	0.89175
MFGE8	0.8231
PFKFB2	0.5845
TAS2R4	0.121
ENTHD1	-0.699833333333333
PRMT5	-0.398125
MGC16384	-0.685375
LOC442229	-1.13475
TSKU	0.632875
KRTCAP3	2.385625
PDLIM1	0.91
KCNS2	-0.42375
RNF126	-0.797333333333333
CEP63	0.3055
CLIC4	0.306
hCG_1990170	2.96525
ACR	0.8134
KLK7	3.675
ALOX5AP	2.5515
RIPK3	3.4775
TAS2R9	0.037
C19orf18	1.7645
BIRC6	0.194357142857143
ZNF16	0.934
RFT1	-0.36925
SLC8A2	-0.98125
TACC1	0.57825
ITGAD	0.63675
SAMHD1	0.64075
SH3PXD2B	1.0414
EPC2	1.32575
C20orf85	0.39775
ATP13A2	0.144
KRT4	-0.118875
CAPNS1	0.402
MDM2	-0.781083333333333
PCDH20	2.414
KCNK9	0.1575
OR2C1	-0.1165
KLHDC3	-0.533833333333333
IPPK	0.1565
EFHD2	-0.88
GALR3	-0.37475
NBEA	0.902166666666667
ABCA6	4.1861
CLDN3	0.8955
AKT2	-1.09092857142857
EGFR	0.5937
RBM16	0.51975
ZDHHC3	-0.0826
SLC25A4	-0.0668333333333333
CYB5B	-0.0763333333333333
CPXM1	1.461
NDRG1	-0.845076923076923
FLJ43826	0.48075
OR5L2	-0.234833333333333
FARP2	0.1584
MRPL46	-0.675
LDHAL6B	0.447833333333333
MAPKAPK3	-0.822333333333333
NCAM2	-0.81425
PRKD2	0.288333333333333
ZFP36L1	1.32
CYSLTR1	-0.20625
OR4C3	0.029
HIST1H2AJ	0.9885
CCNB2	-4.16366666666667
ZNF10	0.558375
TMEM175	-0.1705
FAM134A	0.848333333333333
TIGD4	0.0865
PCNP	0.39425
MGC39715	1.4525
LQK1	-0.90425
CREB1	0.9548
TMPRSS3	0.923
C4orf32	1.759125
LAT	-1.42725
KCNA3	-0.0945
SKIV2L2	-0.444
ROPN1B	2.545
tcag7.23	0.534
CDT1	-3.383375
ZHX2	1.009625
CD28	-2.7795
ZNF624	0.94375
SEPT2	0.275416666666667
SOHLH2	-0.761
MCOLN3	-0.0185
UNQ1945	-0.1745
MASP2	-1.0605
ZNRF3	-0.1272
GPATCH3	-0.23225
AGL	0.605625
QRICH2	-0.268
PSD4	0.923166666666667
CCNB1IP1	-0.56725
ENPP7	0.121
OBFC1	0.037
KCNG3	-2.08275
C14orf79	0.276666666666667
ENPEP	2.79533333333333
SCT	-0.16
SKI	0.057875
SEC61G	-1.62325
CAPN11	2.61425
ATXN7L3	-0.43025
DBNDD1	-0.711666666666667
FAIM	0.32425
ANKRD36	-0.466
GABRP	4.5995
TACSTD2	2.46933333333333
EIF3J	-0.4965
PPP2R2A	-0.169
TEKT4	0.0928333333333333
PVALB	-3.68566666666667
F10	-1.1045
FAM134C	0.6981
COMP	2.6105
EFCBP1	-0.7024
SCLT1	0.650375
TAL1	-0.8371
ACSL1	0.94125
ABCC5	-0.91375
ABL1	-0.708944444444444
RBBP7	0.07175
PTPRG	-0.383625
NCOR1	0.5932
SPINK4	-1.9575
TXNRD1	-1.9119
TNRC15	0.607625
C9orf138	0.723375
UBE2H	0.2555
BRDT	0.142
C8orf31	-0.2625
CCNE2	-3.05490909090909
SLC6A8	-2.13675
CALCR	-1.82075
PPP1CB	1.30575
ABHD8	0.01175
ARF5	-0.0579
SLC24A4	0.463
CCT3	-0.979
ZNF121	0.31425
SLC3A2	-1.1576
OR13A1	-0.3045
SLC5A10	-0.3315
RAD50	0.191625
IER5	-0.09475
MTHFD1L	-2.569375
MBTPS2	-0.3205
MVK	-0.45125
NCL	-0.4327
PSMD10	0.304
MOBP	0.069375
FLJ32894	0.3795
HRH1	-0.664833333333333
C5orf30	0.4085
NUDT16L1	0.4687
RASGRP3	3.42066666666667
PRKRIP1	-0.4333
CCDC75	-0.46625
LOC253970	0.28225
KIAA1239	0.0765
MED21	-0.364
SYT11	0.379416666666667
NTSR2	-0.311
EGFL11	-0.0245
CXorf59	0.453
OR2A25	0.2605
SPTBN2	-1.21425
LRMP	-0.359666666666667
RNF111	0.544
PTH	0.4285
LOC619208	0.4825
KIAA0895	0.60975
RANBP5	-0.68725
P2RY10	0.946666666666667
NME5	4.15383333333333
DDX21	-1.0085
LRSAM1	-0.0335
HDAC11	1.10066666666667
VMO1	0.41475
NOLA2	-0.425166666666667
ADAR	-0.127666666666667
MTO1	-0.313166666666667
SF4	0.0918333333333333
P2RX1	0.0566666666666667
HBM	-0.13475
EN2	-0.417
C14orf172	-0.43025
TM9SF2	1.0317
INHBE	-1.29883333333333
TCTE3	-0.13175
TOX2	-2.761
CTAGE3	0.605
HBB	4.4492
MED15	-0.677833333333333
CASR	0.08975
C6orf66	-1.02616666666667
MTPN	-0.593
UNC50	0.5825
C21orf33	0.153125
IRF2	1.0465
PGR	2.74983333333333
GPR84	1.26375
CROCCL1	-1.2575
SRPX	1.25125
BRE	0.092
FGF10	1.86775
SDC3	0.470833333333333
ZRSR1	0.6425
DKFZP434P211	-0.760125
SOX6	-1.146
RPUSD2	-0.182
C14orf173	-0.79475
MAPK11	-0.842166666666667
TBC1D22A	0.0085
FAM123A	-0.103
COL4A6	-0.0691666666666667
TOMM70A	-0.0235
NAB1	0.1825
MGC16385	-0.14375
TSPAN18	-0.377333333333333
MED31	-0.35625
PLG	0.077
CAPSL	0.8795
ZNF532	1.2846
ASB14	-0.2215
CA8	2.43275
NUDT16P	2.04116666666667
SLFN11	-0.4275
LRRIQ2	-0.49125
NOL7	-0.8695
BRMS1L	0.031125
JARID1A	0.3115
PANK2	-0.239
ICAM3	-0.4695
MDS1	-0.16225
TAF8	-0.836
RNF139	0.42175
ZNF594	0.678166666666667
ADAM8	-0.36225
SFTPC	-0.5255
MAN2B2	1.552375
RGS12	0.427
EIF1AY	-4.72616666666667
LRRIQ1	0.506333333333333
GPR150	-0.22175
CCDC21	-1.494
PRRG3	1.6605
SAA4	-0.1255
RAPGEF5	1.305625
ZCCHC2	-0.437416666666667
MGC39372	1.7625
PPP4R2	0.00950000000000001
CDCA2	-3.317
OR4D5	0.290166666666667
PTGFRN	0.3806
SIGLEC5	1.08666666666667
C19orf61	-0.372333333333333
NMUR2	0.271
KIAA1586	-0.201
DAGLA	1.03583333333333
CHCHD6	-0.367
GPR32	0.291
NEUROD6	-0.1268
SLC2A4RG	0.00562499999999999
CA5B	0.53575
FBXL3	2.16875
MPHOSPH9	-1.7675
HMG2L1	0.413
HCN4	-0.3765
CEACAM19	0.1185
SH2D4B	0.272166666666667
HFE2	-0.6935
TGM4	0.095
LYPD2	-0.08275
TBC1D15	0.37675
MRPS21	-0.3511
NONO	-0.7265
CLEC5A	-0.2345
ITCH	-0.4124
MGAT3	0.0111666666666667
MBP	0.099625
RPP25	-1.57925
SOSTDC1	3.30275
HRC	-1.01025
TRIM48	0.205
TMEM133	1.394
ECEL1P2	-1.1705
HOXC11	-0.869
DOK5	-0.15325
HELZ	0.460833333333333
LOC348180	-1.36375
MGC33894	-0.007
ADRB3	-0.2205
DMD	1.21266666666667
PTRH2	-0.98925
MPEG1	2.587
NDUFA12	-0.4485
KRTAP2-4	-0.216916666666667
STAMBPL1	-0.88
ADCY2	0.837666666666667
UNQ6125	0.404
KLHL20	0.332333333333333
SRM	-1.1545
OTC	0.10875
TMIE	0.800166666666667
SNX8	-1.259
LIPK	0.6735
CHURC1	0.790833333333333
KLC2	-0.184
HDAC1	-0.191
FAM128A	-0.1925
FNDC3B	-0.2549
MTCP1	-0.299666666666667
WFDC10B	-0.1019
PCDHGB3	0.267
ATRNL1	-1.3475
CAV2	1.38
MED26	0.0678333333333333
DUS1L	-0.29075
CHRM3	-0.94175
NEK9	0.80525
WARS2	-0.182
TBX22	0.3565
TOMM40	-1.257
RP6-213H19.1	-1.32416666666667
TUBGCP5	-0.4225
IGSF6	4.24925
TPPP	0.939
UNQ6190	0.2255
GSTM5	2.737875
BTD	1.21966666666667
PDCD1LG2	0.679
SNRPB2	-0.7105
ERICH1	0.261625
APOA4	-1.83175
HOXA11	-1.61575
NARG1	-0.472
MKX	0.6145
RAB28	0.197
PKP3	0.358
SH3GL2	-2.13725
CTSO	3.85425
RPN2	-0.6011875
IL28RA	0.825666666666667
SFMBT1	0.24075
WDR57	-0.215375
FER1L3	1.9115
HSF5	0.138
TTC9B	-0.42825
C4BPA	-1.19266666666667
ALB	-3.77464285714286
SORBS3	0.64125
UPF2	0.5505
JPH1	0.088
AGBL2	0.4585
DOPEY1	1.8235
TERF1	0.146083333333333
KIF22	-1.20616666666667
NINJ1	0.95325
SEC61A2	-0.6935
HIST1H1D	-2.41083333333333
SFXN4	-0.344
UCP3	0.1984
ZNF703	-0.023
MYL6B	-0.19525
TREM1	-0.25175
OR52E6	0.2985
CKMT2	2.7555
HLA-C	1.29875
SLC13A3	-1.21016666666667
TIMP4	-0.22175
SLIT2	3.4605
RSF1	0.177611111111111
LONRF1	-0.0457857142857143
MON1A	-0.299333333333333
CACNG6	-2.27083333333333
DPPA4	-5.69366666666667
ZSWIM3	0.34675
ZNF804A	0.0851666666666667
CCIN	0.639
SLC25A31	0.467
KCNMB4	1.242
RABL5	0.548875
GALNS	-0.3066
STX6	-0.12825
HIST1H1C	-2.79666666666667
CIDEB	0.3705
CASP4	0.563333333333333
PDK3	-0.6204
KCNJ11	2.3185
TPR	-0.359625
ZSCAN20	-0.97
MTX2	-0.67875
HIST1H2BH	-1.5165
LOC283767	1.8625
LYRM7	-0.714
BRD3	-0.251
HIST1H2BO	-1.58575
MAGEB10	-0.2545
SLC45A1	1.1615
SERPINA3	3.0672
KIAA0143	1.0755
KCNJ16	4.69583333333333
KRT79	-0.09825
FABP2	-0.5335
NUT	-0.223
ZNF57	-0.0565
FBXL4	0.953125
CLEC9A	2.389
UGT8	0.395333333333333
BMP2K	0.37175
MAPK4	-2.49075
SLC25A23	-0.4758
HINT1	-0.6741
KRTAP13-1	0.54
SFXN5	-0.222
CHCHD2	-0.482583333333333
FAM3D	3.7975
NDP	-1.383375
RHOBTB1	-0.58
SLC4A4	-0.992125
RPL38	0.118
HTF9C	-0.523333333333333
AP2A2	0.3615
ZBTB46	-0.0275
MAP7D1	0.111125
AOX1	-0.0101666666666667
CYR61	0.50375
DTNA	0.230928571428571
JRKL	0.8885
TMOD3	0.221
EEA1	-0.0171
ADCK5	-1.05675
IL1R1	2.011
KLK3	2.23671428571429
HRSP12	-0.40925
KTN1	0.28975
LOH11CR2A	1.1151
RELL2	-1.88025
MAB21L1	3.61
C20orf59	-1.27583333333333
PHKB	0.55825
ADAM2	-1.7556
TBC1D8B	1.37233333333333
FAM13A1	0.6495
LAPTM4B	-0.9225
LCN8	-0.243
TMEM147	-0.116
SYT4	-0.0591666666666666
XPO7	-0.6295
C9orf62	-0.5245
GPR75	0.8525
TRIM5	0.868
APOC1	-2.03283333333333
RNASE4	2.406
PARD6B	-1.8735
ARID1A	0.186333333333333
TPD52L3	0.2142
RRAGB	1.41666666666667
RCN2	-0.314166666666667
HIST2H2BE	-0.9550625
STARD7	-0.1675
SHMT2	-1.57175
KIAA1751	0.7835
MLYCD	0.85225
LOC162632	0.0879
UQCRH	-1.5365
RP11-217H1.1	0.2674375
SDHA	-0.886666666666667
NCLN	-1.0346
ZNF17	0.7975
RCBTB2	-0.30325
VEGFB	-0.429
RP4-747L4.3	1.17325
COLQ	0.2543
MPN2	-0.0816666666666667
DRG2	-0.0525
KLRB1	5.368
ALPK2	-0.94925
DNASE2B	0.74125
FLJ23834	0.5775
AXUD1	0.7035
SAFB	-0.299
NSUN4	-0.32025
RFX2	0.4755
MAPK8IP1	0.324333333333333
FANCD2	-1.873
ANKZF1	-1.24233333333333
C19orf50	-0.1135
DUSP8	0.7255
SENP5	-0.98875
NFKBIL2	-1.20825
LBR	-1.553
IGFL1	0.6175
LZTS2	-0.01475
IL2RG	-0.458875
CCDC51	-0.674
KLF3	0.505625
ANKRD37	-1.034
KCTD14	1.72266666666667
FZR1	-0.351166666666667
SLC44A4	2.8182
ESPL1	-1.383875
GMPR2	0.1197
TBC1D19	-0.1385
ERGIC1	0.231481481481482
ERBB4	3.0736
TSPAN32	0.3165
MAP4	-0.242625
GPHN	-0.2315
SLC6A2	0.952
HIVEP1	0.23575
DFFB	-0.4306
EIF4EBP2	0.337
DMRT1	-0.73775
HSPB6	0.27725
IER2	-0.368333333333333
AIFM1	-0.58075
WWC2	0.6075
MRPL4	-1.04075
FLJ21062	1.76566666666667
EPB41L4A	1.47691666666667
SH2D6	0.0205
TAF4B	-0.25125
GAL3ST3	-0.243
MALT1	-0.657166666666667
RTDR1	-0.196
ARVCF	0.153875
MEX3B	0.389833333333333
FBXO16	0.99275
KIF7	-0.736
C1QC	3.55516666666667
ZNF783	-0.414666666666667
ZNF85	1.0485
MMP13	-0.161
KIAA0329	0.8515
RTP3	-0.527
ZBED3	-0.11
CLGN	-0.87925
SLC25A37	-0.512541666666667
hCG_18290	0.40025
OR5AS1	0.19
SMARCC2	0.4235
FAM109A	-0.170666666666667
CCDC12	0.04575
USF2	0.0802
DEPDC7	-2.72025
C20orf24	-1.16166666666667
JMJD3	0.692
DSP	1.57871428571429
SLIC1	0.397875
FAM20A	2.262
IRF2BP2	0.393
ZNF230	0.663
MSN	-0.682214285714286
SLC9A5	-1.595
EPDR1	-0.4497
MUSK	0.0628333333333333
ZNF434	0.197333333333333
SMARCD1	-0.653833333333333
