Hybridization REF	TCGA-A8-A07I-01A-11R-A00Z-07
LAGE3	-0.5945
CHST6	-1.91
UNC13B	1.473375
TTLL4	-0.819125
ZNF687	0.449375
SDC2	0.2146
COX7A2	-0.01975
LAMB4	0.10775
FAM24A	0.0315
LRRTM3	-1.15466666666667
GPHB5	-0.03775
OR4C13	0.0275
EIF3EIP	-0.826714285714286
HABP4	-0.062
TMEM125	3.479
CNTN2	0.317
ASNSD1	0.0655
FUT4	0.24175
ACF	-3.52925
LOC158381	0.9655
CDH8	0.037
AGPS	-0.643
C4orf18	3.08875
PECI	0.533583333333333
UNG	-0.5555
GSTP1	-2.12725
DCUN1D5	-0.004
DKFZP564J0863	-0.97975
SLC9A3R1	0.87675
BCDO2	-0.638125
CHMP7	-0.05975
REM2	-0.213
DNHD1	0.3675
FKBP4	0.895125
ZNF350	2.25675
MGC11102	-0.2525
BST1	1.9145
KISS1R	0.893
NCR2	-0.2905
DEFB125	0.33
UBE2W	1.58275
KRT15	-1.221875
C10orf99	0.371
SCN11A	-0.12975
GFI1	-1.70225
RDHE2	5.4965
FHL1	-0.612166666666667
OSGEP	-0.593333333333333
GATA1	-3.20016666666667
SMC6	-0.9945
TTTY14	-0.92475
LPIN3	-0.20125
RPL4	-0.3532
RBPMS	-0.062
PRPF3	0.285
EMR1	-2.1375
SPATA19	-0.0345
XCR1	0.5725
IRX3	2.4389
RBM6	-0.33575
KLF4	-0.9186
UNC5CL	-0.1955
SEBOX	-0.3515
BTK	-0.1395
KRCC1	0.47875
C6orf27	0.3595
SYTL5	-0.221
PRND	2.021625
LOC653319	-1.156
PIGL	-2.095125
HUS1	-0.522
SFRS6	-0.25925
C17orf77	0.2625
UIMC1	-0.698666666666667
FXYD2	-1.4823
LOC283152	-0.2895
ZNF667	-1.443
ZCCHC12	-0.78075
TFEC	3.9498
ATP7B	1.62816666666667
POLD2	-0.383
RG9MTD1	0.03625
ACOT2	0.296666666666667
HIST1H4I	-0.245375
PPARGC1A	-2.5881
ETFA	-0.1276
POLRMT	-0.15225
ZNF146	0.28675
MIA2	-1.4245
KLHL6	0.131166666666667
HOXB5	-0.49625
NENF	0.652833333333333
CUGBP1	-0.22525
PRSS22	1.27533333333333
CASC4	1.1674
CUL4B	-0.0953
CENPJ	-0.4598
PITX1	1.387
FLJ31033	1.91666666666667
CELSR3	0.116333333333333
ZNF568	0.4905
ITSN1	-0.172166666666667
EHBP1L1	-0.491833333333333
C19orf2	-0.92875
DCTN1	-0.0475
LIN28B	-4.2735
TNKS2	0.10125
C1QBP	-1.317
CADPS2	1.2205
SRMS	0.62375
GJA9	0.196666666666667
MGC24975	-0.1895
TRIM45	-1.8145
TSP50	-0.20875
TCP1	-0.246
TMED7	0.4141
CMA1	-0.1855
CENPL	-0.973166666666667
PTCRA	0.3805
FST	-3.683
VWCE	-3.58325
PAWR	0.6345
ABCC12	4.05983333333333
LDLR	0.655
ASTN2	0.1253
LOC441212	-0.598125
GPATCH8	-0.04225
TANC2	0.3805
KIF4A	-0.71825
C18orf18	-1.303
PGM1	-1.346
KIAA0258	0.36925
CPD	-0.16475
SNCAIP	-1.495
DCT	-3.92933333333333
HLA-DOA	2.62563636363636
OR11L1	0.605
UPK1B	-0.0935
DNAJB4	-0.65575
UGT1A8	-0.1885
HIST1H4L	-0.879
PECR	-1.2945
HSPA2	0.45075
WFIKKN1	-0.455
SERP1	1.07975
SYDE2	0.16775
TACR2	0.225
NUP85	0.55975
CD177	-0.546666666666667
LGR5	-1.4698
PIGG	0.171083333333333
PTHR1	-1.44383333333333
RAB5A	0.2798
FLJ13224	-0.1965
USP9Y	-1.91033333333333
C7orf53	-0.8885
LRP1B	-0.92725
XAF1	3.3431
ABCG8	0.147
ANKDD1A	-0.59
DAND5	-2.5275
SPAG6	0.327
LINCR	1.417
ZDHHC22	-1.579625
CCDC60	-0.252
THOC7	-1.28416666666667
TCTA	1.0136
OR8K3	-0.01475
NY-REN-7	-0.77725
B2M	2.413
C6orf141	-3.0005
LPPR4	1.57625
SQLE	0.330875
SEPHS1	-0.97075
BTBD14B	0.701928571428571
PLRG1	-0.20925
SPG7	-0.03
ZNF614	0.452166666666667
PARD6G	0.933166666666667
INPP5B	-0.5471
GRPEL2	-0.82625
PPID	-0.7563
TRIM56	-0.77675
UBE2J1	0.160125
IL20RA	2.31075
LOC387856	0.64575
C1orf107	0.738333333333333
UTS2R	0.54775
C19orf22	0.5875
SAFB2	-0.021
KIAA0652	0.633625
KLRG1	-1.02766666666667
MS4A8B	0.394166666666667
FRAG1	0.6565
KIAA1546	0.6405
E2F4	-0.8735
CLEC4M	0.195333333333333
BTBD14A	-1.2285
KIAA0999	0.4498
GYPA	-3.376
TAC1	0.4104
TRAIP	-0.6555
KIAA0232	1.2484
ERCC8	-0.7535
GPX4	-0.013375
KIAA0368	0.59775
GPR157	-0.2045
CTAGE4	0.933
C9orf30	-0.614333333333333
OR52A1	0.434
HSP90B3P	-0.2295
ALG9	-1.0413
BTBD10	0.59525
SDK2	-0.148
BAIAP3	-1.83375
RABGGTB	-1.130875
ANKRD40	1.315
KRT74	0.9265
CALCOCO2	-0.243785714285714
SNCA	-2.99925
TMSL8	-3.681625
C2orf53	2.478
ESRRB	-0.2665
ARHGAP26	-1.152125
TDRD9	-2.20575
HRAS	0.901833333333333
KLRC4	-2.156
JAGN1	-0.251833333333333
BSDC1	0.6935
RNF43	-0.6733
NDUFAF1	0.498
PHF12	0.6715
OR1L3	0.14975
FOLR2	1.47508333333333
LYZL6	0.767166666666667
tcag7.1260	-1.4305
WSB1	-0.6315
PROS1	-1.4974
OSTN	0.6645
PSMB8	2.02375
SOCS4	-0.26425
DDIT4L	0.468
MAS1	0.137
MGC34796	1.04675
CSHL1	0.437333333333333
TBCCD1	-0.115
ZBTB7C	-0.268
AP2S1	-0.351625
P15RS	0.2794
VAT1	-0.6213
SHANK3	0.667
TUFM	-0.365
THEG	-0.172
KRT34	-1.44225
SGSM3	-0.227375
TOMM22	-0.639875
SOCS3	1.145
CPO	1.675
POP4	0.67625
BHLHB3	0.7035
MALL	0.40275
OR1B1	0.498
PARK2	0.336166666666667
GPR124	0.947
LCE1E	0.448
RUVBL2	-0.5105
CGRRF1	0.6274
ACPL2	0.035
WNT10B	-1.0615
BAIAP2L2	-1.953625
ISCA1	0.3685
C1orf125	-0.06475
RPAP1	-0.3575
RAI16	-0.486166666666667
RPL27	-1.711875
NLRP9	0.233
EPN1	0.576
LOC388610	-2.555
SLC35A1	1.3542
GAL	-3.644
SLC14A2	0.483
RDH11	-0.274166666666667
FAM138F	-0.6875
AUH	-0.2935
FLJ40243	0.594
C14orf129	0.919166666666667
MBD2	0.0195
ABHD14B	0.68
PIGT	-0.04125
ALS2CR4	-0.069
ALAS1	0.2144
FOXO1	1.09666666666667
CRLF3	-1.1535
C20orf107	1.6325
FARS2	1.18675
CCDC28A	0.02625
NPHP3	-0.72
OR13F1	0.0985
TSEN54	0.5425
DEFB106B	0.233
OR8B4	0.401
STH	0.6895
ZC3H14	-0.276625
CBX2	-0.477
TMEM49	-0.431
C6orf21	0.545
FLJ20920	2.3565
CRTAP	0.0841428571428571
DDX50	-0.10525
STYXL1	-0.96
BLVRB	0.2265
LOC147650	-0.320333333333333
MMP24	0.07725
GRID1	1.51966666666667
BANF1	-0.304333333333333
CTAGEP	0.43375
HMBS	-2.57475
SLC25A24	-0.428
C14orf50	-0.7695
MRO	1.638
SLC25A15	-1.25125
FAM84B	2.0251
TDP1	-0.7555
C16orf78	0.319
C11orf57	-0.17175
RFK	-0.31025
ZFYVE9	0.37225
STCH	-0.6022
WIBG	0.3785
LOC283871	0.00416666666666666
GBA2	-0.2282
NDUFB3	-0.23625
HSD17B13	-0.2235
GRIN3A	1.58983333333333
FMNL1	-0.396666666666667
SEPT7	-0.4586
GNLY	3.9555
GRAMD1C	0.536166666666667
ZNF165	0.86225
USP38	0.9055
FAM83A	-3.19883333333333
C14orf24	0.966833333333333
ARMCX3	1.39825
ARHGDIB	0.500666666666667
AK1	0.0305
KIAA1045	-0.103333333333333
DNAJB13	0.347
NEU2	-0.1185
HIST1H4B	-0.716
FAM20B	-0.5952
HES2	1.07907142857143
FAM73B	-0.3782
LOC388381	0.9725
INTS7	1.06254545454545
AMPH	1.3695
ZNF775	-0.409
UCKL1	-0.498833333333333
C10orf97	-0.46725
C1orf161	0.42875
ALDH1L1	-1.2645
FLJ39378	0.169125
SLC23A1	-3.285
RBM4B	0.24075
THAP4	0.111666666666667
OGFRL1	0.1715
KIAA0831	0.142
PPP1R15A	-0.0486666666666667
C1orf96	0.240785714285714
C12orf11	-2.3325
BMF	1.089625
MAN1A1	-0.95875
KIAA1600	1.7955
NLGN4X	-0.27025
ALOX12	-1.1104
RB1CC1	0.5458
NEIL2	-0.5718
EIF4E	0.185909090909091
ABHD5	0.048
EXOC4	-1.21816666666667
CIP29	-0.0713333333333333
BATF2	1.675
SLC29A4	-0.814
HTR4	0.6185
EMB	-1.3905
TRAF6	0.77625
LMNB1	-0.523
FAM19A5	-0.289375
SHE	1.2685
PIK3C2B	2.66575
C15orf15	-0.5417
USP15	0.1747
TCEAL2	1.21125
C5orf39	0.138166666666667
PTGER2	-0.442
SLC31A1	-0.4428125
IFT172	0.15775
ADAM29	0.177
GFOD1	0.84575
ST7L	0.208333333333333
C15orf26	-3.33675
PKN3	-1.24475
CNTD1	2.9505
COMMD1	0.256625
NTRK2	1.95441666666667
FOXN3	0.068875
MFGE8	0.4964
PFKFB2	1.89466666666667
TAS2R4	-0.1865
ENTHD1	-0.000499999999999982
PRMT5	-0.167625
MGC16384	-0.6465
LOC442229	0.43975
TSKU	0.91425
KRTCAP3	1.3285
PDLIM1	0.8748
KCNS2	0.637
RNF126	-0.4785
CEP63	0.1505
CLIC4	-0.025375
hCG_1990170	-1.5955
ACR	0.5005
KLK7	1.336
ALOX5AP	3.401875
RIPK3	3.0675
TAS2R9	0.441
C19orf18	2.646
BIRC6	-0.152214285714286
ZNF16	1.7385
RFT1	-0.751
SLC8A2	-1.196
TACC1	0.2105
ITGAD	0.65225
SAMHD1	1.54975
SH3PXD2B	1.0127
EPC2	0.81175
C20orf85	0.162875
ATP13A2	0.436833333333333
KRT4	0.5165
CAPNS1	0.40425
MDM2	-0.558166666666667
PCDH20	0.409666666666667
KCNK9	0.8415
OR2C1	0.044
KLHDC3	-0.711666666666667
IPPK	1.5235
EFHD2	-0.38075
GALR3	0.591
NBEA	-0.3925
ABCA6	3.0018
CLDN3	0.161333333333333
AKT2	-0.347571428571429
EGFR	-2.1898
RBM16	0.426625
ZDHHC3	0.3907
SLC25A4	0.805833333333333
CYB5B	-0.871666666666667
CPXM1	-0.027
NDRG1	-0.994307692307692
FLJ43826	0.6955
OR5L2	0.3345
FARP2	0.6028
MRPL46	-0.236666666666667
LDHAL6B	0.378
MAPKAPK3	-0.7265
NCAM2	1.168
PRKD2	0.752166666666667
ZFP36L1	0.9898
CYSLTR1	0.279
OR4C3	0.3925
HIST1H2AJ	1.8125
CCNB2	-1.388
ZNF10	0.0035
TMEM175	0.585
FAM134A	0.8035
TIGD4	-0.9085
PCNP	0.013
MGC39715	0.097
LQK1	-0.92975
CREB1	0.9929
TMPRSS3	2.157
C4orf32	1.019
LAT	-1.42308333333333
KCNA3	0.3795
SKIV2L2	-0.43975
ROPN1B	-2.9075
tcag7.23	-1.345
CDT1	-2.04925
ZHX2	1.692625
CD28	-2.96725
ZNF624	0.08025
SEPT2	0.262166666666667
SOHLH2	-1.137
MCOLN3	0.20975
UNQ1945	0.59
MASP2	-0.9095
ZNRF3	0.7405
GPATCH3	0.1155
AGL	0.979
QRICH2	-0.02
PSD4	0.785
CCNB1IP1	-2.701
ENPP7	-0.11325
OBFC1	-0.1355
KCNG3	-2.57325
C14orf79	0.755166666666666
ENPEP	1.98883333333333
SCT	2.1185
SKI	0.83825
SEC61G	-0.6435
CAPN11	-0.3745
ATXN7L3	0.002
DBNDD1	0.614333333333333
FAIM	0.62175
ANKRD36	-0.7145
GABRP	0.703
TACSTD2	-1.04016666666667
EIF3J	-0.4005
PPP2R2A	-0.48125
TEKT4	-0.505666666666667
PVALB	-0.489333333333333
F10	-2.65866666666667
FAM134C	0.5365
COMP	4.21075
EFCBP1	-2.68066666666667
SCLT1	0.605875
TAL1	-1.481
ACSL1	2.05575
ABCC5	0.330083333333333
ABL1	-0.251111111111111
RBBP7	-0.0721666666666667
PTPRG	-1.161125
NCOR1	-0.4285
SPINK4	-2.4535
TXNRD1	-1.041
TNRC15	1.044125
C9orf138	0.388875
UBE2H	0.243333333333333
BRDT	0.9716
C8orf31	0.0185
CCNE2	0.295909090909091
SLC6A8	-1.817
CALCR	-4.19275
PPP1CB	0.44625
ABHD8	-0.29425
ARF5	-0.534
SLC24A4	0.54525
CCT3	0.0715
ZNF121	0.703875
SLC3A2	-0.0589
OR13A1	0.432
SLC5A10	-0.11075
RAD50	0.361875
IER5	0.44125
MTHFD1L	-2.0005
MBTPS2	0.347
MVK	0.1835
NCL	-0.2036
PSMD10	0.136
MOBP	0.593
FLJ32894	-0.366
HRH1	0.315666666666667
C5orf30	0.923
NUDT16L1	0.4204
RASGRP3	3.92216666666667
PRKRIP1	-1.0097
CCDC75	-0.23025
LOC253970	0.27225
KIAA1239	0.32325
MED21	-0.72925
SYT11	0.434
NTSR2	-0.7015
EGFL11	-0.518
CXorf59	0.912
OR2A25	0.239666666666667
SPTBN2	-2.08525
LRMP	-1.43483333333333
RNF111	0.13375
PTH	-0.958
LOC619208	-0.0665
KIAA0895	1.31475
RANBP5	-0.752
P2RY10	1.54016666666667
NME5	-0.4605
DDX21	-0.9535
LRSAM1	-0.223
HDAC11	0.243333333333333
VMO1	1.54625
NOLA2	-1.45633333333333
ADAR	1.42633333333333
MTO1	-0.659666666666667
SF4	0.351666666666667
P2RX1	0.0685
HBM	0.4535
EN2	1.101
C14orf172	0.26
TM9SF2	1.5948
INHBE	-1.3525
TCTE3	-0.28775
TOX2	-2.7675
CTAGE3	0.580375
HBB	3.008
MED15	0.0438333333333333
CASR	0.501
C6orf66	-1.07283333333333
MTPN	-0.72075
UNC50	-0.3135
C21orf33	-0.6235
IRF2	0.806
PGR	-2.1015
GPR84	2.79675
CROCCL1	-1.656
SRPX	-1.09225
BRE	0.175333333333333
FGF10	1.138
SDC3	0.427166666666667
ZRSR1	0.769333333333333
DKFZP434P211	-0.126
SOX6	0.881
RPUSD2	0.0725
C14orf173	0.399083333333333
MAPK11	-0.721666666666667
TBC1D22A	0.178
FAM123A	-1.159
COL4A6	-2.66916666666667
TOMM70A	0.113
NAB1	-0.094375
MGC16385	0.068875
TSPAN18	0.0288333333333333
MED31	-0.7825
PLG	-1.18925
CAPSL	0.5715
ZNF532	1.1307
ASB14	0.057
CA8	-3.35925
NUDT16P	1.35983333333333
SLFN11	-0.475
LRRIQ2	0.24425
NOL7	-0.088
BRMS1L	-0.746875
JARID1A	0.170666666666667
PANK2	-0.79075
ICAM3	-0.042
MDS1	0.2285
TAF8	-1.079
RNF139	1.33275
ZNF594	-0.327
ADAM8	2.448125
SFTPC	-0.275375
MAN2B2	1.70725
RGS12	0.5005625
EIF1AY	-5.03141666666667
LRRIQ1	0.622333333333333
GPR150	0.927
CCDC21	-0.7915
PRRG3	0.31375
SAA4	-3.8545
RAPGEF5	1.072
ZCCHC2	1.17666666666667
MGC39372	-0.8505
PPP4R2	0.115166666666667
CDCA2	-1.69766666666667
OR4D5	0.2735
PTGFRN	0.7426
SIGLEC5	2.84016666666667
C19orf61	-0.0113333333333333
NMUR2	0.2995
KIAA1586	-1.213
DAGLA	-0.212833333333333
CHCHD6	0.02275
GPR32	0.7155
NEUROD6	0.207666666666667
SLC2A4RG	-0.2501875
CA5B	0.6
FBXL3	1.11025
MPHOSPH9	-1.41925
HMG2L1	-0.22725
HCN4	0.648166666666667
CEACAM19	0.83225
SH2D4B	0.237666666666667
HFE2	-0.635
TGM4	-0.8382
LYPD2	0.038
TBC1D15	0.0755
MRPS21	-0.9243
NONO	-0.715
CLEC5A	2.584125
ITCH	-0.2873
MGAT3	-1.1945
MBP	-0.8775
RPP25	-0.36975
SOSTDC1	-1.10425
HRC	-1.95875
TRIM48	0.04
TMEM133	-0.383
ECEL1P2	-0.62875
HOXC11	-0.5885
DOK5	-0.0845
HELZ	0.298333333333333
LOC348180	-0.358
MGC33894	-0.153
ADRB3	0.443
DMD	-0.621333333333333
PTRH2	-0.56875
MPEG1	2.72483333333333
NDUFA12	0.00699999999999999
KRTAP2-4	0.284
STAMBPL1	-0.395166666666667
ADCY2	0.0415
UNQ6125	0.5305
KLHL20	0.0015
SRM	-0.78075
OTC	-0.69375
TMIE	-0.903166666666667
SNX8	-0.18075
LIPK	0.1285
CHURC1	0.765083333333333
KLC2	0.389
HDAC1	-2.6095
FAM128A	-0.295166666666667
FNDC3B	-0.1625
MTCP1	-0.644666666666667
WFDC10B	0.3657
PCDHGB3	0.4215
ATRNL1	-3.124
CAV2	-0.355875
MED26	0.3175
DUS1L	-0.771
CHRM3	-2.072625
NEK9	0.6685
WARS2	-1.004
TBX22	1.136
TOMM40	-0.736
RP6-213H19.1	-0.721666666666667
TUBGCP5	-0.13775
IGSF6	4.87775
TPPP	1.9055
UNQ6190	0.218
GSTM5	0.523375
BTD	0.612333333333333
PDCD1LG2	1.27
SNRPB2	-0.263166666666667
ERICH1	-0.883625
APOA4	-1.936625
HOXA11	-1.44975
NARG1	-0.228375
MKX	-0.60075
RAB28	-0.112428571428571
PKP3	2.11875
SH3GL2	-0.85025
CTSO	3.41525
RPN2	0.252375
IL28RA	-0.0303333333333334
SFMBT1	-0.798
WDR57	-0.580875
FER1L3	1.00166666666667
HSF5	0.4015
TTC9B	0.12
C4BPA	-4.19633333333333
ALB	-4.25292307692308
SORBS3	-0.31725
UPF2	-0.494
JPH1	0.9785
AGBL2	0.2445
DOPEY1	1.092
TERF1	0.227
KIF22	-0.699833333333333
NINJ1	2.307
SEC61A2	-0.735083333333333
HIST1H1D	1.07233333333333
SFXN4	0.2315
UCP3	1.1995
ZNF703	0.7885
MYL6B	-1.79425
TREM1	2.365
OR52E6	0.166
CKMT2	0.65075
HLA-C	2.646
SLC13A3	-2.16566666666667
TIMP4	-1.42
SLIT2	1.55325
RSF1	1.51094444444444
LONRF1	-1.43592857142857
MON1A	0.253
CACNG6	-0.745833333333333
DPPA4	-4.9955
ZSWIM3	-0.1225
ZNF804A	0.750166666666667
CCIN	1.358
SLC25A31	0.108333333333333
KCNMB4	-0.77425
RABL5	0.079375
GALNS	-0.5957
STX6	0.09125
HIST1H1C	1.33083333333333
CIDEB	1.195125
CASP4	0.228666666666667
PDK3	-0.7886
KCNJ11	1.8945
TPR	-0.9375
ZSCAN20	-1.073
MTX2	-0.0125
HIST1H2BH	1.0025
LOC283767	1.3905
LYRM7	-1.35111111111111
BRD3	0.789
HIST1H2BO	0.54075
MAGEB10	-0.032
SLC45A1	1.1385
SERPINA3	-0.20395
KIAA0143	1.544
KCNJ16	0.0325
KRT79	0.67375
FABP2	-1.0905
NUT	0.24725
ZNF57	0.1135
FBXL4	0.060625
CLEC9A	0.427
UGT8	-1.3955
BMP2K	0.81525
MAPK4	-3.43025
SLC25A23	-0.5421
HINT1	-0.2603
KRTAP13-1	-0.1405
SFXN5	-0.3526
CHCHD2	-0.691833333333333
FAM3D	0.4895
NDP	-3.227875
RHOBTB1	0.126166666666667
SLC4A4	-1.45714285714286
RPL38	-1.4915
HTF9C	-1.06283333333333
AP2A2	0.737875
ZBTB46	-0.8395
MAP7D1	0.572625
AOX1	-1.19883333333333
CYR61	0.16825
DTNA	1.12714285714286
JRKL	-0.762
TMOD3	-0.165
EEA1	-0.0878
ADCK5	-0.07275
IL1R1	1.22833333333333
KLK3	0.685785714285714
HRSP12	-0.76475
KTN1	0.42025
LOH11CR2A	0.3626
RELL2	-1.48025
MAB21L1	0.9545
C20orf59	-1.04816666666667
PHKB	-0.201
ADAM2	-2.9345
TBC1D8B	1.9145
FAM13A1	-1.824125
LAPTM4B	2.80325
LCN8	0.078
TMEM147	0.8035
SYT4	0.333666666666667
XPO7	-0.677
C9orf62	1.11025
GPR75	0.492
TRIM5	0.4485
APOC1	0.640833333333333
RNASE4	-0.7165
PARD6B	-1.615875
ARID1A	0.719916666666667
TPD52L3	-0.0321111111111111
RRAGB	0.464
RCN2	-1.01516666666667
HIST2H2BE	1.5165625
STARD7	0.0615
SHMT2	-1.2975
KIAA1751	-0.1995
MLYCD	0.349875
LOC162632	0.3138
UQCRH	-1.1625
RP11-217H1.1	0.9354375
SDHA	-0.726833333333333
NCLN	-0.0284
ZNF17	0.905333333333333
RCBTB2	-1.3155
VEGFB	-0.2787
RP4-747L4.3	0.08175
COLQ	0.69
MPN2	-1.5395
DRG2	-0.9795
KLRB1	4.06525
ALPK2	-1.30025
DNASE2B	2.45275
FLJ23834	0.266166666666667
AXUD1	1.80516666666667
SAFB	-0.1107
NSUN4	-0.675
RFX2	0.9525
MAPK8IP1	0.136333333333333
FANCD2	-1.00821428571429
ANKZF1	-1.29983333333333
C19orf50	-0.1905
DUSP8	2.427375
SENP5	-0.0765
NFKBIL2	0.079
LBR	-1.892875
IGFL1	1.3865
LZTS2	0.071875
IL2RG	0.067875
CCDC51	-0.30125
KLF3	0.307125
ANKRD37	-0.23475
KCTD14	-0.837166666666667
FZR1	0.374083333333333
SLC44A4	-1.3372
ESPL1	-0.698625
GMPR2	-0.3198
TBC1D19	-0.363833333333333
ERGIC1	1.11451851851852
ERBB4	0.9983
TSPAN32	0.121916666666667
MAP4	0.707875
GPHN	0.01075
SLC6A2	0.016
HIVEP1	1.598
DFFB	-0.4612
EIF4EBP2	0.342
DMRT1	-0.7725
HSPB6	0.04925
IER2	0.639666666666667
AIFM1	-0.30975
WWC2	0.81725
MRPL4	-0.56825
FLJ21062	-1.1
EPB41L4A	1.60266666666667
SH2D6	0.29725
TAF4B	-1.22725
GAL3ST3	-0.328
MALT1	-0.637666666666667
RTDR1	0.2775
ARVCF	-1.038
MEX3B	-0.215166666666667
FBXO16	0.4135
KIF7	-0.81675
C1QC	3.72966666666667
ZNF783	-0.6895
ZNF85	0.37925
MMP13	5.786
KIAA0329	-0.00699999999999996
RTP3	-1.306
ZBED3	-1.30725
CLGN	-2.46725
SLC25A37	-1.66004166666667
hCG_18290	-0.94275
OR5AS1	0.6705
SMARCC2	0.247833333333333
FAM109A	0.661
CCDC12	-0.44275
USF2	0.29
DEPDC7	-1.81875
C20orf24	-0.609666666666667
JMJD3	0.7865
DSP	1.39221428571429
SLIC1	0.74225
FAM20A	1.448625
IRF2BP2	0.44125
ZNF230	0.489
MSN	-0.613571428571429
SLC9A5	-1.79
EPDR1	-0.8795
MUSK	-0.149666666666667
ZNF434	-0.201
SMARCD1	-0.465666666666667
ZFP106	-0.13725
