Hybridization REF	TCGA-A1-A0SJ-01A-11R-A084-07
PFKFB2	0.000999999999999982
TAS2R4	-0.14025
ENTHD1	0.713333333333333
PRMT5	-0.533375
MGC16384	-2.063625
LOC442229	-1.0595
TSKU	0.489375
KRTCAP3	3.211125
PDLIM1	0.7508
KCNS2	0.70575
RNF126	-0.892
CEP63	-0.73
CLIC4	0.477625
hCG_1990170	0.516
ACR	0.729
KLK7	3.649
ALOX5AP	2.966125
RIPK3	1.89925
TAS2R9	0.296
C19orf18	2.8905
BIRC6	0.26
ZNF16	1.412
RFT1	-0.3855
SLC8A2	-0.5165
TACC1	1.669
ITGAD	0.675
SAMHD1	1.6855
SH3PXD2B	1.2595
EPC2	0.85525
C20orf85	0.089625
ATP13A2	-0.2815
KRT4	0.450875
CAPNS1	0.32075
MDM2	2.326
PCDH20	3.4625
KCNK9	0.937
OR2C1	-0.171
KLHDC3	-1.31816666666667
IPPK	0.393
EFHD2	-0.477625
GALR3	0.9435
NBEA	1.60366666666667
ABCA6	3.5469
CLDN3	3.19566666666667
AKT2	-0.310428571428571
EGFR	-0.9467
RBM16	0.628625
ZDHHC3	0.215
SLC25A4	0.387333333333333
CYB5B	-0.0361666666666667
CPXM1	0.066
NDRG1	-0.362923076923077
FLJ43826	0.17175
OR5L2	0.265833333333333
FARP2	0.378
MRPL46	-0.704333333333333
LDHAL6B	0.450166666666667
MAPKAPK3	-0.921833333333333
NCAM2	-1.38625
PRKD2	0.334
ZFP36L1	0.4805
CYSLTR1	-0.99625
OR4C3	-0.15475
HIST1H2AJ	1.8845
CCNB2	-1.66866666666667
ZNF10	-0.589875
TMEM175	0.515
FAM134A	0.7635
TIGD4	0.227
PCNP	-0.8685
MGC39715	-0.31525
LQK1	-1.021
CREB1	0.9843
TMPRSS3	-2.2975
C4orf32	1.407625
LAT	-2.2425
KCNA3	0.3755
SKIV2L2	-0.65775
ROPN1B	-2.4825
tcag7.23	-0.594
CDT1	-2.21075
ZHX2	1.031
CD28	-3.668
ZNF624	1.49225
SEPT2	0.00574999999999997
SOHLH2	-2.41757142857143
MCOLN3	1.531
UNQ1945	0.423
MASP2	-1.0225
ZNRF3	0.00310000000000004
GPATCH3	-0.087
AGL	0.477875
QRICH2	-0.4865
PSD4	1.13033333333333
CCNB1IP1	-2.0325
ENPP7	0.1245
OBFC1	-0.3945
KCNG3	-2.086
C14orf79	0.82475
ENPEP	1.78983333333333
SCT	0.378
SKI	0.757125
SEC61G	-0.80775
CAPN11	0.53325
ATXN7L3	-0.3065
DBNDD1	0.874
FAIM	0.08525
ANKRD36	-1.0605
GABRP	2.82866666666667
TACSTD2	2.39983333333333
EIF3J	-0.55675
PPP2R2A	-0.089
TEKT4	-0.495833333333333
PVALB	-3.77833333333333
F10	-2.282
FAM134C	0.7368
COMP	4.57275
EFCBP1	-2.0126875
SCLT1	0.5045
TAL1	-0.9228
ACSL1	2.4115
ABCC5	-0.724083333333333
ABL1	-0.922666666666667
RBBP7	0.983083333333333
PTPRG	-0.475875
NCOR1	-0.7061
SPINK4	-1.35516666666667
TXNRD1	-0.5899
TNRC15	0.839125
C9orf138	0.93825
UBE2H	1.12483333333333
BRDT	2.786
C8orf31	-0.145
CCNE2	-1.07090909090909
SLC6A8	-1.802875
CALCR	-3.99975
PPP1CB	1.10108333333333
ABHD8	-0.2445
ARF5	0.3351
SLC24A4	0.38925
CCT3	-0.3885
ZNF121	0.179375
SLC3A2	0.4626
OR13A1	0.288
SLC5A10	0.58575
RAD50	-0.20725
IER5	0.803125
MTHFD1L	-2.05825
MBTPS2	-0.135
MVK	-0.832
NCL	-0.2685
PSMD10	0.45875
MOBP	0.0105
FLJ32894	-0.3735
HRH1	-1.24366666666667
C5orf30	2.15225
NUDT16L1	1.1019
RASGRP3	2.94033333333333
PRKRIP1	-0.8292
CCDC75	0.06325
LOC253970	0.151
KIAA1239	1.0135
MED21	-0.3195
SYT11	0.438666666666667
NTSR2	0.0385
EGFL11	-0.6205
CXorf59	-1.039
OR2A25	0.3375
SPTBN2	-0.574
LRMP	-1.30466666666667
RNF111	-0.11425
PTH	-0.29
LOC619208	0.189166666666667
KIAA0895	1.19275
RANBP5	-1.328625
P2RY10	0.999833333333333
NME5	0.850166666666667
DDX21	-1.2805
LRSAM1	-0.633
HDAC11	1.39416666666667
VMO1	0.98875
NOLA2	0.0916666666666667
ADAR	0.0745
MTO1	-0.717333333333333
SF4	-0.340166666666667
P2RX1	-0.259333333333333
HBM	0.799
EN2	0.7805
C14orf172	-0.169
TM9SF2	0.8438
INHBE	-1.147
TCTE3	0.242333333333333
TOX2	-1.87925
CTAGE3	0.39425
HBB	4.7686
MED15	-0.2465
CASR	0.23725
C6orf66	-0.558333333333333
MTPN	-0.571625
UNC50	-0.211
C21orf33	0.649
IRF2	1.243875
PGR	2.32083333333333
GPR84	0.59125
CROCCL1	-1.7
SRPX	0.03125
BRE	0.252
FGF10	1.921
SDC3	0.620666666666667
ZRSR1	0.4095
DKFZP434P211	-0.5035
SOX6	-1.988
RPUSD2	-0.0815
C14orf173	0.0635833333333333
MAPK11	-0.501166666666667
TBC1D22A	-0.447
FAM123A	3.6385
COL4A6	-1.63683333333333
TOMM70A	0.228
NAB1	-0.2115
MGC16385	0.659625
TSPAN18	-1.18866666666667
MED31	-0.60025
PLG	-0.0765
CAPSL	0.742
ZNF532	0.0713
ASB14	-0.1605
CA8	0.622
NUDT16P	2.5135
SLFN11	-1.4615
LRRIQ2	-0.73425
NOL7	-0.4935
BRMS1L	-0.289125
JARID1A	1.22716666666667
PANK2	-0.5455
ICAM3	-0.75125
MDS1	-0.74525
TAF8	-0.67175
RNF139	0.916
ZNF594	-0.228666666666667
ADAM8	0.318125
SFTPC	-0.4575
MAN2B2	1.45475
RGS12	0.6625625
EIF1AY	-4.5025
LRRIQ1	-1.4325
GPR150	0.88025
CCDC21	-0.406166666666667
PRRG3	0.413
SAA4	-1.77325
RAPGEF5	1.429125
ZCCHC2	-0.0791666666666666
MGC39372	1.4815
PPP4R2	0.3475
CDCA2	-1.3845
OR4D5	0.494
PTGFRN	0.2597
SIGLEC5	-0.187
C19orf61	-0.355166666666667
NMUR2	0.18
KIAA1586	-0.896333333333333
DAGLA	1.48183333333333
CHCHD6	-0.6555
GPR32	0.5135
NEUROD6	0.2566
SLC2A4RG	2.21875
CA5B	0.8835
FBXL3	1.893
MPHOSPH9	-1.94375
HMG2L1	-0.35575
HCN4	0.893166666666667
CEACAM19	-0.78225
SH2D4B	0.227666666666667
HFE2	-0.8855
TGM4	-0.0961999999999999
LYPD2	-0.032
TBC1D15	2.06575
MRPS21	-0.3966
NONO	-0.913
CLEC5A	1.6045
ITCH	0.4747
MGAT3	-0.993833333333333
MBP	0.442125
RPP25	-2.1715
SOSTDC1	0.873
HRC	-1.193
TRIM48	0.832
TMEM133	-0.008
ECEL1P2	-1.275
HOXC11	-0.8055
DOK5	-1.24475
HELZ	0.756666666666666
LOC348180	-0.93025
MGC33894	0.12775
ADRB3	0.1395
DMD	0.0554166666666667
PTRH2	-0.62125
MPEG1	2.31433333333333
NDUFA12	-0.619166666666667
KRTAP2-4	-0.109
STAMBPL1	-2.15716666666667
ADCY2	-0.265
UNQ6125	0.5935
KLHL20	0.402
SRM	-1.56375
OTC	0.12875
TMIE	0.119666666666667
SNX8	0.68675
LIPK	-0.299
CHURC1	0.669666666666667
KLC2	0.231
HDAC1	0.2525
FAM128A	-0.1895
FNDC3B	-0.8201
MTCP1	-0.00183333333333333
WFDC10B	-0.4159
PCDHGB3	0.8485
ATRNL1	0.3679
CAV2	0.42375
MED26	0.0613333333333333
DUS1L	0.0245
CHRM3	-1.607625
NEK9	0.908
WARS2	-1.20425
TBX22	0.346
TOMM40	-0.33825
RP6-213H19.1	-1.144
TUBGCP5	0.073
IGSF6	3.92
TPPP	1.44883333333333
UNQ6190	0.076
GSTM5	2.000625
BTD	0.302833333333333
PDCD1LG2	0.222166666666667
SNRPB2	-0.00133333333333333
ERICH1	0.49775
APOA4	-1.6175
HOXA11	-1.7375
NARG1	0.133125
MKX	-0.521
RAB28	-0.0467857142857143
PKP3	1.108
SH3GL2	-2.55175
CTSO	3.55375
RPN2	2.092875
IL28RA	-0.2495
SFMBT1	0.109
WDR57	0.087625
FER1L3	1.28658333333333
HSF5	0.0491666666666667
TTC9B	0.55125
C4BPA	-3.4435
ALB	-4.2475
SORBS3	0.77
UPF2	0.387
JPH1	0.37
AGBL2	0.64025
DOPEY1	1.401
TERF1	0.356083333333333
KIF22	-0.78
NINJ1	1.1035
SEC61A2	0.104333333333333
HIST1H1D	-0.162
SFXN4	-0.974875
UCP3	-0.0734
ZNF703	1.70466666666667
MYL6B	-1.27825
TREM1	2.2215
OR52E6	0.3495
CKMT2	2.705
HLA-C	1.62575
SLC13A3	-2.61016666666667
TIMP4	0.811
SLIT2	2.78
RSF1	1.99338888888889
LONRF1	0.553642857142857
MON1A	-0.8705
CACNG6	1.45383333333333
DPPA4	-5.04
ZSWIM3	0.44425
ZNF804A	0.0388333333333334
CCIN	0.9825
SLC25A31	0.31175
KCNMB4	4.16675
RABL5	0.19
GALNS	0.2699
STX6	0.84625
HIST1H1C	-1.43766666666667
CIDEB	-0.654875
CASP4	-0.577333333333333
PDK3	-0.4662
KCNJ11	1.3935
TPR	-0.365625
ZSCAN20	-0.999
MTX2	-0.65225
HIST1H2BH	-0.7885
LOC283767	-0.023
LYRM7	-0.937055555555555
BRD3	-0.581833333333333
HIST1H2BO	-1.10375
MAGEB10	0.57
SLC45A1	2.6795
SERPINA3	3.72145
KIAA0143	1.93875
KCNJ16	0.803
KRT79	0.25475
FABP2	-0.94475
NUT	-0.64125
ZNF57	-0.09575
FBXL4	0.717875
CLEC9A	1.166
UGT8	-0.8895
BMP2K	0.1095
MAPK4	-3.19425
SLC25A23	-0.8179
HINT1	-0.2053
KRTAP13-1	0.498
SFXN5	0.0036
CHCHD2	0.70625
FAM3D	-0.036
NDP	-2.6745
RHOBTB1	-0.3635
SLC4A4	0.52775
RPL38	0.892
HTF9C	-1.1225
AP2A2	0.423375
ZBTB46	1.553
MAP7D1	-0.3625
AOX1	0.747333333333333
CYR61	1.3775
DTNA	0.438
JRKL	0.16125
TMOD3	0.46625
EEA1	-0.0785
ADCK5	-0.15775
IL1R1	1.87733333333333
KLK3	0.550142857142857
HRSP12	0.603
KTN1	0.2775
LOH11CR2A	0.328
RELL2	-0.95625
MAB21L1	2.466
C20orf59	-0.5595
PHKB	0.10375
ADAM2	-1.80166666666667
TBC1D8B	0.198666666666667
FAM13A1	-0.696
LAPTM4B	0.419666666666667
LCN8	-0.272
TMEM147	0.7815
SYT4	-0.0441666666666667
XPO7	-0.497
C9orf62	0.76
GPR75	-0.034
TRIM5	0.429125
APOC1	-0.958166666666667
RNASE4	0.602833333333333
PARD6B	-0.507625
ARID1A	0.463583333333333
TPD52L3	0.0203333333333333
RRAGB	1.03966666666667
RCN2	0.0533333333333333
HIST2H2BE	-1.0245
STARD7	-0.378
SHMT2	-1.8625
KIAA1751	-0.380833333333333
MLYCD	1.17725
LOC162632	-0.2008
UQCRH	-1.347
RP11-217H1.1	0.907625
SDHA	-0.953833333333333
NCLN	-1.1931
ZNF17	0.847833333333333
RCBTB2	-2.123
VEGFB	-0.7369
RP4-747L4.3	0.3715
COLQ	0.0262
MPN2	-0.6975
DRG2	-0.48225
KLRB1	5.8475
ALPK2	-3.5865
DNASE2B	1.617
FLJ23834	-0.411
AXUD1	1.64933333333333
SAFB	-0.1953
NSUN4	-0.5675
RFX2	0.625166666666667
MAPK8IP1	-0.00916666666666667
FANCD2	-1.24342857142857
ANKZF1	-1.691
C19orf50	-0.75225
DUSP8	-0.069
SENP5	-0.75175
NFKBIL2	-0.88825
LBR	-1.23675
IGFL1	2.169
LZTS2	-0.657125
IL2RG	-0.8175
CCDC51	-0.16575
KLF3	0.314
ANKRD37	-2.01725
KCTD14	0.104833333333333
FZR1	-0.38075
SLC44A4	3.7683
ESPL1	-0.710625
GMPR2	-0.5331
TBC1D19	-0.901
ERGIC1	0.547481481481481
ERBB4	1.9906
TSPAN32	-0.1325
MAP4	0.001125
GPHN	0.1885
SLC6A2	0.119625
HIVEP1	0.46075
DFFB	-0.7165
EIF4EBP2	0.035
DMRT1	-0.23725
HSPB6	0.67125
IER2	-0.1985
AIFM1	-0.01775
WWC2	0.449
MRPL4	-1.113
FLJ21062	-0.105833333333333
EPB41L4A	0.339416666666667
SH2D6	0.28425
TAF4B	-0.1385
GAL3ST3	-0.1415
MALT1	-0.9165
RTDR1	1.34625
ARVCF	-0.42025
MEX3B	-0.782166666666667
FBXO16	1.5055
KIF7	-1.02275
C1QC	3.7395
ZNF783	-0.515
ZNF85	0.67875
MMP13	5.1975
KIAA0329	0.626
RTP3	0.029
ZBED3	-0.48125
CLGN	0.407
SLC25A37	-1.308875
hCG_18290	-0.3565
OR5AS1	0.9745
SMARCC2	0.272666666666667
FAM109A	-0.1195
CCDC12	-0.3495
USF2	0.4389
DEPDC7	-2.981
C20orf24	0.936666666666667
JMJD3	-0.025
DSP	1.61285714285714
SLIC1	0.178
FAM20A	0.05225
IRF2BP2	1.473375
ZNF230	0.6805
MSN	-0.576
SLC9A5	-2.0635
EPDR1	-1.2013
MUSK	0.4195
ZNF434	0.455666666666667
SMARCD1	-0.958166666666667
ZFP106	-0.37525
ZNF347	0.71
GTF2E1	0.0155
