Hybridization REF	TCGA-AN-A03Y-01A-21R-A00Z-07
C11orf73	-1.01625
PTP4A2	0.6365
OR4M2	0.9055
HPCA	-1.44466666666667
SEC14L1	-1.2435
CHFR	0.12425
EMILIN1	-0.159
NDUFS4	0.62775
COL18A1	-0.69375
PDZD3	-0.2587
C9orf16	-1.16066666666667
ERBB2IP	0.841666666666667
EMX2	2.775
FUS	-0.16275
TF	-4.0943
CLCN4	-0.192166666666667
CXorf56	1.066
C11orf72	0.366
ELAC2	-0.131166666666667
NPR1	-1.65175
ASS1	-0.059
USP42	-0.163875
POLR2J	-0.6045
SEC23IP	1.20016666666667
UQCRC1	0.6775
LOC729603	0.48775
C1orf71	1.326875
POLG	-1.2125
ADAM23	-4.02775
TFR2	-1.95375
RICTOR	-0.0654999999999999
MGC39606	0.75525
C19orf55	0.635
SNAPC1	-1.58333333333333
GNA11	1.4245
CCDC52	1.31066666666667
FSIP1	2.59
UPF3A	0.346625
IGSF11	-2.0835
LAGE3	0.68625
CHST6	-3.5235
UNC13B	0.194125
TTLL4	-0.70025
ZNF687	0.0185
SDC2	-0.2503
COX7A2	0.1295
LAMB4	-0.39475
FAM24A	-0.2565
LRRTM3	-1.3832
GPHB5	0.0925
OR4C13	1.0675
EIF3EIP	0.0292857142857143
HABP4	-1.2995
TMEM125	3.597
CNTN2	-0.354125
ASNSD1	-0.84425
FUT4	-0.19175
ACF	-4.34575
LOC158381	1.178
CDH8	-0.241333333333333
AGPS	-2.77766666666667
C4orf18	3.32175
PECI	-0.423833333333333
UNG	0.421375
GSTP1	-3.177
DCUN1D5	-1.168
DKFZP564J0863	-1.73475
SLC9A3R1	0.46025
BCDO2	0.37725
CHMP7	0.195375
REM2	-0.1775
DNHD1	-0.9725
FKBP4	1.154
ZNF350	2.35275
MGC11102	0.15575
BST1	0.75775
KISS1R	-0.6185
NCR2	-0.7175
DEFB125	0.253
UBE2W	2.225625
KRT15	-2.24725
C10orf99	0.2625
SCN11A	0.1355
GFI1	-1.757
RDHE2	1.2095
FHL1	-1.1705
OSGEP	-0.164666666666667
GATA1	-3.9255
SMC6	-1.26425
TTTY14	-1.60375
LPIN3	0.761
RPL4	0.153
RBPMS	0.6408
PRPF3	-0.0483333333333333
EMR1	-2.485
SPATA19	0.3845
XCR1	0.116
IRX3	2.1611
RBM6	0.7785
KLF4	-1.1809
UNC5CL	2.3135
SEBOX	0.4925
BTK	-0.43975
KRCC1	-0.96675
C6orf27	0.131
SYTL5	-1.6745
PRND	1.512375
LOC653319	-1.755
PIGL	-0.729375
HUS1	-0.5805
SFRS6	1.05766666666667
C17orf77	-0.0600000000000001
UIMC1	-0.195833333333333
FXYD2	-2.2885
LOC283152	0.11
ZNF667	-1.53125
ZCCHC12	-1.071
TFEC	2.7768
ATP7B	0.017
POLD2	-0.21
RG9MTD1	0.584
ACOT2	-0.0568333333333333
HIST1H4I	-1.8915
PPARGC1A	-3.3014
ETFA	-1.4022
POLRMT	0.237
ZNF146	1.13425
MIA2	-1.8555
KLHL6	-0.423166666666667
HOXB5	-1.6275
NENF	0.180833333333333
CUGBP1	0.353
PRSS22	-0.449
CASC4	0.9188
CUL4B	0.1317
CENPJ	-0.3754
PITX1	2.26433333333333
FLJ31033	0.403
CELSR3	-1.67183333333333
ZNF568	0.65525
ITSN1	-0.175833333333333
EHBP1L1	-1.24433333333333
C19orf2	0.6435
DCTN1	-0.3475
LIN28B	-3.76516666666667
TNKS2	0.54025
C1QBP	0.132625
CADPS2	1.89225
SRMS	0.79225
GJA9	0.3875
MGC24975	0.150333333333333
TRIM45	0.789
TSP50	0.18675
TCP1	-0.516
TMED7	0.7248
CMA1	0.602
CENPL	0.961
PTCRA	-0.724
FST	-4.04125
VWCE	-4.33525
PAWR	0.31825
ABCC12	0.4072
LDLR	-1.4791
ASTN2	-0.2892
LOC441212	-1.20425
GPATCH8	0.197
TANC2	-1.23166666666667
KIF4A	-1.0355
C18orf18	-2.822
PGM1	-1.69025
KIAA0258	-0.29325
CPD	0.173375
SNCAIP	-1.88225
DCT	-4.506
HLA-DOA	3.19833333333333
OR11L1	0.397
UPK1B	-1.01366666666667
DNAJB4	-0.998875
UGT1A8	-0.68475
HIST1H4L	-1.004
PECR	-1.36033333333333
HSPA2	0.899
WFIKKN1	-2.0615
SERP1	2.09525
SYDE2	2.21425
TACR2	0.141
NUP85	-0.7055
CD177	1.2925
LGR5	-1.95666666666667
PIGG	-0.57
PTHR1	-2.17933333333333
RAB5A	1.1938
FLJ13224	0.0805
USP9Y	-1.8212
C7orf53	0.2815
LRP1B	-1.5325
XAF1	1.5199
ABCG8	-0.379
ANKDD1A	-0.310166666666667
DAND5	-0.5405
SPAG6	0.982666666666667
LINCR	-0.07675
ZDHHC22	-2.289375
CCDC60	0.066
THOC7	-0.184666666666667
TCTA	0.5883
OR8K3	0.49675
NY-REN-7	-1.06325
B2M	0.714333333333333
C6orf141	-3.411375
LPPR4	1.256
SQLE	0.356
SEPHS1	-0.51625
BTBD14B	0.0481428571428571
PLRG1	-0.1375
SPG7	-0.7394375
ZNF614	0.628333333333333
PARD6G	-0.580666666666667
INPP5B	0.109333333333333
GRPEL2	0.463875
PPID	-0.4454
TRIM56	-0.5075
UBE2J1	0.761625
IL20RA	2.99675
LOC387856	-0.035
C1orf107	2.6975
UTS2R	-0.507
C19orf22	0.6485
SAFB2	0.496375
KIAA0652	0.637
KLRG1	-0.709833333333333
MS4A8B	0.0025
FRAG1	0.294
KIAA1546	0.389
E2F4	-0.7662
CLEC4M	-0.0401666666666667
BTBD14A	-2.38775
KIAA0999	-0.1491
GYPA	-4.319
TAC1	-0.2028
TRAIP	-0.638833333333333
KIAA0232	0.9394
ERCC8	-0.071
GPX4	0.837
KIAA0368	-0.2945
GPR157	-0.1205
CTAGE4	1.561
C9orf30	-1.62366666666667
OR52A1	0.012
HSP90B3P	1.737
ALG9	-0.7339
BTBD10	0.41775
SDK2	-0.0405
BAIAP3	0.32925
RABGGTB	-0.213125
ANKRD40	0.0791666666666667
KRT74	1.016
CALCOCO2	0.5955
SNCA	-2.9915
TMSL8	-2.337125
C2orf53	1.493
ESRRB	-0.55925
ARHGAP26	-1.349625
TDRD9	-2.76725
HRAS	-0.317333333333333
KLRC4	-2.181
JAGN1	-0.602666666666667
BSDC1	-0.0575
RNF43	-0.2652
NDUFAF1	0.19825
PHF12	0.6915
OR1L3	0.11425
FOLR2	1.46458333333333
LYZL6	-0.0808333333333333
tcag7.1260	-2.11
WSB1	-1.85433333333333
PROS1	-2.0232
OSTN	-0.04
PSMB8	-0.47925
SOCS4	0.169125
DDIT4L	0.99525
MAS1	0.23
MGC34796	0.70125
CSHL1	0.0433333333333333
TBCCD1	0.753166666666667
ZBTB7C	0.1845
AP2S1	-1.151375
P15RS	1.2337
VAT1	-1.2869
SHANK3	0.497666666666667
TUFM	-0.0128333333333333
THEG	1.1995
KRT34	-2.41
SGSM3	-0.040625
TOMM22	0.4485
SOCS3	-0.149833333333333
CPO	1.2765
POP4	1.003
BHLHB3	4.06425
MALL	0.83175
OR1B1	0.271
PARK2	1.33883333333333
GPR124	0.168375
LCE1E	-0.8955
RUVBL2	0.508
CGRRF1	0.3878
ACPL2	1.1295
WNT10B	-1.7905
BAIAP2L2	-2.409625
ISCA1	0.3855
C1orf125	-0.175625
RPAP1	-0.67625
RAI16	-0.438
RPL27	-0.95575
NLRP9	1.085
EPN1	0.48
LOC388610	-2.190375
SLC35A1	1.3474
GAL	-4.52075
SLC14A2	0.02375
RDH11	-0.929333333333333
FAM138F	-0.2385
AUH	0.204
FLJ40243	-0.14325
C14orf129	0.189166666666667
MBD2	0.0828333333333334
ABHD14B	0.670875
PIGT	0.07625
ALS2CR4	-0.892
ALAS1	0.0212
FOXO1	1.1735
CRLF3	-0.590125
C20orf107	0.286
FARS2	0.84025
CCDC28A	1.42525
NPHP3	-0.2025
OR13F1	0.5515
TSEN54	-0.27725
DEFB106B	-0.2801
OR8B4	0.1575
STH	2.76675
ZC3H14	-0.295625
CBX2	-0.2995
TMEM49	-0.717
C6orf21	0.3315
FLJ20920	-0.427625
CRTAP	-0.243214285714286
DDX50	-0.03925
STYXL1	-1.22575
BLVRB	-0.458
LOC147650	0.661666666666667
MMP24	-0.06825
GRID1	0.843
BANF1	0.134333333333333
CTAGEP	0.79825
HMBS	-2.80125
SLC25A24	-0.167166666666667
C14orf50	-1.776
MRO	1.68083333333333
SLC25A15	0.2275
FAM84B	3.3504
TDP1	-0.8355
C16orf78	0.0878333333333333
C11orf57	-0.007375
RFK	-0.74925
ZFYVE9	-0.711625
STCH	0.3552
WIBG	0.57725
LOC283871	-0.0438333333333333
GBA2	-0.092
NDUFB3	-1.48025
HSD17B13	-0.817
GRIN3A	1.1955
FMNL1	-0.8065
SEPT7	-0.442
GNLY	3.0305
GRAMD1C	0.484166666666667
ZNF165	1.58975
USP38	0.86
FAM83A	-3.8635
C14orf24	0.744
ARMCX3	1.654125
ARHGDIB	0.492
AK1	-0.465
KIAA1045	-0.72
DNAJB13	1.298
NEU2	1.105
HIST1H4B	-1.978
FAM20B	0.6665
HES2	-0.690357142857143
FAM73B	-0.000699999999999995
LOC388381	-0.5325
INTS7	0.778545454545455
AMPH	0.866
ZNF775	-0.861
UCKL1	-0.299333333333333
C10orf97	0.3375
C1orf161	-0.3695
ALDH1L1	-1.3845
FLJ39378	-0.756125
SLC23A1	-1.924
RBM4B	0.578
THAP4	-0.1635
OGFRL1	-0.65925
KIAA0831	0.198125
PPP1R15A	-0.5545
C1orf96	1.14007142857143
C12orf11	-0.7205
BMF	0.62775
MAN1A1	-2.025375
KIAA1600	0.931333333333333
NLGN4X	0.45625
ALOX12	-1.6735
RB1CC1	1.9329
NEIL2	1.0591
EIF4E	0.600238095238095
ABHD5	0.354
EXOC4	-0.044
CIP29	-0.624333333333333
BATF2	-0.322
SLC29A4	-1.361125
HTR4	0.57575
EMB	-0.847
TRAF6	0.46575
LMNB1	-3.10075
FAM19A5	0.55575
SHE	2.0025
PIK3C2B	0.822
C15orf15	0.0936
USP15	-0.0302
TCEAL2	0.28
C5orf39	-1.48683333333333
PTGER2	-1.413
SLC31A1	0.00362499999999999
IFT172	-0.76275
ADAM29	0.61675
GFOD1	0.14675
ST7L	0.355666666666667
C15orf26	-3.14325
PKN3	-1.71525
CNTD1	4.08183333333333
COMMD1	-0.81425
NTRK2	2.41425
FOXN3	0.052125
MFGE8	-1.1106
PFKFB2	1.11666666666667
TAS2R4	0.266
ENTHD1	0.3935
PRMT5	0.139625
MGC16384	-0.42025
LOC442229	-1.32975
TSKU	2.894375
KRTCAP3	1.5565
PDLIM1	-0.4743
KCNS2	0.409
RNF126	-0.649666666666667
CEP63	0.22925
CLIC4	0.118125
hCG_1990170	-1.4665
ACR	-0.135
KLK7	-0.889
ALOX5AP	2.772
RIPK3	3.26675
TAS2R9	0.6545
C19orf18	-0.6035
BIRC6	0.167428571428571
ZNF16	2.291
RFT1	-0.43075
SLC8A2	-0.5805
TACC1	-0.76725
ITGAD	1.70975
SAMHD1	0.9815
SH3PXD2B	0.841
EPC2	0.258
C20orf85	4.163625
ATP13A2	-0.105333333333333
KRT4	0.095
CAPNS1	-0.004
MDM2	-0.456666666666667
PCDH20	3.504
KCNK9	0.686
OR2C1	-0.5365
KLHDC3	-0.238833333333333
IPPK	1.193
EFHD2	-1.20975
GALR3	-0.563
NBEA	-1.0655
ABCA6	2.7355
CLDN3	-0.1145
AKT2	-0.381857142857143
EGFR	-3.5473
RBM16	0.639625
ZDHHC3	0.3589
SLC25A4	-0.143666666666667
CYB5B	-0.770666666666667
CPXM1	-1.02825
NDRG1	-1.65192307692308
FLJ43826	0.0625
OR5L2	0.143
FARP2	-0.5559
MRPL46	-0.675083333333333
LDHAL6B	0.384
MAPKAPK3	0.263833333333333
NCAM2	0.362
PRKD2	0.139166666666667
ZFP36L1	0.407
CYSLTR1	-1.34825
OR4C3	0.35975
HIST1H2AJ	-0.2265
CCNB2	-1.60511111111111
ZNF10	0.7805
TMEM175	-0.124
FAM134A	0.667833333333333
TIGD4	0.4185
PCNP	-0.00750000000000001
MGC39715	0.108
LQK1	-0.8925
CREB1	-0.0104
TMPRSS3	3.39225
C4orf32	0.3515
LAT	-1.31658333333333
KCNA3	-0.145
SKIV2L2	0.34875
ROPN1B	-4.25766666666667
tcag7.23	-0.238
CDT1	-2.294625
ZHX2	2.114125
CD28	-2.42675
ZNF624	0.87425
SEPT2	0.0368333333333333
SOHLH2	-1.476375
MCOLN3	-0.210714285714286
UNQ1945	-0.041
MASP2	-1.9255
ZNRF3	0.4442
GPATCH3	-0.58875
AGL	1.6475
QRICH2	-0.1915
PSD4	0.458666666666667
CCNB1IP1	-1.12425
ENPP7	-0.105
OBFC1	-0.66825
KCNG3	-2.871
C14orf79	1.928
ENPEP	1.41
SCT	2.038
SKI	0.445375
SEC61G	-0.3765
CAPN11	0.28875
ATXN7L3	0.866
DBNDD1	-0.0176666666666667
FAIM	0.09675
ANKRD36	-1.081
GABRP	0.612666666666667
TACSTD2	-2.1445
EIF3J	-0.22225
PPP2R2A	-0.17525
TEKT4	-0.662166666666667
PVALB	-2.91716666666667
F10	-3.323
FAM134C	0.8917
COMP	4.476875
EFCBP1	-3.5099375
SCLT1	-0.349375
TAL1	-1.1809
ACSL1	0.9125
ABCC5	-1.85666666666667
ABL1	-0.848666666666667
RBBP7	0.862916666666667
PTPRG	0.534
NCOR1	0.6738
SPINK4	-2.36916666666667
TXNRD1	-0.7896
TNRC15	0.045375
C9orf138	0.11675
UBE2H	0.7865
BRDT	2.92633333333333
C8orf31	-0.4565
CCNE2	0.582636363636364
SLC6A8	-1.179125
CALCR	-5.11325
PPP1CB	-0.1355
ABHD8	0.1895
ARF5	0.3232
SLC24A4	0.97925
CCT3	0.70075
ZNF121	0.79975
SLC3A2	-0.0358
OR13A1	0.159
SLC5A10	-0.1235
RAD50	0.39525
IER5	-0.08475
MTHFD1L	-1.20475
MBTPS2	0.24525
MVK	-0.462
NCL	0.0367
PSMD10	0.41325
MOBP	0.286142857142857
FLJ32894	-0.000500000000000056
HRH1	-2.1115
C5orf30	0.94925
NUDT16L1	0.7896
RASGRP3	3.49566666666667
PRKRIP1	-0.416
CCDC75	-0.58825
LOC253970	0.46675
KIAA1239	0.799
MED21	-0.6805
SYT11	-0.158416666666667
NTSR2	0.84
EGFL11	0.454
CXorf59	0.312
OR2A25	0.67125
SPTBN2	0.0365
LRMP	-1.70133333333333
RNF111	0.27525
PTH	-0.1075
LOC619208	-0.00266666666666665
KIAA0895	0.11525
RANBP5	-0.00637499999999999
P2RY10	1.84666666666667
NME5	4.6475
DDX21	-0.287
LRSAM1	-0.34
HDAC11	0.592
VMO1	-0.05175
NOLA2	1.112
ADAR	0.915333333333333
MTO1	-0.573833333333333
SF4	0.535166666666667
P2RX1	0.047
HBM	-0.16975
EN2	-0.454
C14orf172	0.43125
TM9SF2	1.8028
INHBE	1.03716666666667
TCTE3	-0.173833333333333
TOX2	-3.18575
CTAGE3	0.766125
HBB	3.195
MED15	-1.12783333333333
CASR	0.01925
C6orf66	-0.703333333333333
MTPN	-0.482375
UNC50	-0.70525
C21orf33	-0.124
IRF2	0.5685
PGR	3.71916666666667
GPR84	1.7825
CROCCL1	-1.488
SRPX	-2.41325
BRE	0.164666666666667
FGF10	1.4195
SDC3	-0.3105
ZRSR1	1.547
DKFZP434P211	0.372875
SOX6	-0.0609999999999999
RPUSD2	-0.56025
C14orf173	-0.675
MAPK11	-0.922833333333333
TBC1D22A	0.549
FAM123A	-1.493
COL4A6	-3.41516666666667
TOMM70A	1.08425
NAB1	-1.079375
MGC16385	-1.175
TSPAN18	-1.2115
MED31	-1.01625
PLG	-0.5835
CAPSL	5.653
ZNF532	0.7428
ASB14	0.18375
CA8	1.6525
NUDT16P	-0.4395
SLFN11	-1.753
LRRIQ2	0.289
NOL7	0.089
BRMS1L	0.12725
JARID1A	0.357833333333333
PANK2	-0.9155
ICAM3	-0.25225
MDS1	0.21175
TAF8	-0.066
RNF139	1.52975
ZNF594	0.6395
ADAM8	1.084875
SFTPC	-0.691625
MAN2B2	1.174125
RGS12	0.6846875
EIF1AY	-5.55391666666667
LRRIQ1	0.332333333333333
GPR150	-0.61725
CCDC21	-1.0205
PRRG3	0.35625
SAA4	-4.49625
RAPGEF5	-0.237625
ZCCHC2	0.449
MGC39372	-0.408
PPP4R2	0.8065
CDCA2	-1.5945
OR4D5	0.1605
PTGFRN	0.1812
SIGLEC5	0.442666666666667
C19orf61	-0.339666666666667
NMUR2	0.456
KIAA1586	-0.318333333333333
DAGLA	-0.0683333333333333
CHCHD6	0.05475
GPR32	0.6845
NEUROD6	-0.225
SLC2A4RG	-0.0569375
CA5B	0.693
FBXL3	2.594
MPHOSPH9	-0.4115
HMG2L1	0.6725
HCN4	-0.616
CEACAM19	0.35425
SH2D4B	0.1525
HFE2	-1.038
TGM4	0.647666666666667
LYPD2	0.4565
TBC1D15	0.192
MRPS21	0.2654
NONO	0.0486
CLEC5A	1.511125
ITCH	-0.316
MGAT3	-1.58833333333333
MBP	-0.917571428571429
RPP25	-2.58625
SOSTDC1	-3.8175
HRC	-2.2715
TRIM48	-0.8915
TMEM133	-1.128
ECEL1P2	-2.05025
HOXC11	1.511
DOK5	-1.6495
HELZ	0.188
LOC348180	-0.793
MGC33894	0.20525
ADRB3	0.261
DMD	-0.47075
PTRH2	-0.854
MPEG1	3.3345
NDUFA12	0.008
KRTAP2-4	-0.554363636363636
STAMBPL1	-1.47333333333333
ADCY2	2.4515
UNQ6125	0.8035
KLHL20	1.85316666666667
SRM	-1.1435
OTC	-0.3655
TMIE	0.151666666666667
SNX8	-0.48675
LIPK	0.321
CHURC1	-0.186666666666667
KLC2	0.230833333333333
HDAC1	-0.697
FAM128A	-0.627166666666667
FNDC3B	-1.0146
MTCP1	-0.5565
WFDC10B	-0.2018
PCDHGB3	-0.876
ATRNL1	1.8094
CAV2	-1.089375
MED26	0.543
DUS1L	-0.0255
CHRM3	-1.91525
NEK9	1.259
WARS2	-0.935
TBX22	0.3415
TOMM40	-0.05975
RP6-213H19.1	-0.8115
TUBGCP5	-0.07525
IGSF6	5.28375
TPPP	1.33
UNQ6190	-0.222
GSTM5	-0.290625
BTD	0.822
PDCD1LG2	0.854333333333333
SNRPB2	-0.381333333333333
ERICH1	-0.7065
APOA4	-1.562625
HOXA11	-1.932
NARG1	-0.137125
MKX	1.95275
RAB28	0.0909285714285714
PKP3	0.838
SH3GL2	-0.08075
CTSO	3.0645
RPN2	0.525375
IL28RA	0.128666666666667
SFMBT1	0.249
WDR57	-0.538
FER1L3	0.196666666666667
HSF5	0.675666666666667
TTC9B	-0.272
C4BPA	-3.27716666666667
ALB	-4.96478571428572
SORBS3	-0.94825
UPF2	0.5085
JPH1	1.002
AGBL2	-2.25375
DOPEY1	1.391
TERF1	1.45083333333333
KIF22	-0.0613333333333333
NINJ1	0.8765
SEC61A2	-0.929583333333333
HIST1H1D	-2.61066666666667
SFXN4	0.00337499999999999
UCP3	1.2189
ZNF703	1.05133333333333
MYL6B	-0.3185
TREM1	2.607
OR52E6	0.5385
CKMT2	1.2685
HLA-C	1.008625
SLC13A3	-2.07583333333333
TIMP4	-2.90925
SLIT2	1.47975
RSF1	4.03394444444444
LONRF1	-0.2765
MON1A	-0.619666666666667
CACNG6	-2.74966666666667
DPPA4	-5.633
ZSWIM3	0.24275
ZNF804A	0.831666666666667
CCIN	0.8845
SLC25A31	-0.192
KCNMB4	-2.076
RABL5	0.589125
GALNS	-0.629
STX6	1.734
HIST1H1C	-4.20066666666667
CIDEB	0.439
CASP4	-0.982666666666667
PDK3	0.4116
KCNJ11	2.841
TPR	1.019125
ZSCAN20	-0.8185
MTX2	-0.443
HIST1H2BH	-2.24075
LOC283767	0.993
LYRM7	-0.184611111111111
BRD3	-0.172
HIST1H2BO	-2.071
MAGEB10	0.077
SLC45A1	0.2625
SERPINA3	2.02535
KIAA0143	1.90575
KCNJ16	-0.277666666666667
KRT79	-0.1985
FABP2	-1.174
NUT	0.16525
ZNF57	0.9795
FBXL4	1.162
CLEC9A	1.147
UGT8	-2.41433333333333
BMP2K	-0.26025
MAPK4	-4.26975
SLC25A23	0.000799999999999992
HINT1	0.3307
KRTAP13-1	0.5365
SFXN5	0.4564
CHCHD2	0.133666666666667
FAM3D	1.1035
NDP	2.914625
RHOBTB1	-0.23
SLC4A4	-2.0315
RPL38	-0.17725
HTF9C	-0.586666666666667
AP2A2	0.41275
ZBTB46	-0.3315
MAP7D1	-0.485
AOX1	-2.3285
CYR61	-2.04358333333333
DTNA	-1.6995
JRKL	0.14375
TMOD3	-0.7785
EEA1	0.3454
ADCK5	0.61975
IL1R1	0.386833333333333
KLK3	0.113928571428571
HRSP12	0.92625
KTN1	0.131
LOH11CR2A	0.8542
RELL2	-0.55675
MAB21L1	1.3285
C20orf59	-1.58216666666667
PHKB	-0.46125
ADAM2	-2.22633333333333
TBC1D8B	1.02933333333333
FAM13A1	-0.6254375
LAPTM4B	1.33066666666667
LCN8	0.612
TMEM147	0.7805
SYT4	2.91983333333333
XPO7	-0.432
C9orf62	-1.2635
GPR75	-0.7155
TRIM5	0.36625
APOC1	0.647
RNASE4	2.08733333333333
PARD6B	-0.147125
ARID1A	0.5485
TPD52L3	0.445
RRAGB	2.42016666666667
RCN2	-0.5915
HIST2H2BE	-1.91325
STARD7	0.197
SHMT2	0.819
KIAA1751	0.155833333333333
MLYCD	0.225625
LOC162632	-0.9047
UQCRH	-2.16275
RP11-217H1.1	0.743625
SDHA	-0.457
NCLN	0.1283
ZNF17	1.393
RCBTB2	-1.6255
VEGFB	-0.499
RP4-747L4.3	-0.40175
COLQ	1.6971
MPN2	-1.015
DRG2	-0.4335
KLRB1	4.32525
ALPK2	-2.52875
DNASE2B	-0.04875
FLJ23834	1.3695
AXUD1	0.391166666666667
SAFB	0.1762
NSUN4	-0.58875
RFX2	0.447166666666667
MAPK8IP1	0.153333333333333
FANCD2	-0.6765
ANKZF1	-1.03016666666667
C19orf50	-0.676875
DUSP8	0.366625
SENP5	0.67775
NFKBIL2	0.312
LBR	-1.253875
IGFL1	-0.313
LZTS2	0.23325
IL2RG	-0.701375
CCDC51	0.21125
KLF3	0.113375
ANKRD37	-3.18025
KCTD14	2.98766666666667
FZR1	0.968
SLC44A4	1.5081
ESPL1	-0.81025
GMPR2	-0.8523
TBC1D19	-0.463833333333333
ERGIC1	0.295555555555556
ERBB4	3.1511
TSPAN32	-0.283166666666667
MAP4	0.771875
GPHN	1.1685
SLC6A2	-0.165125
HIVEP1	1.7195
DFFB	-0.17
EIF4EBP2	0.332125
DMRT1	-1.21975
HSPB6	-0.4935
IER2	-0.384
AIFM1	0.057
WWC2	-1.585
MRPL4	-0.1575
FLJ21062	1.45016666666667
EPB41L4A	-0.0770833333333333
SH2D6	-0.0195
TAF4B	0.30625
GAL3ST3	-0.262
MALT1	-0.634
RTDR1	-0.141
ARVCF	-0.264125
MEX3B	-1.79866666666667
FBXO16	1.65175
KIF7	-0.49225
C1QC	3.8175
ZNF783	0.0173333333333333
ZNF85	0.664
MMP13	2.677
KIAA0329	-0.154375
RTP3	-0.87
ZBED3	0.55525
CLGN	-0.02175
SLC25A37	-1.54433333333333
hCG_18290	0.0325
OR5AS1	1.3935
SMARCC2	0.195166666666667
FAM109A	0.0745
CCDC12	0.13125
USF2	1.1573
DEPDC7	-2.92525
C20orf24	-0.430166666666667
JMJD3	1.1925
DSP	2.30214285714286
SLIC1	0.69425
FAM20A	0.285
IRF2BP2	1.4555
ZNF230	0.7855
MSN	-0.940857142857143
SLC9A5	-2.8675
EPDR1	-0.2607
MUSK	0.2165
ZNF434	1.0925
SMARCD1	-0.4285
ZFP106	-0.48275
ZNF347	1.0352
GTF2E1	0.4065
