Hybridization REF	TCGA-A2-A0CY-01A-12R-A034-07
OR4M2	1.8005
HPCA	-0.8655
SEC14L1	-0.78
CHFR	0.271875
EMILIN1	0.738625
NDUFS4	-1.447
COL18A1	-0.068375
PDZD3	-0.3403
C9orf16	-0.208833333333333
ERBB2IP	0.0676666666666667
EMX2	1.15225
FUS	-0.80775
TF	1.6991
CLCN4	-0.827833333333333
CXorf56	-1.16075
C11orf72	0.52775
ELAC2	-0.452916666666667
NPR1	-1.24625
ASS1	0.0528333333333333
USP42	-0.1075
POLR2J	-1.9765
SEC23IP	0.0365
UQCRC1	-0.42975
LOC729603	-0.84575
C1orf71	0.699
POLG	-1.779
ADAM23	-3.4325
TFR2	0.0815
RICTOR	-1.7064
MGC39606	0.18175
C19orf55	0.303875
SNAPC1	-0.287333333333333
GNA11	0.774875
CCDC52	-0.720833333333333
FSIP1	-1.503
UPF3A	-0.633
IGSF11	-2.31716666666667
LAGE3	0.80775
CHST6	-1.085
UNC13B	0.252375
TTLL4	-0.737375
ZNF687	1.89975
SDC2	-1.6012
COX7A2	-1.2855
LAMB4	0.2085
FAM24A	-0.353
LRRTM3	-1.4305
GPHB5	1.71925
OR4C13	0.1315
EIF3EIP	1.052
HABP4	-2.0055
TMEM125	3.9435
CNTN2	0.474125
ASNSD1	-1.65125
FUT4	-0.4825
ACF	-3.14625
LOC158381	-0.9615
CDH8	1.9595
AGPS	-0.678833333333333
C4orf18	2.0215
PECI	-1.89416666666667
UNG	0.277375
GSTP1	-0.1965
DCUN1D5	-0.6745
DKFZP564J0863	-0.10975
SLC9A3R1	-0.1565
BCDO2	0.15575
CHMP7	-0.071625
REM2	0.27
DNHD1	-0.621375
FKBP4	-0.69175
ZNF350	0.6275
MGC11102	0.942875
BST1	-0.1765
KISS1R	2.307
NCR2	0.931
DEFB125	0.0275
UBE2W	0.784
KRT15	-0.682875
C10orf99	1.0385
SCN11A	0.285875
GFI1	-3.19575
RDHE2	4.218
FHL1	-2.242
OSGEP	1.6525
GATA1	-2.57283333333333
SMC6	-1.06325
TTTY14	-0.354
LPIN3	0.71525
RPL4	-0.255
RBPMS	0.1515
PRPF3	0.222833333333333
EMR1	-1.7465
SPATA19	-0.23375
XCR1	0.5815
IRX3	3.0227
RBM6	-0.755
KLF4	-0.661
UNC5CL	-1.03125
SEBOX	-0.2695
BTK	-2.87925
KRCC1	0.5935
C6orf27	1.069
SYTL5	0.021
PRND	2.677625
LOC653319	-0.45
PIGL	-1.296
HUS1	-0.404666666666667
SFRS6	1.41658333333333
C17orf77	0.2115
UIMC1	-0.414
FXYD2	-1.3133
LOC283152	1.17725
ZNF667	0.4885
ZCCHC12	1.5775
TFEC	-0.2114
ATP7B	0.972166666666667
POLD2	-0.492166666666667
RG9MTD1	-0.306
ACOT2	-2.18116666666667
HIST1H4I	-1.012
PPARGC1A	-1.2686
ETFA	-2.4261
POLRMT	-0.1375
ZNF146	0.31175
MIA2	-1.3625
KLHL6	-3.27766666666667
HOXB5	3.872375
NENF	1.21583333333333
CUGBP1	1.22125
PRSS22	2.2635
CASC4	0.5872
CUL4B	0.3105
CENPJ	-0.9106
PITX1	2.50533333333333
FLJ31033	-0.309333333333333
CELSR3	-0.423666666666667
ZNF568	-0.0885
ITSN1	-0.472
EHBP1L1	0.2285
C19orf2	0.46875
DCTN1	0.00125
LIN28B	-2.80716666666667
TNKS2	-1.13225
C1QBP	-1.075625
CADPS2	2.006
SRMS	1.22975
GJA9	0.4195
MGC24975	0.0101666666666667
TRIM45	-0.143166666666667
TSP50	2.1815
TCP1	-0.2525
TMED7	-0.74
CMA1	0.6265
CENPL	-0.972833333333333
PTCRA	0.0535
FST	-3.80975
VWCE	-2.66925
PAWR	2.17925
ABCC12	0.830333333333333
LDLR	-0.3356
ASTN2	0.9858
LOC441212	0.3905
GPATCH8	-0.503
TANC2	0.275666666666667
KIF4A	-1.83325
C18orf18	-1.51225
PGM1	-1.63925
KIAA0258	0.88625
CPD	0.1085
SNCAIP	-0.876
DCT	-3.69266666666667
HLA-DOA	1.33295454545455
OR11L1	0.996
UPK1B	-0.076
DNAJB4	-2.98875
UGT1A8	-0.127
HIST1H4L	-1.0555
PECR	-2.2045
HSPA2	0.74825
WFIKKN1	-2.1905
SERP1	-0.5085
SYDE2	0.98925
TACR2	1.644
NUP85	-1.0025
CD177	-0.857833333333333
LGR5	-2.53166666666667
PIGG	-1.50958333333333
PTHR1	-1.62883333333333
RAB5A	0.1037
FLJ13224	0.5415
USP9Y	-2.07783333333333
C7orf53	-0.68
LRP1B	-1.32325
XAF1	-0.3599
ABCG8	-0.555
ANKDD1A	-0.6335
DAND5	-1.5345
SPAG6	-0.704
LINCR	-0.528
ZDHHC22	-1.26625
CCDC60	-0.0955
THOC7	-1.63716666666667
TCTA	-0.0822
OR8K3	0.7385
NY-REN-7	-0.66375
B2M	-1.17866666666667
C6orf141	-1.10425
LPPR4	-0.62675
SQLE	-1.374625
SEPHS1	0.90775
BTBD14B	1.085
PLRG1	0.3525
SPG7	0.1181875
ZNF614	-0.174333333333333
PARD6G	1.11216666666667
INPP5B	0.0995
GRPEL2	0.351125
PPID	-0.2534
TRIM56	-0.64775
UBE2J1	-0.2735
IL20RA	3.331
LOC387856	0.77775
C1orf107	1.01425
UTS2R	2.05275
C19orf22	0.9915
SAFB2	0.709375
KIAA0652	0.70275
KLRG1	-1.86566666666667
MS4A8B	1.508
FRAG1	-0.5115
KIAA1546	0.15475
E2F4	-1.134
CLEC4M	0.767666666666667
BTBD14A	-1.633
KIAA0999	0.8119
GYPA	-3.70366666666667
TAC1	-0.406555555555556
TRAIP	-1.64833333333333
KIAA0232	-0.8
ERCC8	-1.6505
GPX4	0.112
KIAA0368	-0.6785
GPR157	0.386
CTAGE4	0.7445
C9orf30	-1.37983333333333
OR52A1	-0.659
HSP90B3P	0.01
ALG9	-0.6676
BTBD10	-0.38325
SDK2	0.3835
BAIAP3	1.311
RABGGTB	-2.101375
ANKRD40	0.233833333333333
KRT74	0.0555
CALCOCO2	-0.376571428571429
SNCA	-3.638
TMSL8	-3.5965
C2orf53	0.3865
ESRRB	-0.22325
ARHGAP26	1.178125
TDRD9	-2.00125
HRAS	-0.4615
KLRC4	-2.3585
JAGN1	-0.0236666666666667
BSDC1	2.55325
RNF43	-1.0938
NDUFAF1	-0.82725
PHF12	0.04375
OR1L3	0.1415
FOLR2	0.931416666666667
LYZL6	0.2382
tcag7.1260	-2.658
WSB1	0.568833333333333
PROS1	-1.9579
OSTN	0.6
PSMB8	-1.44825
SOCS4	-1.13825
DDIT4L	2.784
MAS1	0.072
MGC34796	0.5145
CSHL1	-0.0706666666666667
TBCCD1	0.619166666666667
ZBTB7C	0.5785
AP2S1	-0.152875
P15RS	0.0154
VAT1	-0.517
SHANK3	1.0885
TUFM	0.131833333333333
THEG	1.67825
KRT34	-2.319
SGSM3	-0.00875
TOMM22	-0.09525
SOCS3	0.887833333333333
CPO	0.37
POP4	-0.2915
BHLHB3	2.87575
MALL	-0.33375
OR1B1	0.843
PARK2	0.132666666666667
GPR124	-1.0185
LCE1E	0.8785
RUVBL2	-0.475
CGRRF1	-0.5979
ACPL2	-0.8585
WNT10B	-0.4925
BAIAP2L2	-0.2005
ISCA1	-0.5165
C1orf125	0.13525
RPAP1	-0.738
RAI16	-0.351833333333333
RPL27	-0.306625
NLRP9	-0.4675
EPN1	0.359
LOC388610	-1.026375
SLC35A1	-0.1828
GAL	-1.368
SLC14A2	0.5165
RDH11	-0.683833333333333
FAM138F	0.8785
AUH	-2.233
FLJ40243	3.1025
C14orf129	-1.2605
MBD2	-0.591333333333333
ABHD14B	-0.94375
PIGT	-0.05925
ALS2CR4	-0.541375
ALAS1	-0.6311
FOXO1	1.00083333333333
CRLF3	-0.319125
C20orf107	-1.01
FARS2	0.33725
CCDC28A	0.22025
NPHP3	-1.077
OR13F1	0.525
TSEN54	-0.1765
DEFB106B	-0.1781
OR8B4	1.0215
STH	1.25525
ZC3H14	-0.716375
CBX2	-0.7455
TMEM49	-1.25775
C6orf21	0.778
FLJ20920	1.794625
CRTAP	-1.337
DDX50	-0.01175
STYXL1	0.18825
BLVRB	-1.22766666666667
LOC147650	-0.663
MMP24	0.17175
GRID1	-0.120166666666667
BANF1	-0.152166666666667
CTAGEP	0.38625
HMBS	-1.6545
SLC25A24	-0.310166666666667
C14orf50	-0.1575
MRO	-0.108166666666667
SLC25A15	-0.639
FAM84B	0.4974
TDP1	-0.455
C16orf78	0.219833333333333
C11orf57	1.158625
RFK	-1.003875
ZFYVE9	-0.789625
STCH	-0.3909
WIBG	0.7555
LOC283871	-1.32866666666667
GBA2	-0.9836
NDUFB3	-1.4925
HSD17B13	0.45525
GRIN3A	0.4255
FMNL1	-1.79166666666667
SEPT7	-0.2905
GNLY	0.962
GRAMD1C	0.688666666666667
ZNF165	0.02525
USP38	0.861
FAM83A	-2.1865
C14orf24	-0.250083333333333
ARMCX3	-0.07775
ARHGDIB	-0.027
AK1	-0.544625
KIAA1045	0.2875
DNAJB13	-0.471333333333333
NEU2	0.1535
HIST1H4B	-0.357666666666667
FAM20B	0.0612
HES2	2.13
FAM73B	-0.3079
LOC388381	-0.58775
INTS7	-0.145636363636364
AMPH	-0.146
ZNF775	0.56575
UCKL1	-0.3535
C10orf97	-0.05625
C1orf161	2.5355
ALDH1L1	-1.487
FLJ39378	0.33275
SLC23A1	-2.787
RBM4B	-0.529
THAP4	-0.0741666666666667
OGFRL1	0.53575
KIAA0831	-0.43325
PPP1R15A	0.1145
C1orf96	0.332214285714286
C12orf11	-2.14675
BMF	1.65075
MAN1A1	-1.504125
KIAA1600	-0.0273333333333333
NLGN4X	-1.5675
ALOX12	1.97583333333333
RB1CC1	1.5794
NEIL2	-0.3835
EIF4E	-0.125727272727273
ABHD5	-0.43025
EXOC4	-0.024
CIP29	0.187833333333333
BATF2	0.75275
SLC29A4	0.01325
HTR4	-0.03325
EMB	0.636
TRAF6	0.592
LMNB1	-1.25175
FAM19A5	-0.5125
SHE	-0.44675
PIK3C2B	0.2605
C15orf15	-0.4421
USP15	0.0581
TCEAL2	0.5855
C5orf39	1.10083333333333
PTGER2	-2.8765
SLC31A1	-1.1684375
IFT172	1.21425
ADAM29	1.23825
GFOD1	0.89475
ST7L	-0.910333333333333
C15orf26	-2.869
PKN3	-1.60675
CNTD1	1.84416666666667
COMMD1	0.033625
NTRK2	1.68054545454545
FOXN3	0.033
MFGE8	-1.0596
PFKFB2	-0.131833333333333
TAS2R4	0.08425
ENTHD1	-0.158666666666667
PRMT5	-0.3665
MGC16384	0.05425
LOC442229	-0.2265
TSKU	0.637625
KRTCAP3	3.431125
PDLIM1	0.7621
KCNS2	0.67125
RNF126	-0.320666666666667
CEP63	-0.301125
CLIC4	-0.742875
hCG_1990170	2.47675
ACR	0.9875
KLK7	3.7425
ALOX5AP	0.801
RIPK3	2.742
TAS2R9	1.063
C19orf18	0.792
BIRC6	-0.126285714285714
ZNF16	1.5705
RFT1	-0.57075
SLC8A2	0.19925
TACC1	0.715875
ITGAD	0.3045
SAMHD1	-0.76
SH3PXD2B	1.684
EPC2	0.4325
C20orf85	0.83325
ATP13A2	0.350833333333333
KRT4	1.178375
CAPNS1	-0.35625
MDM2	0.796916666666667
PCDH20	6.1345
KCNK9	0.9775
OR2C1	-0.16
KLHDC3	-0.550666666666667
IPPK	-0.3935
EFHD2	-0.535625
GALR3	2.04975
NBEA	1.78516666666667
ABCA6	0.7101
CLDN3	2.34566666666667
AKT2	-0.429714285714286
EGFR	0.1568
RBM16	-0.17875
ZDHHC3	0.0739
SLC25A4	-1.0805
CYB5B	-1.58316666666667
CPXM1	-1.81025
NDRG1	0.889384615384615
FLJ43826	0.10625
OR5L2	0.707333333333333
FARP2	0.3402
MRPL46	-0.979666666666667
LDHAL6B	0.095
MAPKAPK3	-0.561833333333333
NCAM2	-0.9295
PRKD2	0.5485
ZFP36L1	2.2786
CYSLTR1	-2.64275
OR4C3	0.9685
HIST1H2AJ	0.333
CCNB2	-2.36811111111111
ZNF10	0.29225
TMEM175	1.037
FAM134A	0.669166666666667
TIGD4	-0.0015
PCNP	-1.298
MGC39715	-0.1205
LQK1	-0.21675
CREB1	-0.0285
TMPRSS3	1.19075
C4orf32	-0.6555
LAT	-2.07066666666667
KCNA3	-0.589
SKIV2L2	-1.01825
ROPN1B	-2.06425
tcag7.23	0.3805
CDT1	-1.772125
ZHX2	1.720875
CD28	-5.1095
ZNF624	0.387
SEPT2	-0.772333333333333
SOHLH2	-0.97325
MCOLN3	-1.581
UNQ1945	1.4405
MASP2	-0.8445
ZNRF3	-0.1911
GPATCH3	0.255
AGL	-0.50625
QRICH2	-0.9255
PSD4	0.81
CCNB1IP1	0.43425
ENPP7	-0.08575
OBFC1	-0.5745
KCNG3	0.61625
C14orf79	-0.30875
ENPEP	1.30333333333333
SCT	1.323
SKI	1.63325
SEC61G	-0.41375
CAPN11	-0.264
ATXN7L3	0.025
DBNDD1	1.83516666666667
FAIM	-0.22
ANKRD36	1.0785
GABRP	1.05633333333333
TACSTD2	2.06983333333333
EIF3J	-1.0175
PPP2R2A	-0.73075
TEKT4	-0.3765
PVALB	-3.33033333333333
F10	-2.255
FAM134C	0.6358
COMP	5.36575
EFCBP1	-3.8412
SCLT1	0.91725
TAL1	-0.3893
ACSL1	-2.3175
ABCC5	0.225
ABL1	-0.51
RBBP7	-0.954583333333333
PTPRG	-1.601375
NCOR1	-0.2515
SPINK4	-1.23783333333333
TXNRD1	-1.6986
TNRC15	0.806
C9orf138	0.60975
UBE2H	0.493666666666667
BRDT	-0.0623333333333333
C8orf31	0.24475
CCNE2	-1.97718181818182
SLC6A8	-0.5195
CALCR	-2.26
PPP1CB	0.264166666666667
ABHD8	1.37425
ARF5	0.554
SLC24A4	-0.09075
CCT3	0.12325
ZNF121	0.254
SLC3A2	-0.1312
OR13A1	0.68
SLC5A10	1.306
RAD50	-1.15975
IER5	0.444625
MTHFD1L	1.844
MBTPS2	-0.312
MVK	-0.014875
NCL	-0.5888
PSMD10	-1.31425
MOBP	1.01357142857143
FLJ32894	0.359
HRH1	1.53666666666667
C5orf30	-0.85325
NUDT16L1	0.5234
RASGRP3	1.85083333333333
PRKRIP1	-0.7315
CCDC75	0.71025
LOC253970	0.178
KIAA1239	0.48325
MED21	-1.27475
SYT11	-0.647833333333333
NTSR2	-0.047
EGFL11	1.568
CXorf59	1.6375
OR2A25	0.45175
SPTBN2	1.622
LRMP	-2.53966666666667
RNF111	-1.295
PTH	0.6745
LOC619208	1.14016666666667
KIAA0895	-0.317
RANBP5	-0.463125
P2RY10	-1.13333333333333
NME5	2.11833333333333
DDX21	-0.529
LRSAM1	0.216
HDAC11	1.53116666666667
VMO1	1.47625
NOLA2	-1.2615
ADAR	-0.00808333333333331
MTO1	-1.61016666666667
SF4	1.01066666666667
P2RX1	-0.153833333333333
HBM	0.67625
EN2	2.238
C14orf172	0.47625
TM9SF2	-0.0309
INHBE	0.516333333333333
TCTE3	0.155416666666667
TOX2	0.121
CTAGE3	0.25725
HBB	1.9279
MED15	-0.750333333333333
CASR	0.333
C6orf66	-1.34233333333333
MTPN	-0.078
UNC50	-2.1695
C21orf33	0.02375
IRF2	-0.12775
PGR	-1.54083333333333
GPR84	1.00925
CROCCL1	-3.009
SRPX	-2.391
BRE	0.138666666666667
FGF10	0.60375
SDC3	0.435333333333333
ZRSR1	-0.602333333333333
DKFZP434P211	0.101625
SOX6	-0.1295
RPUSD2	0.31975
C14orf173	-0.107
MAPK11	-0.127
TBC1D22A	1.955
FAM123A	2.571
COL4A6	-4.162
TOMM70A	-0.24875
NAB1	-0.501125
MGC16385	1.023375
TSPAN18	-0.726
MED31	-0.858
PLG	0.23675
CAPSL	-0.1835
ZNF532	1.6775
ASB14	-0.0295
CA8	3.181
NUDT16P	1.301
SLFN11	-1.1835
LRRIQ2	-0.349125
NOL7	-0.483666666666667
BRMS1L	0.517
JARID1A	0.867666666666667
PANK2	-1.113
ICAM3	-1.23675
MDS1	0.09925
TAF8	0.011
RNF139	0.5725
ZNF594	-0.835666666666667
ADAM8	1.905625
SFTPC	-0.113
MAN2B2	-0.894875
RGS12	-0.2368125
EIF1AY	-4.68716666666667
LRRIQ1	1.30883333333333
GPR150	2.03675
CCDC21	-1.0775
PRRG3	0.36225
SAA4	-3.08225
RAPGEF5	1.682125
ZCCHC2	0.54075
MGC39372	0.62
PPP4R2	-0.086
CDCA2	-1.7715
OR4D5	0.1505
PTGFRN	0.5399
SIGLEC5	0.52
C19orf61	-0.478833333333333
NMUR2	1.3835
KIAA1586	-1.466
DAGLA	-0.918333333333333
CHCHD6	-0.2285
GPR32	0.424
NEUROD6	0.829166666666667
SLC2A4RG	-0.122875
CA5B	0.05975
FBXL3	0.13075
MPHOSPH9	-1.15325
HMG2L1	0.24
HCN4	1.23083333333333
CEACAM19	1.56925
SH2D4B	0.767
HFE2	-0.6155
TGM4	-0.1534
LYPD2	0.138
TBC1D15	0.71475
MRPS21	1.0713
NONO	-0.5294
CLEC5A	1.25025
ITCH	0.3547
MGAT3	-1.99916666666667
MBP	-0.630875
RPP25	0.5915
SOSTDC1	1.336
HRC	-1.70425
TRIM48	0.174
TMEM133	-2.3105
ECEL1P2	-1.4395
HOXC11	2.0105
DOK5	-2.63775
HELZ	0.751833333333333
LOC348180	0.11025
MGC33894	1.55025
ADRB3	0.4435
DMD	-0.596083333333333
PTRH2	-0.64325
MPEG1	1.855
NDUFA12	-0.359166666666667
KRTAP2-4	0.336416666666667
STAMBPL1	-1.6515
ADCY2	1.14183333333333
UNQ6125	0.0215
KLHL20	0.509333333333333
SRM	-0.816
OTC	-0.25475
TMIE	1.49533333333333
SNX8	0.0265
LIPK	0.1365
CHURC1	-0.599166666666667
KLC2	0.874833333333333
HDAC1	0.508833333333333
FAM128A	-0.4535
FNDC3B	-0.2291
MTCP1	-1.0965
WFDC10B	1.4262
PCDHGB3	-0.1935
ATRNL1	-0.6553
CAV2	-0.681
MED26	1.4175
DUS1L	0.45175
CHRM3	1.285
NEK9	-1.15175
WARS2	0.659
TBX22	-0.4535
TOMM40	-0.39425
RP6-213H19.1	0.579833333333333
TUBGCP5	-1.90275
IGSF6	2.75925
TPPP	-0.4655
UNQ6190	0.17
GSTM5	-0.777625
BTD	-0.8535
PDCD1LG2	-0.683166666666667
SNRPB2	-0.818333333333333
ERICH1	-1.301375
APOA4	-1.285
HOXA11	-2.74425
NARG1	-0.42575
MKX	-1.03025
RAB28	-1.79664285714286
PKP3	1.45425
SH3GL2	-0.651
CTSO	-0.25175
RPN2	1.50275
IL28RA	0.291833333333333
SFMBT1	-0.84875
WDR57	1.2045
FER1L3	-0.767
HSF5	0.477
TTC9B	0.62175
C4BPA	-4.73716666666667
ALB	-3.63785714285714
SORBS3	0.346875
UPF2	-0.076
JPH1	0.592
AGBL2	-2.06775
DOPEY1	1.1995
TERF1	0.346833333333333
KIF22	-0.566833333333333
NINJ1	-0.2815
SEC61A2	-0.336
HIST1H1D	-0.204666666666667
SFXN4	-0.060125
UCP3	0.9622
ZNF703	1.99366666666667
MYL6B	0.386
TREM1	3.628
OR52E6	0.01
CKMT2	-0.8895
HLA-C	0.24
SLC13A3	0.0803333333333333
TIMP4	-2.4245
SLIT2	0.67575
RSF1	0.197166666666667
LONRF1	-1.47821428571429
MON1A	-0.424166666666667
CACNG6	-0.938
DPPA4	-3.85683333333333
ZSWIM3	0.656
ZNF804A	-0.287833333333333
CCIN	0.59325
SLC25A31	0.10675
KCNMB4	-0.6865
RABL5	0.107625
GALNS	0.0773
STX6	1.75125
HIST1H1C	-2.53366666666667
CIDEB	0.391
CASP4	0.114
PDK3	-1.2193
KCNJ11	0.618
TPR	0.044625
ZSCAN20	1.0095
MTX2	-0.966
HIST1H2BH	-0.14125
LOC283767	1.0805
LYRM7	-2.1555
BRD3	0.6885
HIST1H2BO	0.04975
MAGEB10	-0.6125
SLC45A1	0.474
SERPINA3	-0.28395
KIAA0143	0.1385
KCNJ16	-0.3665
KRT79	0.02675
FABP2	-1.33875
NUT	-0.82
ZNF57	-0.64325
FBXL4	-0.0355
CLEC9A	-0.298
UGT8	-1.25133333333333
BMP2K	-0.807
MAPK4	-1.72225
SLC25A23	0.4461
HINT1	-1.7174
KRTAP13-1	0.4045
SFXN5	-0.398
CHCHD2	-0.376416666666667
FAM3D	5.223
NDP	-0.36
RHOBTB1	0.298166666666667
SLC4A4	-1.71125
RPL38	0.49775
HTF9C	0.252
AP2A2	0.483625
ZBTB46	-0.5905
MAP7D1	0.13225
AOX1	-2.72533333333333
CYR61	-0.496583333333333
DTNA	-0.100071428571429
JRKL	0.3075
TMOD3	-0.58125
EEA1	-0.3713
ADCK5	1.105
IL1R1	1.27633333333333
KLK3	0.926214285714286
HRSP12	-0.58375
KTN1	-0.7895
LOH11CR2A	0.8212
RELL2	-1.72275
MAB21L1	-0.17525
C20orf59	-0.254
PHKB	-0.48925
ADAM2	-0.828
TBC1D8B	1.2995
FAM13A1	-0.0565625
LAPTM4B	-0.00124999999999999
LCN8	0.924
TMEM147	0.415
SYT4	0.214166666666667
XPO7	-0.448
C9orf62	2.56
GPR75	0.543
TRIM5	-0.91
APOC1	-1.15683333333333
RNASE4	3.1445
PARD6B	-3.16675
ARID1A	0.60375
TPD52L3	0.2399
RRAGB	-0.8005
RCN2	-1.12233333333333
HIST2H2BE	-0.5109375
STARD7	0.0615
SHMT2	0.43475
KIAA1751	0.092
MLYCD	0.66725
LOC162632	-1.2286
UQCRH	-1.78275
RP11-217H1.1	-0.0346875
SDHA	-1.67033333333333
NCLN	0.2651
ZNF17	-0.67
RCBTB2	-2.8975
VEGFB	-0.1706
RP4-747L4.3	0.5545
COLQ	1.2582
MPN2	-0.231833333333333
DRG2	-0.43625
KLRB1	1.9725
ALPK2	-2.47575
DNASE2B	-0.4765
FLJ23834	-0.501333333333333
AXUD1	-0.391333333333333
SAFB	0.9406
NSUN4	-0.308
RFX2	0.477166666666667
MAPK8IP1	0.721166666666667
FANCD2	0.227714285714286
ANKZF1	-0.606333333333333
C19orf50	0.034
DUSP8	1.213
SENP5	-0.574625
NFKBIL2	0.14825
LBR	-1.211625
IGFL1	-0.147
LZTS2	1.103875
IL2RG	-1.362375
CCDC51	-0.964
KLF3	-0.469625
ANKRD37	-0.4645
KCTD14	-0.0791666666666666
FZR1	0.998833333333333
SLC44A4	3.4531
ESPL1	-0.59875
GMPR2	-1.7227
TBC1D19	-2.0585
ERGIC1	-0.0284074074074074
ERBB4	-0.1303
TSPAN32	-0.167333333333333
MAP4	-0.3845
GPHN	-1.57625
SLC6A2	0.064375
HIVEP1	0.703
DFFB	-1.1691
EIF4EBP2	0.63425
DMRT1	1.04675
HSPB6	0.03725
IER2	0.5815
AIFM1	-0.3715
WWC2	-1.67883333333333
MRPL4	-0.42925
FLJ21062	-0.150333333333333
EPB41L4A	0.395666666666667
SH2D6	0.5335
TAF4B	-0.38775
GAL3ST3	-0.2815
MALT1	-0.843666666666667
RTDR1	0.828
ARVCF	-0.531625
MEX3B	0.0951666666666667
FBXO16	1.0795
KIF7	-1.462
C1QC	3.8635
ZNF783	0.4385
ZNF85	-0.48275
MMP13	6.2445
KIAA0329	0.1365
RTP3	-0.4615
ZBED3	0.3665
CLGN	-1.0525
SLC25A37	0.533375
hCG_18290	1.4355
OR5AS1	0.098
SMARCC2	0.668583333333333
FAM109A	0.635333333333333
CCDC12	-0.27
USF2	0.8935
DEPDC7	-1.09525
C20orf24	-1.272
JMJD3	0.782
DSP	1.26828571428571
SLIC1	-0.39325
FAM20A	0.18
IRF2BP2	1.6575
ZNF230	-1.913
MSN	-0.0628571428571429
SLC9A5	1.29
EPDR1	-1.4032
MUSK	0.280166666666667
