Hybridization REF	TCGA-A2-A0YJ-01A-11R-A109-07
IRX3	1.8266
RBM6	-1.36175
KLF4	-0.7712
UNC5CL	1.1315
SEBOX	0.1375
BTK	-1.4185
KRCC1	1.27225
C6orf27	0.528
SYTL5	-0.9585
PRND	1.47275
LOC653319	-1.469
PIGL	-0.529375
HUS1	0.374
SFRS6	0.124
C17orf77	0.433
UIMC1	-2.279
FXYD2	-1.5288
LOC283152	0.04025
ZNF667	-0.32125
ZCCHC12	-0.69625
TFEC	1.2796
ATP7B	-0.399833333333333
POLD2	0.0245
RG9MTD1	-0.00825
ACOT2	-0.0926666666666667
HIST1H4I	-1.675125
PPARGC1A	-0.4589
ETFA	-1.8462
POLRMT	-0.30175
ZNF146	1.044625
MIA2	-0.972
KLHL6	-1.62666666666667
HOXB5	-1.812
NENF	0.999833333333333
CUGBP1	-0.37
PRSS22	2.32083333333333
CASC4	0.5195
CUL4B	-0.0189
CENPJ	-1.1507
PITX1	1.395
FLJ31033	-0.410666666666667
CELSR3	-1.418
ZNF568	0.3415
ITSN1	-0.628333333333333
EHBP1L1	0.343666666666667
C19orf2	-0.22875
DCTN1	0.55525
LIN28B	-2.756
TNKS2	-1.45075
C1QBP	0.284375
CADPS2	-2.5495
SRMS	0.66075
GJA9	0.290333333333333
MGC24975	0.484
TRIM45	-1.88616666666667
TSP50	-0.083
TCP1	-0.74375
TMED7	-0.2963
CMA1	0.486
CENPL	0.1855
PTCRA	-0.2365
FST	-4.43233333333333
VWCE	-4.88325
PAWR	-0.4765
ABCC12	0.389833333333333
LDLR	-0.9015
ASTN2	-0.95
LOC441212	0.172125
GPATCH8	-0.07975
TANC2	-2.2535
KIF4A	-1.0645
C18orf18	-0.22075
PGM1	0.96825
KIAA0258	1.4055
CPD	0.54325
SNCAIP	-2.12975
DCT	-4.523
HLA-DOA	1.74659090909091
OR11L1	0.597
UPK1B	0.958
DNAJB4	-0.2695
UGT1A8	-0.316
HIST1H4L	-1.5215
PECR	-0.511166666666667
HSPA2	1.1825
WFIKKN1	-2.5155
SERP1	0.9665
SYDE2	0.166
TACR2	-0.2035
NUP85	-0.70875
CD177	-0.764333333333333
LGR5	-1.76866666666667
PIGG	-0.40475
PTHR1	-1.79133333333333
RAB5A	0.1148
FLJ13224	0.041
USP9Y	-1.8455
C7orf53	-0.5275
LRP1B	-1.042
XAF1	-0.7701
ABCG8	-0.4305
ANKDD1A	-0.893166666666667
DAND5	-1.3845
SPAG6	-0.0281666666666667
LINCR	0.45675
ZDHHC22	-1.77725
CCDC60	0.328
THOC7	-1.352
TCTA	1.462
OR8K3	0.6
NY-REN-7	-0.893
B2M	0.400166666666667
C6orf141	-1.185875
LPPR4	1.5735
SQLE	-0.22375
SEPHS1	0.97825
BTBD14B	0.478642857142857
PLRG1	0.194
SPG7	-0.45275
ZNF614	-1.1195
PARD6G	0.8052
INPP5B	0.2801
GRPEL2	-0.194
PPID	-0.2373
TRIM56	-0.579
UBE2J1	0.614375
IL20RA	0.08625
LOC387856	0.45125
C1orf107	1.38545454545455
UTS2R	0.43
C19orf22	-0.09725
SAFB2	-0.807625
KIAA0652	0.59475
KLRG1	-1.66766666666667
MS4A8B	0.1755
FRAG1	1.35975
KIAA1546	0.174
E2F4	-0.7283
CLEC4M	0.0875
BTBD14A	-0.25
KIAA0999	0.2604
GYPA	-3.35416666666667
TAC1	-0.491777777777778
TRAIP	-0.779
KIAA0232	-0.8131
ERCC8	-1.830375
GPX4	0.303125
KIAA0368	-0.539875
GPR157	-0.777166666666667
CTAGE4	0.1085
C9orf30	0.170833333333333
OR52A1	0.325
HSP90B3P	-0.348
ALG9	0.4089
BTBD10	0.64725
SDK2	0.22575
BAIAP3	-1.714
RABGGTB	-1.614625
ANKRD40	-0.420833333333333
KRT74	0.928
CALCOCO2	-0.677857142857143
SNCA	-3.96975
TMSL8	-5.39075
C2orf53	0.074
ESRRB	-0.16175
ARHGAP26	-1.803
TDRD9	0.90875
HRAS	0.0693333333333333
KLRC4	-2.5515
JAGN1	0.272333333333333
BSDC1	-0.42725
RNF43	-1.4307
NDUFAF1	-0.4515
PHF12	0.34175
OR1L3	-0.06675
FOLR2	1.56725
LYZL6	0.096
tcag7.1260	-1.959
WSB1	-1.1305
PROS1	-1.0428
OSTN	0.6305
PSMB8	-0.0585
SOCS4	-0.051625
DDIT4L	2.60825
MAS1	0.0825
MGC34796	2.05775
CSHL1	0.412833333333333
TBCCD1	0.5535
ZBTB7C	0.519
AP2S1	-0.690625
P15RS	1.2629
VAT1	-0.061
SHANK3	1.35716666666667
TUFM	0.287833333333333
THEG	-0.36
KRT34	-1.63025
SGSM3	0.58725
TOMM22	-0.31625
SOCS3	1.198
CPO	-0.385
POP4	0.11025
BHLHB3	1.56825
MALL	3.4875
OR1B1	0.9045
PARK2	-0.0386666666666667
GPR124	-0.540625
LCE1E	0.1265
RUVBL2	-0.9915
CGRRF1	-0.0306
ACPL2	-0.27625
WNT10B	-2.2805
BAIAP2L2	-0.89075
ISCA1	0.55
C1orf125	1.23175
RPAP1	-0.2195
RAI16	-0.107833333333333
RPL27	-0.847
NLRP9	-0.176
EPN1	-0.0095
LOC388610	0.28175
SLC35A1	1.2693
GAL	-0.108
SLC14A2	0.422
RDH11	-1.143
FAM138F	0.225
AUH	-0.18825
FLJ40243	0.063
C14orf129	0.439166666666667
MBD2	-0.113833333333333
ABHD14B	0.199875
PIGT	0.40525
ALS2CR4	-0.491125
ALAS1	1.0882
FOXO1	1.65716666666667
CRLF3	0.39975
C20orf107	-0.2405
FARS2	0.5125
CCDC28A	0.5685
NPHP3	-1.39725
OR13F1	0.844
TSEN54	-0.0075
DEFB106B	0.3226
OR8B4	0.3085
STH	0.0415
ZC3H14	-0.5155
CBX2	-0.352
TMEM49	-1.60775
C6orf21	0.8555
FLJ20920	-0.322875
CRTAP	0.645357142857143
DDX50	-0.94525
STYXL1	0.322
BLVRB	0.422333333333333
LOC147650	-1.67183333333333
MMP24	0.26025
GRID1	0.8995
BANF1	0.0678333333333333
CTAGEP	0.29575
HMBS	-0.873
SLC25A24	-0.3155
C14orf50	2.3215
MRO	0.4085
SLC25A15	1.296
FAM84B	0.8829
TDP1	-0.283
C16orf78	-0.238833333333333
C11orf57	-0.32825
RFK	-0.11875
ZFYVE9	-0.105875
STCH	1.3143
WIBG	-0.129
LOC283871	0.366666666666667
GBA2	0.0397
NDUFB3	-0.95075
HSD17B13	-0.2905
GRIN3A	0.7045
FMNL1	-1.31166666666667
SEPT7	0.0558
GNLY	2.7175
GRAMD1C	-0.3675
ZNF165	0.21875
USP38	0.29375
FAM83A	-3.656
C14orf24	0.0259999999999999
ARMCX3	-0.262375
ARHGDIB	-1.15783333333333
AK1	0.27625
KIAA1045	2.1985
DNAJB13	-0.5595
NEU2	0.789
HIST1H4B	-0.750833333333333
FAM20B	0.4381
HES2	1.04242857142857
FAM73B	-0.217
LOC388381	1.51125
INTS7	0.300636363636364
AMPH	2.62925
ZNF775	0.20975
UCKL1	-0.369333333333333
C10orf97	0.817
C1orf161	-0.2345
ALDH1L1	-1.397
FLJ39378	-0.281875
SLC23A1	-1.785
RBM4B	-0.12675
THAP4	-0.0441666666666667
OGFRL1	1.68875
KIAA0831	-0.8245
PPP1R15A	-0.577666666666667
C1orf96	0.401071428571428
C12orf11	-1.539
BMF	1.03225
MAN1A1	-2.162625
KIAA1600	-0.443666666666667
NLGN4X	-2.27725
ALOX12	-0.418833333333333
RB1CC1	1.2663
NEIL2	0.3043
EIF4E	-0.230045454545454
ABHD5	0.4815
EXOC4	0.4245
CIP29	-0.194833333333333
BATF2	0.0615
SLC29A4	0.587625
HTR4	0.762
EMB	-3.17425
TRAF6	0.663
LMNB1	-1.85675
FAM19A5	-1.924125
SHE	0.4205
PIK3C2B	0.13975
C15orf15	-0.5434
USP15	-0.2142
TCEAL2	-1.28375
C5orf39	-1.4925
PTGER2	-2.18
SLC31A1	-0.207125
IFT172	1.28825
ADAM29	0.03775
GFOD1	0.736
ST7L	0.254
C15orf26	-3.34375
PKN3	-1.6735
CNTD1	0.621166666666667
COMMD1	0.54275
NTRK2	0.6365
FOXN3	-0.54775
MFGE8	1.3153
PFKFB2	0.937333333333333
TAS2R4	0.0133333333333333
ENTHD1	4.27483333333333
PRMT5	-0.78425
MGC16384	-1.926375
LOC442229	0.498
TSKU	0.3125
KRTCAP3	4.087
PDLIM1	-0.5515
KCNS2	0.251
RNF126	-0.258
CEP63	-0.48775
CLIC4	0.010125
hCG_1990170	-0.31375
ACR	0.8088
KLK7	5.1865
ALOX5AP	2.494875
RIPK3	3.48625
TAS2R9	0.4915
C19orf18	1.2245
BIRC6	0.269785714285714
ZNF16	1.628
RFT1	-0.11175
SLC8A2	-0.686
TACC1	-1.609625
ITGAD	0.24475
SAMHD1	0.79075
SH3PXD2B	1.4093
EPC2	-0.0855
C20orf85	0.37575
ATP13A2	0.7755
KRT4	0.549375
CAPNS1	1.09175
MDM2	-0.751909090909091
PCDH20	1.204
KCNK9	0.8105
OR2C1	0.004
KLHDC3	2.0005
IPPK	1.118
EFHD2	-0.70125
GALR3	0.4745
NBEA	-2.84316666666667
ABCA6	0.0769
CLDN3	2.16166666666667
AKT2	0.067
EGFR	2.0377
RBM16	-0.518875
ZDHHC3	0.3391
SLC25A4	-0.0553333333333333
CYB5B	-0.807833333333333
CPXM1	-0.88025
NDRG1	3.09676923076923
FLJ43826	0.35225
OR5L2	0.516
FARP2	-0.0788
MRPL46	-0.619666666666667
LDHAL6B	0.4405
MAPKAPK3	0.317
NCAM2	-3.1345
PRKD2	-0.3205
ZFP36L1	0.8686
CYSLTR1	-2.14025
OR4C3	0.0555
HIST1H2AJ	1.141
CCNB2	-1.17744444444444
ZNF10	-0.565
TMEM175	0.3375
FAM134A	0.518333333333333
TIGD4	-0.1185
PCNP	-0.77075
MGC39715	-0.00975000000000001
LQK1	-2.66475
CREB1	0.0411
TMPRSS3	2.03875
C4orf32	-1.732
LAT	-2.46858333333333
KCNA3	0.657
SKIV2L2	-1.351
ROPN1B	3.70775
tcag7.23	-1.072
CDT1	-2.453
ZHX2	1.32375
CD28	-4.5805
ZNF624	0.052
SEPT2	0.13675
SOHLH2	-0.961375
MCOLN3	-0.196
UNQ1945	0.52
MASP2	-0.7475
ZNRF3	-0.9604
GPATCH3	-0.356
AGL	-0.089
QRICH2	0.335
PSD4	1.04716666666667
CCNB1IP1	-1.2555
ENPP7	0.40725
OBFC1	-0.66125
KCNG3	-2.4005
C14orf79	-0.344916666666667
ENPEP	2.93283333333333
SCT	0.491
SKI	0.682375
SEC61G	0.13325
CAPN11	0.21575
ATXN7L3	-0.18
DBNDD1	1.243
FAIM	0.40225
ANKRD36	-1.1305
GABRP	4.87583333333333
TACSTD2	3.28116666666667
EIF3J	-0.27225
PPP2R2A	-0.66475
TEKT4	-1.0615
PVALB	-3.88633333333333
F10	-3.17433333333333
FAM134C	0.3375
COMP	1.53375
EFCBP1	-3.0568125
SCLT1	-0.9485
TAL1	-1.4404
ACSL1	1.0665
ABCC5	-0.0365833333333333
ABL1	-0.301222222222222
RBBP7	-0.130666666666667
PTPRG	-2.296
NCOR1	0.3501
SPINK4	-2.01666666666667
TXNRD1	-0.3057
TNRC15	-0.068375
C9orf138	0.10525
UBE2H	0.3185
BRDT	0.156333333333333
C8orf31	1.58925
CCNE2	-0.632
SLC6A8	-0.373
CALCR	-4.4745
PPP1CB	1.83016666666667
ABHD8	0.47875
ARF5	0.249
SLC24A4	3.2235
CCT3	0.881
ZNF121	0.6115
SLC3A2	0.462
OR13A1	0.729
SLC5A10	0.56325
RAD50	-0.88725
IER5	-0.392625
MTHFD1L	0.507
MBTPS2	0.5825
MVK	-0.363375
NCL	-0.0814
PSMD10	-0.51275
MOBP	0.34325
FLJ32894	-0.4705
HRH1	-0.2125
C5orf30	-1.08075
NUDT16L1	0.5054
RASGRP3	3.14933333333333
PRKRIP1	-0.6149
CCDC75	-0.4415
LOC253970	-0.035
KIAA1239	0.1035
MED21	-0.7365
SYT11	-0.0355833333333333
NTSR2	-0.1015
EGFL11	0.9475
CXorf59	0.463
OR2A25	0.3755
SPTBN2	0.81525
LRMP	-1.76883333333333
RNF111	-0.04775
PTH	-0.0735
LOC619208	-0.509166666666667
KIAA0895	1.522
RANBP5	0.43375
P2RY10	-0.832166666666667
NME5	-0.941333333333333
DDX21	-1.27675
LRSAM1	0.0365
HDAC11	1.13716666666667
VMO1	0.7485
NOLA2	-0.650166666666667
ADAR	0.789416666666667
MTO1	-0.257833333333333
SF4	0.120333333333333
P2RX1	-0.241166666666667
HBM	0.14025
EN2	0.5415
C14orf172	0.84475
TM9SF2	1.0186
INHBE	-1.11783333333333
TCTE3	-0.145833333333333
TOX2	-3.23325
CTAGE3	0.193875
HBB	1.4467
MED15	-0.681666666666667
CASR	0.19825
C6orf66	0.114666666666667
MTPN	-0.451625
UNC50	-0.07125
C21orf33	0.561625
IRF2	0.103625
PGR	-2.2395
GPR84	3.05775
CROCCL1	-3.455
SRPX	-0.592
BRE	1.20966666666667
FGF10	0.00125
SDC3	0.433166666666667
ZRSR1	-0.305833333333333
DKFZP434P211	-0.88975
SOX6	1.1225
RPUSD2	0.12175
C14orf173	-0.160666666666667
MAPK11	-0.423
TBC1D22A	0.987
FAM123A	-0.058
COL4A6	-3.84783333333333
TOMM70A	0.161
NAB1	0.259875
MGC16385	0.15375
TSPAN18	0.867166666666667
MED31	-0.16525
PLG	-0.55925
CAPSL	-0.1885
ZNF532	1.9723
ASB14	0.0545
CA8	2.138
NUDT16P	1.03883333333333
SLFN11	-0.8005
LRRIQ2	-0.634375
NOL7	-0.261
BRMS1L	-0.2445
JARID1A	0.228
PANK2	-0.61125
ICAM3	-0.153
MDS1	-0.99425
TAF8	1.22375
RNF139	0.996
ZNF594	-0.561333333333333
ADAM8	1.875125
SFTPC	0.17875
MAN2B2	0.589125
RGS12	0.0296875
EIF1AY	-4.91883333333333
LRRIQ1	-1.219
GPR150	0.43625
CCDC21	-0.944666666666667
PRRG3	0.4765
SAA4	-2.7875
RAPGEF5	2.31175
ZCCHC2	0.577583333333333
MGC39372	-0.759
PPP4R2	0.197666666666667
CDCA2	-1.50583333333333
OR4D5	0.720166666666667
PTGFRN	0.4887
SIGLEC5	0.6285
C19orf61	-0.364166666666667
NMUR2	0.327
KIAA1586	-0.926833333333333
DAGLA	0.105166666666667
CHCHD6	-0.35675
GPR32	1.301
NEUROD6	0.116666666666667
SLC2A4RG	0.46525
CA5B	-0.30125
FBXL3	0.79825
MPHOSPH9	-1.48475
HMG2L1	-0.1365
HCN4	0.201166666666667
CEACAM19	1.08525
SH2D4B	0.115333333333333
HFE2	-0.6885
TGM4	-0.0235
LYPD2	0.22225
TBC1D15	0.273
MRPS21	0.0382
NONO	-1.1789
CLEC5A	2.189375
ITCH	-0.1577
MGAT3	-1.6705
MBP	0.78725
RPP25	0.78825
SOSTDC1	4.62225
HRC	-2.32025
TRIM48	0.3895
TMEM133	0.53825
ECEL1P2	-1.27233333333333
HOXC11	0.073
DOK5	2.58075
HELZ	-0.932166666666667
LOC348180	-0.7665
MGC33894	0.5995
ADRB3	0.186
DMD	1.05516666666667
PTRH2	-1.01125
MPEG1	2.32766666666667
NDUFA12	-0.499833333333333
KRTAP2-4	0.24775
STAMBPL1	-1.40066666666667
ADCY2	-1.1975
UNQ6125	0.4
KLHL20	-0.0608333333333333
SRM	-0.64
OTC	-0.2915
TMIE	0.944333333333333
SNX8	1.16275
LIPK	0.484
CHURC1	-1.34908333333333
KLC2	0.334333333333333
HDAC1	-0.322166666666667
FAM128A	1.1555
FNDC3B	1.7277
MTCP1	0.0901666666666667
WFDC10B	0.306
PCDHGB3	0.442
ATRNL1	-2.1215
CAV2	-1.52275
MED26	0.3315
DUS1L	0.6475
CHRM3	-0.858875
NEK9	0.01625
WARS2	1.3905
TBX22	0.8205
TOMM40	-0.81225
RP6-213H19.1	-0.2204
TUBGCP5	-0.78675
IGSF6	2.7905
TPPP	-0.4234
UNQ6190	0.092
GSTM5	0.99375
BTD	0.510666666666667
PDCD1LG2	0.559666666666667
SNRPB2	-0.239833333333333
ERICH1	-0.684
APOA4	-1.592625
HOXA11	-1.48325
NARG1	0.254375
MKX	-0.798
RAB28	-0.318357142857143
PKP3	1.6445
SH3GL2	-4.0285
CTSO	1.892
RPN2	1.0171875
IL28RA	0.416833333333333
SFMBT1	0.56575
WDR57	0.124625
FER1L3	-0.136583333333333
HSF5	0.250666666666667
TTC9B	0.25625
C4BPA	-3.749
ALB	-3.651
SORBS3	-0.730625
UPF2	0.834
JPH1	1.2455
AGBL2	-1.52375
DOPEY1	0.597
TERF1	0.3305
KIF22	-1.01833333333333
NINJ1	1.08625
SEC61A2	-0.404666666666667
HIST1H1D	-0.5445
SFXN4	-0.79225
UCP3	0.3335
ZNF703	-0.0516666666666667
MYL6B	-0.47875
TREM1	2.8475
OR52E6	1.345
CKMT2	0.357
HLA-C	1.718125
SLC13A3	0.549
TIMP4	-3.60475
SLIT2	-0.18875
RSF1	-0.487
LONRF1	-1.005
MON1A	0.665
CACNG6	-1.90133333333333
DPPA4	-5.79633333333333
ZSWIM3	0.18375
ZNF804A	-0.146166666666667
CCIN	0.5635
SLC25A31	-0.5005
KCNMB4	0.05975
RABL5	-0.67675
GALNS	0.522888888888889
STX6	1.231
HIST1H1C	-4.65416666666667
CIDEB	-0.126625
CASP4	-0.469666666666667
PDK3	0.5749
KCNJ11	0.1995
TPR	-0.63475
ZSCAN20	-0.7885
MTX2	-1.23775
HIST1H2BH	-1.35675
LOC283767	1.1175
LYRM7	-1.98538888888889
BRD3	-0.781
HIST1H2BO	-1.67325
MAGEB10	0.207
SLC45A1	0.37825
SERPINA3	2.6039
KIAA0143	1.71375
KCNJ16	3.1855
KRT79	1.213
FABP2	-0.332
NUT	0.73625
ZNF57	0.10975
FBXL4	1.060375
CLEC9A	-0.456
UGT8	3.354
BMP2K	0.023
MAPK4	-2.77825
SLC25A23	0.1936
HINT1	-1.3303
KRTAP13-1	0.3355
SFXN5	-0.3392
CHCHD2	1.17433333333333
FAM3D	0.767
NDP	-1.517375
RHOBTB1	-1.02683333333333
SLC4A4	-0.276375
RPL38	-0.33075
HTF9C	-0.327666666666667
AP2A2	0.911375
ZBTB46	0.1855
MAP7D1	0.217
AOX1	-2.89666666666667
CYR61	0.675083333333333
DTNA	1.859
JRKL	0.54675
TMOD3	-0.214
EEA1	-0.2544
ADCK5	0.88625
IL1R1	0.614
KLK3	0.430214285714286
HRSP12	0.31525
KTN1	-0.66825
LOH11CR2A	-0.4464
RELL2	0.185
MAB21L1	0.033
C20orf59	-1.3235
PHKB	-0.30275
ADAM2	-1.42883333333333
TBC1D8B	1.32633333333333
FAM13A1	-0.402
LAPTM4B	0.98
LCN8	0.181
TMEM147	1.6555
SYT4	0.1275
XPO7	-0.5335
C9orf62	0.48475
GPR75	0.2615
TRIM5	-0.285875
APOC1	-0.730333333333333
RNASE4	-1.34866666666667
PARD6B	-2.953125
ARID1A	-0.183181818181818
TPD52L3	-0.1371
RRAGB	0.813166666666667
RCN2	-1.02083333333333
HIST2H2BE	-1.444375
STARD7	1.248
SHMT2	0.59525
KIAA1751	0.0213333333333333
MLYCD	0.61075
LOC162632	-0.833
UQCRH	-1.01525
RP11-217H1.1	-0.339875
SDHA	-0.960833333333333
NCLN	0.1039
ZNF17	-0.248333333333333
RCBTB2	-2.624
VEGFB	0.406111111111111
RP4-747L4.3	2.21
COLQ	0.3647
MPN2	-0.7155
DRG2	0.04775
KLRB1	2.27825
ALPK2	-2.412
DNASE2B	-0.05425
FLJ23834	-0.424333333333333
AXUD1	0.148
SAFB	-0.2268
NSUN4	0.39375
RFX2	-0.222666666666667
MAPK8IP1	0.0525
FANCD2	-0.0830714285714287
ANKZF1	-0.795833333333333
C19orf50	0.301625
DUSP8	1.183375
SENP5	-0.09625
NFKBIL2	0.00225000000000006
LBR	0.607875
IGFL1	-0.142
LZTS2	0.06825
IL2RG	-1.316375
CCDC51	0.3545
KLF3	-0.085375
ANKRD37	-1.22375
KCTD14	0.601833333333333
FZR1	0.242916666666667
SLC44A4	3.2705
ESPL1	-0.56975
GMPR2	-0.6927
TBC1D19	-1.42733333333333
ERGIC1	-0.552962962962963
ERBB4	-1.7946
TSPAN32	0.0228333333333333
MAP4	0.27625
GPHN	-0.182
SLC6A2	1.213875
HIVEP1	0.54825
DFFB	0.3331
EIF4EBP2	0.167
DMRT1	1.10125
HSPB6	0.0525
IER2	0.0381666666666667
AIFM1	-0.1965
WWC2	-1.65758333333333
MRPL4	0.27525
FLJ21062	-1.6654
EPB41L4A	-0.06
SH2D6	0.38875
TAF4B	0.93725
GAL3ST3	-0.4405
MALT1	0.893333333333333
RTDR1	0.0315
ARVCF	0.427142857142857
MEX3B	-1.712
FBXO16	0.04125
KIF7	-2.15225
C1QC	3.51766666666667
ZNF783	-0.271333333333333
ZNF85	-0.8985
MMP13	0.3935
KIAA0329	-0.33525
RTP3	0.821
ZBED3	-0.50125
CLGN	-4.72
SLC25A37	-0.887083333333333
hCG_18290	-0.27875
OR5AS1	0.8165
SMARCC2	-0.15625
FAM109A	0.536833333333333
CCDC12	-0.17325
USF2	1.169
DEPDC7	-1.45525
C20orf24	0.231666666666667
JMJD3	0.791
DSP	2.05871428571429
SLIC1	0.3045
FAM20A	1.1295
IRF2BP2	1.08225
ZNF230	-2.029
MSN	-0.154142857142857
SLC9A5	-1.733
EPDR1	-3.3135
